Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","V a r i a n c e
(Kshs.)","Implementa-
tion Status (%)",page_number,table_index
,Curative Services,"453,414,894","190,064,788","263,350,106",42,91,0
,"General Administration and Support Ser-
vices","190,880,005","36,198,786","154,681,219",19,91,0
Sp2,Administration Finance and HR,"2,491,994,806","1,717,041,799","774,953,007",69,91,0
,Preventive and Promotive Services,"49,638,369","47,359,830","2,278,539",95,91,0
,Curative Services,"68,320,000","21,540,460","46,779,540",32,91,0
,"General Administration and Support Ser-
vices","2,374,036,437","1,648,141,509","725,894,928",69,91,0
Education,Education Department,"325,619,161","276,233,814","49,385,347",85,91,0
,ECD Program,-,-,-,--,91,0
,Youth polytechnics,"24,628,298","22,469,835","2,158,463",91,91,0
,"General Administration and Support Ser-
vices","300,990,863","253,763,979","47,226,884",84,91,0
Sp 1,Polytechnics Department,"42,912,400","24,253,330","18,659,070",57,91,0
,ECD Program,"42,912,400","24,253,330","18,659,070",57,91,0
Sp2,Public Service Board and Human Resource,"136,591,478","59,507,618","77,083,860",44,91,0
,ECD Program,0,0,0,--,91,0
,"General Administration and Support Ser-
vices","136,591,478","59,507,618","77,083,860",44,91,0
,Administration and construction works,-,-,-,-,91,0
Sp3,"Research, Statistics and Information","37,682,733","2,046,674","35,636,059",5,91,0
,Departmental Programs,"37,682,733","2,046,674","35,636,059",5,91,0
County Affairs,Governor's Office,"170,900,000",,"64,784,775",62,91,0
,Administration and construction works,-,-,-,-,91,0
,County Executive Services,"170,900,000","106,115,225","64,784,775",62,91,0
Sp 1,Deputy Governor's Office,"34,620,000","17,224,485","17,395,515",50,91,0
,County Executive Services,"34,620,000","17,224,485","17,395,515",50,91,0
Sp 2,Operations and Sub County Offices,"187,262,000","157,915,472","29,346,528",84,91,0
,Departmental Programs,"100,152,000","95,451,493","4,700,507",95,91,0
,County Executive Services,-,-,-,,91,0
,Administration and construction works,"87,110,000","62,463,978","24,646,022",72,91,0
Sp 3,Human Resource Department,-,-,-,-,91,0
,Administration and construction works,-,-,-,-,91,0
Sp 4,Information Department,"15,500,000","6,270,300","9,229,700",40,91,0
,Construction Works,0,0,0,--,91,0
,Administration and construction works,"15,500,000","6,270,300","9,229,700",40,91,0
,Departmental Programs,-,-,-,-,91,0
Sp 5,"Special Program and Inter-Governmental
Relations Department",-,-,-,-,91,0
,Departmental Programs,-,-,-,-,91,0
Sp 6,Street Lighting,"47,356,215","23,241,300","24,114,915",49,91,0
,Administration and construction works,"47,356,215","23,241,300","24,114,915",49,91,0
Sp 7,,"18,312,430","6,993,800","11,318,630",38,91,0
,Departmental Programs,"18,312,430","6,993,800","11,318,630",38,91,0
,,-,-,-,-,91,0
,Departmental Programs,-,-,-,-,91,0
Finance,Accounting Department,"3,713,739","2,999,069","714,670",81,91,0
,Construction Works,0,-,-,-,91,0
,Departmental programs,"3,713,739","2,999,069","714,670",81,91,0
,Water Services,0,0,0,--,91,0
Sp 1,Budgetary Department,"6,280,000","4,859,664","1,420,336",77,91,0
,Departmental programs,"6,280,000","4,859,664","1,420,336",77,91,0
Sp 2,Revenue Department,"205,927,781","189,743,997","16,183,784",92,91,0
,Departmental programs,"205,927,781","189,743,997","16,183,784",92,91,0
Sp 3,Economic Planning Department,"32,786,000","16,658,582","16,127,418",51,91,0
,Departmental programs,"32,786,000","16,658,582","16,127,418",51,91,0
,Town Management Services,-,-,-,-,91,0
Sp 4,Supply Chain Management,"4,880,000","3,602,524","1,277,476",74,92,0
,Departmental programs,"4,880,000","3,602,524","1,277,476",74,92,0
Sp 5,Internal Audit Department,"3,062,600","1,890,700","1,171,900",62,92,0
,Departmental programs,"3,062,600","1,890,700","1,171,900",62,92,0
Sp 6,Special Program,"270,940,000","123,468,081","147,471,919",46,92,0
,Administration and construction works,"270,940,000","123,468,081","147,471,919",46,92,0
,Departmental Programs,-,-,-,-,92,0
Sp 7,Inter-Governmental Relations,-,-,-,-,92,0
,Departmental Programs,-,-,-,-,92,0
Sp 8,Urban Planning,"521,848,000","456,684,920","65,163,080",88,92,0
,Construction Works,-,-,-,-,92,0
,"Administration and Support Services and
Development works",-,-,-,-,92,0
,Town Management Services,"521,848,000","456,684,920","65,163,080",88,92,0
Sp 9,Operation & Sub County Administration,-,-,-,-,92,0
,Departmental Programs,-,-,-,-,92,0
,Administration and construction works,-,-,-,-,92,0
Sp 10,,"408,970,628","320,459,008","88,511,620",78,92,0
,Administration and construction works,"408,970,628","320,459,008","88,511,620",78,92,0
,Town Management Services,-,-,-,-,92,0
Sp 11,,-,-,-,-,92,0
,Administration and construction works,-,-,-,-,92,0
Sp 12,,"16,780,548","8,423,989","8,356,560",50,92,0
,Administration and construction works,"16,780,548","8,423,989","8,356,560",50,92,0
Culture,Culture and Heritage Department,-,-,-,-,92,0
,Social and Gender Promotion Services,-,-,-,-,92,0
,Construction Works,-,-,-,-,92,0
Sp 1,Social and Gender Department,-,-,-,-,92,0
,Social and Gender Promotion Services,-,-,-,-,92,0
Sp 2,Cultural activities,"83,411,832","6,070,518","77,341,314",7,92,0
,,-,-,-,-,92,0
,"Administration Support Services and con-
struction works","83,411,832","6,070,518","77,341,314",7,92,0
Sp 3,Public Entertainment,"1,025,000","185,000","840,000",18,92,0
,,"1,025,000","185,000","840,000",18,92,0
Sp 4,Liquor Licensing,-,-,-,,92,0
,,-,-,-,,92,0
Sp 5,Cinemas,"153,763,600","112,184,094","41,579,506",73,92,0
,"Administration Support Services and con-
struction works","150,000,000","110,297,094","39,702,906",74,92,0
,"General Administration and Support Ser-
vices","3,763,600","1,887,000","1,876,600",50,92,0
Water,Administration Department,"615,056,361","209,958,242","405,098,119",34,92,0
,Water Services,"615,056,361","209,958,242","405,098,119",34,92,0
,Administration and Support Services,-,-,-,-,92,0
Sp 1,Water Supply Services,"1,466,000,000","496,833,161","969,166,839",34,92,0
,Water Services,"1,466,000,000","496,833,161","969,166,839",34,92,0
Sp 2,,-,-,-,-,92,0
,Crop Production and Irrigation services,-,-,-,-,92,0
,Water Services,-,-,-,-,92,0
Sp 3,,"52,500,000","39,697,200","12,802,800",76,92,0
,Crop Production and Irrigation services,"2,500,000","735,321","1,764,679",29,92,0
,Water Services,"50,000,000","38,961,879","11,038,121",78,92,0
"Lands, Housing And
Urban Devt",Urban Sanitation and Development,"900,000","336,880","563,120",37,92,0
,Town Management Services,"900,000","336,880","563,120",37,92,0
Sp 1,Urban Planning and Disaster Management,"237,770,426","550,900","237,219,526",-,92,0
,Lands And Physical Planning Program,"236,505,800",0,"236,505,800",0,92,0
,Town Management Services,"1,264,626","550,900","713,726",44,92,0
Sp 2,Administration and Services,"287,500,000","175,121,275","112,378,726",61,92,0
,Town Management Services,"287,500,000","175,121,275","112,378,726",61,92,0
Sp 3,,-,-,-,-,92,0
