Programme,Sub - Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
"Curative Health
Services",County health referral hospital,"40,982,446","22,665,676","18,316,770",55.3,394,0
,"Medical/Diagnostic Equip-
ment’s Supplies","258,150,961","28,698,700","229,452,261",11.1,394,0
,,"299,133,407","51,364,376","247,769,031",17.2,394,0
"Administration
Support Services","Administrative and Support
Services","2,017,986,212","1,865,127,310","152,858,902",92.4,394,0
,,"2,017,986,212","1,865,127,310","152,858,902",92.4,394,0
Clinical Services,Clinical Services,"25,507,573",-,"25,507,573",-,394,0
,,"25,507,573",-,"25,507,573",-,394,0
"Health Infrastruc-
ture",Health Infrastructure,"269,627,683","54,225,708","215,401,975",20.1,394,0
,,"269,627,683","54,225,708","215,401,975",20.1,394,0
Basic Education,"Early Childhood Develop-
ment Education","82,404,479","16,000,000","66,404,479",19.4,394,0
,,"82,404,479","16,000,000","66,404,479",19.4,394,0
"Youth Training and
Development",County polytechnic,"93,103,488","80,385,134","12,718,354",86.3,394,0
,Upgrading home-craft,"7,198,965","2,381,823","4,817,142",33.1,394,0
,,"100,302,453","82,766,957","17,535,496",82.5,394,0
"Management and
Development of
Sports and Sports
Facilities",Sports facilities,"74,378,271","65,407,195","8,971,076",87.9,394,0
,,"74,378,271","65,407,195","8,971,076",87.9,394,0
"Administration
Support Services","Administration And Support
Services","689,748,656","649,089,930","40,658,726",94.1,394,0
,,"689,748,656","649,089,930","40,658,726",94.1,394,0
"Early Childhood
Education and
Training",ECDE Infrastructure,"1,932,416","342,298","1,590,118",17.7,394,0
,,"1,932,416","342,298","1,590,118",17.7,394,0
"Social Develop-
ment Services","Social Welfare and Communi-
ty Development","7,888,090","7,894,511","(6,421)",100.1,394,0
,,"7,888,090","7,894,511","(6,421)",100.1,394,0
"Public Finance
Management",Finance services,"440,148,191","420,555,262","19,592,929",95.5,395,0
,Accounts services,"5,383,055","5,376,330","6,725",99.9,395,0
,"Procurement and supply ser-
vices","4,883,228","4,781,027","102,201",97.9,395,0
,internal audit services,"6,599,800","6,027,270","572,530",91.3,395,0
,,"457,014,274","436,739,889","20,274,385",95.6,395,0
"County Planning
and Economic Pol-
icy","Budget and Economic Affairs
services","38,907,200","35,546,275","3,360,925",91.4,395,0
,"Central planning and M&E
services","683,014,946","521,792,161","161,222,785",76.4,395,0
,,"721,922,146","557,338,436","164,583,710",77.2,395,0
"Human Resource
Management and
Development",Training and Development,"1,293,720",-,"1,293,720",-,395,0
,Employee support services,"2,138,472","1,069,236","1,069,236",50.0,395,0
,,"3,432,192","1,069,236","2,362,956",31.2,395,0
"County Gover-
nance Support Ser-
vices",Research and Surveys,"9,880,036","8,874,841","1,005,195",89.8,395,0
,Legal Services,"7,988,000","1,527,196","6,460,804",19.1,395,0
,,"17,868,036","10,402,037","7,465,999",58.2,395,0
Service Delivery,Registry,"5,028,386","3,027,262","2,001,124",60.2,395,0
,,"5,028,386","3,027,262","2,001,124",60.2,395,0
"Administration
and Support Ser-
vices","Administration And Support
Services","805,157,883","766,839,507","38,318,376",95.2,395,0
,,"805,157,883","766,839,507","38,318,376",95.2,395,0
"Kenya Devolu-
tion Support Pro-
gramme",Kenya Devolution Support,"79,993,473","33,085,950","46,907,523",41.4,395,0
,,"79,993,473","33,085,950","46,907,523",41.4,395,0
"Water Supply ser-
vices",Drilling of boreholes,"127,052,744","114,754,037","12,298,707",90.3,395,0
,Community water supplies,"80,205,076","69,994,064","10,211,013",87.3,395,0
,"Dams and Water Pans Ser-
vices","21,146,799","14,589,271","6,557,528",69.0,395,0
,,"228,404,619","199,337,371","29,067,248",87.3,395,0
"Environmental
Management and
Protection","protection of water catchment
areas","14,453,843","7,377,270","7,076,573",51.0,395,0
,waste collection and disposal,"115,381,941","53,206,392","62,175,549",46.1,395,0
,,"129,835,784","60,583,662","69,252,122",46.7,395,0
"Rural Electrifica-
tion","electrification of public insti-
tution","75,777,800","630,000","75,147,800",0.8,395,0
,,"75,777,800","630,000","75,147,800",0.8,395,0
,Water Supply Development,"271,946,861","235,220,533","36,726,328",86.5,395,0
,,"271,946,861","235,220,533","36,726,328",86.5,395,0
,"Waste management and Dis-
posal","56,641,100","4,542,558","52,098,542",8.0,395,0
,,"56,641,100","4,542,558","52,098,542",8.0,395,0
,Grand Total,"11,567,607,793","8,120,236,285","3,447,371,508",70.2,395,0
