Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
,"Personnel Services
(0502023060)","412,904,483","398,389,262","14,515,221",96.5,191,0
,"Scholarship And Bursary
(0504013060)","440,000,000","440,000,000",-,100,192,0
,"Administration Plan-
ning Support Service
(0502013060)","587,559,127","369,692,866","217,866,261",62.9,192,0
,"Infrastructure Develop-
ment (0503023060) And
(0501043060)","575,887,131","212,343,089","363,544,042",36.9,192,0
,"Youth Training Develop-
ment( 0503013060)","15,170,000","7,024,055","8,145,945",46.3,192,0
,"Early Childhood Develop-
ment (0501013060)","62,372,000","19,210,889","43,161,111",30.8,192,0
,Total,"2,093,892,741","1,446,660,161","647,232,580",69.1,192,0
Water Services,,,,,,192,0
,"Construction & Maintenance
Of Water Pipeline Supply
Systems (1001023060)","110,637,280","72,735,425","37,901,855",65.7,192,0
,"Development Of Bore-
hole Water Supply System
(1001033060)","109,775,085","32,983,102","76,791,983",30.1,192,0
,"Development/Construction
Of Surface Water Supply
Systems ( 1001043060)","173,926,520","123,648,622","50,277,898",71.1,192,0
,"Community Water Project (
1001063060)","49,418,099","25,652,096","23,766,003",51.9,192,0
,"Personnel Services
(1002013060)","27,255,693","27,225,737","29,956",99.9,192,0
,"Administration Services
(1002023060)","1,404,274,240","592,070,215","812,204,025",42.2,192,0
,Total,"1,875,286,917","874,315,197","1,000,971,720",46.6,192,0
Roads And Public Works,,,,,,192,0
,"Administration Services
(0305023060)","484,661,583","397,084,486","87,577,097",81.9,192,0
,"Rehabilitations Of Roads,
Drainage And Bridges
(0202013060)","835,746,378","217,220,526","618,525,852",26,192,0
,"Personnel Services
(0305013060)","72,298,371","71,125,945","1,172,426",98.4,192,0
,"Installation Of Street Light-
ing Facilities (0203013060)","48,588,000","22,682,162","25,905,838",46.7,192,0
,Total,"1,441,294,332","708,113,119","733,181,212",49.1,192,0
Tourism And Ict,,,,,,192,0
,"Personnel Services
{0305013060}","24,017,285","22,895,940","1,121,345",95.3,192,0
,"Administration Services
{0305023060}","41,653,188","25,132,780","16,520,408",60.3,192,0
,"Local Area Network In-
stallation And Ict Support
{0308013060}","43,417,272","39,829,258","3,588,014",91.7,192,0
,"Tourism Promotion
{0304013060}","36,983,115","37,467,307","(484,192)",101.3,192,0
,Total,"146,070,860","125,325,285","20,745,575",85.8,192,0
County Public Service Board,,,,,,192,0
,"Human Resource Planning
(706013060)","15,911,156","11,935,310","3,975,846",75,192,0
,"Transformation Of Service
Delivery In Public Service
(706023060)","2,172,000","1,385,590","786,410",63.8,192,0
