Sub- Programme,col_1,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
"Kenya Devolution Sup-
port Programme","Key Result Area1: Public Fi-
nance Management","3,600,000",-,"3,600,000",-,249,0
,"Key Result Area2: Planning ,
Monitoring And Evaluation","6,900,000",-,"3,600,000",-,250,0
,"Key Result Area3: Performance
Contracting And Human Re-
sources Management","10,800,000",-,"6,900,000",-,250,0
,"Key Result Area4: Civic Educa-
tion And Public Participation","5,100,000",-,"6,900,000",-,250,0
,"Key Result Area5: Environment
And Social Safeguard","3,600,000",-,"10,800,000",-,250,0
,Sub total,"30,000,000",-,"31,800,000",-,250,0
"Information Communi-
cation Technology (Gen-
eral Administration and
Support Services)","General Administration Ser-
vices","27,133,252","23,314,699","3,818,553",85.9,250,0
,Sub total,"27,133,252","23,314,699","3,818,553",85.9,250,0
"Governance and Execu-
tive Management",Citizen Delivery services,"132,000,000","16,356,351","132,000,000",12.4,250,0
,"(Coordination of Devolved Min-
istries and Departments) Pend-
ing bills","10,000,000",,"384,000",-,250,0
,Sub total,"142,000,000","16,356,351","132,384,000",11.5,250,0
"Information Communi-
cation And Technology
Development","ICT Infrastructure And Connec-
tivity (Networking)","25,000,000","8,100,000","25,000,000",32.4,250,0
,Sub total,"25,000,000","8,100,000","25,000,000",32.4,250,0
,,,,,,250,0
"General Administration
and Support Services","General Administration and Sup-
port Services","683,436,600","603,648,120","79,788,480",88.3,250,0
,Sub total,"683,436,600","603,648,120","79,788,480",88.3,250,0
"Human Capital Manage-
ment And Development",Human Capital Strategy,"2,000,000","1,559,300","440,700",78.0,250,0
,"Information And Records Man-
agement","570,000","483,660","86,340",84.9,250,0
,Sub total,"2,570,000","2,042,960","527,040",79.5,250,0
"Sub County Administra-
tion Services","Devolved units Development
services","10,000,000","7,983,859","2,016,141",79.8,250,0
,Sub total,"10,000,000","7,983,859","2,016,141",79.8,250,0
"Civic Education And
Public Participation",Civic Education,"4,000,000","3,534,764","465,236",88.4,250,0
,Sub total,"4,000,000","3,534,764","465,236",88.4,250,0
"County Security and
Compliance Enforce-
ment Services","Support and Administration Ser-
vices","3,240,000","2,644,148","595,852",81.6,250,0
,Sub total,"3,240,000","2,644,148","595,852",81.6,250,0
"Public service Board
(General Administration
and Support Services)","General Administration and Sup-
port Services","39,908,120","16,026,003","23,882,118",40.2,250,0
,Sub total,"39,908,120","16,026,003","23,882,118",40.2,250,0
"Human Capital Manage-
ment And Development",Human Capital Strategy,"3,570,000","2,796,737","773,263",78.3,250,0
,Public Service Board Services,"3,730,000","3,572,132","157,868",95.8,251,0
,"Information And Records Man-
agement","1,600,000","770,218","829,782",48.1,251,0
,Sub total,"8,900,000","7,139,087","1,760,913",80.2,251,0
"General Administration
and Support Services(
development)","Construction/Renovation of
Sub-County/Ward Admin. Of-
fices","23,000,000",-,"23,000,000",-,251,0
,Sub total,"23,000,000",-,"23,000,000",-,251,0
"Sub County Administra-
tion Services","Devolved units Development
services (Pending Bill (DE-
VELOPMENT)","40,604,036","21,162,208","37,266,006",52.1,251,0
,Sub total,"40,604,036","21,162,208","37,266,006",52.1,251,0
,,,,,,251,0
"General Administration
and supportive Servic-
es(Education)",General Administration Services,"169,110,498","203,100,884","(33,990,386)",120.1,251,0
,Sub total,"169,110,498","203,100,884","(33,990,386)",120.1,251,0
"Education Support Ser-
vices",Bursary And Scholarship,"167,856,780","146,755,980","21,100,800",87.4,251,0
,Sub total,"167,856,780","146,755,980","21,100,800",87.4,251,0
