Programme,Sub-Programme,"Approved
Estimates FY
2019/20 (Kshs.)","Expenditure
(Kshs.)",Variance (Kshs.),"Implementation Sta-
tus (% Total Expen-
diture to Approved
Estimates)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,312,0
Department: Governor's Office,,,,,,312,0
"General Administration and
Support Services","General administration
support services","281,131,032","278,377,683","2,753,348",99,312,0
,"Policy development and
support services","205,397,655","187,011,230","18,386,424",91.1,312,0
,Sub-Total,"486,528,687","465,388,914","21,139,773",95.7,312,0
Department: Finance And Economic Planning,,,,,,312,0
"Information and Communi-
cation Technology Services","Information and commu-
nication services","2,700,000","1,699,300","1,000,700",62.9,312,0
,"ICT infrastructural ser-
vices","25,576,617","24,085,080","1,491,537",94.2,312,0
"General Administration and
Support Services","General administration
support services","348,090,923","327,338,551","20,752,372",94,312,0
,"Policy development and
support services","11,591,550","11,487,440","104,110",99.1,312,0
,"Supply chain manage-
ment","18,785,600","18,401,750","383,850",98,312,0
"Economic Planning, Budget-
ing and Coordination Ser-
vices","Economic planning and
coordination","70,884,640","38,152,120","32,732,520",53.8,312,0
,"Budget formulation and
management","173,393,000","170,543,670","2,849,330",98.4,312,0
"County Financial Manage-
ment and Control",Audit services,"12,071,280","10,293,780","1,777,500",85.3,312,0
Resource Mobilization,"internal Resource mobi-
lization","15,524,022","13,769,033","1,754,989",88.7,312,0
,Sub-Total,"678,617,632","615,770,724","62,846,908",90.7,312,0
"Department: Agriculture, Livestock And Fisheries",,,,,,312,0
"Policy Planning, General
Administration and Support
Services","General administration
and support services","156,077,209","155,082,030","995,179",99.4,312,0
,Policy and planning,"8,546,114","8,403,910","142,204",98.3,312,0
"Crop, Agribusiness and Land
Management Services","Crop Development Ser-
vices","416,939,866","195,878,769","221,061,097",47,312,0
,Agribusiness,"44,156,331","22,631,027","21,525,304",51.2,312,0
"Fisheries Development and
Promotion Services","Aquaculture Promotion
Services","3,372,000","2,771,483","600,517",82.2,312,0
"Livestock Promotion and
Development","Livestock Products Val-
ue Addition and Market-
ing","20,258,950","15,780,325","4,478,626",77.9,312,0
,"Animal Health Disease
and Management","1,900,000","1,411,000","489,000",74.3,312,0
,Sub-Total,"651,250,470","401,958,543","249,291,927",61.7,312,0
"Department: Environment, Water, Mining & Natural Resources",,,,,,312,0
"Policy Planning, General
Administration and Support
Services","General administration
and support services","57,111,604","56,645,493","466,111",99.2,312,0
,Policy and planning,"3,818,670","3,667,750","150,920",96.1,312,0
"Energy and Mineral Resourc-
es Services","Other energy sources
promotion","47,903,100","36,725,478","11,177,622",76.7,312,0
,,A,B,C=A-B,D=B/A*100,313,0
"Water Supply and Manage-
ment Services","Major towns water ser-
vices","2,980,000","372,000.00","2,608,000",12.5,313,0
,Rural water services,"80,696,097","33,620,929","47,075,168",41.7,313,0
"Environmental Protection
and Management Services","Pollution and waste man-
agement","7,483,996","5,262,356","2,221,640",70.3,313,0
,Agroforestry promotion,"15,150,000","12,313,895","2,836,105",81.1,313,0
,Sub-Total,"215,143,467","148,607,901","66,535,566",69.1,313,0
Department: Education & Vocational Training,,,,,,313,0
"General Administration, Pol-
icy Planning and Support
Services",General administration,"42,157,493","41,025,553","1,131,940",97.3,313,0
,Planning policy,"2,879,265","2,511,450","367,815",87.2,313,0
"ECDE and CCC Develop-
ment Services","ECDE and CCC man-
agement services","356,882,275","351,281,963","5,600,312",98.4,313,0
"Vocational Development and
Training Services","Vocational management
services","327,893,382","260,349,782","67,543,600",79.4,313,0
,Sub-Total,"729,812,415","655,168,748","74,643,667",89.8,313,0
Department: Health Services,,,,,,313,0
"Preventive and Promotive
Health Services",Health Promotion,"425,022,327","422,241,760","2,780,567",99.4,313,0
,"Communicable Disease
Control","162,021,613","111,304,813","50,716,800",68.7,313,0
"General Administration,
Planning and Support Ser-
vices","Administration support
services","177,301,155","168,145,685","9,155,470",94.8,313,0
Curative Health Services,Medical services,"1,088,525,247","1,068,758,068","19,767,179",98.2,313,0
,"Facility infrastructural
services","38,655,000","30,503,578","8,151,422",78.9,313,0
,Sub-Total,"1,891,525,342","1,800,953,904","90,571,439",95.2,313,0
"Department: Land, Housing, Physical Planning & Urban Development",,,,,,313,0
"Policy Planning, General
Administration and Support
Services","General administration
and support services","66,045,731","63,744,599","2,301,131",96.5,313,0
,Policy and planning,"3,572,400","3,021,900","550,500",84.6,313,0
"Physical Planning and Sur-
veying Services",Physical Planning,"19,441,632","4,000,475","15,441,157",20.6,313,0
,Surveying services,"5,915,000","5,889,500.","25,500",99.6,313,0
"Housing Improvement De-
velopment","Housing Improvement
Services","127,730,329","127,619,037","111,293",99.9,313,0
"Management and Develop-
ment of Towns","Town Management and
Coordination","24,622,168","8,443,036","16,179,132",34.3,313,0
,Sub-Total,"247,327,260","212,718,547","34,608,712",86,313,0
"Department: Transport, Roads And Public Works",,,,,,313,0
"General Administration,
Planning and Support Ser-
vices","Administration and sup-
port services","87,829,966","86,037,693","1,792,273",98,313,0
,Policy and planning,"2,210,853","1,641,837","569,016",74.3,313,0
"Roads Development and
Management","Construction of roads
and bridges","142,502,698","118,810,579","23,692,119",83.4,313,0
,"Rehabilitation and main-
tenance of Roads","317,612,187","221,993,096","95,619,091",69.9,313,0
,Sub-Total,"550,155,704","428,483,205","121,672,499",77.9,313,0
"Department: Trade, Tourism, Industrialization & Cooperatives Development",,,,,,313,0
"Policy Planning, General
Administration and Support
Services","General administration
and support services","33,458,944","32,994,540","464,404",98.6,313,0
,"Policy and planning ser-
vices","2,507,706","2,287,674","220,033",91.2,313,0
"Trade, Cooperative and In-
vestment Development and
Promotion",Cooperative promotion,"8,575,807","7,221,770","1,354,037",84.2,313,0
,Trade promotion,"40,909,447","17,015,363","23,894,084",41.4,313,0
,,A,B,C=A-B,D=B/A*100,314,0
"Tourism Development and
Promotion","Tourism promotion and
management","1,445,025","1,325,897","119,128",91.8,314,0
,Sub-Total,"86,896,929","60,845,244","26,051,686",70,314,0
"Department: Youths, Sports, Gender, Culture & Social Services",,,,,,314,0
"General Administration and
Support Services","General administration
support services","42,192,130","41,414,329","777,801",98.2,314,0
,"Policy development and
support services","3,066,000","2,835,100","230,900",92.5,314,0
"Promotion and Management
of Sports","Community Develop-
ment","56,713,224","57,611,573","(898,349)",101.6,314,0
,"Cultural promotion her-
itage","17,942,724","15,519,850","2,422,874",86.5,314,0
,Sub-Total,"119,914,078","117,380,851","2,533,227",97.9,314,0
Department: Public Service Board,,,,,,314,0
"Policy Planning, General
Administration and Support
Services","General administration
and support services","45,828,733","44,037,599","1,791,134",96.1,314,0
,Policy and planning,"6,818,196","5,426,420","1,391,776",79.6,314,0
,Sub-Total,"52,646,929","49,464,019","3,182,910",94,314,0
Department: Public Service Management,,,,,,314,0
"Policy Planning, General
Administration and Support
Services","General administration
and support services","270,909,971","270,403,273","506,698",99.8,314,0
,Policy and planning,"7,084,300","6,404,360","679,940",90.4,314,0
"General Administration and
Support Services",Communication services,"1,167,000","1,027,200","139,800",88,314,0
"Coordination, Strategy and
Human Resource Services","Field coordination and
administration","2,167,500","1,949,444","218,056",89.9,314,0
,"Strategy and Advisory
Services","600,000","574,008","25,992",95.7,314,0
,"Human resource man-
agement","3,896,000","3,595,248","300,752",92.3,314,0
,"Human resource devel-
opment","2,075,968","1,987,700","88,268",95.8,314,0
,Sub-Total,"287,900,739","285,941,233","1,959,506",99.3,314,0
Department: Municipality,,,,,,314,0
"General Administration and
Support Services","General administration
and support services","291,149,600","62,148,091","229,001,509",21.4,314,0
,Sub-Total,"291,149,600","62,148,091","229,001,509",21.4,314,0
Department: County Assembly,,,,,,314,0
Legislation and Oversight,"Policy Planning, General
Administration and Sup-
port Services","270,657,583","270,657,583",-,100,314,0
