Vote Code Title,Programme Code And Title,"Revised 2019/2020
FY Budget",Actual Expenditure,Variance,"Absorption
(%)",page_number,table_index
,,Kshs.,Kshs.,Kshs.,,276,0
"5311000000 County Pub-
lic Service Board","0701000 P1 General Adminis-
tration Planning And Support
Services","52,214,502","30,061,676","22,152,826",57.6,276,0
,"0701010 Sp.1.1 General Admin-
istration Planning And Support
Services","52,214,502","30,061,676","22,152,826",57.6,276,0
,"Total 5311000000 County
Public Service Board","52,214,502","30,061,676","22,152,826",57.6,276,0
"5312000000 Office Of
Governor & Deputy
Governor","0718005310 General Adminis-
trative Services","2,676,431,199","2,242,653,094","433,778,105",83.8,276,0
,"0718015310 Sp1 General Ad-
ministration & Support Services","429,153,312","355,377,149","73,776,163",82.8,276,0
,"0718025310 Sp2 Sub County
Administration","1,921,052,981","1,649,661,293","271,391,688",85.9,276,0
,"0718075310 Sp7 County Ex-
ecutive","234,623,965","181,689,644","52,934,321",77.4,276,0
,0718095310 Sp9 Audit,"91,600,941","55,925,009","35,675,932",61.1,276,0
,"0724005310 P 24 Security And
Safety Management","2,022,084,878","1,748,036,267","274,048,611",86.4,276,0
,0724055310 Inspectorate,"1,961,082,477","1,693,227,760","267,854,717",86.3,276,0
,"0724015310 Sp 24.1 Investiga-
tive Services","61,002,401","54,808,507","6,193,894",89.8,276,0
,"P; 0726005310:Disaster Man-
agement Coordination","500,687,547","174,024,276","326,663,271",34.8,276,0
,"072601510: Fire & Disaster
Management","500,687,547","174,024,276","326,663,271",34.8,276,0
,"0725005310 P 25 Management
Of Legal Affairs","629,255,142","605,440,391","23,814,751",96.2,276,0
,"0725015310 Sp 25.1 Legal
Services","629,255,142","605,440,391","23,814,751",96.2,276,0
,"Total 5312000000 Office Of
Governor & Deputy Governor","5,828,458,766","4,770,154,029","1,058,304,737",81.8,276,0
"5313000000 Ict, E-Govt &
Public Communications","0207000 P1: General Adminis-
tration Planning And Support
Services","99,890,049","82,791,953","17,098,097",82.9,276,0
,"0207010 Sp 1: General Admin-
istration, Planning And Support
Services","99,890,049","82,791,953","17,098,097",82.9,276,0
,"0208000 P2: Information And
Communication Services","353,976,473","25,672,072","328,304,400",7.3,276,0
,"0208010 Sp 2.1: News And
Information Services","64,250,000","22,123,737","42,126,263",34.4,276,0
