Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
The Executive Office,,,,,,408,1
"0701003360 P1 County
Executive Services","0701003360 P1 County Ex-
ecutive Services","471,877,059","462,653,460","9,223,599",98.0,408,1
,Sub total,"471,877,059","462,653,460","9,223,599",98.0,408,1
The County Assembly,,,,,,408,1
"General admin & support
services(0701003710)","0715003360 P15 County
Legislative Services","760,194,403","689,909,182","70,285,221",90.8,408,1
,"Construction of Non-resi-
dential","30,000,000",,,-,408,1
,Sub total,"790,194,403","689,909,182","100,285,221",87.3,408,1
"Finance And Economic
Planning",,,,,,408,1
"0701003360 P1Kenya
Devolution Support pro-
gramme","0701003360 P1Kenya
Devolution Support pro-
gramme","142,000,000","130,000,000","12,000,000",91.5,408,1
"0707003360 P7 Public Fi-
nance Management","0707003360 P7 Public Fi-
nance Management","26,428,123","11,813,899","14,614,224",44.7,408,1
"0708003360 P8 Economic
Planning Services","0708003360 P8 Economic
Planning Services","14,455,600","9,099,000","5,356,600",62.9,408,1
"0717003360 P17 General
Administration and Sup-
port Services","0717003360 P17 General
Administration and Support
Services","598,587,221","533,568,050","65,019,171",89.1,408,1
,Sub total,"781,470,944","714,406,120","96,989,995",91.4,408,1
"Roads Transport And
Public Works",,,,,,408,1
"0201003360 P1 Road
Transport Services","0201003360 P1 Road
Transport Services","1,016,469,688","856,321,615","160,148,073",84.2,409,0
"0202003360 P2 Public
Works and Transport Ser-
vices","0202003360 P2 Public
Works and Transport Ser-
vices","227,390,000","86,675,210","140,714,790",38.1,409,0
"0208003360 P8 General
Administration and Sup-
port Services","0208003360 P8 General
Administration and Support
Services","78,732,455","78,732,455",-,100.0,409,0
,Sub total,"1,322,592,143","1,021,729,280","300,862,863",77.3,409,0
"Agriculture And Live-
stock Development",,,,,,409,0
1001003360 P1,"1001003360 P1 ,General
Administration","180,687,333","178,534,822","2,152,511",98.8,409,0
1001003361 P2,"Livestock Resource man-
agement","57,588,600","57,588,600",-,100.0,409,0
1001003360 P3,Veterinary Support Services,"22,900,000","22,900,000",-,100.0,409,0
1001003360 P4,"Crop Development and
Management","27,658,600","27,658,600",-,100.0,409,0
1001003360 P5,"Fisheries Development and
Management","12,128,027","12,128,027",-,100.0,409,0
1001003360 P6,"Irrigation Management Ser-
vice","236,734,115","46,474,262","190,259,853",19.6,409,0
1001003360 P7,"Kenya Climate Smart Agri-
culture","175,020,320","175,020,320",-,100.0,409,0
1001003360 P8,"Agriculture Sector Devel-
opment support prog","26,574,387","26,574,387",-,100.0,409,0
1001003360 P9,"Agriculture Sector Devel-
opment support prog",,,,,409,0
,Sub total,"739,291,382","546,879,018","192,412,364",74.0,409,0
"Public Health , Medical
Service And Sanitation",,,,,,409,0
"0401003360 P1 Curative,
Rehabilitative and Referral
Services","0401003360 P1 Curative,
Rehabilitative and Referral
Services","392,142,699","357,104,895","35,037,804",91.1,409,0
"0402003360 P2 Preventive
and promotive services","0402003360 P2 Preventive
and promotive services","291,607,699","291,607,699",,100.0,409,0
0406003360 P6 RMNCH,0406003360 P6 RMNCH,"425,764,756","417,829,285","7,935,471",98.1,409,0
"0407003360 P7 TB & HIV-
AIDS","0407003360 P7 TB & HIV-
AIDS","11,168,000","11,168,000",,100.0,409,0
"0408003360 P8 Health Re-
search Services","0408003360 P8 Health Re-
search Services","9,596,000","9,596,000",,100.0,409,0
"0403003360 P3 General
Administration and Sup-
port Services","0403003360 P3 General
Administration and Support
Services","1,474,822,531","1,447,689,624","27,132,907",98.2,409,0
,Sub total,"2,605,101,685","2,534,995,503","70,106,182",97.3,409,0
Water,,,,,,409,0
"1001003360 P1 Water Ser-
vices","1001003360 P1 Water Ser-
vices","1,145,050,885","1,145,050,885",-,100.0,409,0
,,,,,,409,0
,Sub total,"1,145,050,885","1,145,050,885",-,100.0,409,0
"Energy , Environment &
Natural Resources",,,,,,409,0
"0206003360 P6 Energy
Services","0206003360 P6 Energy
Services","16,938,100",-,"16,938,100",-,409,0
"0207003360 P7 Environ-
ment & Natural Resource
Services","0207003360 P7 Environ-
ment & Natural Resource
Services","234,595,050","158,710,100","75,884,950",67.7,409,0
"1002003360 P2 General
Administration and Sup-
port Services","1002003360 P2 General
Administration and Support
Services","53,970,224","49,350,480","4,619,744",91.4,409,0
"1004003360 P4 Wildlife
and Tourism","1004003360 P4 Wildlife
and Tourism","27,722,800",-,-,-,410,0
,Sub total,"333,226,174","208,060,580","97,442,794",62.4,410,0
"Public Services, Special
Program And Natural
Resources",,,,,,410,0
"0210003360 P10 Public
Participation Services","0210003360 P10 Public
Participation Services","31,700,000","5,000,000","26,700,000",15.8,410,0
"0701003360 P1 County
Executive Services","0701003360 P1 County Ex-
ecutive Services","1,270,000",-,"1,270,000",-,410,0
"662,752,2970704003360
P4 Human Resources Man-
agement and decentralized
services","662,752,2970704003360
P4 Human Resources Man-
agement and decentralized
services","536,118,297","516,811,308","19,306,989",96.4,410,0
"0716003360 P16 Special
Programs","0716003360 P16 Special
Programs","215,510,000","114,077,015","101,432,985",52.9,410,0
"0713003360 P13 Environ-
ment, Beautification and
Sanitation services","0713003360 P13 Environ-
ment, Beautification and
Sanitation services","15,484,000",-,"15,484,000",-,410,0
"0714003360 P14 Engi-
neering, Maintenance and
Physical infrastructure ser-
vices","0714003360 P14 Engineer-
ing, Maintenance and Phys-
ical infrastructure services","18,500,000","17,000,000","1,500,000",91.9,410,0
"0720003360 P20 Service
Delivery and Performance
Management","0720003360 P20 Service
Delivery and Performance
Management","5,400,000",-,"5,400,000",-,410,0
"0721003360 P21 Gover-
nance and Ethics","0721003360 P21 Gover-
nance and Ethics","1,870,000",-,"1,870,000",-,410,0
,Sub total,"825,852,297","652,888,323","172,963,974",79.1,410,0
"Education , Youth ,Gen-
der And Social Service",,,,,,410,0
"0501003360 P1 Sports pro-
motion and development","0501003360 P1 Sports pro-
motion and development","80,108,700","36,838,088","80,108,700",46.0,410,0
"0502003360 P2 Early
Childhood Education De-
velopment Services","0502003360 P2 Early
Childhood Education De-
velopment Services","178,178,275","178,178,275",-,100.0,410,0
"0503003360 P3 Gender,
Culture and Social services","0503003360 P3 Gender,
Culture and Social services","85,251,000",-,"85,251,000",,410,0
"0504003360 P4 Youth
polytechnics","0504003360 P4 Youth poly-
technics","31,289,797","9,451,649","21,838,148",30.2,410,0
"0507003360 P6 School
Support and Development
Services","0507003360 P6 School
Support and Development
Services","116,000,000","116,000,000",-,100.0,410,0
