Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Pay-
ments (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
4810,,-,"486,793,877","(486,793,877)",-,127,0
,"Default - Non-Program-
matic",-,"486,793,877","(486,793,877)",-,127,0
"Livestock Resource Management And
Development",,"138,752,962","100,343,065","38,409,897",72.3,127,0
,"Livestock resource
management and Devel-
opment","82,121,280","59,013,052","23,108,228",71.9,127,0
,"Livestock Value Chains
Development","5,000,000","1,718,571","3,281,429",34.4,127,0
,"Livestock disease and
pest prevention","30,631,682","14,041,143","16,590,539",45.8,127,0
,"Livestock Market infra-
structure Improvement","21,000,000","25,570,299","(4,570,299)",121.8,127,0
Fisheries Development,,"31,836,052","33,043,661","(1,207,609)",103.8,127,0
,Fisheries development,-,-,-,-,127,0
,"Promotion of Fish
Farming","31,836,052","33,043,661","(1,207,609)",103.8,127,0
"Crop Production And Management Ser-
vices",,"848,761,970","452,877,915","395,884,055",53.4,127,0
,"Crop production and
management services","9,500,000","8,079,400","1,420,600",85.0,127,0
,"Horticulture Promotion
and Development","675,794,396","313,830,159","361,964,237",46.4,127,0
,"Farm Input Support and
Subsidies","3,000,000","2,324,800","675,200",77.5,127,0
,"Agricultural Extension
and Research","160,467,574","128,643,556","31,824,018",80.2,127,0
"Administrative, Planning And Support
Services",,,-,-,-,127,0
,"Administrative, plan-
ning and support ser-
vices",-,-,-,-,127,0
Agricultural Training Services,,"6,816,693","3,518,573","3,298,121",51.6,127,0
,"Agricultural training
services","6,816,693","3,518,573","3,298,121",51.6,127,0
,"Agriculture training
Infrastructure develop-
ment",-,-,-,-,127,0
,"Kenya Climate Smart
Agriculture programme",-,-,-,-,127,0
"Cooperative Development And Market-
ing",,"17,512,878","9,043,000","8,469,878",51.6,127,0
,"Cooperative develop-
ment and marketing","17,512,878","9,043,000","8,469,878",51.6,127,0
Land Use Policy And Planning,,"95,925,706","44,189,920","51,735,786",46.1,127,0
,"Land use policy and
planning","68,347,010","24,435,365","43,911,645",35.8,127,0
,"Land Administration
and Planning","16,663,820","12,874,989","3,788,831",77.3,127,0
,Survey Services,"10,914,876","6,879,566","4,035,310",63.0,127,0
Housing Development And Management,,"7,300,520","5,592,867","1,707,653",76.6,127,0
,"Housing development
and management","7,300,520","5,592,867","1,707,653",76.6,128,0
,Slum Upgrading,-,-,-,-,128,0
"Administrative, Planning And Support
Services",,,-,-,-,128,0
,"Administrative, plan-
ning and support ser-
vices",-,-,-,-,128,0
Urban Development Service,,"995,798,169","513,792,507","482,005,662",51.6,128,0
,"Urban Transport man-
agement","843,819,600","395,539,666","448,279,935",46.9,128,0
,"Social Amenities and
Sanitary Services",-,-,-,-,128,0
,"Urban Areas Landscape
Improvement","151,978,569","118,252,841","33,725,728",77.8,128,0
Irrigation And Drainage Development,,"7,559,286","5,102,908","2,456,378",67.5,128,0
,"Small Holder Irrigation
and Drainage","7,559,286","5,102,908","2,456,378",67.5,128,0
"Infrastructure, Roads And Transport
Services",,"1,600,304,250","1,014,796,773","585,507,477",63.4,128,0
,"Infrastructure, roads and
transport services","675,776,173","288,703,065","387,073,108",42.7,128,0
,"Infrastructure Develop-
ment","47,000,000","19,932,057","27,067,943",42.4,128,0
,Road construction,"877,528,077","706,161,651","171,366,426",80.5,128,0
,"Transport System Man-
agement",-,-,-,-,128,0
"Administrative, Planning And Support
Services",,"2,828,972","(2,828,972)",,-,128,0
,"Administrative, plan-
ning and support ser-
vices",-,"2,828,972","(2,828,972)",-,128,0
Energy Reticulation,,"70,000,000","24,265,156","45,734,844",34.7,128,0
,Rural Electrification,"70,000,000","24,265,156","45,734,844",34.7,128,0
Public Works Management,,"36,098,454","32,587,223","3,511,231",90.3,128,0
,"Public works Manage-
ment","36,098,454","32,587,223","3,511,231",90.3,128,0
"Administration, Planning And Support
Services",,"21,958,761","13,216,102","8,742,659",60.2,128,0
,"Administration Support
Services","21,958,761","13,216,102","8,742,659",60.2,128,0
,Quality Assurance,-,-,-,-,128,0
Trade Development And Investment,,"117,800,362","46,677,429","71,122,933",39.6,128,0
,"Modern Market Infra-
structure","117,800,362","46,677,429","71,122,933",39.6,128,0
Tourism Development And Marketing,,"27,836,437","13,340,883","14,495,554",47.9,128,0
,Tourism Promotion,-,-,-,-,128,0
,"Development of Local
Content Niche Tourism","27,836,437","13,340,883","14,495,554",47.9,128,0
