Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Health Services,,,,,,241,0
Preventive and Promotive,Preventive services,"25,652,122","25,652,122",-,100,241,0
Health Care Services,Promotive health care,-,,-,0.0,241,0
,Sub total,,,-,0.0,241,0
Curative Health,Curative health care services,"722,700,419","494,788,513","227,911,906",68.5,241,0
,,,-,-,,241,0
,Sub total,,-,-,,241,0
"General Administration
and Planning","General Administration and
Planning","2,659,875,164","2,661,081,963","(1,206,799)",100.0,241,0
,Sub total,,-,-,,241,0
COVID 19,COVID 19,"50,000,000",-,"50,000,000",0.0,241,0
Office of the Governor,,,,-,,241,0
"Efficiency, Monitoring
and Evaluation","Efficient, Monitoring and Eval-
uation","10,400,000","10,388,698","11,302",99.9,241,0
,"Performance management and
Appraisal","1,000,000","329,060","670,940",32.9,241,0
,Sub Total,,-,-,,241,0
"Communication and
Events",Communication and Events,"26,150,000","26,034,775","115,225",99.6,241,0
"Disaster Management,
Rescue and Emergency","Disaster Management, Rescue
and Emergency","14,200,000","14,199,999",1,100.0,241,0
"Human Resource Manage-
ment",Human Resource Management,"136,800,629","136,800,628",1,100.0,241,0
"General Administration,
Planning and Support Ser-
vices","Administration, Planning and
Support Services","123,024,251","120,589,345","2,434,906",98.0,241,0
"Partnership Development
and External Linkages","Partnership Development and
External Linkages","10,100,728","10,100,728",0,100.0,241,0
"Finance, Economic Plan-
ning and ICT",,,-,-,,241,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services","736,840,744","589,414,532","147,426,213",80.0,241,0
"Public Finance Manage-
ment","Budget Coordination & Man-
agement","26,400,000","20,195,503","6,204,497",76.5,241,0
,Internal Audit,"7,550,000","6,044,074","1,505,926",80.1,241,0
,Procurement Service,"7,300,000","7,257,403","42,597",99.4,241,0
,Sub Total,,-,-,,241,0
ICT Development,ICT Development,"12,339,132","5,513,767","6,825,365",44.7,241,0
"Economic Planning & Co-
ordination Services","Economic Planning & Coordi-
nation Services","13,500,000","9,861,735","3,638,265",73.0,241,0
Fleet Management,Fleet Management,"18,925,000","5,870,029","13,054,971",31.0,241,0
"Agriculture, Livestock
and Fisheries",,,-,-,,241,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services","815,757,184","571,684,516","244,072,668",70.1,241,0
Agriculture Development,Agriculture Development,"22,008,000","18,554,726","3,453,274",84.3,241,0
Aquaculture Development,Aquaculture Development,"7,628,000","6,145,626","1,482,374",80.6,241,0
Livestock Development,Livestock Development,"7,981,000","3,373,105","4,607,895",42.3,241,0
"Animal Disease Manage-
ment",Animal Disease Management,"15,628,000","13,812,724","1,815,276",88.4,242,0
County Owned Enterprise,Agricultural Training Centre,"15,226,400","10,727,831","4,498,569",70.5,242,0
,"Agricultural Mechanization
Services","525,600","290,000","235,600",55.2,242,0
"Education, Technology,
Gender and Social Devel-
opment",,,,-,,242,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services","807,041,929","671,970,897","135,071,032",83.3,242,0
Basic Education,Basic Education,"194,501,646","90,539,144","103,962,502",46.5,242,0
"Technical& Vocational Ed-
ucation & Training","Technical& Vocational Educa-
tion & Training","68,199,983","61,265,651","6,934,332",89.8,242,0
"Gender, Social Develop-
ment & Children Services","Gender, Social Development &
Children Services","36,000,000","25,061,455","10,938,545",69.6,242,0
,,,-,-,,242,0
Water and Irrigation,,,-,-,,242,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services","115,120,000","97,418,475","17,701,525",84.6,242,0
"Water Resource Manage-
ment",Water Resource Management,"156,298,074","123,316,902","32,981,172",78.9,242,0
"Irrigation and drainage In-
frastructure","Irrigation and drainage Infra-
structure",-,-,-,-,242,0
"Lands, Physical Plan-
ning, Urban Develop-
ment and Public Works",,,-,-,-,242,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services","108,702,987","105,240,099","3,462,888",96.8,242,0
Meru Town Municipality,Meru Town Municipality,"310,430,649","95,344,798","215,085,851",30.7,242,0
"Spatial, Planning, Survey
and Mapping","Spatial, Planning, Survey and
Mapping",-,-,-,0.0,242,0
Public Works,Public Works,"127,067,366","89,778,309","37,289,057",70.7,242,0
"Public Service Adminis-
tration and Legal Affairs",,,-,-,,242,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services","52,852,589","43,596,381","9,256,208",82.5,242,0
"Coordination of County
Government Function","Coordination of County Gov-
ernment Function","14,395,000","14,394,994",6,100.0,242,0
"County Enforcement Ser-
vices","County Law Enforcement Ser-
vice","2,530,000","1,816,054","713,946",71.8,242,0
,Conservancy Ranger Service,-,-,-,0.0,242,0
"Human Resource Manage-
ment",Human Resource Management,"820,853,506","736,571,795","84,281,711",89.7,242,0
"Legal Representation and
Advisory Services","Legal Representation and Ad-
visory Services","157,779,879","157,676,525","103,354",99.9,242,0
"Town Management & Ad-
ministration","Town Management & Admin-
istration","11,087,868","9,392,605","1,695,263",84.7,242,0
"Road, Transport and En-
ergy",,,-,-,,242,0
"General Administration,
Planning and Support Ser-
vices","General Administration, Plan-
ning and Support Services","68,879,845","55,071,142","13,808,703",80.0,242,0
"Electrification and Street
Lighting","Electrification and Street
Lighting","32,400,155","21,542,736","10,857,419",66.5,242,0
Road Transport,Road Transport,"1,131,816,728","944,906,219","186,910,509",83.5,242,0
