Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Attorney,"Administration Planning And
Support Services","102,575,000","89,699,872","12,875,128",87.4,151,1
,Sub total,"102,575,000","89,699,872","12,875,128",87.4,151,1
Agriculture,"Administration, Planning and
Support services","629,238,583","442,624,501","186,614,082",70.3,151,1
,Food Sufficiency Initiatives,"52,421,174","38,974,320","13,446,854",74.3,151,1
,"Agribusiness and Information
Management","30,843,467","22,965,602","7,877,865",74.5,151,1
,"Irrigation and Drainage Infra-
structure","114,709,604","91,345,593","23,364,011",79.6,151,1
,Sub total,"827,212,828","595,910,016","231,302,812",72.0,151,1
"Devolution, Public service","Disaster Management & Risk
Management","210,555,500","201,179,178","9,376,322",95.5,151,1
,Public participation,"8,316,700","5,759,673","2,557,027",69.3,151,1
,"Sub-County And Ward Ad-
ministration Services","41,264,376","27,518,162","13,746,215",66.7,151,1
,"Administration, Planning and
Support Services","42,557,700","26,129,275","16,428,425",61.4,151,1
Education,Sub total,"302,694,276","260,586,288","42,107,989",86.1,151,1
,"General administration, plan-
ning and support services","569,709,647","529,140,561","40,569,086",92.9,151,1
,"Early Childhood development
education","371,048,571","201,299,876","169,748,695",54.3,151,1
,Education support services,"354,560,000","324,000,500","30,559,500",91.4,151,1
,"Vocation Education and train-
ing","153,890,899","90,413,956","63,476,943",58.8,151,1
"Environment, Forestry,
Natural Resources &
Wildlife",Sub total,"1,449,209,117","1,144,854,893","304,354,224",79.0,151,1
,"Environment management and
protection","60,290,702","53,185,259","7,105,443",88.2,151,1
,Development,"1,800,000",-,-,-,151,1
Economic Planning,Sub total,"62,090,702","53,185,259","8,905,443",85.7,151,1
,"Administration, Support and
Planning Services","31,129,905","15,623,212","15,506,693",50.2,151,1
,County Fiscal Planning,"35,703,250","3,160,640","32,542,610",8.9,151,1
,"Statistical Information ser-
vices /Monitoring","21,623,377","13,622,526","8,000,851",63.0,151,1
Finance,Sub total,"88,456,532","32,406,378","56,050,154",36.6,152,0
,"Administration, Support and
Planning Services","549,605,912","461,802,753","87,803,159",84.0,152,0
,"Budget Formulation, Coordi-
nation and Management","42,614,288","22,021,291","20,592,997",51.7,152,0
,Audit Service,"12,261,000","3,535,463","8,725,537",28.8,152,0
,Accounting Services,"15,160,700","8,655,506","6,505,194",57.1,152,0
,Supply Chain Management,"9,435,000","2,617,105","6,817,895",27.7,152,0
,"Resource Mobilization & Rev-
enue Management","64,988,457","42,045,868","22,942,589",64.7,152,0
,Development,"159,428,943","5,960,854","153,468,089",3.7,152,0
"Gender, Culture & Social
Services",Sub total,"853,494,300","540,677,986","312,816,314",63.3,152,0
,"Development Planning and
Land Reforms","10,020,000","1,420,000","8,600,000",14.2,152,0
,"Betting Control and Lottery
Policy Services","40,519,500","39,546,773","972,727",97.6,152,0
,Gender Mainstreaming,"72,583,440","76,600,145","(4,016,705)",105.5,152,0
,"Development and Manage-
ment of Sports Facilities","23,040,000","18,659,524","4,380,476",81.0,152,0
,Conservation and Heritage,"78,945,848","84,044,814","(5,098,966)",106.5,152,0
,"General Administration, Plan-
ning and Support Services","153,098,245","88,040,445","65,057,800",57.5,152,0
Medical Services,Sub total,"378,207,033","308,311,701","69,895,332",81.5,152,0
,Gen Medical Services,"2,000,000,000","1,993,894,769","6,105,231",99.7,152,0
,Gen Public Service,"1,070,544,550","447,158,076","623,386,474",41.8,152,0
,Development,"560,768,227","286,075,912","274,692,315",51.0,152,0
Lands & Energy,Sub total,"3,631,312,777","2,727,128,756","904,184,021",75.1,152,0
,"General Administration Plan-
ning and Support services","107,779,927","95,460,793","12,319,134",88.6,152,0
,Land policy and planning,"99,924,283","62,082,508","37,841,775",62.1,152,0
,"Alternative Energy Technolo-
gies","117,280,252","65,624,890","51,655,362",56.0,152,0
Livestock,Sub total,"324,984,462","223,168,191","101,816,271",68.7,152,0
,"Administration, Planning and
Support services","8,800,764","7,146,466","1,654,298",81.2,152,0
,"Livestock Production and
Management","106,005,022","78,747,290","27,257,732",74.3,152,0
,"Livestock Value Addition and
Marketing","5,400,000","7,453,207","(2,053,207)",138.0,152,0
,"Food Safety and Animal Prod-
ucts Development","4,005,000","4,081,170","(76,170)",101.9,152,0
,"Livestock Disease Manage-
ment and Control","39,951,667","26,109,709","13,841,958",65.4,152,0
Office of the Governor,Sub total,"164,162,453","123,537,842","40,624,611",75.3,152,0
,Intergovernmental relations,"21,000,000","18,393,921","2,606,079",87.6,152,0
,"Administration, planning and
support services","352,849,648","304,330,421","48,519,227",86.2,152,0
County Assembly,Sub total,"373,849,648","322,724,342","51,125,306",86.3,152,0
,General administration,"803,455,640","802,450,180","1,005,460",99.9,152,0
,Development,"200,000,000","160,046,925","39,953,076",80.0,152,0
Roads & Public Works,Sub total,"1,003,455,640","962,497,105","40,958,536",95.9,152,0
,"General administration, plan-
ning and support services","346,588,322","331,974,538","14,613,784",95.8,152,0
,Road Transport,"1,336,477,382","1,260,594,036","75,883,346",94.3,152,0
Trade & Tourism,Sub total,"1,683,065,704","1,592,568,574","90,497,130",94.6,152,0
,"General Administration, Plan-
ning and Support services","160,963,075","109,943,181","51,019,894",68.3,152,0
,"Trade Development and Pro-
motion","225,250,055","218,268,319","6,981,736",96.9,152,0
,"Co-operative Development
and Promotion","27,478,850","25,509,757","1,969,093",92.8,152,0
