Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Expenditure
(Kshs.)",Variance (Kshs.),"Implementation
Status (%",page_number,table_index
,,A,B,C=A-B,D=B/A*100,136,1
Governor's Office,,,,,,136,1
"County Coordination
Services",County Coordination Services,"142,296,799","142,038,064","258,736",99.8,136,1
"Public Sector Advi-
sory Services","Economic and Social Advisory
Service","23,432,859","23,041,351","391,508",98.3,136,1
Sub Total,,"165,729,658","165,079,415","650,244",99.6,136,1
Finance And Economic Planning,,,,,,136,1
"Administration, Plan-
ning And Support
Services.",Administration Services.,"568,782,744","544,331,724","24,451,020",95.7,136,1
"Administration, Plan-
ning And Support
Services.","Monitoring Budget Implementa-
tion and Reporting","20,678,041","18,756,240","1,921,801",90.7,136,1
"Public Finance Man-
agement","Budget Formulation Coordina-
tion and management","36,607,709","35,146,729","1,460,980",96.0,136,1
Audit Services,County Audit,"8,346,980","6,971,157","1,375,823",83.5,136,1
Subtotal,,"634,415,474","605,205,850","29,209,624",95.4,136,1
"Agriculture, Livestock And Fisheries",,,,,,136,1
"Policy, Strategy And
Management Of Ag-
riculture","Development of Agricultur-
al Policy, Legal & Regulatory
framework.","38,250,822","31,332,327","6,918,495",81.9,136,1
"Crop Development
And Management",Agriculture Extension Services,"366,480,960","110,949,477","255,531,483",30.2,136,1
,,A,B,C=A-B,D=B/A*100,137,0
"Livestock Resource
Management And
Development","Livestock Disease Management
and Control.","9,489,873","9,196,895","292,978",96.9,137,0
"Livestock Resource
Management And
Development","Livestock Production and Exten-
sion Services","64,287,746","51,297,175","12,990,571",79.7,137,0
"Fisheries Develop-
ment","Management and Development
of Capture Fisheries","8,930,057","5,294,838","3,635,219",59.2,137,0
Subtotal,,"487,439,458","208,070,712","279,368,746",42.6,137,0
"Water, Energy, Natural Resources And Environment",,,,,,137,0
"Environment Policy
Development And
Coordination","Planning Coordination Policy
and Administrative Services","176,018,570","133,503,094","42,515,476",75.8,137,0
"Water Supply Ser-
vices",Rural Water Supply,"534,773,551","285,348,443","249,425,108",53.3,137,0
,,"710,792,121","418,851,537","291,940,584",58.9,137,0
"Education, Youth Affairs, Children, Culture And Social Services",,,,,,137,0
"General Administra-
tion & Planning Ser-
vices.","Policy Development and Admin-
istration","269,755,668","226,045,854","43,709,814",83.8,137,0
Basic Education,"Early Childhood Development
Education","292,870,812","78,763,409","214,107,403",26.8,137,0
"Gender And Social
Development","Social Welfare Services/Social
Infrastructure Development","12,270,000","5,481,589","6,788,411",44.6,137,0
,,"574,896,480","310,290,852","264,605,628",53.9,137,0
Health Services,,,,,,137,0
Curative Health,Administration and Planning,"1,019,777,428","984,493,780","35,283,648",96.5,137,0
Curative Health,Hospital(curative)Services,"125,537,188","129,770,517","(4,233,329)",103.3,137,0
"Preventive And Pro-
motive Health","Preventive Medicine and Promo-
tive Health","1,541,590,204","1,369,226,783","172,363,421",88.8,137,0
,,"2,686,904,820","2,483,491,079","203,413,741",92.4,137,0
,,,,,,137,0
"Lands, Housing And Physical Planning",,,,,,137,0
"Administration And
Support Services","General Administration and
Planning","42,532,026","39,756,691","2,775,335",93.4,137,0
"Housing Develop-
ment And Human
Resource",Housing Development,"49,628,668","35,975,432","13,653,236",72.4,137,0
"Land Policy And
Planning","Development Planning and Land
Reforms","613,817,177","33,429,272","580,387,905",5.4,137,0
"Land Policy And
Planning",Land Use Planning,"9,125,048","7,306,186","1,818,862",80.0,137,0
,,"715,102,919","116,467,581","598,635,338",16.2,137,0
"Public Works, Roads And Transport",,,,,,137,0
"Transport Manage-
ment And Safety","General Administration Planning
and Support Services","39,425,059","29,823,974","9,601,085",75.6,137,0
"Infrastructure, Roads
And Transport",Rehabilitation of Road,"1,168,291,300","757,777,103","410,514,197",64.8,137,0
"Infrastructure, Roads
And Transport","Maintenance of Roads and
Bridges/Periodic Maintenance","128,065,562","128,052,228","13,334",99.9,137,0
,,"1,335,781,921","915,653,305","420,128,616",68.55%,137,0
"Trade, Industrialisation, Tourism, Wildlife And Cooperative Management",,,,,,137,0
"Trade Development
And Investment","Fair trade Practices and Consum-
er Protection (weight & mea-
sures)","59,834,233","52,642,455","7,191,778",87.9,137,0
"Trade Development
And Investment","Administrative and Support Ser-
vices.","15,387,704","10,807,066","4,580,638",70.2,137,0
"Cooperative Devel-
opment And Man-
agement","Cooperative Advisory & Exten-
sion Services.","13,372,940","13,209,012","163,928",98.7,137,0
