Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Implementation
Status
(%)",page_number,table_index,"Absorption
(%)"
Lamu Municipality,,,,,,208,0,
,Headquarters,"152,037,400","18,231,647","133,805,753",12.0,208,0,
,Sub total,"152,037,400","18,231,647","133,805,753",12.0,208,0,
Grand Total,,"4,660,298,331","2,957,596,378","1,702,701,953",63.5,208,0,
Office of the Governor,,,,,,213,0,
"Co-ordination and Supervi-
sory Services","Co-ordination and Super-
visory Services","568,128,497.84","462,435,060","105,693,437",,213,0,81.4
,Sub total,"568,128,498","462,435,060","105,693,437",,213,0,81.4
Finance and Revenue Management,,,,,,213,0,
Revenue Management,Revenue Management,"186,928,163","137,702,954","49,225,209",,213,0,73.7
Financial Management,"Budget Formulation, Co-
ordination and Implemen-
tation","38,652,240","17,167,888","21,484,352",,213,0,44.4
Supply Chain Management,"Supply Chain Manage-
ment","4,271,964","3,157,991","1,113,973",,213,0,73.9
Accounts Services,Accounts Services,"10,735,603","14,899,149","(4,163,546)",,213,0,138.8
Audit Services,Audit Services,"4,101,320","2,297,730","1,803,590",,213,0,56.0
"Human Resource Manage-
ment and Support Services","Human Resource Manage-
ment and Support Services","282,149,172","188,887,188","93,261,984",,213,0,66.9
"County Planning and Statis-
tical Information Services","County Planning and Sta-
tistical Information Ser-
vices","34,645,475","25,582,652","9,062,823",,213,0,73.8
,Sub total,"561,483,937","389,695,552","171,788,385",,213,0,69.4
"Public Service, Quality Management and ICT",,,,,,213,0,
"General Administration and
Support Services",Support Services,"1,166,547,888","3,237,025,191","(2,070,477,302)",,213,0,277.5
Quality Management,Quality Management,"950,000","540,360","409,640",,213,0,56.9
"Training, Research and De-
velopment","Human Resource Capacity
Development","108,995,411","2,615,797","106,379,614",,213,0,2.4
ICT Infrastructure,ICT Infrastructure,"83,911,182","27,542,068","56,369,114",,213,0,32.8
"Closed Circuit Television
(CCTV)","Closed Circuit Television
(CCTV)","2,245,000",-,"2,245,000",,213,0,0.0
,Sub total,"1,362,649,482","3,267,723,416","(1,905,073,934)",,213,0,239.8
County Public Service Board,,,,,,213,0,
"Human Resource Adminis-
tration","Human Resource Admin-
istration","52,074,133","36,544,882","15,529,251",,213,0,70.2
,Sub total,"52,074,133","36,544,882","15,529,251",,213,0,70.2
"Roads, Transport and Public Works",,,,,,213,0,
"General Administration and
Support Services",Support Services,"232,336,447","86,812,419","145,524,029",,213,0,37.4
"Road Development and
Management","Road Development and
Management","763,965,251","406,927,070","357,038,181",,213,0,53.3
"County Government Build-
ings Services","County Government
Buildings Services","400,798,575","334,812,278","65,986,297",,213,0,83.5
County Fleet Management,County Fleet Management,"122,988,387","66,151,604","56,836,783",,213,0,53.8
,Sub total,"1,520,088,660","894,703,371","625,385,289",,213,0,58.9
Health and Emergency Services,,,,,,213,0,
"General Administration
And Support Services",Support Services,"3,158,869,210","1,580,021,804","1,578,847,406",,213,0,50.0
