Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"County Assembly Of
Marsabit Operational &
Oversight",Operations & Oversight,"816,944,722","611,091,631","205,853,091",74.8,234,1
"Physical Planning And
Development","Urban Development Ser-
vices","227,493,823","192,882,598","34,611,225",84.8,234,1
,"Lands and Physical Plan-
ning Services","60,000,000","53,887,150","53,887,150",89.8,234,1
,"General administration
planning & Support Ser-
vices","136,797,500","95,705,404","95,705,404",70.0,234,1
,Sub total,"424,291,323","342,475,152","81,816,171",80.7,234,1
Education,"General Administration,
Planning and Support Ser-
vices","300,793,916","293,496,216","7,297,700",97.6,235,0
,Pre – Primary Education,"54,193,175","49,987,064","4,206,111",92.2,235,0
,Youth Development,"75,930,000","70,634,233","5,295,767",93.0,235,0
,"Vocational Education
&Training","19,058,298","14,829,996","4,228,302",77.8,235,0
,Sports,"34,190,000","29,656,899","4,533,101",86.7,235,0
,Sub total,"484,165,389","458,604,408","25,560,981",94.7,235,0
Executive Services,"General Administration,
Planning and Support Ser-
vices","658,869,015","608,101,833","50,767,182",92.3,235,0
,"Management of County Af-
fairs","585,857,842","539,509,834","46,348,008",92.1,235,0
,"Public Sector Advisory Ser-
vices","59,000,000","53,143,979","5,856,021",90.1,235,0
,Inter/Intra Governmental,"20,000,000","20,000,000",-,100.0,235,0
,County Legal Services,"20,417,773","19,774,700","643,073",96.9,235,0
,Sub total,"1,344,144,630","1,240,530,346","103,614,284",92.3,235,0
Administration And Ict,"General administration
planning and Support Ser-
vices","305,409,767","248,429,781","56,979,986",81.3,235,0
,ICT infrastructure,"9,200,000","2,922,000","6,278,000",31.8,235,0
,"Coordination of functions
of devolved Units","13,500,000","11,784,060","10,191,080",87.3,235,0
,"Public Participation and
Civic Education","3,000,000","1,725,800","1,074,800",57.5,235,0
,Sub total,"331,109,767","264,861,641","74,523,866",80.0,235,0
"Agriculture And Live-
stock Development","General Administration,
Planning and Support Ser-
vices","87,116,163","80,509,935","6,606,228",92.4,235,0
,"Livestock Resources Man-
agement and Development","174,286,044","106,635,243","67,650,801",61.2,235,0
,"Fisheries Development and
Management","79,221,448","20,932,477","58,288,971",26.4,235,0
,"Crop Development and
Management","365,309,776","154,936,267","210,373,509",42.4,235,0
,Sub total,"705,933,431","363,013,922","342,919,509",51.4,235,0
Health Services,Curative Health Services,"207,000,000","193,349,316","13,650,684",93.4,235,0
,"General Administration,
Planning and Support Ser-
vices","1,698,045,412","1,549,835,996","148,209,416",91.3,235,0
,Maternal and child health,"10,000,000","9,979,491","20,509",99.8,235,0
,Sub total,"1,915,045,412","1,753,164,803","161,880,609",91.5,235,0
"County Public Service
Board","General administration
planning and Support Ser-
vices","71,749,999","66,983,654","4,766,345",93.4,235,0
,"Human Resource Manage-
ment and Development","11,305,001","11,240,245","64,756",99.4,235,0
,Sub total,"83,055,000","78,223,899","4,831,101",94.2,235,0
"Culture And Social Ser-
vices",Youth Development,"10,000,000","9,540,700","459,300",95.4,235,0
,Culture Services,"20,985,019","15,126,950","5,858,069",72.1,235,0
,Social Services,"3,832,000","3,000,000","832,000",78.3,235,0
,"General administration,
planning and support ser-
vices","115,067,500","103,473,703","11,593,797",89.9,235,0
,Sub total,"149,884,519","131,141,353","18,743,166",87.5,235,0
