Department,Programmes,Sub Programmes,Budget (Kshs.),"Expenditure
(Kshs.)",Variance (Kshs.),"Absorp-
tion %",page_number,table_index
"2. Economic Plan-
ning","Economic planning
Services","22 - Use of Goods and
Services total","62,170,585","13,673,156","48,497,429",22,43,0
,,LREB,"10,000,000","9,994,000","6,000",99.9,43,0
,,KDSP,"30,000,000",-,-,-,43,0
,"P 2- Budget Prepa-
ration",,,,,,43,0
,,"Preparation of Budget
Documents","8,000,000","5,505,000","2,495,000",68.8,43,0
,,"Awareness and Publicity
Campaigns","6,000,000","4,610,400","1,389,600",76.8,44,0
,"P3 Monitoring and
Evaluation",,,,,,44,0
,,"Monitoring services(In-
stallation of M&E dash-
board)","11,000,000",-,-,-,44,0
,,"Awareness and Publicity
Campaigns","100,000",-,-,-,44,0
,"P4 Planning and Sta-
tistics",,,,,,44,0
,,County Plans,"3,598,250","3,502,300","95,950",97.3,44,0
,,County Statistics,"3,000,000","3,000,000",0,100,44,0
,,Sub-Total,"133,868,835","40,284,856","93,583,979",30.1,44,0
"Lands Housing and
Urban Planning",,"Use of Goods and Ser-
vices","15,568,360","14,583,439","984,921",93.7,44,0
,"Infrastructure Devel-
opment","Contracted Technical
Services","13,749,985","1,147,385","12,602,600",8.3,44,0
,,Purchase of land,"15,000,000","15,000,000",-,100,44,0
,,"Other Infrastructure and
Civil Works","12,943,613","5,412,502","7,531,111",41.8,44,0
,,"Engineering and Design
Plans","1,637,100","1,598,650","38,450",97.7,44,0
,,"Non-Residential Build-
ings (offices, schools,
hospitals)","3,000,000",-,-,-,44,0
,,Sub Total,"61,899,058","37,741,976","24,157,082",61,44,0
,KUSP,"Training and Capacity
Building of Bomet Mu-
nicipal Board and Staff","1,500,000",-,-,-,44,0
,,"Completion of Bomet
Municipal Urban Inte-
grated Development Plan","7,000,000",-,-,-,44,0
,,"Kembu Integrated Devel-
opment Plan","3,000,000",-,-,-,44,0
,,"Sigor Integrated Devel-
opment Plan","3,000,000",-,-,-,44,0
,,"Mulot Town Integrated
Plan","7,000,000",-,-,-,44,0
,,"County urban areas stra-
tegic plan","9,000,000",-,-,-,44,0
,,"County physical planning
g/ Development control","6,000,000",-,-,-,44,0
,,Electricity,"50,000",-,-,-,44,0
,,"Water and sewerage
charges","30,000",-,,-,44,0
,,"Telephone, Telex, Fac-
simile and Mobile Phone
Services","10,000",-,-,-,44,0
,,"Courier and Postal Ser-
vices","10,000",-,-,-,44,0
