Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Lodwar Town Road Upgrade,"28,400,000","27,886,186","513,814",98.2,380,0
Roads,"10,000,000","4,999,498","5,000,502",50.0,380,0
"Develop and maintain staff housing and
public offices","36,500,000",0,"36,500,000",-,380,0
Gabioning Works,"36,500,000",0,"36,500,000",-,380,0
"Develop and maintain other public
works","12,344,064","6,768,301","5,575,763",54.8,380,0
Machinery,"5,436,150","1,287,640","4,148,510",23.7,380,0
Machinery,"3,802,640","2,460,221","1,342,419",64.7,380,0
Feasibility & Consultancy,"830,000","1,195,200","-365,200",144.0,380,0
Capacity Building,"1,750,000","1,300,000","450,000",74.3,380,0
Professional Capacity Building,"525,274","525,240",34,100.0,380,0
eral Administration,"233,705,413","142,676,138","91,029,275",61.0,381,0
ral Administration,"222,539,881","140,253,058","82,286,823",63.0,381,0
General Administration- Public works,"11,165,532","2,423,080","8,742,452",21.7,381,0
,"2,992,827","980,332","2,012,495",32.8,381,0
Structural Services,"2,992,827","980,332","2,012,495",32.8,381,0
,"1,852,856","320,680","1,532,176",17.3,381,0
Electrical Services,"1,852,856","320,680","1,532,176",17.3,381,0
,"2,058,271","1,179,922","878,349",57.3,381,0
Building Inspectorate,"2,058,271","1,179,922","878,349",57.3,381,0
,"1,423,348","1,212,769","210,579",85.2,381,0
Architectural Services,"1,423,348","1,212,769","210,579",85.2,381,0
"Cooperative Societies Development &
Performance Improvement","89,517,374","66,854,859","22,662,515",74.7,381,0
Cooperatives Development Fund,"1,199,881","1,045,548","154,333",87.1,381,0
Value Addition Initiatives,"299,700","299,700",0,100.0,381,0
"Business Development and Training Ser-
vices","1,303,580","703,180","600,400",53.9,381,0
Liquor control Programme,"1,700,000","1,700,000",0,100.0,381,0
"Cooperative societies development and re-
vival programmes","184,263","114,500","69,763",62.1,381,0
Legal Metrology Services,"1,099,653","925,073","174,580",84.1,381,0
Verification of traders equipment,"1,434,032","1,242,000","192,032",86.6,381,0
Consumer rights education,"569,768","159,954","409,814",28.1,381,0
Industrial sector support programme,"538,500","538,500",0,100.0,381,0
Standards and Anti-Counterfeit Services,"562,664","506,660","56,004",90.0,381,0
Market Infrastructure Development,"29,000,000","15,113,434","13,886,566",52.1,381,0
Industrial Development and Investments,"9,148,416","3,331,731","5,816,685",36.4,381,0
Biashara Fund,"36,000,000","36,000,000",0,100.0,381,0
North Rift Economic & FCDC Blocs,"6,476,917","5,174,579","1,302,339",79.9,381,0
"Modern Physical Markets Infrastruc-
ture","6,517,642","3,225,413","3,292,229",49.5,381,0
"Construction & Development of Modern
Physical Market","1,404,400","911,000","493,400",64.9,381,0
"Co-operative Marketing, Value Addition,
Surveys & Research","1,457,600","1,035,090","422,510",71.0,381,0
"Co-operative Education, Training, Ex-
change and Ushirika Day Celeb","1,112,296","274,323","837,973",24.7,381,0
"Strengthening of Key Dormant Co-opera-
tive Societies","1,872,972","511,067","1,361,905",27.3,381,0
"Formulation of Cooperative Policy and Le-
gal Frame Work","670,374","493,933","176,441",73.7,381,0
eral Administration,"107,591,246","99,536,330","8,054,916",92.5,381,0
ral Administration,"107,591,246","99,536,330","8,054,916",92.5,381,0
Gender Promotion,"14,465,694","12,193,878","2,271,816",84.3,381,0
Gender Empowerment and advocacy,"8,169,550","5,228,212","2,941,338",64.0,381,0
Gender Mainstreaming and Coordination,"5,806,000","6,492,082","-686,082",111.8,381,0
Legal Compliance and Redress,"490,144","473,585","16,560",96.6,381,0
Youth Affairs Development,"147,524,303","143,056,893","4,467,410",97.0,381,0
Youth Coordination and Representation,"10,681,600","8,581,420","2,100,180",80.3,381,0
Youth Employment Scheme,"2,449,813","776,073","1,673,740",31.7,381,0
Youth Rare skills,"1,392,890","699,400","693,490",50.2,381,0
Youth and Women Fund,"133,000,000","133,000,000",0,100.0,381,0
"General Administration, Planning and
support services","593,611,965","463,377,307","130,234,658",78.1,381,0
"General Administration Planning and sup-
port services","592,111,965","463,377,307","128,734,658",78.3,381,0
Health Facilities,"1,500,000",0,"1,500,000",-,381,0
Support to Health Programs,"148,823,618","81,843,214","66,980,404",55.0,381,0
Health promotion,"89,120,752","43,857,522","45,263,230",49.2,381,0
"Emergency preparedness & disaster re-
sponse","49,543,786","36,067,092","13,476,694",72.8,381,0
mainstreaming,"10,159,080","1,918,600","8,240,480",18.9,381,0
,"20,829,734","6,086,051","14,743,683",29.2,382,0
Laboratory Services,"2,273,536","272,196","2,001,340",12.0,382,0
Blood Transfusion Services,"1,736,250","1,193,630","542,620",68.7,382,0
Rehabilitative Services,"1,916,716","1,068,000","848,716",55.7,382,0
Referals & Emergency Services,"2,484,100","305,300","2,178,800",12.3,382,0
Radiology Services,"2,096,416","5,297","2,091,119",0.3,382,0
Dental Services,"2,039,296","245,000","1,794,296",12.0,382,0
Clinical Services,"1,878,800","431,000","1,447,800",22.9,382,0
Nursing Services,"1,389,024","735,000","654,024",52.9,382,0
Rural Health Facility Support,"2,158,896","1,105,800","1,053,096",51.2,382,0
Subcounty Health Facilities Support,"2,856,700","724,828","2,131,872",25.4,382,0
,"10,134,192","5,314,292","4,819,900",52.4,382,0
,"10,134,192","5,314,292","4,819,900",52.4,382,0
,"389,808,440","149,531,340","240,277,101",38.4,382,0
Medical Supplies,"385,337,760","149,383,998","235,953,763",38.8,382,0
Health mgt,"4,470,680","147,342","4,323,338",3.3,382,0
,"44,780,941","7,208,400","37,572,541",16.1,382,0
Health Information & Mgt,"6,239,079","976,500","5,262,579",15.7,382,0
Quality Assurance,"1,926,040","1,044,400","881,640",54.2,382,0
Universal Health Care,"36,615,822","5,187,500","31,428,322",14.2,382,0
,"2,641,450","570,200","2,071,250",21.6,382,0
Rehabilitation & Treatment,"570,000",0,"570,000",-,382,0
Public Education & Awareness,"220,000","120,000","100,000",54.5,382,0
Liquor Licensing,"1,461,250","160,000","1,301,250",10.9,382,0
Training & Capacity Building,"390,200","290,200","100,000",74.4,382,0
"Social protection programs/ Affirmative
Action","27,192,292","6,566,620","20,625,672",24.1,382,0
"Construction of PWDs multi-purpose re-
source center","12,600,160","1,715,650","10,884,510",13.6,382,0
Marginalized and Minority groups support,"1,292,393","1,444,639","-152,246",111.8,382,0
Child Rescue Centres,"8,000,000",0,"8,000,000",-,382,0
Child Care & Protection,"5,299,739","3,406,331","1,893,408",64.3,382,0
