Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Non -programmatic,,-,"4,958,616","(4,958,616)",-,287,1
,Default - Non Programmatic,-,"4,958,616","(4,958,616)",-,287,1
"Promotion of Dairy Pro-
duction, Breeding and",,"166,353,511","138,362,065","27,991,447",83.2,287,1
,"Promotion of Dairy Production,
Breeding and Disease Control","166,353,511","138,362,065","27,991,447",83.2,287,1
,"Promotion of Value Addition of
Livestock and Livestock Products",-,-,-,,287,1
,"Promotion of Non-ruminants and
Emerging livestock Enterprises",-,-,-,,287,1
,Promotion of Apiculture,-,-,-,,287,1
Promotion of Apiculture,,"18,655,264","11,084,250","7,571,014",59.4,287,1
,Aquaculture development,"12,110,864","9,999,282","2,111,582",82.6,287,1
,"Development of capture fisheries
resources",-,-,-,,287,1
,"Fish quality assurance, value addi-
tion and marketing","6,544,400","1,084,968","5,459,432",16.6,287,1
"Extension, Research and
Training",,"710,531,716","397,419,105","313,112,611",55.9,287,1
,"Extension, Research and Training",-,-,-,,288,0
,Crop Production and Food Security,"710,531,716","397,419,105","313,112,611",55.9,288,0
,"Farm land utilization, Conservation
and Mechanization",-,-,-,,288,0
,"Agribusiness Development and
Marketing",-,-,-,,288,0
Administration Services,Administration Services,"575,175,662","479,723,165","95,452,497",83.4,288,0
Infrastructure for Land,Infrastructure for Land,"1,384,169,522","1,212,416,188","171,753,334",87.6,288,0
"Develop County Spatial
Plan",Develop County Spatial Plan,"7,654,167","5,522,091","2,132,076",72.1,288,0
,GIS Data Base creation,-,-,-,,288,0
,Survey and Mapping,"62,572,976","10,931,513","51,641,464",17.5,288,0
"Rehabilitation of Roads,
Drainage and Bridges","Rehabilitation of Roads, Drainage
and Bridges","2,248,981,909","1,082,301,571","1,166,680,338",48.1,288,0
,"Rehabilitation and construction of
Transport terminals","12,463,200","1,222,601","11,240,599",9.8,288,0
,"Design, Supervision and Rehabilita-
tion of County Buildings","3,791,400","3,046,100","745,300",80.3,288,0
,"Firefighting and Emergency Ser-
vices","9,590,200","7,141,641","2,448,559",74.5,288,0
"Installation, Mainte-
nance and Rehabilita-
tion of lighting","Installation, Maintenance and Reha-
bilitation of lighting","102,330,000","101,986,478","343,522",99.7,288,0
,,"346,826,160","311,958,258","34,867,902",89.9,288,0
,Administration & Personnel,"346,826,160","311,958,258","34,867,902",89.9,288,0
,System Support,-,-,-,,288,0
"Functional & Technical
Support Centre-Help
Desk","Functional & Technical Support
Centre-Help Desk","22,094,000","9,726,289","12,367,711",44.0,288,0
"Networking Infrastruc-
ture",Networking Infrastructure,"13,571,560","9,505,494","4,066,066",70.0,288,0
,Hardware & Software Platforms,-,-,-,,288,0
"Administration and Sup-
port Services","Administration and Support Ser-
vices",-,-,-,,288,0
"Construction & Mainte-
nance of Non Residen-
tial County Buildings","Construction & Maintenance of Non
Residential County Buildings","4,761,482",-,"4,761,482",0.0,288,0
,"Installation, Rehabilitation & Main-
tenance of Lighting Facilities","26,000,000","4,356,300","21,643,700",16.8,288,0
Fire Fighting,Fire Fighting,"16,602,898","11,602,898","5,000,000",69.9,288,0
E-Government Services,E-Government Services,-,-,-,,288,0
"Education Develop-
ments",Education Developments,"36,255,447","3,587,910","32,667,537",9.9,288,0
"Revitalization of Youth
Programme",Revitalization of Youth Programme,"115,035,198","91,033,250","24,001,948",79.1,288,0
Administration Services,Administration Services,"92,353,912","79,916,579","12,437,333",86.5,288,0
"Enhance Marketing
Co-operatives",Enhance Marketing Co-operatives,"28,015,000","10,160,928","17,854,072",36.3,288,0
"SACCO members' em-
powerment",SACCO members' empowerment,-,-,-,,288,0
"Business Development
Services for MSE's","Business Development Services for
MSE's","13,277,313","8,344,156","4,933,157",62.8,288,0
"Producer Business
Groups",Producer Business Groups,-,-,-,,288,0
Consumer protection,Consumer protection,"1,420,000","717,180","702,820",50.5,288,0
"Rehabilitation of exist-
ing markets",Rehabilitation of existing markets,"493,317,032","332,982,155","160,334,877",67.5,288,0
"Development of Retail
and Wholesale Market
in Nakuru","Development of Retail and Whole-
sale Market in Nakuru",-,"2,494,928","(2,494,928)",,289,0
"Establish & Manage-
ment of County Tourism
Information Centre","Establish & Management of County
Tourism Information Centre","2,870,000","1,263,097","1,606,903",44.0,289,0
"Community Health
Strategy",Community Health Strategy,-,-,-,,289,0
"Environmental Health
and Sanitation Program","Environmental Health and Sanita-
tion Program",-,-,-,,289,0
"Health Promotive Ser-
vices",Health Promotive Services,"663,199,771","421,340,721","241,859,050",63.5,289,0
"Provision of Essential
Health Services in all
the Levels.","Provision of Essential Health Ser-
vices in all the Levels.","2,618,493,744","1,075,904,585","1,542,589,159",41.1,289,0
"Health Infrastructure
Development",Health Infrastructure Development,"74,308,823","57,225,702","17,083,122",77.0,289,0
"Human Resources for
health",Human Resources for health,"3,588,527,931","3,359,364,423","229,163,509",93.6,289,0
"Research and Develop-
ment",Research and Development,"500,000","500,000",-,100.0,289,0
Administration,Administration,"1,306,190,945","642,704,032","663,486,914",49.2,289,0
"Promotion of Early
Childhood Education","Promotion of Early Childhood Ed-
ucation",-,"557,380","(557,380)",,289,0
Bursaries,Bursaries,-,-,-,,289,0
"Promotion of Quality
Youth Empowerment","Promotion of Quality Youth Em-
powerment","11,892,637","11,916,979.90","(24,342.90)",100.2,289,0
"ICT Infrastructure and
Connectivity",ICT Infrastructure and Connectivity,"40,055,000","19,807,449","20,247,551",49.5,289,0
"Budget Formulation
Coordination and man-
agement","Budget Formulation Coordination
and management","51,775,016","46,831,057","4,943,959",90.5,289,0
Resource Mobilization,Resource Mobilization,"77,349,267","63,600,719","13,748,548",82.2,289,0
Internal Audit,Internal Audit,"60,456,334","42,167,457","18,288,877",69.7,289,0
Procurement,Procurement,"13,125,475","12,043,446","1,082,029",91.8,289,0
"Public finance and Ac-
counting",Public finance and Accounting,"22,457,517","17,696,776","4,760,741",78.8,289,0
