Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index
3011 The Executive,"Governor's Affairs &
Advisory Services","119,646,728","98,596,801","21,049,928",82.4,262,0
,"Deputy Governor's Af-
fairs & External Rela-
tions","85,156,947","43,929,104","41,227,843",51.6,262,0
,"Cabinet Affairs, Policy
Research and Legal Ser-
vices","77,469,786","19,510,515","57,959,271",25.2,262,0
,"MV 2035 & E-Govern-
ment","10,910,190","1,356,075","9,554,115",12.4,262,0
,Strategic Delivery Unit,"4,475,400","973,324","3,502,076",21.7,262,0
"3013 County Public
Service Board",Administration Unit,"59,151,055","38,334,844","20,816,211",64.8,262,0
"3014 Finance and Eco-
nomic Planning",Administration Unit,"2,155,930,798","1,219,829,434","936,101,364",56.6,262,0
,Accounting Unit,"216,353,379","163,502,007","52,851,372",75.6,262,0
,"Planning and Monitor-
ing Unit","163,579,324","114,049,924","49,529,400",69.7,262,0
"3015 Energy, Environ-
ment & Waste Man-
agement","Administration, Plan-
ning and Support Ser-
vices","375,586,386","320,567,674","55,018,711",85.4,262,0
,Waste Management,"177,088,117","92,647,831","84,440,286",52.3,262,0
,"Environmental Compli-
ance and Monitoring","168,490,458","47,844,359","120,646,099",28.4,262,0
,Climate Change,"29,684,120","1,407,052","28,277,068",4.7,262,0
,Energy,"2,161,000",0,"2,161,000",0,262,0
"3016 Education, Infor-
mation Technology &
MV 2035","General Administration,
Planning and Support
Services","237,309,730","196,778,537","40,531,193",82.9,262,0
,Education headquarters,"123,972,089","65,684,588","58,287,501",53,262,0
,Childcare,"43,159,840",0,"43,159,840",0,262,0
,Elimu Fund,"116,595,500","112,720,000","3,875,500",96.7,262,0
,"Information Technology
Headquarters","62,508,429","21,808,610","40,699,819",34.9,262,0
3017 Health Services,Administration Unit,"3,154,266,976","3,821,625,324","-667,358,349",121.2,262,0
,"Curative/Clinical Health
Services","89,460,505","158,614,802","-69,154,297",177.3,262,0
,"Preventive and Promo-
tive Services Unit","83,062,125","86,416,380","-3,354,255",104,262,0
,Special Programs,"940,000","70,393,611","-69,453,611","7,488.7",262,0
"3018 Water, Sanitation
& Natural Resources",Administration unit,"222,921,259","16,788,256","206,133,004",7.5,262,0
,"Sanitation/Sewerage
Services Headquarters",,,,,262,0
,"Water Supply Head-
quarters","323,260,623","262,545,765","60,714,858",81.2,262,0
,Natural Resources,,,,,262,0
"3019 Youth, Gender ,
Sports and Cultural
Affairs",Administration Unit,"102,210,046","71,160,777","31,049,269",69.6,263,0
,Youth Empowerment,"34,445,688","6,540,314","27,905,374",19,263,0
,"Gender Affairs and Dis-
ability Mainstreaming","17,152,900","3,060,724","14,092,176",17.8,263,0
,Sports development,"199,125,116","81,635,189","117,489,926",41,263,0
,Cultural Affairs,"37,560,750","6,327,195","31,233,555",16.8,263,0
,"Public Recreation and
Entertainment","5,216,500",0,"5,216,500",0,263,0
"3020 Trade, Tourism &
Investment",Administration Unit,"237,896,892","196,067,975","41,828,917",82.4,263,0
,Trade Development,"114,890,250","34,252,159","80,638,091",29.8,263,0
,"Development of Tour-
ism","25,167,952","699,046","24,468,906",2.8,263,0
,"Investment Promotion
and Products Headquar-
ters","13,838,588","6,383,124","7,455,464",46.1,263,0
,"Ease of Doing Busi-
ness-Headquarters","2,623,809","1,500,000","1,123,809",57.2,263,0
"3021 Lands, Housing
and Physical Planning",Administration Unit,"186,430,723","164,382,894","22,047,830",88.2,263,0
"3022 Transport, In-
frastructure & Public
Works",Land Management Unit,"74,508,872","9,458,448","65,050,424",12.7,263,0
,"Housing Development
Unit","93,611,330","18,805,717","74,805,613",20.1,263,0
,Administration Unit,"388,652,139","435,470,691","-46,818,553",112,263,0
,"Road and Transport
Unit","1,291,098,404","662,959,883","628,138,521",51.3,263,0
,Works Unit,"4,220,390","499,997","3,720,393",11.8,263,0
,"Transport Planning,
Management and Safety","107,216,688","52,746,216","54,470,472",49.2,263,0
,Mechanical Services,"57,659,191","14,880,697","42,778,494",25.8,263,0
,"Safety, Risk Manage-
ment and Rescue Ser-
vices","25,796,049",0,"25,796,049",0,263,0
"3023 Agriculture, Fish-
eries, Livestock and
Co-operatives","Administration
Unit-Headquarters","140,591,305","100,093,361","40,497,944",71.2,263,0
,Crop Management Unit,"21,531,182","5,845,339","15,685,843",27.1,263,0
,Livestock Unit,"12,849,088","1,833,776","11,015,312",14.3,263,0
,"Fisheries Unit-Head-
quarters","45,660,954","19,025,120","26,635,834",41.7,263,0
,Veterinary Services,"10,166,854","682,500","9,484,354",6.7,263,0
,Cooperatives,"4,427,050","673,000","3,754,050",15.2,263,0
"3026 Devolution &
Public Service Admin-
istration",Administration,"1,340,173,302","1,152,348,073","187,825,229",86,263,0
,"Devolution and public
service administration","39,172,796","96,123,839","-56,951,043",245.4,263,0
,"Public Service Reforms
and Delivery","49,036,733","3,340,000","45,696,733",6.8,263,0
,"Compliance and En-
forcement","89,041,250",0,"89,041,250",0,263,0
,"County Administration
and decentralized ser-
vices","50,503,587","15,674,556","34,829,031",31,263,0
County Assembly,,"744,382,857","657,067,263","87,315,594",88.3,263,0
Grand Total,,"13,670,000,000","10,795,462,690","2,874,537,310",79,263,0
