Programme,Sub- Programme,"Approved Budget
(Kshs)","Expenditure
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
"Curative and Rehabili-
tative",Sub Total,"10,059,700","7,526,785","2,532,915",74.8,119,0
,Medical Supplies,-,-,-,-,119,0
,Ambulance services,"10,059,700","7,526,785","2,532,915",74.8,119,0
"Public Health and San-
itation",,"242,721,919","186,806,097","55,915,822",77.0,120,0
,Preventive and Promotive,"221,331,317","173,537,456","47,793,861",78.4,120,0
,"Licensing and control of under-
taking","11,358,518","7,549,670","3,808,848",66.5,120,0
,Sanitation,"4,926,166","3,850,142","1,076,024",78.2,120,0
,Mobile Clinics,"5,105,918","1,868,829","3,237,089",36.6,120,0
"General Administra-
tion, Planning and Sup-
port Services",Sub Total,"394,482,453","378,613,334","15,869,119",96.0,120,0
,"Headquarters Administrative
Services","394,482,453","378,613,334","15,869,119",96.0,120,0
"Children and Youth
Empowerment","Children and Youth Empower-
ment",-,-,-,-,120,0
,"Early Child Development and
Education",-,-,-,-,120,0
,"Revitalization of Youth Polytech-
nics",-,-,-,-,120,0
"Social Protection, Cul-
ture and Recreation",Sub Total,"1,100,000","604,900","495,100",55.0,120,0
,"Home craft Centres Develop-
ment","1,100,000","604,900","495,100",55.0,120,0
,"Control of Drugs and Pornogra-
phy",-,-,-,-,120,0
,Betting and Casinos,-,-,-,-,120,0
,Museum Development,-,-,-,-,120,0
,"Sports Training and Competi-
tions",-,-,-,-,120,0
,County Parks Management,-,-,-,-,120,0
Education Support,Sub Total,"479,718,451","220,193,929","237,145,414",48.1,120,0
,Pre-Primary Education,"406,820,045","155,049,536","251,770,509",38.1,120,0
,Home Craft Centres,"50,519,298","65,144,393","(14,625,095)",128.9,120,0
,Village Polytechnics,-,-,-,-,120,0
"Social Protection and
Recreation",Sub Total,"11,189,554","4,540,530","6,649,024",40.6,120,0
,"Control of Drugs and Pornogra-
phy","4,735,654","1,952,780","2,782,874",41.2,120,0
,Liquor Licensing,"6,048,700","2,384,750","3,663,950",39.4,120,0
,Betting and Casinos,"405,200","203,000","202,200",50.1,120,0
,"Sports Training and Competi-
tions",-,-,-,-,120,0
"General Administration
and Policy Coordina-
tion",Sub Total,"2,387,087,000","1,756,690,237","630,396,763",73.6,120,0
,"Headquarters Administrative
Services","2,346,805,000","1,744,566,899","602,238,101",74.3,120,0
,County Executive Committee,"18,432,000","6,951,738","11,480,262",37.7,120,0
,ICT,-,-,-,-,120,0
,County Inspectorate,"21,850,000","5,171,600","16,678,400",23.7,120,0
"Executive Committee
Affairs",Sub Total,-,-,-,-,120,0
,"General Administrative and Ex-
ecutive Affairs",-,-,-,-,120,0
"Public Services Coordi-
nation and Management",Sub Total,"122,250,000","101,530,649","20,719,351",83.1,120,0
,Human Resource Management,"122,250,000","101,530,649","20,719,351",83.1,120,0
