Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Pay-
ments (Ksh)",Variance,Absorption (%),page_number,table_index
0,Default - Non Programmatic,-,"(1,389,014)","1,389,014",-,349,1
,"Administration Planning and Support Ser-
vices","69,764,884","57,363,067","12,401,817",82.2,349,1
101013260,Administration Planning and Support Services,"69,764,884","57,363,067","12,401,817",82.2,349,1
,Infrastructure Development programme,"289,935,925","186,516,009","103,419,916",64.3,349,1
103013260,Infrastructure Development programme,"289,935,925","186,516,009","103,419,916",64.3,349,1
,Agricultural Development Programme,"208,900,108","157,595,399","51,304,709",75.4,349,1
104013260,Agricultural Development Programme,"208,900,108","157,595,399","51,304,709",75.4,349,1
,Livestock and Fisheries Development,,,,,349,1
105013260,Livestock and Fisheries Development,,,,,349,1
,"General Administration and support ser-
vices programme","74,826,791","66,346,318","8,480,473",88.7,349,1
301013260,"General Administration and support services
programme","74,826,791","66,346,318","8,480,473",88.7,350,0
,Trade Development programme.,-,"123,905","(13,006,000)",-,350,0
302013260,Trade Development programme.,-,"123,905","(13,006,000)",-,350,0
,Administration and Support Services,"231,419,398","107,290,945","124,128,453",46.4,350,0
401013260,Administration and Support Services,"231,419,398","107,290,945","124,128,453",46.4,350,0
,Health Development Programme,"181,767,406","101,579,780","80,187,626",55.9,350,0
402013260,Health Development Programme,"181,767,406","101,579,780","80,187,626",55.9,350,0
,"General Administration, Planning and Sup-
port services","90,787,649","86,398,366","4,389,283",95.2,350,0
501013260,"General Administration, Planning and Support
services","90,787,649","86,398,366","4,389,283",95.2,350,0
,"Early childhood Education and Youth
Training Development Programme",,,,,350,0
502013260,"Early childhood Education & Youth Training
Development Programme",,,,,350,0
,General Administration support services,"2,692,509,275","2,572,373,962","120,135,313",95.5,350,0
701013260,General Administration support services,"2,692,509,275","2,572,373,962","120,135,313",95.5,350,0
,"County Assembly Infrastructure improve-
ment","45,000,000","35,174,625","9,825,375",78.2,350,0
702013260,County Assembly Infrastructure improvement,"45,000,000","35,174,625","9,825,375",78.2,350,0
,"Decentralized Infrastructure development
programme","10,000,000","8,908,312","1,091,688",89.1,350,0
703013260,"Decentralized Infrastructure development pro-
gramme","10,000,000","8,908,312","1,091,688",89.1,350,0
,"General Administration and Management
of County Affairs","140,981,927","128,071,612","12,910,315",90.8,350,0
704013260,"General Administration and Management of
County Affairs","140,981,927","128,071,612","12,910,315",90.8,350,0
,Leadership Development Programme,,,,,350,0
705013260,Leadership Development Programme,,,,,350,0
,"General Administration, Planning, Internal
Audit & Support Services","621,279,816","543,863,152","77,416,664",87.5,350,0
706013260,"General Administration, Planning, Internal
Audit & Support Services","621,279,816","543,863,152","77,416,664",87.5,350,0
,Treasury Development Programme,"387,248,919","290,428,314","96,820,605",75.0,350,0
707013260,Treasury Development Programme,"387,248,919","290,428,314","96,820,605",75.0,350,0
,"Water and irrigation Development Pro-
gramme","498,000,000","71,535,536","426,464,464",14.4,350,0
1.001E+09,Water and irrigation Development Programme,"498,000,000","71,535,536","426,464,464",14.4,350,0
,"General Administration,Support and Sup-
port Services","30,643,795","26,429,344","4,214,452",86.2,350,0
1.002E+09,"General Administration,Support and Support
Services","30,643,795","26,429,344","4,214,452",86.2,350,0
,Natural Resources Support Programme,"91,461,960",-,-,-,350,0
1.003E+09,Natural Resources Support Programme,"91,461,960",-,-,-,350,0
Grand Total,,"5,664,527,854","4,439,998,645","1,120,185,154",78.4,350,0
