Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","De-
velop-
ment",350,0
County Assembly,,,,,,,,350,0
"General Administra-
tion Support Services","SP 1.1 Salaries and al-
lowances for employees
and MCAs","237,161,199",-,"40,667,855",-,17,,350,0
,"SP 1.2 Employer Contri-
bution to Pension","9,550,000",-,"1,639,583",-,17,,350,0
,"SP 1.2 Hospitality,
Catering services, dona-
tions and gifts, boards,
committees, conferences
and seminars","48,074,469",-,"4,279,600",-,8.9,,350,0
,"SP 1.3 Domestic
payables from previous
financial years","10,167,081","256,083,989",-,-,0,0,350,0
"Legislature and
Oversight","SP 2.1 Domestic and
foreign accommoda-
tion, air travel and daily
subsistence allowance","110,857,475",-,"17,050,893",-,15,,350,0
,"SP 2.2 ICT, Hansard
and Communication
Equipment","7,500,000",-,"361,000",-,5,,350,0
,"SP 2.3 Mortgage & Car
Loans and Tax","57,407,675",-,-,-,0,,350,0
,"SP 2.4 Staff Training
and Development and
Tuitions","37,907,263",-,-,-,0,,350,0
,"SP 2.5 Public Partici-
pation",,-,,-,,,350,0
"County Assembly
Infrastructure im-
provement","SP 3.11 Equipping of
library",,-,,-,,,350,0
,"SP 3.12 Maintenance of
motor vehicle","7,750,000",-,"1,769,280",-,23,,350,0
,"SP 3.13 Purchase of
furniture and general
equipment","5,366,793",-,-,-,0,,350,0
,"SP 3.14 Construction
of County Assembly
Headquarters and mod-
ern chambers, purchase
of land for speaker’s
residence, construction
and equipping of ward
offices",,"351,358,979",-,"19,539,580",,6,350,0
,"SP 3.15 Improvement of
ICT services",,-,,-,,,350,0
,"SP 3.16 Maintenance
of plants, machinery &
other assets","9,016,760",-,-,,0,,350,0
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","De-
velop-
ment",351,0
,"SP 3.17 Electricity, water
and sewerage and other
utility charges","11,928,878",-,-,,0,,351,0
,"SP 3.18 Printing,
advertisement and in-
formation supplies and
services","33,821,371",-,"2,941,200",,8.7,,351,0
,"SP 3.19 Rental of
approved assets and hire
of motor vehicles","2,200,000",-,-,,0,,351,0
,"SP 3.20 Insurance cost
for group personal,
building, motor vehicle
and medical cover","31,980,382",-,-,,0,,351,0
