Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",233,1
"County As-
sembly","Administration And
Support Services","827,043,113",-,"115,666,312",-,14,-,233,1
,"Oversight and Legisla-
tive Services","297,594,882","76,722,235","36,305,000",-,12,-,233,1
,Sub Total,"1,124,637,995","76,722,235","151,971,312",-,14,-,233,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",234,0
"Executive
(Office of the
Governor,
Deputy Gover-
nor, County
Secretary and
Public Service
Board","Administration,
Planning and Support
Services","326,700,000","200,000,000","41,469,792",-,13,-,234,0
,"Office of the County
Secretary","8,650,000",-,-,-,-,-,234,0
,Legal Services,"42,570,000",-,-,-,-,-,234,0
,"Communication
Services","3,180,000",-,-,-,-,-,234,0
,"Governor’s Advisors,
Service Delivery Unit
and Efficiency Moni-
toring","1,260,000",-,-,-,-,-,234,0
,Chief of staff,"750,000",-,-,-,-,-,234,0
,"County Public Service
Board","16,384,950",-,-,-,-,-,234,0
,County Liaison office,"620,000",-,-,-,-,-,234,0
,Sub-Total,"400,114,950","200,000,000","41,469,792",-,10,-,234,0
"Admin-
istration,
Corporate
Services and
Stakeholder
Management","Administration,
Planning and Support
Services","540,853,683",-,"70,560,942",-,13,-,234,0
,"Devolved Units
Services","1,400,000","33,300,000",-,-,-,-,234,0
,"Human Resource
Development","1,600,000",-,-,-,-,-,234,0
,Enforcement Services,"8,456,000",-,-,-,-,-,234,0
,"Stakeholder Manage-
ment","39,303,018",-,"6,490,322",-,17,-,234,0
,"Public Participation
and Civic Education","2,700,000",-,-,-,-,-,234,0
,Disaster Management,"9,050,000","10,200,000",-,-,-,-,234,0
,Fleet Management,"7,300,000",-,-,-,-,-,234,0
,"Strategy Delivery &
Project Management","400,000",-,-,-,-,-,234,0
,Special Programmes,"1,965,444",-,-,-,-,-,234,0
,Sub-Total,"613,028,145","43,500,000","77,051,264",-,13,-,234,0
"Finance and
Economic
Planning","Administration, Coor-
dination and Support
Services","956,453,776",-,"75,151,914",-,8,-,234,0
,"Public Financial man-
agement services","85,882,512",-,-,-,-,-,234,0
,"County Planning
Services","146,563,712","246,000,000","12,068,974",-,8,-,234,0
,Sub-Total,"1,188,900,000","246,000,000","87,220,888",-,7,-,234,0
"Agriculture,
Livestock,
Fisheries and
Co-operative
Development","Administration and
Support Services","111,024,568",-,-,-,-,-,234,0
,Veterinary Services,-,"45,145,078",-,-,-,-,234,0
,"Livestock Develop-
ment",-,"44,659,200",-,-,-,-,234,0
,Fisheries development,-,"46,656,525",-,-,-,-,234,0
,"Crop development
headquarters","177,931,929","278,434,431","7,139,122",-,4,-,234,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",235,0
,"Kisii Agricultural
Training Centre","300,000","48,159,006",-,-,-,-,235,0
,"Co-operative Devel-
opment and Manage-
ment","400,000","4,500,000",-,-,-,-,235,0
,Crop development,"450,000","5,532,336",-,-,-,-,235,0
,Co-operative Audit,-,-,-,-,-,-,235,0
,"Monitoring and Evalu-
ation",-,-,-,-,-,-,235,0
,"Agro-processing,
Value addition, and
Marketing","700,000","500,000",-,-,-,-,235,0
,"Engineering, Irriga-
tion and Drainage","300,000","3,000,000",-,-,-,-,235,0
,Sub-Total,"291,106,497","476,586,576","7,139,122",-,3,-,235,0
"Energy, Water,
Environment
and Natural
Resources",Energy Services,-,"67,100,000",-,-,-,-,235,0
,"Environment Manage-
ment","18,020,000","211,950,000",-,-,-,-,235,0
,"Water and sanitation
services","113,166,382","429,905,963","11,629,542",-,10,-,235,0
,Sub-Total,"131,186,382","708,955,963","11,629,542",-,9,-,235,0
"Education,
Labour and
Manpower
Development","General Adminis-
tration and Planning
Services","964,859,123",-,"108,498,000",-,11,-,235,0
,"Early childhood devel-
opment education",-,"366,804,478",-,-,-,-,235,0
,Vocational training,-,"32,366,950",-,-,-,-,235,0
,Sub-Total,"964,859,123","399,171,428","108,498,000",-,11,-,235,0
"County Health
Services",Medical Services,"3,421,154,652","699,871,055","459,821,972",-,13,-,235,0
,public health,"92,750,000",-,-,-,-,-,235,0
,Sub-Total,"3,513,904,652","699,871,055","459,821,972",-,13,-,235,0
"Lands, Phys-
ical Planning
and Urban
Development","Administration,
planning and support
services","230,100,000",-,"13,699,600",-,6,-,235,0
,Urban development,-,"239,503,308",-,-,-,-,235,0
,Land use services,-,-,-,-,-,-,235,0
,Sub-Total,"230,100,000","239,503,308","13,699,600",-,6,-,235,0
"Roads, Public
Works,
Transport and
Housing","General administra-
tion and planning
services","184,700,000",-,"19,930,250",-,11,-,235,0
,Roads development,-,"1,764,306,009",-,-,-,-,235,0
,Public works,"70,300,000","6,000,000","10,948,416",-,16,-,235,0
,Sub-Total,"255,000,000","1,770,306,009","30,878,666",-,12,-,235,0
"Trade,
Tourism and
Industry","Administration and
planning services","79,784,818","423,611,706","11,568,456",-,15,-,235,0
,Tourism development,"1,113,224",-,-,-,-,-,235,0
,Weights and measures,"2,775,000",-,-,-,-,-,235,0
,Markets Development,"2,000,000",-,-,-,-,-,235,0
,Sub-Total,"85,673,042","423,611,706","11,568,456",-,14,-,235,0
