Programme,Sub-Programme,Approved Estimates (Kshs),col_3,Actual Expenditure (Kshs),col_5,Absorption Rate (%),col_7,page_number,table_index
Grand Total,,"671,454,158","296,374,376","273,721,797",-,0.4,-,211,0
County Division for Economic Planning,,,,,,,,211,0
,"4,715,577","35,000,000",-,-,,,,211,0
,"128,050,000",-,-,-,,,,211,0
,"19,500,000",-,-,-,,,,211,0
Grand Total,"152,265,577","35,000,000",-,-,,,,211,0
"Devolution, Civic Education and Public Participation",,,,,,,,211,0
,"General Adminis-
tration, planning
and support
services","92,590,478",-,"1,688,296",-,1.8,,211,0
,Sub Total,"92,590,478",-,"1,688,296",-,2,,211,0
,"Devolution
Services",-,"56,864,763",-,-,,,211,0
,Sub-Total,-,"56,864,763",-,-,,-,211,0
Grand Total,,"92,590,478","56,868,763",,,,,211,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",212,0
County Division for Public Service Board,,,,,,,,212,0
,"Administration,
Planning and
Support Services","80,003,904",-,"12,368,526",-,15,,212,0
,"Recruitment and
Selection","35,926,956",-,-,-,,,212,0
Grand Total,,"115,930,860",-,"12,368,526",-,11,-,212,0
County Division for County Attorney,,,,,,,,212,0
,"Administration
Planning and
Support Services","31,070,000",,"242,085",,0.1,,212,0
,"Legal Advisory
and Legislative
Drafting","3,853,600","7,716,569",,,,,212,0
,Sub-Total,"34,923,600","7,716,569","242,085",-,,,212,0
County Division for Cooperative Development,,,,,,,,212,0
,"Sub-Programme
1.1: Administra-
tion, Planning
and Support
Services","52,786,261",-,"1,961,119",-,3.7,,212,0
,Sub Total,"52,786,261",-,"1,961,119",-,,,212,0
Grand Total,,"52,786,261",-,"1,961,119",-,,,212,0
County Division For Blue Economy,,,,,,,,212,0
,Sub-programme,"9,505,900","51,435,949","848,899","35,822,341",9,70,212,0
,Sub Total,"9,505,900","51,435,949","848,899","35,822,341",9,70,212,0
"Programme
2",Sub-programme,"9,900,369","51,435,949","800,000","9,458,068",8,18,212,0
,Sub-Total,"9,900,369","51,435,949","800,000","9,458,068",8,18,212,0
Grand Total,,"19,406,269","102,871,898","1,648,899","42,280,409",8,44,212,0
County Division for Agriculture,,,,,,,,212,0
,Sub-programme,"233,605,723","151,515,152","83,621,693",-,36,,212,0
,Sub Total,"233,605,723","151,515,152","83,621,693",-,36,,212,0
,Sub-programme,"23,991,850","182,580,856","1,653,780","180,026,646",7,99,212,0
,Sub-Total,"23,991,850","182,580,856","1,653,780","180,026,646",7,99,212,0
,Sub-programme,"1,661,000","2,500,000",-,"998,920",,40,212,0
,Sub-Total,"1,661,000","2,500,000",-,"998,920",,40,212,0
Grand Total,,"259,258,573","336,596,008","85,275,473","181,025,566",33,54,212,0
County Division for Special Programmes,,,,,,,,212,0
,"Special Pro-
grammes","75,271,412",-,-,-,,,212,0
,"Disaster Risk
Management",-,"17,571,130",-,-,,,212,0
Grand Total,,"75,271,412","17,571,130",-,-,,,212,0
Department of Roads and Transport Services,,,,,,,,212,0
,"202,013,110","135,719,087",-,"57,545,386",-,42,,212,0
,"201,013,110",-,"876,455,525",-,-,,,212,0
,Sub-Total,"135,719,087","876,455,525","57,545,386",-,,,212,0
Grand Total,,"135,719,087","876,455,525","57,545,386",-,,,212,0
Office of The Governor,,,,,,,,212,0
,"Administrative
services","181,647,623",,"109,356,925",,60.2,,212,0
,"Governance and
national values","19,294,685",,"6,936,544",,35.9,,212,0
,Sub Total,"200,942,308",,"116,293,469",,57.8,,212,0
,Sub-Total,"200,942,308",,"116,293,469",,57.8,,212,0
Grand Total,,"200,942,308",,"116,293,469",,57.9,,212,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",213,0
"County
Division for
Special Pro-
grammes","Special Pro-
grammes","75,271,412",-,-,-,,,213,0
,"Disaster Risk
Management",-,"17,571,130",-,-,,,213,0
Grand Total,,"75,271,412","17,571,130",-,-,,,213,0
County Division for The County Secretary,,,,,,,,213,0
,"Administrative
services","31,500,000",,-,,,,213,0
,Sub Total,"31,500,000",,-,-,,,213,0
,Sub-Total,"31,500,000",,-,-,,,213,0
Grand Total,,"31,500,000",,-,-,,,213,0
"County
Division for
Sports and
Talent De-
velopment","Sports and Talent
Development","72,371,184","910,555,888",-,-,,,213,0
Grand Total,,"72,371,184","910,555,888",-,-,,,213,0
County Division for Livestock Development,,,,,,,,213,0
,Sub-programme,"12,389,080","36,094,815","1,684,503","10,156,560",14,28,213,0
,Sub-Programme,,,,,,,213,0
,Sub Total,"12,389,080","36,094,815","1,684,503","10,156,560",14,28,213,0
Grand Total,,"12,389,080","36,094,815","1,684,503","10,156,560",14,28,213,0
Division of Lands and Physical Planning,,,,,,,,213,0
,"Sub-programme
1.1 Administra-
tion, Planning
and Support
Services","18,589,444",,-,-,,,213,0
,Sub Total,"18,589,444",,-,-,,,213,0
,"Sub-Programme
4.1 Land use","250,000",,-,-,,,213,0
,"Sub-Programme
4.2 Land Survey,
Mapping and
Valuation","250,000",-,-,-,,,213,0
,Sub-Total,"500,000",-,-,-,,,213,0
,"Sub-Programme
2.1: Physical
Planning and
Development",-,"31,908,163",-,-,,,213,0
,Sub-Total,-,"31,908,163",,-,,,213,0
,"Programme 3.1:
Land Survey,
Mapping and
Valuation",-,"24,529,720",-,-,,,213,0
,,-,"24,529,720",-,-,,,213,0
Grand Total,,"19,089,444","56,437,883",-,-,-,-,213,0
Gender and Social Services,,,,,,,,213,0
,"Administration
Services","47,097,980",,"6,910,049",-,15,,213,0
,"Heritage Conser-
vation Pro-
gramme","5,000,000","15,000,000",-,-,,,213,0
,"Gender Develop-
ment","17,430,000","15,000,000",-,-,,,213,0
,Social Protection,,"178,990,976",-,,,,213,0
"GRAND
TOTAL",,"69,527,980","208,990,976",-,-,,,213,0
