col_0,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure Jul 2024 -
September 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,288,1
"COUNTY: COUNTY COORDINATION, ADMINISTRATION, ICT AND PUBLIC SERVICE",,,,,,,,288,1
COUNTY ADMINISTRATION,,,,,,,,288,1
"P3 General Adminis-
tration and Planning","Headquarter Administration
Services-0103014510","16,100,000",-,"800,000",,5%,,288,1
,"ICT Infrastructure and Con-
nectivity-0505014510","1,300,000","2,000,000",-,,0%,0%,288,1
,"County Administration -
Laikipia East-0701034510","850,000",-,-,-,0%,,288,1
,"County Administration -
Laikipia North-0701044510","1,300,000",-,-,-,0%,,288,1
,"Decentralised Ser-
vices-0717014510","37,500,000",-,-,-,0%,,288,1
,"County Administration -
Laikipia West-0701054510","450,000",-,-,-,0%,,288,1
,"Sports Promotion Services -
0902054510","8,500,000",-,-,-,0%,,288,1
,Sub Total,"66,000,000","2,000,000","800,000",-,1%,0,288,1
COUNTY ADMINISTRATION,,,,-,-,,,288,1
"General Administra-
tion and Planning","Compensation To Employ-
ees-0701064510","3,611,255,593",,"365,055,708",-,10%,,288,1
,Sub-Total,"3,611,255,593",-,"365,055,708",-,10%,,288,1
COUNTY ADMINISTRATION,,,,,,,,288,1
"County Executive
Committee Support","Executive Support Ser-
vice-0708014510","56,000,000",-,"1,200,000",-,2%,,288,1
,Legal Services-0708024510,"3,045,284",-,-,-,-,,288,1
,"Intergovernmental & Donor
Liason-0708034510","5,000,000",-,-,-,-,,288,1
,Sub-Total,"64,045,284",-,"1,200,000",-,2%,,288,1
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,289,0
COUNTY ADMINISTRATION,,,,,,,,289,0
County Administration,Public Participation,"2,000,000",-,-,-,-,,289,0
,"County Services Delivery
and Result Report","3,100,000",-,-,-,-,,289,0
,Decentralised Services,,"13,000,000",-,-,,0,289,0
,Sub-Total,"5,100,000","13,000,000",-,-,-,0,289,0
COUNTY ADMINISTRATION,,,,,,,,289,0
"Security and Policing
Support Services","Urban Facilities Manage-
ment Services-0702054510",-,-,-,-,,,289,0
"Human Capital
Management and
Devolution","County Public Service
Board-0722024510","6,000,000",-,"450,000",-,8,,289,0
"Human Capital
Management and
Devolution","Information and Records
Management-0722034510","1,800,000",-,-,-,-,,289,0
,Sub-Total,"7,800,000",-,"450,000",-,6,,289,0
COUNTY ADMINISTRATION,,,,,,,,289,0
County Administration,Fleet-0702074510,"800,000",-,-,-,-,,289,0
,Sub-Total,"800,000",-,-,-,-,,289,0
COUNTY ADMINISTRATION,,,,,,,,289,0
"Public Safety, Enforce
and Disaster Manage-
ment","Disaster Reduction Manage-
ment-0705014510","1,224,706","1,633,000",-,-,-,0,289,0
"Public Safety, Enforce
and Disaster Manage-
ment",Fire Services-0705024510,"857,294","3,267,000",-,-,-,0,289,0
"Public Safety, Enforce
and Disaster Manage-
ment","Enforcement And Disaster
Management-0705034510","673,000",-,-,-,-,,289,0
"Public Safety, Enforce
and Disaster Manage-
ment","Alcohol Control Commit-
tee-0705044510","245,000",-,-,-,-,,289,0
,Sub-Total,"3,000,000","4,900,000",-,-,-,0,289,0
,Sub-Total,"3,758,000,877","19,900,000","367,505,708",-,10,0,289,0
"DEPARTMENT: FINANCE, ECONOMIC PLANNING AND THE COUNTY TREASURY",,,,,,,,289,0
"707004510 Financial
Services","707064510 County Treasury
administrative services","20,000,000",-,-,-,0,0,289,0
,"707084510 Financial Auto-
mation Services","800,000",-,-,-,0,0,289,0
,"707074510 Laikipia County
Emergency Fund",-,"45,000,000",-,-,0,0,289,0
,"707044510 Revenue manage-
ment services",-,"10,000,000",-,-,0,0,289,0
,Sub-Total,"20,800,000","55,000,000",-,-,0,0,289,0
"0709004510 Admin-
istration and Support
Services","709014510 Generation
administration and support
services","72,244,143","392,000,000","7,000,000","13,657,559",10,3,289,0
,Sub-Total,"72,244,143","392,000,000","7,000,000","13,657,559",10,3,289,0
"0725004510 Public
Finance Management
Services","725014510 County Treasury
Accounting and Reporting
Services","4,500,000",-,-,-,0,0,289,0
,"725044510 Budget Man-
agement","3,644,412",-,-,-,0,0,289,0
,"725034510 Internal Audit
Services","4,800,000",-,-,-,0,0,289,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,290,0
,"725024510 Supply Chain
Management Services","4,500,000",-,-,-,0,0,290,0
,Sub-Total,"17,444,412",-,-,-,0,0,290,0
"0706004510 Depart-
mental administrative
services/Centralised
services","706044510 Revenue collec-
tion services","34,500,000",-,"10,069,519",-,29,0,290,0
,"706054510 Budget supply
services","1,395,800",-,-,-,0,0,290,0
,Sub-Total,"35,895,800",-,"10,069,519",-,28,0,290,0
"0726004510 Develop-
ment Planning Services","726014510 Integrated Plan-
ning Services",-,-,-,-,0,0,290,0
,"726024510 Participatory
Budgeting support services",-,-,-,-,0,0,290,0
,"726034510 Research Sta-
tistics and Documentation
services",-,-,-,-,0,0,290,0
,"726064510 Strategic Partner-
ship and Collaboration","5,000,000","1,910,951",-,-,0,0,290,0
,"0726044510 Programme
Monitoring and Evaluation","1,574,000",-,"45,000",-,3,0,290,0
,Sub-Total,"6,574,000","1,910,951","45,000",-,1,0,290,0
"0702004510 County
Administration","0702054510 Public partic-
ipation","240,000",-,-,-,0,0,290,0
,Sub-Total,"240,000",-,-,-,0,0,290,0
"0721004510 Economic
planning services","0721014510 Integrated
Planning Services","1,600,000",-,"150,000",-,9,0,290,0
,"0721054510 Research Statis-
tics and Documentation","2,200,000",-,"120,414",-,5,0,290,0
,Sub-Total,"3,800,000",-,"270,414",-,7,0,290,0
,Totals,"156,998,355","448,910,951","17,384,933","13,657,559",11,0,290,0
,,,,,,,,290,0
