Programme,Sub-Programme,"Approved Original Budget Estimates FY
2024/25 (Kshs.)",col_3,col_4,"Actual Expenditure 24 July - 24
September (Kshs.)",col_6,"Absorption
Rate %",col_8,page_number,table_index
,,Recurrent,"Develop-
ment",Gross,Recurrent,Development,Rec,Dev,187,1
"County Coordina-
tion Services","County Coordi-
nation Services","149,275,697",-,"149,275,697","8,010,876",-,5.0,,187,1
,,"149,275,697",-,"149,275,697","8,010,876",-,5.0,,187,1
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,,,,187,1
"Administration,
Planning and Sup-
port Services.","Administration
Services.","267,873,400",-,"267,873,400","10,398,906",-,4.0,0.0,187,1
,,Recurrent,"Develop-
ment",Gross,Recurrent,Development,Rec,Dev,188,0
"Administration,
Planning and Sup-
port Services.","Monitoring
Budget Imple-
mentation and
Reporting","33,200,000","33,984,012","67,184,012","4,890,986",-,15.0,0.0,188,0
"Public Finance Man-
agement","Budget
Formulation,
co-odination and
management","16,750,000","200,000,000","216,750,000","2,336,420","21,899,222",14.0,11.0,188,0
Audit Services,County Audit,"6,350,000",-,"6,350,000","1,817,800",-,29.0,,188,0
,,"324,173,400","233,984,012","558,157,412","19,444,112","21,899,222",6.0,9.0,188,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,,188,0
"Policy, Strategy and
Management of
Agriculture","Development
of Agricultural
Policy, Legal
& Regulatory
framework.","50,298,002",-,"50,298,002",-,-,0.0,,188,0
"Crop Development
and Management","Agriculture Ex-
tension Services","60,708,413","333,847,764","394,556,177","8,662,226","19,440,705",14.0,6.0,188,0
"Livestock Resource
Management and
Development","Livestock Disease
Management and
Control.",-,"76,765,387","76,765,387",-,"999,960",,1.0,188,0
"Livestock Resource
Management and
Development","Livestock
Production
and Extension
Services","37,919,501",-,"37,919,501","5,170,987",-,14.0,,188,0
"Fisheries develop-
ment","Management and
Development of
Capture Fisheries","7,400,131","5,650,000","13,050,131","193,400",-,3.0,0.0,188,0
"Cooperative develop-
ment and manage-
ment","Cooperative
Advisory & Ex-
tension Services.","11,713,870","31,279,276","42,993,146","189,200",,2.0,,188,0
,,"168,039,917","447,542,427","615,582,344","14,215,813","20,440,665",8.0,5.0,188,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,,,,188,0
"Environment policy
development and
coordination","Planning Coordi-
nation Policy and
Administrative
Services","147,738,287","25,000,000","172,738,287","10,318,060",-,7.0,0.0,188,0
Water supply services,"Rural Water
Supply","13,256,328","477,332,222","490,588,550",-,"46,897,630",0.0,10.0,188,0
,,"160,994,615","502,332,222","663,326,837","10,318,060","46,897,630",6.0,9.0,188,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,,,,188,0
"General Adminis-
tration & Planning
Services.","Policy Devel-
opment and
Administration","557,680,800","21,421,054","579,101,854","46,364,917",-,8.0,0.0,188,0
Basic Education,"Early Childhood
Development
Education","197,391,728","101,236,444","298,628,172","516,700","1,781,254",0.0,2.0,188,0
"Gender and Social
Development","Social Welfare
Services/Social
Infrastructure
Development","3,100,000","13,000,000","16,100,000","283,650",-,9.0,0.0,188,0
"Youth development
and empowerment
services","Youth Devel-
opment (YP)
Training",-,"66,000,000","66,000,000",-,"652,600",,1.0,188,0
,,"758,172,528","201,657,498","959,830,026","47,165,267","2,433,854",6.0,1.0,188,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,,188,0
Curative Health,"Administration
and Planning","1,556,587,353","137,741,103","1,694,328,456","91,450,319",-,"6,0",0.0,188,0
Curative Health,"Hospital(cura-
tive)Services",-,-,-,-,-,,,188,0
,,Recurrent,"Develop-
ment",Gross,Recurrent,Development,Rec,Dev,189,0
"Preventive and Pro-
motive Health","Preventive Medi-
cine and Promo-
tive Health","1,322,512,715","109,898,672","1,432,411,387","63,450,320","13,146,395",5.0,12.0,189,0
,,"2,879,100,068","247,639,775","3,126,739,843","154,900,639","13,146,395",5.0,5.0,189,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,,,,189,0
"Administration and
support services","General Admin-
istration and
Planning","86,480,578","110,550,249","197,030,827","11,652,126","15,000,000",13.0,14.0,189,0
"Housing Develop-
ment and Human
Resource","Housing Devel-
opment","9,879,309","23,106,250","32,985,559","843,700","2,203,750",9.0,10.0,189,0
"Land policy and
planning","Development
Planning and
Land Reforms","27,145,730","17,001,700","44,147,430","1,275,125",-,5.0,0.0,189,0
"Land policy and
planning","Land Use Plan-
ning","5,652,443","39,855,800","45,508,243","134,400","2,987,603",2.0,7.0,189,0
,,"129,158,060","190,513,999","319,672,059","13,905,351","20,191,353",11.0,11.0,189,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,,,,189,0
"Transport Manage-
ment and Safety","General Admin-
istration Plan-
ning and Support
Services","85,212,784",-,"85,212,784","4,458,998",-,5.0,,189,0
"Infrastructure, Roads
and Transport","Rehabilitation of
Road","3,400,000","717,155,412","720,555,412",-,"9,988,173",0.0,1.0,189,0
"Infrastructure, Roads
and Transport","Maintenance
of Roads and
Bridges/Periodic
Maintenance","6,195,958","38,000,000","44,195,958",-,-,0.0,0.0,189,0
,,"94,808,742","755,155,412","849,964,154","4,458,998","9,988,173",5.0,1.0,189,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,,,,189,0
"Trade development
and investment","Fairtrade
Practices and
Consumer Pro-
tection (weight &
measures)","19,160,892","353,856,453","373,017,345","2,789,686","6,298,206",15.0,2.0,189,0
"Trade development
and investment","Administrative
and Support
Services.","37,725,234","2,000,000","39,725,234","2,133,942",-,6.0,0.0,189,0
"Tourism develop-
ment and marketing","Local Tourism
Development.","6,772,961","9,000,000","15,772,961","274,035",-,4.0,,189,0
,,"63,659,087","364,856,453","428,515,540","5,197,663","6,298,206",8.0,2.0,189,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,,,,189,0
"Information & Com-
munication Service","News and Infor-
mation Services","71,126,262",-,"71,126,262","2,617,892",-,4.0,0.0,189,0
"Information & Com-
munication Service","ICT and BPO
development
services",-,"40,000,000","40,000,000",-,"3,468,123",0.0,9.0,189,0
"Youth development
and empowerment
services","Youth Devel-
opment (YP)
Training",-,-,-,-,-,0.0,,189,0
,,"71,126,262","40,000,000","111,126,262","2,617,892","3,468,123",4.0,9.0,189,0
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,,,,189,0
"Administration of
Human Resources
and Public Service","Establishment,
Appointment,
Discipline and
Board Manage-
ment.","82,743,700",-,"82,743,700","2,617,137",-,3.0,,189,0
,,"82,743,700",-,"82,743,700","2,617,137",-,3.0,,189,0
