Programme,Sub-Programme,Approved Estimates,col_3,"Actual expenditure as of
30 September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",482,0
Office of the Governor,,,,,,,,482,0
"General adminis-
tration, planning
and support
services","Service Delivery
Coordination","72,100,000",,"4,432,000",,6.1,,482,0
,"Governor’s press
services and
administrative
support","7,260,000",,-,,-,,482,0
,"Liaison and
Intergovernmental
Relations","16,740,000",,-,,-,,482,0
,"Special Programs
and Diaspora
Affairs","18,500,000",,-,,-,,482,0
,"Public
Participation and
Civic Education","5,400,000",,-,,-,,482,0
Sub Total,,"120,000,000",-,"4,432,000",-,3.7,,482,0
Office of the County Secretary & Head of Public Service,,,,,,,,482,0
County Secretary,"County
Administration","47,450,000",,"130,000",,0.3,,482,0
,Cabinet Affairs,"2,500,000",,"150,000",,6.0,,482,0
,"Communication
and Public
Relations","5,350,000",,"300,000",,5.6,,482,0
,"County Records
Management","5,630,139",,-,,-,,482,0
Sub Total,,"60,930,139",-,"580,000",-,1.0,,482,0
Office of the County Attorney,,,,,,,,482,0
"County Attorney
Services","Legal and Public
Affairs","26,850,000",,"320,000",,1.2,,482,0
Sub Total,,"26,850,000",-,"320,000",-,1.2,,482,0
Public Service & Devolution,,,,,,,,482,0
"Human Resource
Management","Payroll (Including
Compensation to
employees)","2,300,460,000",,"242,465,635",,10.5,,482,0
,"Human Resource
Management (In-
cluding employee
gratuity, pension
and medical insur-
ance)","268,610,000",,"350,000",,0.1,,482,0
"Public
administration","Public
Administration","43,789,921",,"956,400",,2.2,,482,0
,"Sub-County
and Ward
Administration","20,350,000",,"50,000",,0.2,,482,0
,"Enforcement and
Compliance","16,120,000","2,000,000","908,000",,5.6,,482,0
Sub Total,,"2,649,329,921","2,000,000","244,730,035",-,9.2,,482,0
County Public Service Board,,,,,,,,482,0
"County Public
Service Board","County Public
Service Board","25,925,600",,"200,000",,0.8,,482,0
Sub Total,,"25,925,600",-,"200,000",-,0.8,,482,0
"Finance, Economic Planning & ICT",,,,,,,,482,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",483,0
"Public Finance
Management",County Funds,"314,900,000","10,000,000",-,,-,,483,0
,Treasury services,"68,960,100",,"540,000",,0.8,,483,0
,Financial reporting,"8,935,000",,-,,-,,483,0
,"Revenue Collec-
tion and Adminis-
tration (Including
automation)","30,090,135",,"865,000",,2.9,,483,0
,"Revenue
Enhancement and
Monitoring","27,400,000",,"1,320,000",,4.8,,483,0
,"Supply Chain
Management","10,984,500",,"30,000",,0.3,,483,0
,"Internal Audit and
Risk Management","8,050,000",,"420,000",,5.2,,483,0
,"Internal Audit
Committee","3,800,000",,-,,-,,483,0
"Economic
planning and
development","Economic Devel-
opment Planning,
including KDSP","16,350,000","100,000,000","647,000",,4.0,,483,0
,"County Statistics
and Data Bank","4,850,000",,-,,-,,483,0
,"Monitoring and
Evaluation","14,000,000",,"1,088,000",,7.8,,483,0
,"Economic Model-
ling and Research","2,500,000",,-,,-,,483,0
,County Budgeting,"18,570,000",,"1,439,000",,7.7,,483,0
,"Resource Mobil-
isation and Debt
Management","3,000,000",,"250,000",,8.3,,483,0
"ICT and E-gov-
ernment Services","ICT and E-govern-
ment Services","11,900,000","8,700,000","350,000",,2.9,,483,0
Sub Total,,"544,289,735","118,700,000","6,949,000",-,1.3,,483,0
Health Services,,,,,,,,483,0
"Preventive and
Promotive Services","Preventive and
Promotive Services","90,420,000",,"13,050,000",,14.4,,483,0
Curative Services,Curative Services,"84,650,000",,"490,000",,0.6,,483,0
,"Health Improve-
ment Financing
(FIF)","250,000,000",,-,,,,483,0
,"Universal health
care and grants","34,397,500",,-,,-,,483,0
"General
administration,
planning and
support services","Solid Waste and
Cemeteries","25,100,000",,-,,-,,483,0
,"Infrastructure and
Equipment","217,000","239,501,090",,,,,483,0
Sub total,,"484,784,500","239,501,090","13,540,000",-,2.8,,483,0
"Education, Children, Gender Affairs & Culture",,,,,,,,483,0
"Primary
education",ECDE,"27,394,999","42,670,943","850,000",,3.1,,483,0
"Youth training
and development","Revitalisation of
Youth Polytechnics","63,304,187","14,146,429","496,760",,0.8,,483,0
"Culture and
library services","Development
and Promotion of
Culture","5,725,000","4,300,000","4,048,750",,70.7,,483,0
,Library Services,"2,915,000","4,500,000","55,000",,,,483,0
"Children, Gender
and Social Services",Social Services,"54,030,000",,-,,-,,483,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",484,0
,"Children and
Gender Affairs","10,295,000",,"150,000",,1.5,,484,0
"General
administration,
planning and
support services","Alcohol Drinks
Control and Civic
Education","6,000,000",,-,,-,,484,0
Sub Total,,"169,664,186","65,617,372","5,600,510",-,3.3,,484,0
"Tourism, Co-operative Development, Trade & Industrialization",,,,,,,,484,0
"Trade
development and
promotion","Financial and
Trade Services","7,700,000","11,400,000","826,250",,10.7,,484,0
,"Nyandarua County
Trade Development
and Investment Au-
thority (NCTDIA)","5,800,000",,,,-,,484,0
"Industrial
development and
investment","Industrial and
Enterprise Devel-
opment","5,600,000","403,000,000","770,000",,13.8,,484,0
,"Weights & Mea-
sures","4,295,000",,-,,-,,484,0
"Co-operative
development and
management","Co-operative Audit
Extension Services","2,370,053",,-,,-,,484,0
,"Co-operative
Development","10,320,000",,-,,-,,484,0
"Tourism
development and
promotion","Tourism Infra-
structure Develop-
ment","19,399,747","11,800,000",-,,-,,484,0
Sub Total,,"55,484,800","426,200,000","1,596,250",-,2.9,,484,0
"Youth, Sports & Arts",,,,,,,,484,0
Sports,"Sports
Development","31,855,000","13,603,933","280,000",,0.9,,484,0
Youth Affairs,Youth Affairs,"15,976,824",,"350,000",,2.2,,484,0
Arts & Theater,Arts & Theater,"7,800,000","1,500,000","150,000",,1.9,,484,0
Sub Total,,"55,631,824","15,103,933","780,000",-,1.4,,484,0
"Water, Environment, Climate Change & Natural Resources",,,,,,,,484,0
"Water Resource
Development.","Water Resource
Conservation and
Protection, Infra-
structure and flood
control","19,848,400","146,443,985","350,000",,1.8,,484,0
Environment,"Environmental
support and
management","4,880,000","700,000","725,000",,14.9,,484,0
,"Climate change
resilience","5,240,000","227,685,079","650,000",,12.4,,484,0
,Natural resource,"4,870,000",,-,,-,,484,0
"Irrigation and
Drainage infra-
structure","Promotion of irri-
gation and drainage
development and
management","500,000","4,000,000",-,,-,,484,0
