Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"SP. 3. Housing man-
agement",-,"4, 000, 000",-,-,-,-,84,0
,,(Kshs.),,(Kshs.),,,,85,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,85,0
Programme 17.,,-,"21, 750, 000",-,-,,,85,0
,"SP. 2. Land use admin-
istration and manage-
ment",-,"21, 750, 000",-,,-,-,85,0
Programme 18.,,-,"28, 500, 000",-,-,,,85,0
,"SP. 1. Urban manage-
ment",-,"21, 000, 000",-,-,-,-,85,0
,"SP. 2. Urban infra-
structure development
& mgt",-,"7, 500, 000",-,-,-,-,85,0
,Subtotal,"145, 734, 770","74, 250, 000","13, 169, 436",-,9,-,85,0
"Department of Water, Environment, Irrigation, Natural Resources and Climate Change.",,,,,,,,85,0
Programme 1.,,"136, 125, 655",-,"9, 562, 490",-,,,85,0
,"SP. 1. General admin-
istration & support
services","136, 125, 655",-,"9, 562, 490",-,7,-,85,0
Programme 4.,,-,"230, 950, 000",-,"13, 461, 570",,,85,0
,"SP. 3. Urban water
infrastructure devel-
opment",-,"20, 000, 000",-,-,-,-,85,0
,"SP. 4. Rural water
infrastructure devel-
opment",-,"210, 950, 000",-,"13, 461, 570",-,6,85,0
Programme 6.,,-,"11, 600, 000",-,-,,,85,0
,"SP. 2. Afforestation and
Agro- forestation",-,"5, 000, 000",-,-,-,-,85,0
,"SP. 3. Catchment & wa-
tershed conservation",-,"6, 600, 000",-,-,-,-,85,0
Programme 7.,,-,"486, 101, 083",-,"19, 604, 007",,,85,0
,"SP. 1. Climate change
mitigation & resilience",-,"486, 101, 083",-,"19, 604, 007",-,4,85,0
Programme 8.,,-,"57, 400, 000",-,-,-,,85,0
,"SP. 1. Irrigation infra-
structure development",-,"5, 000, 000",-,-,-,-,85,0
,"SP. 2. Irrigation farmer
& institution support",-,"2, 000, 000",-,-,-,-,85,0
,"SP. 3. Renewable ener-
gy technology",-,"13, 500, 000",-,-,-,-,85,0
,"SP. 4. Rural electrifi-
cation",-,"36, 900, 000",-,-,-,-,85,0
,Subtotal,"136, 125, 655","786, 051, 083","9, 562, 490","33, 065, 577",6,5,85,0
Department of Health Services.,,,,,,,,85,0
Programme 1.,,"2,051,873,319",-,"289, 856, 032",-,,,85,0
,"SP 1. General admin-
istration & support
services","2,051,873,319",-,"289, 856, 032",-,14,-,85,0
Programme 5.,,-,"241, 000, 000",-,"11, 997, 395",,,85,0
,"SP. 1. Diagnostic ser-
vices in the higher-lev-
el facility",-,"10, 000, 000",-,"4, 497, 900",-,45,85,0
,"SP. 3. Infrastructure
development tier 3
facilities",-,"191, 000, 000",-,"5, 299, 495",-,3,85,0
,,(Kshs.),,(Kshs.),,,,86,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,86,0
,"SP. 4. Ambulance and
referral services",-,"15, 000, 000",-,-,-,-,86,0
,"SP. 5. Higher level
hospital equipment",-,"25, 000, 000",-,"2, 200, 000",-,9,86,0
Programme 6.,,-,"137, 300, 000",-,"2, 084, 810",-,,86,0
,"SP. 8. Infrastructure
development in tier 2
level",-,"132, 900, 000",-,-,-,-,86,0
,"SP. 9. Lower-level hos-
pital equipment",-,"4, 400, 000",-,"2, 084, 810",-,47,86,0
,Subtotal,"2,051,873,319","378, 300, 000","289, 856, 032","14, 082, 205",13,,86,0
Department of County Public Service Board.,,,,,,,,86,0
Programme 1.,,"119, 308, 935",-,"12, 608, 906",-,,,86,0
,"SP. 1. General admin-
istration & support
services","119, 308, 935",-,"12, 608, 906",-,11,-,86,0
,Subtotal,"119, 308, 935",-,"12, 608, 906",-,11,-,86,0
Department of Office of the Governor.,,,,,,,,86,0
Programme 1.,,"296, 330, 901",-,"67, 608, 867",-,,,86,0
,"SP. 1. General admin-
istration & support
services","296, 330, 901",-,"67, 608, 867",-,23,-,86,0
Programme 14.,,-,"28, 000, 000",-,-,-,-,86,0
,"SP 1. Disaster pre-
paredness",-,"28, 000, 000",-,-,-,-,86,0
,Subtotal,"296, 330, 901","28, 000, 000","67, 608, 867",-,21,-,86,0
Department of County Assembly.,,,,,,,,86,0
Programme 1.,,"891, 698, 127","40, 000, 000","192, 752, 961","23, 895, 650",,,86,0
,"SP. 1. General admin-
istration & support
services","891, 698, 127","40, 000, 000","192, 752, 961","23, 895, 650",22,60,86,0
,Subtotal,"891, 698, 127","40, 000, 000","192, 752, 961","23, 895, 650",22,60,86,0
Department of County Attorney.,,,,,,,,86,0
Programme 1.,,"85, 489, 885",-,"20, 050, 487",-,,,86,0
,"SP. 1. Administration
support & services","85, 489, 885",-,"20, 050, 487",-,24,-,86,0
,Subtotal,"85, 489, 885",-,"20, 050, 487",-,24,-,86,0
Strategic Partnership and Digital Economy.,,,,,,,,86,0
Programme 1.,,"48, 076, 677",-,"462, 100",-,1,-,86,0
,"SP. 1. General admin-
istration & support
services","48, 076, 677",-,"462, 100",-,1,-,86,0
Programme 18.,,-,"6, 000, 000",-,-,-,-,86,0
,SP. 1. ICT,-,"6, 000, 000",-,-,-,-,86,0
,Subtotal,"48, 076, 677","6, 000, 000","462, 100",-,1,-,86,0
Grand Total,,"6,510,720,576","2,803,197,548","1,197,690,131","328, 587, 801",18,12,86,0
