Program,"Sub Pro-
gram",Description,Approved Estimates (Kshs.),col_4,Actual Expenditure (Kshs.),col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,302,1
COUNTY ASSEMBLY,,,,,,,,,302,1
,,"General Administration
and Planning","255,997,689",,"29,417,896",,11,0,302,1
,,"Legislation. Representa-
tion and Oversight","251,002,311","104,500,000",,,0,0,302,1
,Sub Total,,"507,000,000","104,500,000","29,417,896",,11,0,302,1
COUNTY EXECUTIVE,,,,,,,,,302,1
703003212,,,"79,140,798","65,796,810","11,529,708",,15,0,302,1
,703013210,Administration Services,"79,140,798","65,796,810","11,529,708",,15,0,302,1
,,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,303,0
,Sub Total,,"79,140,798","65,796,810","11,529,708",,15,0,303,0
FINANCE,,,,,,,,,303,0
711003213,,,"899,139,940",0,"282,976,952.82",,31,0,303,0
,711013210,Administration Services,"899,139,940",0,"282,976,952.82",,31,0,303,0
712003213,,,"7,407,871.50","10,000,000",,,0,0,303,0
,712043210,Procurement,"625,000",0,,,0,0!,303,0
,712023210,Resource mobilisation,"5,531,125","5,000,000",,,0,0,303,0
,712053210,"Public Finance & Ac-
counting","752,746.50","5,000,000",,,0,0,303,0
,712033210,Internal Audit,"499,000",0,,,0,0,303,0
,Sub Total,,"906,547,812","10,000,000","282,976,952.82",,31,0,303,0
AGRICULTURE,,,,,,,,,303,0
116003214,,,"7,000,000","263,995,842","50,000",,1,0,303,0
,116013210,"Agricultural Extension
Research & Training","4,575,000",0,"50,000",,1,0,303,0
,116053210,"Training & Accommo-
dation",0,"5,000,000",0,0,0,0,303,0
,116023210,"Promotion of Mech-
anised Agriculture",0,"25,000,000",0,0,0,0,303,0
,116083210,"Provision of Relief seeds
to vulnerable farmers",0,"45,000,000",0,0,0,0,303,0
,116033210,"Promotion of Agro-Pro-
cessing & Value Addi-
tion Technologies","2,425,000","188,995,842",0,,0,0,303,0
117003214,,,0,"10,000,000",0,0,0,0,303,0
,117023210,Irrigated Farming,0,"10,000,000",0,0,0,0,303,0
,Sub Total,,"7,000,000","273,995,842","50,000",0,1,0,303,0
LANDS AND PHYSICAL PLANNING,,,,,,,,,303,0
Program,Sub Program,Description,,,0,,,,303,0
101003215,,,"2,000,000",0,"364,350",0,18,0,303,0
,101013210,Administration Services,"2,000,000",0,"364,350",0,18,0,303,0
102003215,,,0,"67,532,644",0,0,0,0,303,0
,102023210,Physical planning,0,"67,532,644",0,0,0,0,303,0
103003215,,,0,"310,128,530",0,0,0,0,303,0
,103013210,"Housing & Urban
Development",0,"310,128,530",0,0,0,0,303,0
104003215,,,"7,500,000",0,0,0,0,0,303,0
,104013210,"Infrastructure Devel-
opment","7,500,000",0,0,0,0,0,303,0
,Sub Total,,"9,500,000","377,661,174","364,350",,4,0,303,0
"EDUCATION, GENDER AND SOCIAL SERVICE",,,,,,,,,303,0
501003216,,,"10,000,000",0,"50,000",0,1,0,303,0
,501013210,Administration Services,"10,000,000",0,"50,000",0,1,0,303,0
502003216,,,"80,000,000","32,550,000",0,0,49,0,303,0
,502013210,"Promotion of Early
Childhood Education",0,"32,550,000",0,0,0,0,303,0
,502023210,Bursaries,"80,000,000",0,"39,422,308",0,49,0,303,0
503003216,,,0,"56,100,000",0,0,0,0,303,0
,503013210,Village Polytechnics,0,"31,000,000",0,0,0,0,303,0
,,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,304,0
,503023210,"Development of Sports
facilities",0,"5,000,000",0,0,0,0,304,0
,503043210,Youth and Sports,0,"20,100,000",0,0,0,0,304,0
504003216,,,0,"38,465,461",0,0,0,0,304,0
,504023210,Woman Empowerment,0,"8,600,000",0,0,0,0,304,0
,504013210,Social Development,0,"29,865,461",0,0,0,0,304,0
,Sub Total,,"90,000,000","127,115,461","39,472,308",0,44,0,304,0
MEDICAL SERVICE,,,,,,,,,304,0
401003217,,,"2,575,000",0,0,0,0,0,304,0
,401013210,"Human Resource &
Development","2,575,000",0,0,0,0,0,304,0
402003217,,,"105,800,000","76,229,526","2,650,000",,3,0,304,0
,402043210,SP4 curative Services,"105,800,000","52,807,386","2,650,000",0,3,0,304,0
,402013210,"Primary Health Care
Services",0,"1,160,000",,0,0,0,304,0
,402023210,Hospital Services,0,"22,262,140",,0,0,0,304,0
403003217,,,"4,100,000","125,800,000",,0,0,0,304,0
,403043210,"SP4 Preventive and
Promotive Services","4,100,000","125,800,000",,0,0,0,304,0
,Sub Total,,"112,475,000","202,029,526","2,650,000",0,2,0,304,0
"TRADE, INVESTMENT, CULTURE AND TOURISM",,,,,,,,,304,0
301003218,,,"2,990,069.50",0,"50,000",0,2,0,304,0
,301013210,Administration Services,"2,990,069.50",0,"50,000",0,2,0,304,0
302003218,,,0,"2,500,000",0,0,0,0,304,0
,302023210,Promotion & Marketing,0,"2,500,000",0,0,0,0,304,0
303003218,,,0,"18,654,517",0,0,0,0,304,0
,303033210,Market development,0,"18,654,517",0,0,0,0,304,0
304003218,,,"12,500,000",0,0,0,0,0,304,0
,304013210,Cultural Festival,"12,500,000",0,0,0,0,0,304,0
305003218,,,0,"15,985,117",0,0,0,0,304,0
,305023210,SME Development,0,"15,985,117",0,0,0,0,304,0
,Sub Total,,"15,490,069.50","37,139,634","50,000",0,0,0,304,0
ICT AND E-GOVERNANCE,,,,,,,,,304,0
101003219,,,"1,660,000",0,"30,000",0,2,0,304,0
,101013210,Administration Services,"1,660,000",0,0,0,2,0,304,0
202003219,,,"750,000",0,0,0,0,0,304,0
,202023210,"Communication &
Citizen Participation","750,000",0,0,0,0,0,304,0
203003219,,,"3,250,000","24,487,461",0,0,0,0,304,0
,203013210,"Networking Infrastruc-
ture","3,250,000","24,487,461",0,0,0,0,304,0
,Sub Total,,"5,660,000","24,487,461","30,000","30,000",1,0,304,0
"FISHERIES, LIVESTOCK, VETERINARY AND CO-OPERATIVE",,,,,,,,,304,0
106003220,,,"3,535,225",0,"240,000",0,,,304,0
,106013210,"Administration, Plan-
ning and Monitoring &
Evaluation","3,535,225",0,"240,000",0,7,0,304,0
109003220,,,0,"23,000,000",0,0,0,0,304,0
,,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,305,0
,109013210,Fish farming,0,"23,000,000",0,0,0,0,305,0
111003220,,,0,"1,000,000",0,0,0,0,305,0
,111013210,"Livestock Extension
Services",0,"1,000,000",0,0,0,0,305,0
112003220,,,0,"26,000,000",0,0,0,0,305,0
,112013210,"Veterinary Service
Management",0,"26,000,000",0,0,0,0,305,0
,Sub Total,,"3,535,225","50,000,000","240,000",,7,0,305,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,,305,0
709003221,,,"3,312,500",0,"50,000",0,2,0,305,0
,709013210,Administration Services,"3,312,500",0,"50,000",0,2,0,305,0
710003221,,,"2,400,000",0,"50,000",0,2,0,305,0
,710053210,"Human Resource Man-
agement and Develop-
ment","2,400,000",0,"50,000",0,2,0,305,0
,Sub Total,,"5,712,500",0,"100,000",0,2,0,305,0
WATER MANAGEMENT AND CONSERVATION,,,,,,,,,305,0
105003223,,,"29,000,000","129,145,791","12,099,077",0,42,0,305,0
,105013210,"Water management,
Conservation & Pro-
vision","29,000,000","129,145,791","12,099,077",0,42,0,305,0
,Sub Total,,"29,000,000","129,145,791","12,099,077",0,42,0,305,0
"PUBLIC HEALTH, ENVIRONMENT AND SANITATION",,,,,,,,,305,0
202003225,,,0,"6,000,000",0,0,0,0,305,0
,202023210,"Communication &
Citizen Participation",0,"6,000,000",0,0,0,0,305,0
404003225,,,"16,040,000","166,744,059","50,000",0,0,0,305,0
,404023210,"Public Health &
licensing","14,190,000","166,744,059","50,000",0,0,0,305,0
,404013210,Waste management,"1,850,000",0,0,0,0,0,305,0
501003225,,,"1,503,130",0,0,0,0,0,305,0
,501013210,Administration Services,"1,503,130",0,0,0,0,0,305,0
,Sub Total,,"17,543,130","172,744,059","50,000",0,0,0,305,0
"BUDGET, ECONOMIC AND PLANNING",,,,,,,,,305,0
713003227,,,"3,000,000",0,"171,635",0,6,0,305,0
,713023210,"Budget and Economic
Planning","3,000,000",0,"171,635",0,6,0,305,0
,Sub Total,,"3,000,000",0,"171,635",0,6,0,305,0
"INFRASTRUCTURE, ENERGY, ROADS AND URBAN DEVELOPMENT",,,,,,,,,305,0
101003228,,,"3,000,000",0,"50,000",0,1.6,0,305,0
,101013210,Administration Services,"3,000,000",0,"50,000",0,1.6,0,305,0
104003228,,,0,"232,438,138",0,0,0,0,305,0
,104013210,"Infrastructure Devel-
opment",0,"232,438,138",0,0,0,0,305,0
,Sub Total,,"3,000,000","232,438,138","50,000",0,1.6,0,305,0
MUNICIPALITY OF LAMU,,,,,,,,,305,0
101003229,,,"22,601,555",,"100,000",0,0,0,305,0
,101013210,Administration Services,"22,601,555",,"100,000",0,0,0,305,0
