Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,(Kshs.),,(Kshs.),,,,198,1
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent e","Develop-
ment",198,1
COUNTY ASSEMBLY,,,,,,,,198,1
"Legislation and
oversight","Legislation and
oversight","688,434,245",-,"76,869,075",-,11,-,198,1
"General Admin-
istration Planning
and Support
Services","General Admin-
istration Planning
and Support
Services","524,310,941","110,000,000","44,520,680",-,8,0,198,1
"Representation
services","Representation
services","144,671,000",-,"14,243,210",-,10,-,198,1
,Sub Total,"1,357,416,186","110,000,000","135,632,965",-,10,0,198,1
COUNTY EXECUTIVE,,,,,,,,198,1
"Leadership &
Coordination of
County Admin &
Departments","General Admin-
istration and
Support Services","411,430,000",-,"58,623,528",-,14,-,198,1
,"Public awareness
and Institutional
Strengthening","24,070,000",-,"125,000",-,1,-,198,1
,,(Kshs.),,(Kshs.),,,,199,0
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent e","Develop-
ment",199,0
,Legal services,"49,500,000",-,"3,678,295",-,7,-,199,0
,Sub Total,"485,000,000",-,"62,426,823",-,13,-,199,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,199,0
"Leadership and
Administration of
Human Resources
and Development
in County Public
Service","Human Resource
development and
management
services","90,090,972",-,"5,903,325",-,7,-,199,0
,Sub Total,"90,090,972",-,"5,903,325",-,7,-,199,0
FINANCE & ECONOMIC PLANNING,,,,,,,,199,0
"Public Finance
Management and
Economic Policy &
Strategy",Budget,"14,955,200",-,"948,583",-,6,-,199,0
,Revenue,"393,500,000","5,000,000","33,202,930",-,8,0,199,0
,Accounting,"62,500,000",-,"17,234,830",-,28,-,199,0
,Internal Audit,"10,387,800",-,"974,192",-,9,-,199,0
,"Economic Plan-
ning","11,157,000",,"602,410",,5,-,199,0
"General Adminis-
tration and support
services","General Adminis-
tration and support
services","1,000,616,154","5,000,000","131,548,057",-,13,0,199,0
ICT Services,ICT services,"15,000,000","261,000,000","7,300,000",-,49,0,199,0
,Sub Total,"1,508,116,154","271,000,000","191,811,002",-,13,0,199,0
"WATER, ENVIRONMENT, ENERGY & NATURAL RESOURCES",,,,,,,,199,0
"Water and environ-
ment administra-
tion","Administration,
Planning & Sup-
port Services","500,725,926",-,"91,032,888",-,0,-,199,0
Water,"Water Resource
Management and
Sanitation",-,"174,252,369",-,"38,231,439",-,22,199,0
Natural Resources,"Natural Resources,
Forest Conserva-
tion and Manage-
ment",-,"10,000,000",-,-,-,0,199,0
Environment,"Environment and
Solid Waste Man-
agement",-,"44,883,260",-,-,-,0,199,0
"Renewable Energy
and Climate
Change","Climate Change
Mitigation &Adap-
tation",-,"372,754,777",-,-,-,0,199,0
,,"500,725,926","601,890,406","91,032,888","38,231,439",0,6,199,0
HEALTH SERVICES,,,,,,,,199,0
Health Services,Curative,"1,200,000,000","715,461,755","1,819,580","122,126,018",0,17,199,0
,"Preventive and
Promotive","959,107,042",-,"291,370,778",-,0,-,199,0
,Pharmaceuticals,"120,000,000",-,-,-,-,-,199,0
,"Administration
and Support","4,760,698,635",-,"622,228,864",-,0,-,199,0
,Sub Total,"7,039,805,677","715,461,755","915,419,222","122,126,018",0,17,199,0
,,(Kshs.),,(Kshs.),,,,200,0
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent e","Develop-
ment",200,0
"ROADS, TRANSPORT, PUBLIC WORKS & UTILITIES",,,,,,,,200,0
"Maintenance of
Roads, Bridg-
es, Transport,
Construction and
Maintenance","General adminis-
tration and support
services","771,101,084",-,"138,873,487",-,0,-,200,0
,"Construction of
road and civil
works",-,"1,724,148,358",-,"144,218,272",-,8,200,0
,Sub Total,"771,101,084","1,724,148,358","138,873,487","144,218,272",0,8,200,0
ADMINISTRATION & PUBLIC SERVICE,,,,,,,,200,0
"General Admin-
istration Planning
and Support
services","General Admin-
istration Planning
and Support
services","924,882,896","35,000,000","112,828,708",-,0,0,200,0
"Human Resource
Management &
Development
Services","Human Resource
Management &
Development","54,500,000",-,"1,436,800",-,0,-,200,0
Alcoholic Fund,"Alcoholic Drinks
Control & Rehabil-
itation","30,000,000","40,000,000",-,-,-,0,200,0
,Sub-Total,"1,009,382,896","75,000,000","114,265,508",-,0,0,200,0
"AGRICULTURE, LIVESTOCK AND CO-OPERATIVE DEVELOPMENT",,,,,,,,200,0
"Agriculture,
Livestock and
Co-Operative
Development","General Adminis-
tration, Planning
and Support
Services","426,762,458",-,"42,688,730",-,0,-,200,0
,"Crop Develop-
ment, Irrigation
and Marketing
Services","806,000","431,835,070",-,"9,026,100",-,2,200,0
,"Livestock and Fish-
eries Management
and Development","46,308,780","276,383,074","108,178",-,-,0,200,0
,"Co-operative
Development and
Management","37,000,000","5,000,000","1,555,055",-,-,0,200,0
,Sub Total,"510,877,238","713,218,144","44,351,963","9,026,100",-,1,200,0
"EDUCATION, GENDER, CULTURE& SOCIAL SERVICES",,,,,,,,200,0
"Pre-primary edu,
Promotion of
Culture and Social
Services","PrePrimary
education and
youth polytechnics
services","380,140,000","607,835,695","1,214,380","31,611,633",0,5,200,0
,"Gender, Culture
and Social Services","36,130,000","30,000,000","325,000",-,0,0,200,0
,"General adminis-
tration and support
services","985,248,957",-,"86,930,727",-,0,-,200,0
,Sub Total,"1,401,518,957","637,835,695","88,470,107","31,611,633",0,5,200,0
"YOUTH AFFAIRS, SPORTS & COMMUNICATION",,,,,,,,200,0
"Youth Affairs,
Sports and Com-
munication",Youth Affairs,"11,000,000",-,"455,000",-,4,-,200,0
,Sports,"53,500,000",-,"2,620,900",-,5,-,200,0
,Communication,"17,000,000",-,"132,000",-,1,-,200,0
,,,,,,,176,200,0
,,(Kshs.),,(Kshs.),,,,201,0
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent e","Develop-
ment",201,0
,"General Adminis-
tration","93,052,827",-,"7,636,248",-,8,-,201,0
,"Youth Empower-
ment",-,"40,000,000",-,-,-,0,201,0
,"Improvement of
Sports Infrastruc-
ture",-,"130,000,000",-,"12,374,340",-,10,201,0
,Sub Total,"174,552,827","170,000,000","10,844,148","12,374,340",6,7,201,0
"LAND, HOUSING, PHYSICAL PLANNING, MUNICIPAL ADMINISTRATION & URBAN DEVELOPMENT",,,,,,,,201,0
"Urban Areas
Development &
Administration","Urban Areas Ad-
ministration and
Management","135,000,000","1,958,136,816","13,883,100",-,10,0,201,0
"General Adminis-
tration, Planning
and Support
Services","General adminis-
tration and support
services","227,518,169",-,"24,598,201",-,11,-,201,0
"Land Use Manage-
ment, Valuation
& Rating and Phys-
ical Planning","Land Administra-
tion services","40,000,000","14,428,865",-,-,-,0,201,0
"Housing and
Community Devel-
opment","Housing Develop-
ment",-,"860,543,092",-,"2,175,000",-,0,201,0
,Sub Total,"402,518,169","2,833,108,773","38,481,301","2,175,000",10,0,201,0
"TRADE, INDUSTRIALISATION, TOURISM, INVESTMENTS",,,,,,,,201,0
"Trade, Industrial-
isation, Tourism,
Investments","General Adminis-
tration, Planning
and Support
Services","158,808,604",-,"7,119,503",-,4,-,201,0
,Trade and Markets,-,"274,000,000",-,"41,291,078",-,15,201,0
,"Tourism promo-
tion and marketing",-,"9,176,300",-,-,-,0,201,0
,Industrialisation,-,"20,000,000",-,-,-,0,201,0
,Investment,-,"10,000,000",-,-,-,0,201,0
,Sub Total,"158,808,604","313,176,300","7,119,503","41,291,078",4,13,201,0
GRAND TOTAL,,"15,409,914,690","8,164,839,431","1,844,632,242","401,053,880",12,5,201,0
