Programme,Sub-Programme,Delivery Unit,Approved Budget,col_4,Actuals Payments,col_6,% Absorption,col_8,page_number,table_index,col_9
,"0119025310 Sp 19.2
Fisheries Development
and Management","5321000500 Fisheries
Department","1,502,779",,-,,-,,420,0,-
,"0119035310 Sp 19.3
Livestock Resources
Management and
Development","5321000300 Livestock
Production Depart-
ment","1,543,395","20,000,000",-,,-,,420,0,-
"0116005310 P.10:-
Animal Health,
Safety and Quality
Assurance","0116015310 sp 10.1
Animal Research,
Diseases, Pest Control
& Quality Assurance","5321000400 Vet-
erinary Services
Department","1,990,168","16,754,496",-,,-,,420,0,-
"0117005310
P.11:Aforestation","0117015310 sp 11.1
Forestry Services","5321000700 Forestry
Department","6,934,160",,-,,-,,420,0,-
,,,,,,,,396,420,0,
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,421,0,
"0118005310 P.18:-
Food Systems and
Surveillance","0118015310 Sp.18.1:
Food Systems and
Surveillance Services","5321000600 Food
Systems","1,462,158","14,000,000",-,,-,-,421,0,
,"Total 5321000000
AGRICULTURE,
LIVESTOCK DEVEL-
OPMENT, FISHER-
IES & FORESTRY","5321000000 AGRI-
CULTURE, LIVE-
STOCK DEVELOP-
MENT, FISHERIES
& FORESTRY","188,818,494","70,754,496","19,254,170",-,10.2,-,421,0,
"0730005310
P30:Legislation,
Oversight and
Representation","0730015310 Sp 30.1
Legislation and Repre-
sentation","5322000100 Office Of
The Speaker","6,271,200",-,"420,800",,6.7,-,421,0,
,"0730025310 Sp 30.2
Oversight","5322000200 County
Legislature","829,181,198",-,"88,147,887",,10.6,-,421,0,
,"0730035310 Sp 30.3
General Adminis-
tration and Support
Services","5322000300 Commit-
tee Services","262,929,500",-,"11,521,600",,4.4,-,421,0,
,,"5322000400 County
Assembly Service
Board","28,866,280",-,"1,273,800",,4.4,-,421,0,
,,"5322000500 Office Of
The Clerk","797,863,658","1,635,000,000","68,497,885",,8.6,-,421,0,
,,"5322000000 COUN-
TY ASSEMBLY","1,925,111,836","1,635,000,000","169,861,972",-,8.8,-,421,0,
"1001005310 P1
General Adminis-
tration & Support
Services","1001015310 Sp1 Gen-
eral Administration &
Support","5323000100 Head-
quarters","1,789,925,265",,"264,155,920",,14.8,-,421,0,
"1002005310 P2
Environment
Management and
Protection.","1002045310 sp 2.4
Beautification, Rec-
reation and Greening
Services","5323000200 Parks &
Open Spaces Section","15,230,848",,-,,-,-,421,0,
,"1002035310 sp 2.3 Sol-
id waste management","5323000300 Solid
Waste Management
Section","1,580,430,946","400,000,000",-,,-,-,421,0,
,"1002055310 sp 2.5
Environment Planning
Management Services","5323000400 Envi-
ronmental Monitor-
ing Compliance &
Enforcement","2,030,780",,-,,-,-,421,0,
,"1004055310 sp 4.5
Energy & Natural
resources","5323000500 Energy
& Natural resources
department","17,870,862","141,460,000",-,,-,-,421,0,
"1004005310 P4
Water Resources
Management","1002055310 sp 2.5
Environment Planning
Management","5323000800 Climate
change and air quality","6,498,495",,-,,-,-,421,0,
,,"5323000000
ENVIRONMENT,
WATER, ENERGY
& NATURAL RE-
SOURCES","3,411,987,196","541,460,000","264,155,920",-,7.7,-,421,0,
"0214005310
P8:Ward Develop-
ment","0214015310 sp 8.1
Ward Development &
Administration","5325000200 Ward
Development Pro-
grammes","80,000,000","2,155,000,000",-,,-,-,421,0,
,,"5325000000 WARD
DEVELOPMENT
PROGRAMMES","80,000,000","2,155,000,000",-,-,-,-,421,0,
"0718005310 Gen-
eral Administra-
tive Services","0718015310 Sp1 Gen-
eral Administration &
Support Services","5326000100 Emer-
gency Fund","100,000,000",,-,,-,-,421,0,
,,"5326000000 EMER-
GENCY FUND","100,000,000",-,-,-,-,-,421,0,
"0313005310 P.13
Licensing and Fair
Trade Practices","0313015310 sp 13.1
Liquor Licensing &
Regulation","5327000200 Liquor
Board and Sub-Com-
mittees","294,000,000","57,000,000","61,762,607",,21.0,-,421,0,
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,422,0,
,,"5327000000 LI-
QUOR LICENSING
BOARD","294,000,000","57,000,000","61,762,607",-,21.0,-,422,0,
"0718005310 Gen-
eral Administra-
tive Services","0718015310 Sp1 Gen-
eral Administration &
Support Services","5329000100 Office
Of County Secretary
Headquarters","253,708,318","185,000,000","45,328,260",,17.9,-,422,0,
,,"5329000200 Records
Management","4,900,678","20,000,000",-,,-,-,422,0,
,,"5329000300 Research
Policy & Develop-
ment","2,131,099",-,-,,-,-,422,0,
"0723005310 P
23 Performance
Management and
Public Service
Delivery","0723015310 sp 23.1
Performance Contract-
ing management","5329000500 Reforms
and Performance
Contracting","5,451,669",-,-,,-,-,422,0,
,,"5329000600 Monitor-
ing & Evaluation","3,320,894",-,-,,-,-,422,0,
"0732005310 P32
Coordination of
executive services","0732015310 Sp 32.1
Executive Office Man-
agement Services","5329000400 County
Executive","173,702,210",-,"22,358,570",,12.9,-,422,0,
,,"5329000700 Exec-
utive Management
Office","60,923,391",-,-,,-,-,422,0,
,,"5329000800 Execu-
tive Communication","8,123,119",-,-,,-,-,422,0,
,"0732025310 Sp 32.2
Intergovernmental
Relation services","5329000900 In-
ter-Governmental Re-
lations Headquarters","8,529,277",-,-,,-,-,422,0,
,"0732035310 Sp 32.3
Donor Coordination
Services","5329001000 Donor
Coordination and
Stakeholders Engage-
ment","31,680,163",-,-,,-,-,422,0,
"0733005310 P33
Coordination of
boroughs and
devolved units","0733015310 Sp33.1
Boroughs, Sub County
Administration & co-
ordination of devolve","5329001100 Bor-
oughs, Sub County
Administration","574,954,189","387,000,000","79,084,650",,13.8,-,422,0,
"0724005310 P 24
Security and Safe-
ty Management","0724055310 Inspec-
torate","5329001300 Security
and Compliance
Headquarters","2,253,192,578","35,000,000","303,206,110",,13.5,-,422,0,
,"0724015310 sp 24.1
investigative Services","5329001600 Investi-
gation Department","50,018,859",-,"6,219,090",,12.4,-,422,0,
"0726005310
P.26 Disaster
Management &
Coordination","0726025310 Gen-
eral Administrative
Services","5329001700 Disaster
Mgt & Coordination
Headquarters","325,075,284",-,"36,910,430",,11.4,-,422,0,
,"0726035310 P.26.3 Fire
fighting and rescue
services","5329001800 Fire
fighting and Rescue","110,796,300","120,000,000",-,,-,-,422,0,
,"0726055310 P.25.5
Ambulance Services","5329001900 Ambu-
lance Services","9,922,415",-,-,,-,-,422,0,
,"0726045310 P.26.4 Di-
saster Risk Reduction","5329002000 Disaster
Risk Reduction","31,252,645","15,000,000",-,,-,-,422,0,
"0734005310 P34
Internal Audit","0734015310 Sp34.1
Audit Services",5329002100 Audit,"66,573,812","10,000,000","7,009,740",,10.5,-,422,0,
,"5329000000
BOROUGHS AND
PUBLIC ADMINIS-
TRATION","5329000000
BOROUGHS AND
PUBLIC ADMINIS-
TRATION","3,974,256,900","772,000,000","500,116,850",-,12.6,-,422,0,
"0725005310 P 25
management of
legal affairs","0725015310 sp 25.1
legal services","5330000100 Legal
Affairs","253,746,650","15,000,000","13,320,940",,5.2,-,422,0,
,"5330000000 COUN-
TY ATTORNEY","5330000000 COUN-
TY ATTORNEY","253,746,650","15,000,000","13,320,940",-,5.2,-,422,0,
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,423,0,
"0215005310 P15
General Admin-
istration Planning
and Support
Services","0215015310 Sp1 Gen-
eral Administration,
Planning And Support
Services","5331000100 ICT
Headquarters","99,537,984",,"13,684,500",,13.7,-,423,0,
"0217005310 P17
Digital Economy
and Start-Ups","0217015310 SP17.1
Digital Economy","5331000200 Digital
Economy","3,218,468",,-,,-,-,423,0,
,"0217025310 SP17.2
E-Learning","5331000300 E-Learn-
ing Headquarters","4,249,248",,-,,-,-,423,0,
,"0217035310 SP17.3
Startups",5331000400 Startups,"6,341,587",,-,,-,-,423,0,
"0218005310 P18
Smart Nairobi","0218015310 SP18.1
Smart Nairobi","5331000500 Smart
Nairobi","13,809,302","263,974,624",-,,-,-,423,0,
"0314005310 P14:
ICT Infrastructure
Connectivity","0314015310 Sp1 ICT
Infrastructure Con-
nectivity","5331000600 Infor-
mation Security
Headquarters","2,640,014",,-,,-,-,423,0,
,"0314025310 Sp14.1
Information Security","5331000700 Infra-
structure","61,575,446",,-,,-,-,423,0,
,"5331000000 INNOVA-
TION AND DIGITAL
ECONOMY","5331000000 INNO-
VATION AND DIG-
ITAL ECONOMY","191,372,049","263,974,624","13,684,500",-,7.2,-,423,0,
"0405005310 P5
Public Health","0405015310 Sp5.1
HIV/AIDS Prevention
& Control Unit","5332000100 HIV/
AIDS prevention and
control unit","1,624,625",-,-,,-,-,423,0,
,"0405025310 Sp5.2 TB
Control","5332000200 TB
control unit","487,389",-,-,,-,-,423,0,
,"0405035310 Sp5.3
Malaria Control &
Other Communicable
Diseases","5332000300 Malaria
control & Other
Communicable Dis-
eases unit","2,802,477",-,-,,-,-,423,0,
,"0405045310 Sp5.4
Environmental / Public
Health","5332000400 Environ-
mental Public Health","4,061,559",-,-,,-,-,423,0,
,"0405055310 Sp5.5
Health Policy and
Regulation","5332000500 Health
Policy and Regula-
tions","4,061,559","40,000,000",-,,-,-,423,0,
,"0404105310 Sp 4.10
Coroner Services Unit","5332000600 Coroner
Services","6,092,339","65,000,000",-,,-,-,423,0,
,"0405075310 Sp5.7
Nairobi County Public
Health Emergency
Response","5332000700 Nairobi
County Public Health
Emergency Response","2,396,320",-,-,,-,-,423,0,
"0406005310 P6
Health Facilities","0406015310 Sp6.1
County Referral
Hospitals","5332000800 Mbagathi
District Hospital","5,203,078","182,242,958",-,,-,-,423,0,
,,"5332000900 Pumwani
Maternity Hospital","7,003,078","32,859,175",-,,-,-,423,0,
,,"5332001000 Mama
Lucy Hospital","6,203,078","194,100,000",-,,-,-,423,0,
,,"5332001100 Mama
Margaret Uhuru
Kenyatta Hospital","5,284,309","262,165,646",-,,-,-,423,0,
,,"5332001200 Mutuini
Hospital","2,403,078","239,839,281",-,,-,-,423,0,
,,"5332001300 Other
Level 4 Hospitals",,"81,446,000",,,-,-,423,0,
,"0406025310 Sp6.2
Health planning and
financing","5332001400 Health
planning and financ-
ing","12,619,977","187,979,500",-,,-,-,423,0,
,"0406035310 Sp6.3
Health Centres &
Dispensaries","5332001500 Health
centers & dispen-
saries","60,027,723","699,771,941",-,,-,-,423,0,
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,424,0,
,"0406045310 Sp6.4
Pumwani School of
Nursing","5332001600 Pumwani
Nursing School","812,312","52,482,836",-,,-,-,424,0,
,"0406055310 Sp6.5
Health Commodities","5332001700 Health
Commodities","25,000,000",-,-,,-,-,424,0,
"0407005310 P7
medical services","0407015310 Sp7.1
Primary Health Care","5332001900 Primary
Health Care","34,684,837",-,-,,-,-,424,0,
,"0407025310 Sp7.2 Nai-
robi Medical Insurance","5332002000 Nairobi
Medical Insurance",,,-,,-,-,424,0,
,"0407035310 Sp7.3
Reproductive Health
& Maternal Health
(RMNCAH)","5332002100 Re-
productive Health,
Maternal Health
(RMNCAH)","28,645,296",-,-,,-,-,424,0,
,"0407045310 Sp7.4
Clinical Services","5332002200 Clinical
Services","111,055,832",-,-,,-,-,424,0,
,,"5332002300
Non-communicable
diseases","27,481,661",-,-,,-,-,424,0,
,"0407055310 Sp7.5
Research, Quality
assurance & standards
unit","5332002400 Health
Research","1,624,624",-,-,,-,-,424,0,
"0408005310 P8
Wellness and
Nutrition","0408015310 Sp8.1
Nutrition","5332002500 Nutrition
Program Promotion","4,873,873",-,-,,-,-,424,0,
,"0408025310 Sp8.2
Wellness",5332002600 Wellness,"4,061,560",-,-,,-,-,424,0,
,"0408015310 Sp8.1
Nutrition","5332002700 School
Feeding","808,082,502",-,-,,-,-,424,0,
"0404005310 Gen-
eral administra-
tion, planning and
support services","0404015310 Sp4.1 Ad-
ministration/Human
Resource for Health","5332002800 Health,
Wellness & Nutrition
Headquarters","7,009,051,798",,"1,105,442,101",,15.8,-,424,0,
,,"5332000000
HEALTH WELL-
NESS & NUTRI-
TION","8,175,644,884","2,037,887,337","1,105,442,101",-,13.5,-,424,0,
"0718005310 Gen-
eral Administra-
tive Services","0106015310 Sp 6.1 Ad-
ministration, Planning
& Support Services","5333000100 Built
Environment and
Planning Headquar-
ters","351,619,698",,"57,330,600",,16.3,-,424,0,
"0121005310 P21
Urban Develop-
ment & Planning","0121015310 Sp21.1
Urban Planning Com-
pliance & Enforcement
Services","5333000200 Urban
Planning Compliance
& Enforcement","10,153,899",,-,,-,-,424,0,
"0122005310 P22
Land Manage-
ment and Proper-
ty Management","0122015310 Sp22.1
Land Survey, GIS and
Mapping Services","5333000500 Land
Survey, GIS and
Mapping","90,153,900","217,000,000",-,,-,-,424,0,
,,"5333000600 Valu-
ation and Property
Management","50,000,000",-,-,,-,-,424,0,
"0123005310 P23
Housing Develop-
ment and Building
Services","0102045310 SP4 Urban
Renewal 580,000,000;
0123015310 Sp23.1
Housing and Urban
Renewal Services
20,000,000","5333000700 Urban
Renewal and Housing
Hq","8,448,045","865,000,000",-,,-,-,424,0,
,"0123025310 Sp23.2
Building services","5333000900 Building
Services Department","1,705,855",,-,,-,-,424,0,
,,"5333000000 BUILT
ENVIRONMENT &
URBAN PLANNING","512,081,397","1,082,000,000","57,330,600",-,11.2,-,424,0,
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,425,0,
"0216005310
P16:General
Administration,
Planning
And Support
Services","0216015310 Sp 16.1
General Administra-
tion, Planning And
Support Services","5334000100 Mobility
and Works Head-
quarters","1,167,595,976",,"94,387,253",,8.1,-,425,0,
"0219005310 P19
Works","0219015310 Sp19.1
Road and stormwater
drainage",5334000200 Roads,"5,564,336","1,449,946,768",-,,-,-,425,0,
,"0219035310 Sp19.3
Electrical engineering
services",5334000300 Electrical,"4,061,559","100,000,000",-,,-,-,425,0,
,"0219045310 Sp19.4
Building works
services","5334000400 Building
Works","3,801,619","8,000,000",-,,-,-,425,0,
"0220005310 P20
Mobility","0220015310 Sp20.1
Transportation","5334000500 Trans-
port","395,127,604","488,735,000","74,268,300",,18.8,-,425,0,
,"0220025310 Sp20.2
Traffic Management
Services",,,,,,,,425,0,
,"0220035310 Sp20.3
Mechanical Engineer-
ing Services (Automo-
tive section)","5334000600 Garage/
Transportation","1,015,390","134,350,000",-,,-,-,425,0,
,,"5334000000 MOBIL-
ITY AND WORKS","1,577,166,484","2,181,031,768","168,655,553",-,10.7,-,425,0,
"0508005310 Gen-
eral administra-
tion, planning and
support services","0508025310 sp 8.2
General Adminis-
tration & Support
Services","5335000100 Educa-
tion Headquarters","1,781,860,965",,"126,498,530",,7.1,-,425,0,
"0509005310 P9
Education services","0509025310 sp 9.2
Early Childhood De-
velopment Centres","5335000200 Early
Childhood Develop-
ment Centers","100,000,000","510,000,000",-,,-,-,425,0,
,"0509035310 sp 9.3
Technical and Voca-
tional Training","5335000300 Voca-
tional Training","1,507,931","58,933,024",-,,-,-,425,0,
"0902005310 2.1
Social Services","0902015310 General
Administration &
Support Services","5335000500 Social
Services Headquar-
ters","177,649,294",,"25,510,130",,14.4,-,425,0,
,,"5335000900 Control
of Drugs and Pornog-
raphy","1,303,208",,-,,-,-,425,0,
,"0902025310 Sp.2.2
Gender and Commu-
nity Empowerment","5335000600 Commu-
nity Development","814,504",,-,,-,-,425,0,
,"0902065310 Sp 2.6
Social welfare and care
for the Aged","5335000700 Family
Welfare","2,321,339",,-,,-,-,425,0,
,"0902085310 Sp.2 8
Rescue and Rehabil-
itation of Children
Services","5335000800 Children
Services","21,832,637","55,000,000",-,,-,-,425,0,
"0903005310 P3
Youth, Talent &
Sports","0903025310 Sp3.2
General Adminis-
tration & Support
Services","5335001000 Youth,
Talent & Sport","13,515,939",,"1,974,360",,14.6,-,425,0,
,"0903035310 Sp3.3
Youth Empowerment
and Promotion","5335001100 Youth
Affairs","2,117,714",,-,,-,-,425,0,
,"0903045310 Sp3.4 Rec-
reational Services","5335001200 Recre-
ation Services","1,425,384","120,000,000",-,,-,-,425,0,
,"0903055310 Sp3.5
Development and
promotion of sports",5335001300 Sports,"6,304,266","825,500,000",-,,-,-,425,0,
,,,Rec.,Dev.,Rec.,Dev.,Rec.,,426,0,Dev.
,"0903065310 Sp3.6 Pro-
motion of Library and
Information Services","5335001400 Library
Services","712,692","5,000,000",-,,-,,426,0,-
,,"5335000000 TAL-
ENT SKILLS DEVT
& CARE","2,111,365,873","1,574,433,024","153,983,020",-,7.3,,426,0,-
"0302005310 P2:-
General Admin-
istration Planning
and Support
Services","5336000100 Business
& Hustler Opportuni-
ties Headquarters","5336000100 Business
& Hustler Opportuni-
ties Headquarters","522,944,929",,"87,849,100",,16.8,,426,0,-
"0310005310 P.10
Co-operative
Development and
Audit Services
Services","5336000201 Co-opera-
tive Development","5336000200 Co-oper-
ative Development","6,498,496",,-,,-,,426,0,-
,"5336000300 Co-opera-
tive Audit","5336000300 Co-oper-
ative Audit","4,061,560",,-,,-,,426,0,-
"0312005310 P.12
Trade Develop-
ment and Market
Services","5336000401 Markets
Department Head-
quarters","5336000400 Markets
Department head-
quarters","2,640,015","994,000,000",-,,-,,426,0,-
,"5336000700 Trade De-
velopment Department","5336000700 Trade
Development Depart-
ment","42,640,013","540,000,000",-,,-,,426,0,-
"0313005310
P.13 Licensing
and Fair-Trade
Practices","5336000500 Weights &
Measures Services","5336000500 Weights
& Measures Services","2,640,012",,-,,-,,426,0,-
,"5336000601 Trade
Licensing","5336000600 Trade
Licensing","2,640,015",,-,,-,,426,0,-
,"0313045310 sp 13.4
Betting & Gaming
Services 25,000,000;
0316025310 P16.2
Betting & Gaming
Services 29,000,000","5336000800 Micro,
Small and Medium
Enterprises Devel-
opment","17,058,551","100,000,000",-,,-,,426,0,-
"0316005310 P16
Business & hustler
opportunities","0316015310 P16.1
Micro, Small and
Medium Enterprises
development","5336000900 Betting
& Gaming Depart-
ment","12,996,991",,-,,-,,426,0,-
,,"5336000000 BUSI-
NESS & HUSTLER
OPPORTUNITIES","614,120,582","1,634,000,000","87,849,100",-,14.3,,426,0,-
