Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expendi-
ture (Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,Subtotal,"44,861,088",-,"44,861,088",-,135,0
"Housing and Urban
Development Services","Social outreach and En-
gagement Services",-,-,-,-,136,0
,"Neighbourhood Planning
and Development Services","4,000,000",-,"4,000,000",-,136,0
,"Workforce development
and enterprise support
services",-,-,-,-,136,0
,Subtotal,"4,000,000",-,-,-,136,0
,Grand total,"78,617,779","4,300,000","73,317,779",5.5,136,0
"Office of The Deputy Governor and Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,136,0
"Policy Planning, General
Administration and
Support Services","Policy and Planning Ser-
vices",-,-,-,-,136,0
,"General Administration
and Support Services","210,480,293","42,609,726","167,870,567",20.2,136,0
,Subtotal,"210,480,293","42,609,726","167,870,567",20.2,136,0
"Crop, Land and Agri-
business Development
Services",Crop Development Services,"21,499,430",-,"21,499,430",-,136,0
,"Agribusiness Development
Services",-,-,-,-,136,0
,Land Development Services,-,-,-,-,136,0
,"National Agriculture Rural
Inclusive Growth",-,-,-,-,136,0
,"Agriculture Sector Develop-
ment Support Programme",-,-,-,-,136,0
,"National Value Chain
Project",-,-,-,-,136,0
,Subtotal,"21,499,430",-,"21,499,430",-,136,0
"Food Security Enhance-
ment Services","Sub Sector Infrastructure
Development Services","5,000,000",-,"5,000,000",-,136,0
,Farm Input Access Services,"43,000,000",-,"43,000,000",-,136,0
,"National Agriculture Rural
Inclusive Growth",-,-,-,-,136,0
,"Kenya Agriculture Business
Development Programme","10,918,919",-,"10,918,919",-,136,0
,"National Value Chain
Project","156,515,152",-,"156,515,152",-,136,0
,Subtotal,"215,434,071",-,"215,434,071",-,136,0
"Livestock Development
Programme","Livestock Improvement and
Development","2,000,000",-,"2,000,000",-,136,0
,"Livestock Infrastructure
Development Services","23,605,379",-,"23,605,379",-,136,0
,"Livestock Health and Dis-
ease Management",-,-,-,-,136,0
,Subtotal,"25,605,379",-,"25,605,379",-,136,0
,Grand total,"473,019,173","42,609,726","430,409,447",9.0,136,0
"Department of Gender Equality and Inclusivity Youth, Sports, Talent Development, Cultural Heritage and Social Services",,,,,,136,0
"Policy, Planning and
General Administration
services","General Administration
and Support Services","83,952,751","19,150,993","64,801,758",22.8,136,0
,"Policy and Planning Ser-
vices","15,199,521",-,"15,199,521",-,136,0
,"Office Development Oper-
ations",-,-,-,-,136,0
,Subtotal,"99,152,272","19,150,993","80,001,279",19.3,136,0
"Cultural And Creative
Sector Development
Services","Creative Economy Develop-
ment Services","1,557,877",-,"1,557,877",-,137,0
,"Cultural Development and
Promotion Services","9,000,000",-,"9,000,000",-,137,0
,Subtotal,"10,557,877",-,"10,557,877",-,137,0
"Social Development and
Empowerment Services","Gender Mainstreaming
and Women Empowerment
Services","6,604,418",-,"6,604,418",-,137,0
,"Youth Empowerment and
Mainstreaming Services","7,632,000",-,"7,632,000",-,137,0
,SGBV Control Services,"6,773,000",-,"6,773,000",-,137,0
,Subtotal,"21,009,418","17,834,761","21,009,418",-,137,0
"Management and De-
velopment of Sports and
Sports Facilities","Sports Infrastructure De-
velopment Services","83,000,000","16,109,890","66,890,110",19.4,137,0
,"Sports Management and
Talent Development","35,000,000",-,"35,000,000",-,137,0
,Subtotal,"118,000,000","16,109,890","101,890,110",13.7,137,0
,Grand total,"248,719,567","35,260,883","213,458,684",14.2,137,0
"Department of Roads, Transport and Public Works and Infrastructure",,,,,,137,0
"General Administration,
Planning and Support
Services","Human Resource and
Capacity Development
Services","130,541,652","25,000,000","105,541,652",19.2,137,0
,"Administration Support
And Staff Capacity Devel-
opment Services","25,930,038",-,"25,930,038",-,137,0
,"Policy Planning And Field
Support Services","613,500",-,"613,500",-,137,0
,"Monitoring Evaluation
and Learning and Report
Development Services","300,000",-,"300,000",-,137,0
,Subtotal,"157,385,190","25,000,000","132,385,190",15.9,137,0
"Public works and main-
tenance services","Quality Control and En-
forcement",-,-,-,-,137,0
,"Infrastructure Development
Services","33,000,000",-,"33,000,000",-,137,0
,"Plants, equipment and
vehicle support services","35,000,000",-,"35,000,000",-,137,0
,Subtotal,"68,000,000",-,"68,000,000",-,137,0
"Road Development and
Rehabilitation Services",Road Development Services,"425,000,000","45,539,745","379,460,255",10.7,137,0
,Road Maintenance Services,"396,974,496","32,744,724","364,229,772",8.2,137,0
,Subtotal,"821,974,496","78,284,469","743,690,027",9.5,137,0
"Transport Development
and Rehabilitation
Services",Water Transport Services,-,-,-,-,137,0
,"Bus park, Motorbike
and Taxi Infrastructure
Services",-,-,-,-,137,0
,"Air Transport
Infrastructure
Development Services",-,-,-,-,137,0
,Subtotal,-,-,-,-,137,0
,Grand total,"1,047,359,686","103,284,469","944,075,217",9.9,137,0
"Department of Blue Economy, Fisheries Mining and Digital Economy",,,,,,138,0
"General Administration,
Planning and Support
Services","Policy Development Ser-
vices",-,-,-,-,138,0
,"Personnel Remuneration
and Welfare Services","76,286,892","15,000,000","61,286,892",19.7,138,0
,"Administrative Support
Services","14,611,925","994,175","13,617,750",6.8,138,0
,Subtotal,"90,898,817","15,994,175","74,904,642",17.6,138,0
"Blue Economy and Fish-
eries Resources Develop-
ment Services","Capture Fisheries and De-
velopment Services","4,500,000",-,"4,500,000",-,138,0
,"Aquaculture Development
Services","12,909,422",-,"12,909,422",-,138,0
,"Blue Economy Develop-
ment Services","51,281,739","4,123,395","47,158,344",8.0,138,0
,Subtotal,"68,691,161","4,123,395","14,691,122",6.0,138,0
"Mineral resources devel-
opment and marketing
services",Artisanal Mining Services,"7,000,000",-,"7,000,000",-,138,0
,"Mineral Prospecting
Services","3,000,000",-,"3,000,000",-,138,0
,Subtotal,"10,000,000",-,"10,000,000",-,138,0
"ICT And Digital
Economy Development
Services","ICT Infrastructure Devel-
opment Services","15,000,000",-,"15,000,000",-,138,0
,"Digital Literacy and Skill
Development Services",-,-,-,-,138,0
,Subtotal,"15,000,000",-,"15,000,000",-,138,0
,Grand total,"184,589,978","20,117,570","164,472,408",10.9,138,0
"Department of Education, Human Capital Development and Vocational Training",,,,,,138,0
"General Administration
and Quality Assurance
Service","General administration
Services","19,265,068","2,706,708","16,558,360",14.0,138,0
,"Human Resources Manage-
ment services","984,173,791","165,000,000","819,173,791",-,138,0
,Quality Assurance Services,"8,408,000",-,"8,408,000",-,138,0
,"StakeholderManagement
Services","920,000",-,"920,000",-,138,0
,"Special Needs Education
Services","544,800",-,"544,800",-,138,0
,Subtotal,"1,013,311,659","167,706,708","845,604,951",16.6,138,0
"Early Years Education
(EYE) Services","EYE Teaching and learning
material","13,290,000",-,"13,290,000",-,138,0
,"EYE Infrastructure Devel-
opment Services","50,000,000","9,980,185","40,019,815",20.0,138,0
,"EYE Feeding and Nutrition
Services",-,-,-,,138,0
,Subtotal,"63,290,000","9,980,185","53,309,815",15.8,138,0
"Human Capital Devel-
opment and Vocational
Training","VTC Training and Learning
Materials Services","3,500,000",-,"3,500,000",-,138,0
,VTC Capitation Services,-,-,-,-,138,0
,"Bursary and Scholarship
Services","215,000,000","24,000,000","191,000,000",11.2,138,0
,"Skills Development and
Exhibition Shows Services","1,200,000",-,"1,200,000",-,138,0
,"VTC Infrastructure Devel-
opment Services","35,000,000",-,"35,000,000",-,138,0
,Subtotal,"254,700,000","24,000,000","230,700,000",9.4,138,0
,Grand total,"1,331,301,659","201,686,893","1,129,614,766",15.1,139,0
Department of Public Health and Medical Services,,,,,,139,0
"Policy planning and
administrative support
service","Policy, Planning and Moni-
toring Services","17,140,000",-,"17,140,000",-,139,0
,"Administrative Support
Services","2,264,067,453","390,433,000","1,873,634,453",17.2,139,0
,Subtotal,"2,281,207,453","390,433,000","1,890,774,453",17.1,139,0
"Preventive and promo-
tive health services",Community health services,"89,620,000","51,335,935","38,284,065",57.3,139,0
,Disease control services,"6,000,000",-,"6,000,000",-,139,0
,"Facility Infrastructure
improvement services","145,000,000",-,"145,000,000",-,139,0
,Subtotal,"240,620,000","51,335,935","189,284,065",21.3,139,0
"Curative and rehabilita-
tive health services","Routine medical health
services","110,890,936",-,"110,890,936",-,139,0
,"Medical emergency re-
sponse services","4,000,000",-,"4,000,000",-,139,0
,"Facility infrastructure
improvement services","275,000,000","47,753,992","227,246,008",17.4,139,0
,Subtotal,"389,890,936","47,753,992","342,136,944",12.2,139,0
"Research and develop-
ment service","Research and surveillance
services","2,000,000",-,"2,000,000",-,139,0
,"Capacity development
services","1,000,000",-,"1,000,000",-,139,0
,Subtotal,"3,000,000",-,"3,000,000",-,139,0
,Grand total,"2,914,718,389","489,522,927","2,425,195,462",16.8,139,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,139,0
"General Administration
Services","General administrative
support services","69,308,719","13,536,640","55,772,079",19.5,139,0
,"Operation and Mainte-
nance Services","10,774,623",-,"10,774,623",-,139,0
,"General Office Infrastruc-
ture Development Services","2,230,000",-,"2,230,000",-,139,0
,Subtotal,"82,313,342","13,536,640","68,776,702",16.4,139,0
"Lands and Physical Plan-
ning Services","County Development Plan-
ning Services","10,500,000",-,"10,500,000",-,139,0
,"Land Valuation and Regis-
tration Support Services","25,000,000",-,"25,000,000",-,139,0
,"County Land Acquisition
and Management Services","6,000,000",-,"6,000,000",-,139,0
,Subtotal,"41,500,000",-,"41,500,000",-,139,0
"Housing and Urban
Development Services","Housing Infrastructure
Development Services","1,500,000",-,"1,500,000",-,139,0
,"Settlements Upgrading
Services","1,029,020,992",-,"1,029,020,992",-,139,0
,"Urban Areas Establishment
Services",-,-,-,-,139,0
,Subtotal,"1,030,520,992",-,"1,030,520,992",-,139,0
,Grand total,"1,154,334,334","13,536,640","1,140,797,694",1.2,139,0
"Department of Trade, Industry, Tourism, Cooperative Development and Marketing",,,,,,140,0
"Trade, Cooperative and
Entrepreneurship Devel-
opment Services","Enterprise development
and promotion services","42,000,000",-,"42,000,000",-,140,0
,"Cooperative development
services","10,000,000",-,"10,000,000",-,140,0
,"Trade infrastructure and
development services","109,204,927","49,325,041","59,879,886",45.2,140,0
,Subtotal,"161,204,927","49,325,041","111,879,886",30.6,140,0
"Tourism, Industrial and
Investment Promotion
Services","Value Chain Development
Services","36,000,000",-,"36,000,000",-,140,0
,"Tourism promotion and
marketing","5,000,000",-,"5,000,000",-,140,0
,"Investment promotion and
facilitation","3,000,000",-,"3,000,000",-,140,0
,Subtotal,"44,000,000",-,"44,000,000",-,140,0
"Policy, Planning and
Administrative services","Policy and plans develop-
ment services","1,000,000",-,"1,000,000",-,140,0
,"Remuneration and welfare
support services","152,867,754","29,000,000","123,867,754",19.0,140,0
,"Administrative Support
Services","11,391,538",-,"11,391,538",-,140,0
,Subtotal,"165,259,292","29,000,000","136,259,292",17.5,140,0
,Grand total,"370,464,219","78,325,041","292,139,178",21.1,140,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,140,0
"Water Supply and Man-
agement Services","Urban Water Supply
Services",-,-,-,-,140,0
,Rural Water Supply Services,"152,500,000","2,594,752","149,905,248",1.7,140,0
,"Industrial Water Supply
Services",-,-,-,-,140,0
,"Maintenance of Water
Supply Services",-,-,-,-,140,0
,Subtotal,"152,500,000","2,594,752","149,905,248",1.7,140,0
Energy Services,Electrical Power Services,-,-,-,-,140,0
,Solar Power Services,"8,000,000",-,"8,000,000",-,140,0
,Renewable Energy Services,-,-,-,-,140,0
,Subtotal,"8,000,000",-,"8,000,000",-,140,0
"Irrigation Develop-
ment and Management
Services","Irrigation Infrastructure
Development and Rehabili-
tation Services",-,-,-,-,140,0
,"Small Holder Community
Irrigation Support Services",-,-,-,-,140,0
,Subtotal,-,-,-,-,140,0
"Environmental Man-
agement and Forestry
Development","Pollution and Waste Man-
agement services","21,000,000",-,"21,000,000",-,140,0
,"Forestry Development
Services",-,-,-,-,140,0
,"Environmental Protection
Services",-,-,-,-,140,0
,Climate Change Services,-,-,-,-,140,0
,Subtotal,"21,000,000",-,"21,000,000",-,140,0
"Climate Change Manage-
ment Services","Climate Change Gover-
nance","11,000,000",-,"11,000,000",-,141,0
,"Climate Change Mitigation,
Adaptation and Resilience
Building","251,984,141",-,"251,984,141",-,141,0
,"Climate Resilience Invest-
ment Financing",-,-,-,-,141,0
,Subtotal,"262,984,141",-,"262,984,141",-,141,0
"General Administrative
services","Administrative Support
Services","240,284,926","31,000,000","209,284,926",12.9,141,0
,"Policy and Planning Ser-
vices",-,-,-,-,141,0
,Debt Management Services,"17,000,000",-,"17,000,000",-,141,0
,Subtotal,"257,284,926","31,000,000","226,284,926",12.0,141,0
,Grand Total,"701,769,067","33,594,752","668,174,315",4.8,141,0
"Governance and Administration, Communication and Devolution",,,,,,141,0
"Governance, Adminis-
tration and Devolution
Services","Governance and Adminis-
tration","339,495,656","74,289,385","265,206,271",21.9,141,0
,"Field Coordination and
Administration Services","29,400,000","7,924,990","21,475,010",27.0,141,0
,"Compliance and Enforce-
ment Services","10,634,000",-,"10,634,000",-,141,0
,"Devolution Support Ser-
vices","37,500,000",-,"37,500,000",-,141,0
,Subtotal,"417,029,656","82,214,375","334,815,281",19.7,141,0
"Communication and
Public
Engagement",County Press Services,"12,120,000",-,"12,120,000",-,141,0
,Media Relations,"7,610,890",-,"7,610,890",-,141,0
,"County Visibility And
Branding","7,520,000",-,"7,520,000",-,141,0
,Sub total,"27,250,890",-,"27,250,890",-,141,0
"Stakeholder, Special
Projects and Disaster
Management",Special Projects Services,"10,320,000",-,"10,320,000",-,141,0
,"Public participation Coor-
dination Services","3,600,000",-,"3,600,000",-,141,0
,"Disaster Prevention and
Management Services","4,800,000",-,"4,800,000",-,141,0
,Sub total,"18,720,000",-,"18,720,000",-,141,0
,Grand total,"463,000,546","82,214,375","380,786,171",17.8,141,0
Executive Office of the Governor,,,,,,141,0
"Governance and coordi-
nation services","Executive management and
liaison services","532,819,306","85,529,610","447,289,696",16.1,141,0
,"Field coordination and
administration services","14,181,600",-,"14,181,600",-,141,0
,Sub total,"547,000,906","85,529,610","461,471,296",15.6,141,0
"Strategy and service
delivery improvement
services","Strategy and advisory
services","40,210,555","13,857,328","26,353,227",34.5,141,0
,"Information and Commu-
nication Services","4,050,000",-,"4,050,000",-,141,0
,Subtotal,"44,260,555","13,857,328","30,403,227",31.3,141,0
"Public Service Adminis-
tration support services","Human resource man-
agement and development
services","19,906,980",-,"19,906,980",-,142,0
,Legal Services,"20,978,330",-,"20,978,330",-,142,0
,"Performance Management
Services",-,-,-,-,142,0
,Subtotal,"40,885,310",-,"40,885,310",-,142,0
,Grand total,"632,146,771","99,386,938","532,759,833",15.7,142,0
Kendu Bay Municipal Board,,,,,,142,0
"Planning, Finance and
Administrative Support
Services","Policy and Planning
Services","1,057,052",-,"1,057,052",-,142,0
,"Personnel remuneration
and development services","3,803,640",-,"3,803,640",-,142,0
,"Administration and Sup-
port Services","5,009,582",-,"5,009,582",-,142,0
,Subtotal,"9,870,274",-,"9,870,274",-,142,0
"Public Works and Infra-
structure Improvements
Services","Transport Infrastructure
Improvements",-,-,-,-,142,0
,"Public facilities improve-
ment services","3,000,000",-,"3,000,000",-,142,0
,"Environmental improve-
ment Services",-,,,,142,0
,Subtotal,"3,000,000",-,"3,000,000",-,142,0
"Housing and Urban
Development Services","Environmental improve-
ment Services","3,500,000",-,"3,500,000",-,142,0
,Land Use Management,"1,500,000",-,"1,500,000",-,142,0
,Subtotal,"5,000,000",-,"5,000,000",-,142,0
,Grand total,"17,870,274",-,"17,870,274",-,142,0
,,,,,,142,0
Mbita Municipal Board,,,,,,142,0
"Planning, Finance and
Administrative Support
Services","Policy and Planning
Services","3,803,640",-,"3,803,640",-,142,0
,"Personnel remuneration
and development services","3,731,949",-,"3,731,949",-,142,0
,"Administration and Sup-
port Services","2,334,685",-,"2,334,685",-,142,0
"Public Works and Infra-
structure Improvement
Services",Subtotal,"9,870,274",-,"9,870,274",-,142,0
,"Transport Infrastructure
Improvements","3,000,000",-,"3,000,000",-,142,0
,"Public facilities improve-
ment services",-,-,-,-,142,0
,Subtotal,"3,000,000",-,"3,000,000",-,142,0
"Housing and Urban
Development Services","Environmental Manage-
ment Services","5,000,000",-,"5,000,000",-,142,0
,Land Use Management,-,-,-,-,142,0
,Subtotal,"5,000,000",-,"5,000,000",-,142,0
,Grand total,"17,870,274",-,"17,870,274",-,142,0
Ndhiwa Municipal Board,,,,,,142,0
"Planning, Finance and
Administrative Support
Services","Policy and Planning
Services","3,886,440",-,"3,886,440",-,143,0
,"Personnel remuneration
and development services","3,731,949",-,"3,731,949",-,143,0
,"Administration and Sup-
port Services","2,251,885",-,"2,251,885",-,143,0
,Subtotal,"9,870,274",-,"9,870,274",-,143,0
"Public Works and Infra-
structure Improvement
Services","Transport Infrastructure
Improvements","3,000,000",-,"3,000,000",-,143,0
,"Public facilities improve-
ment services",-,-,-,-,143,0
,Subtotal,"3,000,000",-,"3,000,000",-,143,0
"Housing and Urban
Development Services","Environmental Manage-
ment Services","5,000,000",-,"5,000,000",-,143,0
,Land Use Management,-,-,-,-,143,0
,Subtotal,"5,000,000",-,"5,000,000",-,143,0
,Grand total,"17,870,274",-,"17,870,274",-,143,0
Oyugis Municipal Board,,,,,,143,0
"Planning, Finance and
Administrative Support
Services","Policy and Planning
Services","705,831",-,"705,831",-,143,0
,"Personnel remuneration
and development services","6,556,056",-,"6,556,056",-,143,0
,"Administration and Sup-
port Services","5,571,733",-,"5,571,733",-,143,0
"Public Works and Infra-
structure Improvement
Services",Subtotal,"12,833,620",-,"12,833,620",-,143,0
,"Transport Infrastructure
Improvements","19,800,000",-,"19,800,000",-,143,0
,"Public facilities improve-
ment services",-,-,-,-,143,0
,Subtotal,"19,800,000",-,"19,800,000",-,143,0
"Housing and Urban
Development Services","Environmental Manage-
ment Services","5,000,000",-,"5,000,000",-,143,0
,Land Use Management,-,-,-,-,143,0
,Subtotal,"5,000,000",-,"5,000,000",-,143,0
,Grand total,"37,633,620",-,"37,633,620",-,143,0
GRAND TOTAL,,"11,876,978,601","1,499,194,931","10,377,783,670",12.6,143,0
