Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expendi-
ture (Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,134,0
"General administration
and support services","Staff Remuneration and
Welfare Support Services","451,893,111","92,502,144","359,390,967",20.5,134,0
,"General Logistics, Coordi-
nation and Asset Manage-
ment Services","172,735,098","8,291,759","164,443,339",4.8,134,0
,Subtotal,"624,628,209","100,793,903","523,834,306",16.1,134,0
"Planning, Budgeting and
Development Coordina-
tion Services","Economic planning and
development coordination
services","10,953,000",-,"10,953,000",-,134,0
,Resource allocation services,"9,393,200",-,"9,393,200",-,134,0
,"Public Participation Facili-
tation services","12,589,000",-,"12,589,000",-,134,0
,Subtotal,"32,935,200",-,"32,935,200",-,134,0
"Resource mobilisation
services","External Resources Mobili-
zation Services",-,-,-,-,134,0
,"Internal Revenue Genera-
tion Services","28,486,600",-,"28,486,600",-,134,0
,Subtotal,"28,486,600",-,"28,486,600",-,134,0
"Financial management
services","Accounting and Financial
Reporting Services","8,859,400",-,"8,859,400",-,134,0
,"Supply Chain Management
Services","9,592,861",-,"9,592,861",-,134,0
,"Audit and Advisory Ser-
vices","7,072,885",-,"7,072,885",-,134,0
,"Emergency Management
Services","234,935,539",-,"234,935,539",-,134,0
,Subtotal,"260,460,685","65,772,711","260,460,685",-,134,0
,Grand total,"946,510,694","100,793,903","845,716,791",10.6,134,0
County Public Service Board,,,,,,134,0
"General Policy, Planning
and Administration
Services","Policy Development Ser-
vices","1,425,000",-,-,-,134,0
,"Administrative Support
Services","63,014,549","14,560,814","8,997,404",23.1,134,0
,"Infrastructure Development
Services",-,-,-,-,134,0
,Subtotal,"64,439,549","14,560,814","49,878,735",22.6,134,0
"Personnel Sourcing and
Management Services","Recruitment, Selection and
Deployment Services","2,877,854",-,"2,877,854",-,135,0
,"Human Resource Manage-
ment and Development
Services","140,000",-,"140,000",-,135,0
,"Establishment and abolish-
ment of Offices",-,-,-,-,135,0
,"National Performance Man-
agement Systems",-,-,-,-,135,0
,"Capacity Development
Services","2,000,000",-,"2,000,000",-,135,0
,Subtotal,"5,017,854",-,"5,017,854",-,135,0
,Grand total,"69,457,403","14,560,814","54,896,589",21.0,135,0
County Assembly Service Board,,,,,,135,0
Legislative Services,"Members’ Welfare Support
services","247,066,059","38,999,990","208,066,069",15.8,135,0
,"Legislative development
and approval services","131,636,498","38,050,100","93,586,398",28.9,135,0
,Subtotal,"378,702,557","77,050,090","301,652,467",20.3,135,0
"Oversight and Control
Services",Capacity building services,"80,000,000","13,898,900","66,101,100",17.4,135,0
,Report writing services,"40,000,000","15,060,500","24,939,500",37.7,135,0
,"Public Participation and
Education Services","20,000,000",-,"20,000,000",-,135,0
,Subtotal,"140,000,000","28,959,400","111,040,600",20.7,135,0
"Ward Representation
Services","Staff welfare support
services","59,712,348","4,036,262","55,676,086",6.8,135,0
,"Ward operations and main-
tenance","17,284,320","2,949,264","14,335,056",17.1,135,0
,Subtotal,"76,996,668","6,985,526","70,011,142",9.1,135,0
"Policy, Planning and
Administrative
Support Services","Administrative support
services","272,270,879","16,371,500","255,899,379",6.0,135,0
,"Financial Management
Services","159,190,000","50,633,484","108,556,516",31.8,135,0
,"Assembly Infrastructure
Development Services","142,564,789",-,"142,564,789",-,135,0
,Subtotal,"574,025,669","67,004,984","507,020,685",11.7,135,0
,Grand total,"1,169,724,894","180,000,000","989,724,894",15.4,135,0
Homa Bay Municipal Board,,,,,,135,0
"Planning, Finance and
Administrative Support
Services","Policy and planning ser-
vices",-,-,-,-,135,0
,"Financial Management
Services","6,811,419",-,"6,811,419",-,135,0
,"Personnel remuneration
and development services","22,945,272","4,300,000","18,645,272",18.7,135,0
,Subtotal,"29,756,691","4,300,000","25,456,691",14.5,135,0
"Public Works and Infra-
structure Improvement
Services","Transport Infrastructure
Improvement Services","37,861,088",-,"37,861,088",-,135,0
,"Environmental Manage-
ment Services","5,000,000",-,"5,000,000",-,135,0
,Provision for pending bills,"2,000,000",-,"2,000,000",-,135,0
