Programme,Sub0 Programme,Approved Estimates,col_3,"Actual Payments of FY
2024025 (Ksh)",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
"Curative and Reha-
bilitative Services","040301 Curative
and Rehabilitative
Services","2,180,798,509","570,565,236","218,225,682","7,860,776",10,1,223,0,
Sub Total,,"2,180,798,509","570,565,236","218,225,682","7,860,776",10,1,223,0,
Education,,,,,,,,223,0,
Basic Education,"050101 General
Administration","383,126,405",0,"31,020,989",0,8,0,223,0,
,"050102 Free Pre0
Primary Education","6,680,000",0,0,0,0,0,223,0,
"State Education
Function Support","050203 Tertiary
Education",0,"20,877,450",0,0,0,0,223,0,
,"050501 Pre0Prima-
ry and Child Care
Services",0,"44,953,602",0,"13,169,736",,,223,0,
"Technical and Voca-
tional Training","050301 Village Poly-
technique","2,038,500",0,0,0,0,0,223,0,
Sub Total,,"391,844,905","65,831,052","31,020,989","13,169,736",8,20,223,0,
"Agriculture, Livestock and Fisheries",,,,,,,,223,0,
"Livestock Resource
Management and
Development","010102 Livestock Ex-
tension and Capacity
Building Services","305,000",0,0,0,0,0,223,0,
,"010105 Livestock
Production Manage-
ment",0,0,0,0,,0,223,0,
,"010106 Livestock
Disease Management
& Control","1,200,000",0,0,0,0,0,223,0,
"Crop Development
and Management","010202 Agricultural
Extension Services","1,000,000",0,0,0,0,0,223,0,
,"010203 Agribusiness
and Market Devel-
opment","100,000",0,0,0,0,0,223,0,
,"010206 Land and
Crop Development","5,070,000",,0,0,0,0,223,0,
,"010207 Food Securi-
ty Initiatives","400,000",0,0,0,0,0,223,0,
"Kamweti Agricultur-
al Training Centre","Extension and
Training",0,0,0,0,,0,223,0,
"Fisheries Develop-
ment","010402 Aquaculture
Development","200,000",0,0,0,0,0,223,0,
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",224,0,
"Policy Strategy and
Management of
Agriculture","010801 Development
of Agricultural Policy","543,000",0,0,0,0,0,224,0,
,"011001 General
Administration and
Planning","203,791,148","219,453,971","36,554,720",0,18,0,224,0,
