Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (),col_7,page_number,table_index
"Lands, Housing & Physical Planning",,,,,,,,409,0
Urban Development,"102074010 Urban
Development",-,-,,-,,,409,0
,"103074010 Land
Administration","1,000,000",-,"150,000",-,15.0,,409,0
"Land Policy
Succession and
Surveying","103014010 Land
Policy and Planning","4,050,000","20,300,000","496,000",-,12.2,0.0,409,0
,"103044010 Land
Survey","1,300,000",-,"400,000",-,30.8,,409,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,410,0
Estate Management,"701034010 Public
Trusts and Estates
Management",-,-,-,-,,,410,0
"Administration and
Support","706014010 General
Administration
Planning and Support
Services","23,429,031",-,"950,560",-,4.1,,410,0
Physical Planning,Physical Planning,-,-,-,-,,,410,0
Digitisation of Lands,Digitisation of Lands,-,-,-,-,,,410,0
Sub Total,,"29,779,031","20,300,000","1,996,560",-,6.7,0.0,410,0
County Public Service Board,,,,,,,,410,0
"General
Administration and
support","706014010 General
Administration
Planning and Support
Services","33,045,881",-,"1,656,110",-,5.0,,410,0
"National Value and
Governance","National Value and
Governance","2,070,000",-,,-,0.0,,410,0
Sub Total,,"35,115,881",-,"1,656,110",-,4.7,,410,0
"Youth, Culture, Gender, Social Services & Special Programs",,,,,,,,410,0
"Social Development
Program","102054010
Cooperatives",-,-,-,-,,,410,0
,"901014010 Social Wel-
fare and Vocational
Rehabilitation",-,-,-,-,,,410,0
,"902024010 Persons
Living With
Disabilities",-,"6,000,000",-,-,,0.0,410,0
,"711024010 Gender
& Social-Economic
Empowerment",-,-,-,-,,,410,0
"General
Administration and
Support","706014010 General
Administration
Planning and Support
Services","49,629,737",-,"3,978,667",-,8.0,,410,0
Library Services,Library Services,"5,500,000","3,000,000","500,000",-,9.1,0.0,410,0
"Youth Development
Program","711014010 Youth De-
velopment Services","1,300,000","133,000,000",-,-,0.0,0.0,410,0
,"Muranga Youth
service-Youth
Empowernment",-,-,-,-,,,410,0
,Boda Boda Training,-,-,-,-,,,410,0
,"903034010
Development and
Management of Sports
Facilities","26,600,000","35,000,000","650,000",-,2.4,0.0,410,0
"Cultural
Development
Program","904014010
Development And
Promotion of Culture","6,700,000",-,-,-,0.0,,410,0
"Social Development
programme","Social Development
programme","5,950,000",-,"711,350",-,12.0,,410,0
,"Community Sports
and Talents",-,-,-,-,,,410,0
"Sport Development
programme","Sport Development
programme",-,-,-,-,,,410,0
Sub Total,,"95,679,737","177,000,000","5,840,017",-,6.1,0.0,410,0
"Environment, Natural Resources, Water and Irrigation",,,,,,,,410,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,411,0
"Waste Management
Program","101094010 Solid
Waste Management","12,194,400","20,000,000",-,-,0.0,0.0,411,0
,"102064010 Environ-
mental Management
& Protection","8,370,000",-,"97,200",-,1.2,,411,0
FlloCA,Climate Change,-,"261,129,613",-,"11,000,000",,4.2,411,0
"Administration and
Support","706014010 Gener-
al Administration
Planning and Support
Services","91,193,128",-,"5,024,509",-,5.5,,411,0
"Environmental
Governance","1001054010 Environ-
mental Leadership and
Governance","4,220,000",-,-,-,0.0,,411,0
"Environmental
Administration and
Support","General Adminis-
tration Planning and
Support Services",-,-,-,-,,,411,0
"Water Development
Program","1004014010 Water
Supply Infrastructure","3,430,026",-,"109,600",-,3.2,,411,0
"Borehole Drilling
and Equipping Pro-
gramme","Borehole Drilling and
Equipping",-,-,-,-,,,411,0
"Borehole Rehabilita-
tion Programme","Borehole
Rehabilitation",-,-,-,-,,,411,0
"ECD Water Tanks
Programme",ECD Water Tanks,-,-,-,-,,,411,0
"Irrigation
Development","1003024010 Irrigation
Development","2,000,000",-,-,-,0.0,,411,0
"Last Mile Water
Distribution
Pipelines Programme","Last Mile Water
Distribution Pipelines",-,-,-,-,,,411,0
Sub Total,,"121,407,554","281,129,613","5,231,309","11,000,000",4.3,3.9,411,0
Public Service Administration & Information Technology,,,,,,,,411,0
"Human Resource
Development Pro-
gram","101064010 Human
Resource Management
and Development",-,-,-,-,,,411,0
"Administration and
Support","706001410 Gener-
al Administration
Planning and Support
Services","972,982,478",-,"113,874,443",-,11.7,,411,0
ICT Program,Automation,-,-,-,-,,,411,0
,"Acquisition of ICT
Equipment",-,-,-,-,,,411,0
,"Connectivity for
Headquarters and
devolved units (WAN/
LAN)",-,-,-,-,,,411,0
"ICT and
E-Government","ICT and E-Govern-
ment","24,100,000","40,000,000","500,000",-,2.1,0.0,411,0
Sub Total,,"997,082,478","40,000,000","114,374,443",-,11.5,0.0,411,0
Murang’a Municipality,,,,,,,,411,0
"Municipal Develop-
ment Program","10109410 Solid Waste
Management",-,-,-,-,,,411,0
,"101104010 Infrastruc-
ture Development",-,-,-,-,,,411,0
,Urban Management,"1,950,000","45,371,824",-,-,0.0,0.0,411,0
,"102074010 Urban
Development and
Support",-,-,-,-,,,411,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,412,0
,"109024010 Other
Municipalities",-,-,-,-,,,412,0
,"703014010 Revenue
Automation",-,-,-,-,,,412,0
,"706014010 General
Administration
Planning and Support
Services","70,120,000",-,"578,320",-,0.8,,412,0
"Public Works and
Infrastructure
Development","Infrastructure
improvement",-,-,-,-,,,412,0
Sub Total,,"72,070,000","45,371,824","578,320",-,0.8,0.0,412,0
Kenol Municipality,,,,,,,,412,0
"General Administra-
tion and Planning","General Administra-
tion and Planning","33,976,200",-,-,-,0.0,,412,0
,"Infrastructure Im-
provement",-,"5,000,000",-,-,,0.0,412,0
,"Urban Development
Grant",-,"35,371,824",-,-,,0.0,412,0
Sub Total,,"33,976,200","40,371,824",-,-,0.0,0.0,412,0
Kangari Municipality,,,,,,,,412,0
"General Administra-
tion and Planning","General Administra-
tion and Planning","33,500,000",-,-,-,0.0,,412,0
,"Infrastructure
Improvement",-,"10,000,000",-,-,,0.0,412,0
,"Urban Development
Grant",-,-,-,-,,,412,0
Sub Total,,"33,500,000","10,000,000",-,-,0.0,0.0,412,0
Devolution and External Linkages,,,,,,,,412,0
"General Administra-
tion and Planning","General Administra-
tion and Planning","46,000,000",-,-,-,0.0,,412,0
,"Infrastructure
Improvement",,,-,-,,,412,0
Sub Total,,"46,000,000",-,-,-,0.0,,412,0
County Assembly,,,,,,,,412,0
"Legislation and
representation","Legislation and
representation","350,323,211",-,"25,087,343",-,7.2,,412,0
Oversight,Oversight,"196,169,860",-,"13,972,821",-,7.1,,412,0
"Administration plan-
ning and support","Administration
planning and support","295,463,371","40,000,000","23,812,154",-,8.1,0.0,412,0
Sub Total,,"841,956,442","40,000,000","62,872,318",-,7.5,0.0,412,0
Grand Total,,"7,337,458,737","3,164,019,216","553,625,245","170,720,299",7.5,5.4,412,0
