Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",314,1
Office of the Governor,,,,,,,,314,1
"Coordination
and Supervisory
Services","Office of the Gover-
nor- Headquarters’","337,860,591","33,370,239","34,048,265","3,161,285",10.1,9.5,314,1
,Transport Services,"76,477,181",-,"6,889,934",-,9.0,-,314,1
,"Human Resource
and Administration
Services","71,633,109",-,-,-,-,-,314,1
,ICT Section,"52,245,915",-,"436,080",-,0.8,-,314,1
,"Hospitality Services
Section","50,342,682",-,"681,620",-,1.4,-,314,1
,Cabinet Office,"19,005,239",-,-,-,-,-,314,1
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",315,0
,"Office of the Deputy
Governor","84,902,064","7,334,480",-,-,-,-,315,0
,"Office of the County
Secretary","57,791,785","19,125,340","100,000",-,0.2,-,315,0
,"Office of the County
Advisors","47,087,202",-,-,-,-,-,315,0
,Sub-Total,"797,345,769","59,830,059","42,155,899","3,161,285",5.3,5.3,315,0
County Public Service Board,,,,,,,,315,0
"Human
Resource and
Administration","Human Resource and
Administration","38,013,709","21,796,931","10,279,590",-,27.0,-,315,0
,Sub- Total,"38,013,709","21,796,931","10,279,590",-,27.0,-,315,0
"Roads, Transport and Public Works",,,,,,,,315,0
"Roads and
Transport","General Adminis-
tration and Support
Services","198,878,309","26,506,997","37,951,909",-,19.1,-,315,0
,"Road Development
and Maintenance","1,505,000","834,847,146",-,"47,001,798",-,5.6,315,0
,"County Fleet Manage-
ment","25,941,697","99,000,000",-,"4,913,793",-,5.0,315,0
Public Works,"County Government
Buildings Services","18,080,000","69,562,236",-,-,-,-,315,0
,Sub-Total,"244,405,006","1,029,916,379","37,951,909","51,915,592",15.5,5.0,315,0
County Assembly,,,,,,,,315,0
"Representation,
Oversight &
Legislative","Representation, Over-
sight & Legislative","1,114,313,264","174,400,000","91,519,301",-,8.2,-,315,0
,Sub-Total,"1,114,313,264","174,400,000","91,519,301",-,8.2,-,315,0
