Programme,"Sub
Programme",Description,"Original Budget
(Kshs)","Expenditure
(Kshs)",Absorption,page_number,table_index
101003000,,,"1,475,235,494","243,027,232",16,450,1
,101014410,"Administration and support
services","1,475,235,494","243,027,232",16,450,1
201003000,,,"637,765,416","12,090,472",2,450,1
,201014410,"General Administration and
support services","637,765,416","12,090,472",2,450,1
202003000,,,"821,375,920","11,501,484",1,450,1
,202024410,Road-works,"821,375,920","11,501,484",1,450,1
301003000,,,"73,526,480","135,000",-,450,1
