Program,Sub Programme,Description,"Approved
Budget","Actual
Expenditure",Absorption (%),page_number,table_index,col_6
,,Default Value (Non-Departmental),-,-,0,532,0,
,3260,,-,-,0,532,0,
,101003260,"Administration Planning and
Support Services",-,-,0,532,0,
,701003260,"General Administration support
services",-,-,0,532,0,
,103003260,"Infrastructure Development
programme",-,-,0,532,0,
3261000100,,County Assembly Headquarters,"859,520,871","125,713,804",15,532,0,
,708003260,"Legislation, Oversight &
Representation","70,000,000",-,0,532,0,
,701003260,"General Administration support
services","789,520,871","125,713,804",16,532,0,
,702003260,"County Assembly Infrastructure
improvement",-,-,0,532,0,
3262000100,,Headquarters,"432,346,946","149,629,606",35,532,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,532,0,
,701003260,"General Administration support
services","432,346,946","149,629,606",35,532,0,
,3260,,-,-,0,532,0,
,705003260,"Leadership Development
Programme",-,-,0,532,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,532,0,
3262000200,,Taveta Sub County Administration,"2,120,000",-,0,532,0,
,701003260,"General Administration support
services",-,-,0,532,0,
,709003260,Devolved governance,"2,120,000",-,0,532,0,
,705003260,"Leadership Development
Programme",-,-,0,532,0,
3262000300,,"Wundanyi Sub County
Administration","1,850,000",-,0,532,0,
,701003260,"General Administration support
services",-,-,0,532,0,
,709003260,Devolved governance,"1,850,000",-,0,532,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,532,0,
3262000400,,"Mwatate Sub County
Administration","1,943,000",-,0,532,0,
,701003260,"General Administration Support
Services",-,-,0,532,0,
,709003260,Devolved governance,"1,943,000",-,0,532,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,533,0,
3262000500,,Voi Sub County Administration,"2,364,000",-,0,533,0,
,701003260,"General Administration support
services",-,-,0,533,0,
,709003260,Devolved governance,"2,364,000",-,0,533,0,
3262000600,,Taveta Town Administration,-,-,0,533,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,533,0,
,701003260,"General Administration support
services",-,-,0,533,0,
,705003260,"Leadership Development
Programme",-,-,0,533,0,
3262000700,,Voi Town Administration,-,-,0,533,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,533,0,
,705003260,"Leadership Development
Programme",-,-,0,533,0,
,701003260,"General Administration support
services",-,-,0,533,0,
3262000800,,County Policing Authority,-,-,0,533,0,
,701003260,"General Administration Support
Services",-,-,0,533,0,
3262000900,,Human Resource Management,"11,316,000",-,0,533,0,
,701003260,"General Administration Support
Services","11,316,000",-,0,533,0,
3262001000,,,"20,000,000",-,0,533,0,
,701003260,"General Administration Support
Services","20,000,000",-,0,533,0,
3262001100,,,"3,360,000",-,0,533,0,
,701003260,"General Administration Support
Services",-,-,0,533,0,
,709003260,Devolved governance,"3,360,000",-,0,533,0,
3262001200,,"Kenya Devolution Support
Program","37,500,000",-,0,533,0,
,701003260,"General Administration support
services","37,500,000",-,0,533,0,
3263000100,,Headquarters,"278,239,987","27,463,620",10,533,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,533,0,
,712003260,"Special programmes & Service
Delivery","9,350,000",-,0,533,0,
,710003260,"Leadership & Coordination of
Aounty Affairs","6,250,000",-,0,533,0,
,705003260,"Leadership Development
Programme",-,-,0,533,0,
,701003260,"General Administration Support
Services","262,639,987","27,463,620",10,533,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,533,0,
3263000200,,Office of the Deputy Governor,"13,160,000",-,0,533,0,
,701003260,"General Administration Support
Services","13,160,000",-,0,533,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
,705003260,"Leadership Development
Programme",-,-,0,534,0,
,101003260,"Administration Planning and
Support Services",-,-,0,534,0,
3263000300,,Special Programmes Unit,"22,100,000",-,0,534,0,
,712003260,"Special programmes & Service
Delivery","22,100,000",-,0,534,0,
,705003260,"Leadership Development
Programme",-,-,0,534,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,534,0,
3263000400,,Service Delivery Unit,"1,200,000",-,0,534,0,
,712003260,"Special programmes & Service
Delivery","1,200,000",-,0,534,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
3263000500,,Industrialisation,-,-,0,534,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,534,0,
,705003260,"Leadership Development
Programme",-,-,0,534,0,
3263000600,,ICT,"8,300,000",-,0,534,0,
,701003260,"General Administration support
services","8,300,000",-,0,534,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,534,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
,705003260,"Leadership Development
Programme",-,-,0,534,0,
3263000700,,,"3,600,000",-,0,534,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
,710003260,"Leadership & Coordination of
county Affairs","3,600,000",-,0,534,0,
3263000800,,,"3,870,000",-,0,534,0,
,710003260,"Leadership & Coordination of
County Affairs","3,870,000",-,0,534,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
3263000900,,,"23,120,000",-,0,534,0,
,710003260,"Leadership & Coordination of
County Affairs","23,120,000",-,0,534,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,534,0,
3264000100,,Headquarters,"190,787,852","51,929,700",27,534,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,534,0,
,701003260,"General Administration Support
Services","190,787,852","51,929,700",27,535,0,
,707003260,Treasury Development Programme,-,-,0,535,0,
3264000200,,County Emergency Fund,"15,000,000",-,0,535,0,
,707003260,Treasury Development Programme,-,-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
,701003260,"General Administration Support
Services","15,000,000",-,0,535,0,
3264000300,,"Equalisation of Wards
Infrastructure",-,-,0,535,0,
,707003260,Treasury Development Programme,-,-,0,535,0,
3264000400,,Planning,"31,126,448",-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
,713003260,Public Finance Management,"23,754,781",-,0,535,0,
,707003260,Treasury Development Programme,-,-,0,535,0,
,714003260,"Economic Policy Formulation &
Management","7,371,667",-,0,535,0,
3264000500,,Gratuity Fund,-,-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
3264000700,,County Executive Administration,"15,000,000",-,0,535,0,
,701003260,"General Administration Support
Services","15,000,000",-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
3264000800,,Internal Audit Services,"10,470,000",-,0,535,0,
,713003260,Public Finance Management,"10,470,000",-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
3264000900,,Revenue Management,"27,000,000",-,0,535,0,
,713003260,Public Finance Management,"27,000,000",-,0,535,0,
,701003260,"General Administration Support
Services",-,-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
3264001000,,Procurement,"8,000,000",-,0,535,0,
,713003260,Public Finance Management,"8,000,000",-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
3264001100,,Accounting Services,"19,600,000",-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
,713003260,Public Finance Management,"19,600,000",-,0,535,0,
,701003260,"General Administration support
services",-,-,0,535,0,
3264001200,,"Kenya Devolution Support
Programme",-,-,0,535,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,535,0,
,701003260,"General Administration Support
Services",-,-,0,535,0,
3264001300,,,"210,000,000","65,004,767",31,536,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,536,0,
,701003260,"General Administration Support
Services","210,000,000","65,004,767",31,536,0,
,707003260,Treasury Development Programme,-,-,0,536,0,
3265000100,,Headquarters,"363,830,987","17,904,800",5,536,0,
,106003260,Crop Development,"10,220,165",-,0,536,0,
,102003260,Development Programme,-,-,0,536,0,
,104003260,"Agricultural Development
Programme",-,-,0,536,0,
,101003260,"Administration Planning and
Support Services","353,610,822","17,904,800",5,536,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,536,0,
3265000200,,Livestock,"7,382,884",-,0,536,0,
,101003260,"Administration Planning and
Support Services",-,-,0,536,0,
,104003260,"Agricultural Development
Programme",-,-,0,536,0,
,102003260,Development programme,-,-,0,536,0,
,108003260,Livestock Production,"7,382,884",-,0,536,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,536,0,
3265000300,,Fisheries,"4,577,742",-,0,536,0,
,101003260,"Administration Planning and
Support Services",-,-,0,536,0,
,102003260,Development Programme,-,-,0,536,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,536,0,
,111003260,Blue Economy Development,"4,577,742",-,0,536,0,
3265000400,,Veterinary,"5,666,901",-,0,536,0,
,101003260,"Administration Planning and
Support Services",-,-,0,536,0,
,102003260,Development Programme,-,-,0,536,0,
,104003260,"Agricultural Development
Programme",-,-,0,536,0,
,110003260,Veterinary Services,"5,666,901",-,0,536,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,536,0,
3265000500,,Agribusiness Project (EU Grant),"30,018,919",-,0,536,0,
,101003260,"Administration Planning and
Support Services",-,-,0,536,0,
,104003260,"Agricultural Development
Programme",-,-,0,536,0,
,106003260,Crop Development,"30,018,919",-,0,536,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,536,0,
,102003260,Development Programme,-,-,0,536,0,
3265000600,,"Kenya Climate Smart Agric
Program",-,-,0,536,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,536,0,
,,,,,,536,0,512
,104003260,"Agricultural Development
Programme",-,-,0,537,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,537,0,
3265000700,,Water,-,-,0,537,0,
,104003260,"Agricultural Development
Programme",-,-,0,537,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,537,0,
3265000800,,Cooperative Development,"1,617,500",-,0,537,0,
,304003260,Cooperatives Development,"1,617,500",-,0,537,0,
3266000100,,Headquarters,-,-,0,537,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,537,0,
,101003260,"Administration Planning and
Support Services",-,-,0,537,0,
3266000300,,Veterinary,-,-,0,537,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,537,0,
,101003260,"Administration Planning and
Support Services",-,-,0,537,0,
3266000400,,Fisheries,-,-,0,537,0,
,105003260,"Livestock and Fisheries
Development",-,-,0,537,0,
,101003260,"Administration Planning and
Support Services",-,-,0,537,0,
3267000100,,Headquarters,"103,428,852",-,0,537,0,
,1002003260,"General Administration, Support
and Support Services","103,428,852",-,0,537,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,537,0,
3267000200,,Water Services,"881,593,292",-,0,537,0,
,1004003260,Water Infrastructure Development,"873,943,292",-,0,537,0,
,1002003260,"General Administration, Support
and Support Services",-,-,0,537,0,
,1005003260,Sanitation Services,"7,650,000",-,0,537,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,537,0,
3267000300,,Bulk Water Project,-,-,0,537,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,537,0,
3267000400,,Ambulance Services,-,-,0,537,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,537,0,
3267000500,,Public Health and Sanitation,-,-,0,537,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,537,0,
3267000600,,Promotion of Primary Healthcare,"270,729,402","11,000,000",4,537,0,
,1006003260,Climate Change Adaptation,"268,929,402","11,000,000",4,537,0,
,901003260,"General administration, Planning &
support",-,-,0,537,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,537,0,
,1003003260,"Natural Resources Support
Programme","1,800,000",-,0,538,0,
,1002003260,"General administration, Support
and Support Services",-,-,0,538,0,
3268000100,,Headquarters,"511,473,395","59,282,255",12,538,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,538,0,
,501003260,"General Administration, Planning
and Support Services","511,473,395","59,282,255",12,538,0,
,1001003260,"Water and Irrigation Development
Programme",-,-,0,538,0,
3268000200,,Polytechnics,"12,813,600",-,0,538,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,538,0,
,501003260,"General Administration, Planning
and Support Services",-,-,0,538,0,
,504003260,"Vocational Training Centres &
Homecrafts Development","12,813,600",-,0,538,0,
3268000300,,Early Childhood Development,"54,340,000",-,0,538,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme","54,340,000",-,0,538,0,
,301003260,"General Administration and
Support Services Programme",-,-,0,538,0,
,501003260,"General Administration, Planning
and Support Services",-,-,0,538,0,
3268000400,,Library Services,"8,655,000",-,0,538,0,
,503003260,Library Services,"8,655,000",-,0,538,0,
,501003260,"General Administration, Planning
and Support Services",-,-,0,538,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,538,0,
3268000500,,Education Fund,"243,902,439",-,0,538,0,
,505003260,Education Fund,"243,902,439",-,0,538,0,
,501003260,"General Administration, Planning
and Support Services",-,-,0,538,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,538,0,
3268000600,,Energy,-,-,0,538,0,
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,0,538,0,
,501003260,"General Administration, Planning
and Support Services",-,-,0,538,0,
3269000100,,Headquarters,"2,065,465,955","266,762,850",13,538,0,
,405003260,,"1,500,000",-,0,538,0,
,706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,0,538,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,538,0,
,402003260,Health Development Programme,-,-,0,538,0,
,,,,,,538,0,514
,401003260,"Administration and Support
Services","1,878,215,955","266,762,850",14,539,0,
,403003260,"Hospitals & Specialised Health
Services","182,100,000",-,0,539,0,
,404003260,Preventive & Promotive Services,"3,650,000",-,0,539,0,
3269000200,,Wesu Hospital,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269000300,,Moi Referral Hospital,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269000400,,Mwatate Hospital,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269000500,,,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269000600,,,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269000700,,,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269000800,,,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269000900,,,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269001000,,,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269001100,,,-,-,0,539,0,
,402003260,Health Development Programme,-,-,0,539,0,
,401003260,"Administration and Support
Services",-,-,0,539,0,
3269001200,,Health Improvement Financing,"250,000,000",-,0,539,0,
,401003260,"Administration and Support
Services","250,000,000",-,0,539,0,
3270000100,,Headquarters,"45,976,129",-,0,539,0,
,302003260,Trade Development Programme.,-,-,0,539,0,
,301003260,"General Administration and
Support Services Programme","45,976,129",-,0,539,0,
3270000200,,Trade,"32,609,770",-,0,539,0,
,302003260,Trade Development Programme.,"32,609,770",-,0,539,0,
,301003260,"General Administration and
Support Services Programme",-,-,0,539,0,
3270000300,,Sports,-,-,0,539,0,
,302003260,Trade Development Programme.,-,-,0,539,0,
,301003260,"General Administration and
Support Services Programme",-,-,0,539,0,
3270000400,,Gender,-,-,0,539,0,
,301003260,"General Administration and
Support Services Programme",-,-,0,540,0,
