Programme,Sub Programme,Approved Estimates (Kshs.),col_3,Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP 3.2 monitoring and
evaluation /statistical data
management","5,187,600",0,0,0,0,,438,0
,SP 3.3 KDSP programme,0,"34,017,547",,#########,,56,438,0
,Sub-Total,"1,555,672,303.06","788,147,181.12","132,399,270",#########,9,2,438,0
NAKURU CITY,,,,,,,,438,0
Programme 1,"SP 1.1 Administration and
Support Services","33,832,848",0,0,0,0,,438,0
,SP 1.2 personnel services,"33,209,943",0,"5,183,750.25",0,16,,438,0
,SP 1.3 financial services,"600,000",0,0,0,0,,438,0
Programme 2,"SP 2.1 Infrastructure devel-
opment and urban",0,"59,500,000",0,0,,0,438,0
,"SP 2.2 Nakuru City Environ-
ments Management","824,495",0,0,0,0,,438,0
,"SP 2.3 Trade markets and
investments","7,000,000",0,0,0,0,,438,0
,"SP 2.4 Nakuru City Social
Services","9,416,848",0,0,0,0,,438,0
,Sub-Total,"84,884,134","59,500,000","5,183,750",0,6,0,438,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,439,0
"DEPARTMENT OF YOUTH, CULTURE, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,,439,0
"Programme 1:
Administration,
planning and
support services","SP 1.1 Administration and
Support Services","20,022,713","153,653,524",0,0,0,0,439,0
,SP 1.2 Personnel services,"120,930,458",,"25,149,472.75",0,21,,439,0
,SP 1.3 Financial services,0,0,0,0,,,439,0
"Programme 2
Development
of social-cul-
tural diversity,
economic
empowerment
and responsible
gaming","SP 2.1; Gender Equality and
Empowerment","5,320,000",0,0,0,0,,439,0
,"SP 2.2 Social Inclusion and
Empowerment","38,902,800",0,0,0,0,,439,0
"Programme 3
Management and
development of
sports, recre-
ation and sports
facilities","SP 3.1 Development and
Management of Sports Infra-
structure",0,"58,823,107",0,0,,0,439,0
,"SP 3.2 Promotion of Sports
Development and Recreation","49,880,000",0,0,0,0,,439,0
"Programme 4:
Youth empow-
erment and
participation","SP 4.1 youth empowerment
and participation","6,988,194","6,000,000",0,0,0,0,439,0
,Sub-Total,"242,044,164.81","218,476,631","25,149,472.75",0,10,0,439,0
"DEPARTMENT OF WATER, ENVIRONMENT,CLIMATE, ENERGY &NATURAL RESOURCES",,,,,,,,439,0
"Programme 1
Administration","SP 1.1 Administration
services","25,307,898",0,0,0,0,,439,0
,SP 1.2 Human resources,"247,900,174",0,"51,692,104.95",0,21,,439,0
,SP 1.3 Finance services,"500,000",0,0,0,0,,439,0
"Programme 2
water and sewage
management",SP 2.1 Provision of water,"3,455,000","603,320,148",0,0,0,0,439,0
,SP 2.2 sewerage,"625,000",0,0,0,0,,439,0
"Programme
3:Environment
management",SP 3.1 Pollution control,0,0,0,0,,,439,0
,"SP 3.2 Solid Waste Manage-
ment","4,177,500",0,0,0,0,,439,0
,SP 3.3 regulation,"1,000,000",0,0,0,0,,439,0
,SP 3.4:Natural,"1,000,000",0,0,0,0,,439,0
"Programme 4
County energy,
planning, regu-
lation, operation
and development","SP 4.1 County Energy Devel-
opment","5,000,000",0,0,0,0,,439,0
,"SP 4.2 Climate change resil-
ience/forestry","22,627,615","230,707,177",0,0,0,0,439,0
,Sub-Total,"311,593,187","834,027,325","51,692,104",0,17,0,439,0
OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,,,,439,0
"Programme 1
Administration,
planning and
support","SP;1.1 Administration and
Planning","108,072,339.40","48,965,736","4,200,000",0,4,0,439,0
,SP 1.2 Personnel services,"136,718,549",0,"35,654,875",0,26,,439,0
"Programme 2
management of
county affairs","SP 2.1 county executive
services","13,477,683.52",0,0,0,0,,439,0
,"SP 2.2 policy direction and
co-ordination","84,609,245",0,0,0,0,,439,0
,"SP 2.3 county policing
services","4,685,548",0,0,0,0,,439,0
,"SP 2.4 leadership and gov-
ernance","3,123,698",0,0,0,0,,439,0
415,,,,,,,,439,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,440,0
"Programme 3
co-ordination
and supervisory
services","SP 3.1 organisation of county
businesses","21,427,738",0,0,0,0,,440,0
,SP 3.2 Special programmes,"7,809,246",0,0,0,0,,440,0
,Sub-Total,"379,924,046.92","48,965,736","39,854,875",0,10,0,440,0
OFFICE OF THE COUNTY ATTORNEY,,,,,,,,440,0
"Programme 1
Administration,
Planning and
Support services",SP 1.1 Administration,"15,395,000","3,000,000",0,0,0,0,440,0
,SP 1.2 Personnel services,"28,471,782",0,"4,761,884.39",0,17,,440,0
,SP 1.3 financial services,"600,000",0,0,0,0,,440,0
"Programme
2Advisory ser-
vices","SP 2.1 Advisory legal ser-
vices","18,043,931",0,0,0,0,,440,0
,SP 2.2 legal matters,0,0,0,0,,,440,0
,Sub-Total,"62,510,713","3,000,000","4,761,884.39",0,8,0,440,0
DEPARTMENT OF INFRASTRUCTURE,,,,,,,,440,0
"Programme 1
administration,
planning and
support services","SP 1.1 Administration
services","25,350,000",0,0,,0,,440,0
,SP 1.2 Personnel services,"121,124,969",0,"25,701,023",0,21,,440,0
,SP 1.3 financial services,0,0,0,0,,,440,0
"Programme 2
infrastructure,
development and
maintenance","SP 2.1 Construction, reha-
bilitation and maintenance of
road drainage and bridges","10,382,785","1,484,705,308",0,0,0,0,440,0
,"SP 2.2 Rehabilitation and
maintenance of transport
terminus","500,000",0,0,0,0,,440,0
,"SP 2.3 Maintenance & reha-
bilitation of county buildings","2,120,000","1,550,000",0,0,0,0,440,0
,SP 2.4 street lighting,"125,700,000","43,000,000",0,0,0,0,440,0
,Sub-Total,"285,177,754","1,529,255,308","25,701,023",0,9,0,440,0
DEPARTMENT OF HEALTH SERVICES,,,,,,,,440,0
"Programme 1
administration
and planning","SP 1.1 Health information
systems","21,800,000",0,0,0,0,,440,0
,"SP 1.2 governance and
leadership","897,735,699",0,0,0,0,,440,0
,"SP 1.3 Human resource man-
agement","4,033,026,658",0,"887,690,037",,22,,440,0
,"SP 1.4 Research and devel-
opment","3,500,000",0,0,0,0,,440,0
,"SP 1.5 Health infrastructure
and development","9,800,000",0,0,0,0,,440,0
"Programme 2
health preventive
and promotive
services",SP 2.1 Primary Healthcare,"823,325","270,824,391",0,0,0,0,440,0
,"SP 2.2 environmental health
and sanitation","2,100,000",0,0,0,0,,440,0
,SP 2.3 human resource,"225,039,940",0,0,0,0,,440,0
,"SP 2.4 Disease surveillance
and emergency response","1,000,000",0,0,0,0,,440,0
,SP 2.5 Health promotive,"1,000,000",0,0,0,0,,440,0
,SP 2.6 HIV programme,"2,000,000",0,0,0,0,,440,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,441,0
,SP 2.7 Nutrition,"11,500,000","12,500,000",0,0,0,0,441,0
,SP 2.8 Reproductive health,"1,250,000",0,0,0,0,,441,0
,SP 2.9 immunisation,"2,000,000",0,0,0,0,,441,0
"Programme 3
Health curative
and rehabilitative
services","SP 3.1 Provision of essential
health services in all","1,296,505,448","612,636,956","256,715,467","12,154,690",20,2,441,0
,"SP 3.2 Elimination of com-
municable and non-commu-
nicable diseases","2,300,000",0,0,0,0,,441,0
,SP 3.3 Human resource,"401,873,533",0,"117,836,485",0,29,,441,0
,Sub-Total,"6,913,254,603","895,961,347","1,262,241,990","12,154,690",18,1,441,0
"DEPARTMENT OF LANDS, PHYSICAL PLANNING AND HOUSING",,,,,,,,441,0
"Programme 1:
Administra-
tion, Planning,
Management and
Support Services","SP 1.1: Administration and
Financial Services","106,622,491",0,"18,969,930",0,18,,441,0
,Sp.1.2: use of goods,"81,189,189",0,0,0,0,,441,0
"Programme 2
Urban Develop-
ment","SP 2.1: Development of urban
infrastructure",0,"550,000,000",0,0,,0,441,0
,"Sp 2.2: Urban Institution
Framework",0,"6,565,986",0,0,,0,441,0
"Programme 3:
Land Use",SP 3.1: Land use,0,"169,116,821",0,0,,0,441,0
,SP 3.2: Survey,,"10,600,000",0,0,,0,441,0
,Sub Total,"187,811,680","736,282,807","18,969,930",0,10,0,441,0
"DEPARTMENT OF TRADE, INDUSTRY, MARKETING AND TOURISM",,,,,,,,441,0
"Programme 1
Administration
planning","SP 1.1 Administration
Services","20,987,370",0,0,0,0,,441,0
,SP 1.2 Personnel services,"113,006,792",0,"18,440,133",0,16,,441,0
"Programme 2
cooperatives","SP 2.1: Management of Mar-
keting Cooperatives",0,0,0,0,,,441,0
,SP 2.2 Sacco Empowerment,"25,000,000",0,0,0,0,,441,0
,"SP 2.3 Cooperatives Leader-
ship and Governance","12,270,000",0,0,0,0,,441,0
,"SP 2.4 management of
housing and investment
cooperatives","500,000",0,0,0,0,,441,0
"Programme 3:
Commerce and
Enterprise","SP 3.1 Business development
services for SMEs","34,120,000",0,0,0,0,,441,0
,SP 3.6 consumer protection,"3,600,000",0,0,0,0,,441,0
,"SP 3.7 Establishment of the
industrial park",0,0,0,0,,,441,0
"Programme 4
market","SP 4.1 Market rehabilitation
& development",0,"198,105,111",0,0,,0,441,0
,"SP 4.3 Market users’ delivery
services","4,830,000",0,0,0,0,,441,0
"Programme 5
Tourism","SP 5.1 Promotion of local
tourism","6,940,000",0,0,0,0,,441,0
,"SP 5.2 Management of coun-
ty tourism information centre",,0,0,0,,,441,0
"Programme 6
alcoholic drinks
and Control","SP 6.1 inspection, approval
and liquor licencing","4,640,000",0,0,0,0,,441,0
417,,,,,,,,441,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,442,0
,"SP 6.4 Treatment and reha-
bilitation of persons depen-
dent on alcoholic drinks","300,000",0,0,0,0,,442,0
,SP 6. Management of county,"2,200,000",0,0,0,0,,442,0
