Programme,Sub-Programme,Approved Budget FY 2024/25,col_3,"Actual Q1 Expenditure FY
2024/25",col_5,Absorption %,col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",574,0
"Agriculture,
Livestock",,"249,215,280","441,064,718","27,076,608",-,10.9,-,574,0
"Crop
Development",,-,"441,064,718",-,-,,-,574,0
,"Crop Diversifi-
cation",,"321,099,639",,-,,-,574,0
,"Post-harvest
management and
value addition",,"119,965,079",,-,,-,574,0
"Administrative
and Support
Services",,"249,215,280",-,"27,076,608",-,10.9,,574,0
,"Administrative
and Support
Services","249,215,280",,"27,076,608",,10.9,,574,0
"Trade,
Commerce and
Industry",,"44,619,504","92,280,000","6,113,710",-,13.7,-,574,0
"Medium and
small Enterprises",,-,"92,280,000",-,-,,-,574,0
,"Medium and
small Enterprises",,"92,280,000",,-,,-,574,0
"Administrative
and Support
Services",,"44,619,504",-,"6,113,710",-,13.7,,574,0
,"Administrative
and Support
Services","44,619,504",,"6,113,710",,13.7,,574,0
"Water, Environ-
ment and Natural
Resources",,"69,511,861","478,039,329","11,080,639","12,006,571",15.9,2.5,574,0
"Environment
management and
protection",,-,"478,039,329",-,"12,006,571",,2.5,574,0
,"Waste Manage-
ment",,"478,039,329",,"12,006,571",,2.5,574,0
"Administrative
and Support
Services",,"69,511,861",-,"11,080,639",-,15.9,,574,0
,"Administrative
and Support
Services","69,511,861",,"11,080,639",,15.9,,574,0
Public Works,,"107,894,296","103,427,938","12,598,428",-,11.7,-,574,0
"Road Construc-
tion and Road
Maintenance",,-,"103,427,938",-,-,,-,574,0
,"Maintenance of
Roads",,"103,427,938",,-,,-,574,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",575,0
"Administrative
and Support
Services",,"107,894,296",-,"12,598,428",-,11.7,,575,0
,"Administrative
and Support
Services","107,894,296",,"12,598,428",,11.7,,575,0
"Roads and Infra-
structure",,"23,900,000","575,135,712",-,-,-,-,575,0
"Administrative
and Support
Services",,"23,900,000","575,135,712",-,-,-,,575,0
,"Administrative
and Support
Services","23,900,000","575,135,712",-,-,-,-,575,0
Health Services,,-,-,-,-,,,575,0
"Administrative
and Support
Services",,-,-,-,-,,,575,0
,"Administrative
and Support
Services",-,-,-,-,,,575,0
"Lands, Housing
and Urban Plan-
ning",,"61,966,726","746,607,634","2,550,319",-,4.1,-,575,0
"Administrative
and Support
Services",,"61,966,726","746,607,634","2,550,319",-,4.1,-,575,0
,"Administrative
and Support
Services","61,966,726","746,607,634","2,550,319",-,4.1,-,575,0
"Gender, Sports,
Culture and
Tourism",,"161,516,309","335,692,556","6,109,216",-,3.8,-,575,0
"Cultural de-
velopment and
promotion",,-,"335,692,556",-,-,,-,575,0
,"Culture develop-
ment",,"335,692,556",,-,,-,575,0
"Administrative
and Support
Services",,"161,516,309",-,"6,109,216",-,3.8,,575,0
,"Administrative
and Support
Services","161,516,309",,"6,109,216",,3.8,,575,0
"Public Service
Management",,"602,729,518","249,025,000","53,915,164","24,147,975",8.9,9.7,575,0
"Infrastructure
Development",,-,"249,025,000",-,"24,147,975",,9.7,575,0
,"Supervision and
Management of
Projects",,"249,025,000",,"24,147,975",,9.7,575,0
"Administrative
and Support
Services",,"602,729,518",-,"53,915,164",-,8.9,,575,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",576,0
,"Administrative
and Support
Services","602,729,518",,"53,915,164",,8.9,,576,0
"Education and
ICT",,"667,997,575","159,251,863","36,735,189",-,5.5,-,576,0
"Vocational
Training Devel-
opment",,-,"159,251,863",-,-,,-,576,0
,"Vocational Train-
ing Development",,"159,251,863",,-,,-,576,0
"Administrative
and Support
Services",,"667,997,575",-,"36,735,189",-,5.5,,576,0
,"Administrative
and Support
Services","667,997,575",,"36,735,189",,5.5,,576,0
Finance,,"609,229,731","728,724,218","87,396,195","268,029,921",14.3,36.8,576,0
"Administrative
and Support
Services",,"609,229,731","728,724,218","87,396,195","268,029,921",14.3,36.8,576,0
,"Supervision and
Management of
Projects",,"728,724,218",,"268,029,921",,36.8,576,0
,"Administrative
and Support
Services","609,229,731",,"87,396,195",,14.3,,576,0
Governance,,"209,709,141","38,820,571","3,471,486",-,1.7,-,576,0
"Infrastructure
Development",,-,"38,820,571",-,-,,-,576,0
,"Supervision and
Management of
Projects",,"38,820,571",,-,,-,576,0
"Administrative
and Support
Services",,"209,709,141",-,"3,471,486",-,1.7,,576,0
,"Administrative
and Support
Services","209,709,141",,"3,471,486",,1.7,,576,0
"County Public
Service Board",,"62,204,964","10,495,000","109,573",-,0.2,-,576,0
"Governance and
County Values",,-,"10,495,000",-,-,,-,576,0
,"Infrastructure
Development",,"10,495,000",,-,,-,576,0
"Administrative
and Support
Services",,"62,204,964",-,"109,573",-,0.2,,576,0
,"Administrative
and Support
Services","62,204,964",,"109,573",,0.2,,576,0
Health Corporate,,"2,302,550,904","162,972,217","289,755,964",-,12.6,-,576,0
