Program,Sub Program,Description,"Approved Estimates FY
2024/25",col_4,"Actual Expenditure as of 30
September 2024",col_6,Absorption Rate (%),col_8,page_number,table_index
,504014310,"Administration And
Support Services","515,176,243",-,"23,670,670",-,5,-,602,0
,707014310,"Ward Development
Services",-,"54,900,000",-,-,-,-,602,0
,,Grand Total,"515,176,243","74,900,000","23,670,670",-,5,-,602,0
Energy Environment Climate Change and Natural Resources,,,,,,,,,602,0
,214014310,SP Energy Services,-,"55,000,000",-,-,-,-,602,0
,215054310,"SP Afforestation,
Re-Afforestation
and Agroforestry",-,"10,000,000",-,-,-,-,602,0
,215044310,"SP Climate Change
Services",-,"60,000,000",-,-,-,-,602,0
,504014310,"Administration And
Support Services","48,598,038",-,"30,776,800",-,63,-,602,0
,707014310,"Ward Development
Services",-,"79,000,000",-,,-,-,602,0
,,Grand Total,"48,598,038","204,000,000","30,776,800",-,63,-,602,0
Partnership Liaison and Linkages,,,,,,,,,602,0
,114014310,"SP Partnership, liai-
sons and Linkages","53,474,235",-,"112,000",-,-,-,602,0
,,Grand Total,"53,474,235",-,"112,000",-,-,-,602,0
Gender Social Protection and Culture,,,,,,,,,602,0
,110014310,"SP1.1 Administra-
tive support services","71,117,619",-,-,-,-,-,602,0
,,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,603,0
,506014310,"Social Welfare and
Community Devel-
opment",-,"20,000,000",-,-,-,-,603,0
,511014310,"SP Culture and Her-
itage Services","69,100,000",-,"170,200",-,-,-,603,0
,512024310,"SP Social Protection
& Safety Nets","8,000,000",-,-,-,-,-,603,0
,707014310,"Ward Development
Services",-,"10,600,000",-,-,-,-,603,0
,,Grand Total,"148,217,619","30,600,000","170,200",-,-,-,603,0
Housing and Urban Development,,,,,,,,,603,0
,122014310,"SP Housing Devel-
opment Services",-,"22,000,244",-,-,-,-,603,0
,123014310,"SP Urban Develop-
ment and Manage-
ment Services",-,"990,000,000",-,-,-,-,603,0
,306014310,"Administration And
Support Services","78,397,619",-,"28,240,840",-,36,-,603,0
,707014310,"Ward Development
Services",-,-,-,-,-,-,603,0
,,Grand Total,"78,397,619","1,012,000,244","28,240,840",-,36,-,603,0
Lands and Physical Planning,,,,,,,,,603,0
,124014310,"SP Land Manage-
ment and Adminis-
tration Services","57,049,119",-,"1,997,410",-,4,-,603,0
,504014310,"Administration And
Support Services","57,049,119","25,000,000",-,-,-,-,603,0
,707014310,"Ward Development
Services",-,"55,800,000",-,-,-,-,603,0
,,Grand Total,"114,098,238","80,800,000","1,997,410",-,2,-,603,0
"Water, Irrigation and Sanitation",,,,,,,,,603,0
,707014310,"Ward Development
Services",-,"266,425,452",-,-,-,-,603,0
,901014310,Drilling of boreholes,"209,782,767",-,-,-,-,-,603,0
,1001014310,"Water Supply Devel-
opment",-,"450,000,000",-,-,-,-,603,0
,,Grand Total,"209,782,767","716,425,452",-,-,-,-,603,0
County Attorney,,,,,,,,,603,0
115004339,,,"65,538,491",-,-,-,-,-,603,0
,,Grand Total,"65,538,491",-,-,-,-,-,603,0
,,Grand Total,"7,431,155,838","4,714,066,324","1,076,825,699",-,14,-,603,0
