Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
30th September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,259,1
3711-Kitui - Office of The Governor,,,,,,,,259,1
"General Administration
Planning and Support
Services",0701013710 P1,"835,578,023","798,774,535","541,849,076",-,65,0,259,1
enforcement unit,0703023710 SP2,"14,770,000",-,"2,800,000",-,19,0,259,1
"Human Resource Manage-
ment Unit",070333710 SP 2.2,"17,720,000",-,"14,920,000",-,84,0,259,1
Special Programmes,0703043710 sp 2.3,"8,870,000",-,-,-,0,0,259,1
records management,0703053710 Sp 2.4,"12,120,000",-,-,-,0,0,259,1
"Policy Development and
Coordination",0703053710 sp2.5,"5,600,000",-,-,-,0,0,259,1
"legal and head of public Ser-
vices Administration(Office
of the County Secretary)",0717033710 P3,"19,439,000",-,"17,231,200",-,89,0,259,1
Public Communication,0717013710 SP4.1,"7,020,350",-,-,-,0,0,259,1
"Public Relations and Cus-
tomer Care",0701023710 SP4.2,"1,208,700",-,-,-,0,0,259,1
"SEKEB and Intergovern-
mental Relations",0701033710 SP.3,"46,255,194",-,"37,828,019",-,82,0,259,1
Monitoring and evaluation,0707013710 SP4.4,"6,879,683",-,"4,435,000",-,64,0,259,1
Protocoal Unit,0707013710 SP 4.5,"4,979,054",-,,-,0,0,259,1
Office of the Attorney,0717033710 P5,"33,006,000",-,"20,526,500",-,62,0,259,1
"Office of the County Attor-
ney",0717033710 P5,"41,053,000",-,"16,503,000",-,40,0,259,1
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,260,0
"County Government
Administration and Field
Services",0705013710 SP7.1,"58,056,988","88,980,628","33,171,490",-,57,0,260,0
Devolution Services,0705013710 SP7.2,"17,599,050",-,-,-,0,0,260,0
Cabient affairs,0709001710 SP.3,"15,023,399",-,-,-,0,0,260,0
Total,,"1,145,178,441","887,755,163","689,264,285",--,60,0,260,0
Ministry of Health and Sanitation,,,,,,0,0,260,0
"General administration,
Planning and Support
Services",040113710 P1,"927,358,559","2,157,207",-,-,0,0,260,0
"Health Standards, Quality
assessment and standards",0401033710 SP 1.2,"3,000,000",-,-,-,0,0,260,0
"Health policy, Planning and
Financing",0402023710 SP 1.3,"101,507,362","112,217,939",-,-,0,0,260,0
county Referral Services,0402013710 SP 2.1,"1,370,000",-,-,-,0,0,260,0
"Hospital FIF /cost sharing
Refunds for 11 County
Hospitals",0403033710 SP 2.2,"399,656,250","10,044,000",-,-,0,0,260,0
"preventive and Promotive
Health Services",0403013710 SP 3.1,"1,065,101,854","19,411,165","716,446,084",-,67,0,260,0
Primary Care networks,0404013710 SP 3.2,"2,000,000","3,557,250",-,-,0,0,260,0
"Immunisation and Disease
Surveillance",0404033710 SP 3.3,"3,244,170",-,-,-,0,0,260,0
"Health Promotion sub-pro-
gramme (HIV/AIDS and TB
sub-programme",0403033710 SP 3.3,"2,659,869",-,-,-,0,0,260,0
"communicable diseases
Control(public Health Oper-
ations-Programme)",0403013710 SP 3.4,"4,042,443",-,-,-,0,0,260,0
"Non Communicable Diseas-
es prevention and control",0403023710 SP 3.5,"1,681,200",-,-,-,0,0,260,0
Health and promotion,0404013710 SP 3.6,"2,302,574",-,-,-,0,0,260,0
"Specialised Services and
Rehabilitative Services
sub-programme",0404023710 SP 3.7,"3,627,337",-,-,-,0,0,260,0
Curative Health Services,040201310 P4,"1,135,945,814","51,287,168","1,110,302,632",-,98,0,260,0
Total,-,"3,653,497,432","198,674,729","1,826,748,716",-,50,0,260,0
County Public Service Board,,,,,,,,260,0
"General administration,
Planning and Support
Services",0701013710 p1,"43,423,152",-,"21,711,576",-,50,0,260,0
"human resource manage-
ment & development",0713013710 SP2.1,"9,427,000",-,"5,500,000",-,58,0,260,0
human resource,0713023710 SP2.2,"8,024,200",,"6,221,753",,78,0,260,0
"Governance and County
Values",0714013710 SP3,"5,992,306","10,000,000",-,-,0,0,260,0
Total,-,"66,866,658","10,000,000","33,433,329",-,50,0,260,0
County Assembly,,,,,,,,260,0
"General administration,
Planning and Support
Services",0701013710 P1,"383,550,294",-,"191,775,147",-,50,0,260,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,261,0
"legislative representation
and oversight",0705013710 P2,"679,037,698","38,042,008","339,518,849",-,50,0,261,0
,,"1,062,587,992","38,042,008","531,293,996",-,50,0,261,0
Kitui Municipality,-,-,-,-,-,0,0,261,0
"General administration,
Planning and Support
Services",0201013710 P1,"51,454,569","27,600,000","25,727,284",-,50,0,261,0
"Control and management of
Public Finance",0207023710 P.2,"5,796,000","4,300,000","2,898,000",-,50,0,261,0
