"Department – Programs – Sub Programs
Rec Expenditure
Dev Expenditure",col_1,col_2,"Approved Estimates FY
2024/25",col_4,"Actual Expenditure as of
30 September 2024",col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,,,Rec,Dev,Rec,Dev,,,562,0
Office of Governor and Deputy Governor,,,,,,,,,562,0
,County Government Advisory Services,,"54,100,800",,"3,626,000",,6.70,0,562,0
,,"Public Sector Advisory Services
(Legal & Economic)","43,400,800",,"3,626,000",,8.35,0,562,0
,,Communication and Strategy,"10,700,000",,-,,0,0,562,0
,County Leadership & Coordination of MDAs,,"4,930,000",,"72,340",,1.47,0,562,0
,,"Coordination of CMAs (Office of
County Secretary)","4,930,000",,"72,340",,1.47,0,562,0
,"General Admin, Planning and Support Services",,"85,244,900",,"3,590,100",,4.21,0,562,0
,,"Management of County Affairs
(Office of Governor)","61,324,900",,"3,590,100",,5.85,0,562,0
,,"Coordination and Supervisory Ser-
vices (Deputy Governor’s Office)","23,920,000",,-,,0,0,562,0
,Sub - Total,,"144,275,700",,"7,288,440",,5.05,0,562,0
"Roads, Infrastructure, Public Works & Urban Development",,,,,,,,,562,0
,"General Admin, Planning and Support Services",,"33,900,400",,"6,486,500",,19.13,0,562,0
,,General Administration Services,"33,900,400",,"6,486,500",,19.13,0,562,0
,Kathwana Municipality Dev Programme,,"14,000,000",,-,,0,0,562,0
,,Kathwana Urban Area Support,"14,000,000",,-,,0,0,562,0
,Public Works and Housing Services,,"4,435,000","78,000,000",-,-,0,0,562,0
,,Public Works Services,"4,435,000","78,000,000",-,-,0,0,562,0
,Roads Transport,,"88,650,000","431,810,687","11,589,795","19,535,532",13.07,4.52,562,0
,,"Rural Roads Improvement and
Maintenance Services","88,650,000","431,810,687","11,589,795","19,535,532",13.07,4.52,562,0
,Urban Dev and Admin,,"77,500,000","188,945,347",-,-,0,0,562,0
,,Urban Admin Services,"77,500,000","188,945,347",-,-,0,0,562,0
,Sub - Total,,"218,485,400","698,756,034","18,076,295","19,535,532",8.27,2.80,562,0
Medical Services,,,,,,,,,562,0
,Curative and Rehabilitative Services,,"136,339,528",,"29,709,480",,21.79,0,562,0
,,Medical Supplies,"136,339,528",,"29,709,480",,21.79,0,562,0
,,,Rec,Dev,Rec,Dev,,,563,0
,General Admin Planning & Support Services,,"1,406,299,066","114,000,000","127,868,665",-,9.09,0,563,0
,,General Admin Services,"93,700,000","114,000,000","20,601,224",-,21.99,0,563,0
,,Human resource management,"1,178,199,066",,"94,341,526",,8.01,0,563,0
,,"Policy, Planning, Financing and
Budgeting","134,400,000",,"12,925,915",,9.62,0,563,0
,ICT Infrastructure Development,,"37,945,600","35,000,000",-,-,0,0,563,0
"ICT
Infra-
struc-
ture
Dev","37,945,600","35,000,000",-,-,0,0,,,563,0
,Sub - Total,,"1,580,584,194","149,000,000","157,578,145",-,9.97,0,563,0
"Agriculture, Livestock, Veterinary Services, & Cooperative Development",,,,,,,,,563,0
,Cooperative Dev & Management,,"3,493,683",,-,,0,0,563,0
,,Cooperative Development,"3,493,683",,-,,0,0,563,0
,Crop Dev & Management,,"15,729,545","156,515,152",-,-,0,0,563,0
,,"Crops Dev, Agribusiness and Mar-
ket Development","15,729,545","156,515,152",-,-,0,0,563,0
,General Admin Planning & Support Services,,"107,919,212","205,883,511","14,800,000",-,13.71,0,563,0
,,"Admin, Policy, Strategy and Man-
agement of Agriculture","107,919,212","205,883,511","14,800,000",-,13.71,0,563,0
,"Livestock and Fisheries Resource Management
and Development",,"70,983,455","18,000,000",-,-,0,0,563,0
,,"Livestock Policy Development and
Capacity Building","61,571,455","5,000,000",-,-,0,0,563,0
,,"Veterinary Services and Disease
Prevention","9,412,000","13,000,000",-,-,0,0,563,0
,Sub - Total,,"198,125,895","380,398,663","14,800,000",-,7.47,0,563,0
"Public Admin, Intergovernmental Coordination & Devolution Affairs",,,,,,,,,563,0
,"General Administration, Planning and Support
Services",,"157,754,300","10,000,000","9,900,000",-,6.28,0,563,0
,,"General Administration and Sup-
port Services","105,914,300","10,000,000","9,900,000",-,9.35,0,563,0
,,"Sub-County Administration and
Field Services","6,900,000",,-,,0,0,563,0
,,"Human Resource Management
Services","44,940,000",,-,,0,0,563,0
,Sub - Total,,"157,754,300","10,000,000","9,900,000",-,6.28,0,563,0
Education & Vocational Training,,,,,,,,,563,0
,Education and Youth Training,,"80,701,700","30,000,000",-,"2,525,980",0,8.42,563,0
,,"Promotion of Basic Education
(ECDE)","53,266,065","20,000,000",-,"2,525,980",0,12.63,563,0
,,"Youth Training and Capacity
Building","27,435,635","10,000,000",-,-,0,0,563,0
,General Admin Planning and Support Services,,"153,921,723",,"17,000,000",,11.04,0,563,0
,,"Admin Planning and Support
Services","153,921,723",,"17,000,000",,11.04,0,563,0
,Sub - Total,,"234,623,423","30,000,000","17,000,000","2,525,980",7.25,8.42,563,0
Finance & Economic Planning,,,,,,,,,563,0
,Economic Policy and County Planning,,"14,280,000",,"89,600",,0.63,0,563,0
,,Monitoring and Evaluation Services,"4,550,000",,-,,0,0,563,0
,,,Rec,Dev,Rec,Dev,,,564,0
,,"Economic Dev, Planning and Coor-
dination Services","4,230,000",,"89,600",,2.12,0,564,0
,,County Statistics Services,"5,500,000",,-,,0,0,564,0
,Financial Management Services,,"28,500,000",,"4,000,000",,14.04,0,564,0
,,Supply Chain Management Services,"14,350,000",,"4,000,000",,27.87,0,564,0
,,"Budget Formulation and Coordi-
nation","4,650,000",,-,,0,0,564,0
,,Audit Services,"4,550,000",,-,,0,0,564,0
,,Accounting Services,"4,950,000",,-,,0,0,564,0
,"General Admin, Planning & Support Services",,"173,949,900",,"19,101,353",,10.98,0,564,0
,,"Human Resource Management
Services","173,949,900",,"19,101,353",,10.98,0,564,0
,Sub - Total,,"216,729,900",,"23,190,953",,10.70,0,564,0
"Environment, Mining & Natural Resources",,,,,,,,,564,0
,"Environment and Natural Resources Manage-
ment",,"33,668,000","146,000,000","11,400,200",-,33.86,0,564,0
,,Environment and Natural Resource,"33,668,000","146,000,000","11,400,200",-,33.86,0,564,0
,Sub - Total,,"33,668,000","146,000,000","11,400,200",-,33.86,0,564,0
Water Services & Irrigation,,,,,,,,,564,0
,"Environment and Natural Resources Manage-
ment",,,"43,000,000",,"4,891,493",0,11.38,564,0
,,Water Services,,"43,000,000",,"4,891,493",0,11.38,564,0
,Water Supply Services,,"61,404,323","373,808,808","4,000,000",-,6.51,0,564,0
,,Domestic Water Services,"46,454,323",,"4,000,000",,8.61,0,564,0
,,Water Storage Services,"4,033,000","373,808,808",-,-,0,0,564,0
,,Irrigation and Drainage Services,"10,917,000",,-,,0,0,564,0
,Sub - Total,,"61,404,323","416,808,808","4,000,000","4,891,493",6.51,1.17,564,0
County Public Service Board,,,,,,,,,564,0
,"General Admin, Planning and Support Services",,"34,133,400",,"1,000,000",,2.93,0,564,0
,,General Admin & Support Services,"27,543,400",,"1,000,000",,3.63,0,564,0
,,"Human Resource Management
Services","6,590,000",,-,,0,0,564,0
