Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",66,0
"Agriculture, Livestock, Fisheries and Co-Operative Development",,,,,,,,66,0
"Programme 1: Gen-
eral Administration,
planning and support
services",,"364,277,441",-,"25,334,219",-,7.0,-,66,0
,"S. P 1.1 Human Resource
Management and Develop-
ment","344,655,196",-,"24,834,594",-,7.2,-,66,0
,"SP 1.2 Administrative and
Support Services","8,922,245",-,"499,625",-,5.6,-,66,0
,SP 1.4 Sector Coordination,"1,000,000",-,-,-,0.0,-,66,0
,"SP 1.5 Planning and Finan-
cial Management","2,000,000",-,-,-,0.0,-,66,0
,"SP 1.6 Monitoring, Eval-
uation, Communication,
Learning and Reporting","1,800,000",-,-,-,0.0,-,66,0
,SP 1.7 Weather information,"1,500,000",-,-,-,0.0,-,66,0
,"SP 1.8 Leadership and Gov-
ernance","1,000,000",-,-,-,0.0,-,66,0
,"SP 1.10 International,
National and County Cele-
brations","2,000,000",-,-,-,0.0,-,66,0
,"SP 1.11 Sub-County Admin-
istrative Costs","1,400,000",-,-,-,0.0,-,66,0
"Programme 2: Crop
Development and
Management",,"1,700,000","580,695,152",-,-,0.0,0.0,66,0
,"Crop Extension and Training
Services","1,200,000",-,-,-,0.0,-,66,0
,"Crop Production and Pro-
ductivity (Food, Industrial
and Horticultural Crops)",-,"326,000,000",-,-,-,0.0,66,0
,"Agricultural Value Addition
and Agro Processing",-,"10,000,000",-,-,-,0.0,66,0
,Food Safety,"500,000",-,-,-,0.0,,66,0
,"Agribusiness, Marketing and
Information Management",,"6,000,000",-,-,-,0.0,66,0
,"National Agricultural
Value Chain Development
Programme (NAVCDP)/
NARIGP",-,"151,515,152",-,-,-,0.0,66,0
,"Co-Funding NAVCD-
P&NARIGP",-,"5,000,000",-,-,-,0.0,66,0
,Ward Based Projects,-,"82,180,000",-,-,-,0.0,66,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",67,0
"Programme 3: Irri-
gation and Drainage
Development and
Management",,"250,000","12,500,000",-,-,0.0,0.0,67,0
,"Household Irrigation Tech-
nologies","250,000",,-,-,0.0,-,67,0
,"Agricultural Water Storage
and Management",-,"12,500,000",-,-,-,0.0,67,0
"Programme 4: Live-
stock Development
and Management",,"10,500,000","57,143,050",-,"15,554,305",0.0,27.2,67,0
,"Livestock and Veterinary
Extension and Training
Services","3,000,000",-,-,-,0.0,-,67,0
,"Food Safety and Quality
control","7,500,000","4,342,672",-,-,0.0,0.0,67,0
,Pending Bill,-,"6,350,378",-,-,-,0.0,67,0
,Disease and Vector Control,-,"5,000,000",-,-,-,0.0,67,0
,Animal Breeding,-,"3,500,000",-,-,-,0.0,67,0
,"Kenya Livestock Commer-
cialization Project (KeLCoP)",,"37,950,000",,"15,554,305",,41.0,67,0
"Programme 5: Fisher-
ies Development and
Management",,"350,000","4,700,000",-,-,0.0,0.0,67,0
,"Fisheries Extension and
Training Services","350,000",-,-,-,0.0,-,67,0
,"Fisheries Production and
Productivity",-,"4,700,000",-,-,-,0.0,67,0
"Programme 6: Agri-
cultural Institutions
Development and
Management",,-,"14,907,100",-,-,-,0.0,67,0
,"Development and Manage-
ment of Mabanga Agricul-
tural Training Centre (ATC)",-,"3,619,600",-,-,-,0.0,67,0
,"Development and Manage-
ment of Mabanga Agricul-
tural Mechanization Centre
(AMC)",-,"3,287,500",-,-,-,0.0,67,0
,"Development and Manage-
ment of Chwele Fish Farm
(CFF)",-,"8,000,000",-,-,-,0.0,67,0
"Programme 7: Coop-
eratives Development
and Management",-,"6,500,000","7,825,079",-,-,0.0,0.0,67,0
,"Cooperative Governance,
Advisory and Training
Services","4,500,000",-,-,-,0.0,-,67,0
,Pending Bills,-,"3,825,079",-,-,-,0.0,67,0
,"Cooperative Infrastructural/
Financial Support Services",-,"4,000,000",-,-,-,0.0,67,0
,Cooperative Audit Services,"2,000,000",-,-,-,0.0,,67,0
Sub Total,,"383,577,441","677,770,381","25,334,219","15,554,305",6.6,2.3,67,0
Public Administration,,,,,,,,67,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"570,284,296",-,"69,713,427",-,12.2,,67,0
,"SP 1: Administration
Services","70,031,635",-,"50,000",-,0.1,,67,0
,"SP 2: Human Resource Man-
agement and Development","223,073,211",-,"69,663,427",-,31.2,,67,0
,"SP 3: Security and Cleaning
Services","67,179,450",-,-,-,0.0,,67,0
,SP 4: Medical Insurance,"200,000,000",-,-,-,0.0,,67,0
,"SP 5: Information Commu-
nication Technology","10,000,000",-,-,-,0.0,,67,0
"Programme 2: Stake-
holder Engagement,
Civic Education and
Outreach Services",-,"18,000,000",-,-,-,0.0,-,67,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",68,0
,SP 1: Civic Education,"7,000,000",-,-,-,0.0,-,68,0
,SP 2: Public Participation,"1,000,000",-,-,-,0.0,-,68,0
,"SP 3: Commemoration of
National Events","10,000,000",-,-,-,0.0,-,68,0
"Programme 3: Service
Delivery and Organ-
isational Transfor-
mation",,"37,500,000","14,191,092",-,-,0.0,0.0,68,0
,"Sp3.1Service Delivery and
Organizational Transfor-
mation",-,"14,191,092",-,-,,0.0,68,0
,"Sp3.2 Kenya Devolution Sup-
port Programme","37,500,000",-,,,0.0,-,68,0
Sub Total,,"625,784,296","14,191,092","69,713,427",-,11.1,0.0,68,0
Office of the County Secretary and Head Of Public Service,,,,,,,,68,0
"General Administra-
tion, Planning and
Support Services",SP 1: Administration services,"52,832,404",-,"275,600",-,0.5,-,68,0
"Pending bills for legal
Dues/Fees, Arbitration
and Compensation
Payments",Legal Dues,"20,868,444",-,-,-,0.0,-,68,0
Sub Total,,"73,700,848",-,"275,600",-,0.4,-,68,0
Governor’s and Deputy Governor’s,,,,,,,,68,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"661,800,252",-,"43,688,764",-,6.6,-,68,0
,"SP1.1:Employee Compen-
sation","531,452,303",,"42,540,363",,8.0,-,68,0
,SP 2: Administrative Costs,"130,347,949",-,"1,148,401",-,0.9,-,68,0
"Programme 2: Gov-
ernance and Public
Relations",,"100,500,828",-,-,-,0.0,-,68,0
,"SP 1: County Strategic Man-
agement","32,857,599",-,-,-,0.0,-,68,0
,"SP 2: Leadership and Gov-
ernance","26,595,728",-,-,-,0.0,-,68,0
,SP 6: Special Programme,"41,047,501",-,-,-,0.0,-,68,0
Sub Total,,"762,301,080",-,"43,688,764",-,5.7,-,68,0
Health and Sanitation,,,,,,,,68,0
"PROGRAMME 1:
General Administra-
tion Planning and
Support Services",,"3,032,940,320","146,320,159","431,159,629",-,14.2,0.0,68,0
,"SP 1. 1 Health Administra-
tive and Support Services","153,366,917",,"137,600",,0.1,-,68,0
,"SP 1. 2. Leadership and
Governance.","7,735,361",-,-,-,0.0,-,68,0
,"SP 1. 6 Human Resource
Management","2,871,838,042",-,"431,022,029",-,15.0,-,68,0
,"SP 1. 7 Infrastructural Devel-
opment",-,"146,320,159",-,-,-,0.0,68,0
"Programme 2: Pre-
ventive and Promo-
tive",,"1,252,783,364","10,429,894",-,-,0.0,0.0,68,0
,"SP 2.1 Communicable and
Non-communicable Disease
Control","20,000,000",-,-,-,0.0,-,68,0
,"SP 2.2 Community Health
Strategy","5,600,000",-,-,-,0.0,-,68,0
,SP 2.3 Health Promotion,"3,000,000",-,-,-,0.0,-,68,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",69,0
,"SP 2.6 Reproductive, Mater-
nal, Newborn, Child, and
Adolescent Health.","5,000,000",-,-,-,0.0,-,69,0
,"SP 2.7 Public Health and
Sanitation",,"10,429,894",-,-,-,0.0,69,0
,"Specialised Materials and
Supplies","49,935,963",-,-,-,0.0,-,69,0
,Hospital Facilities,"1,169,247,401",-,-,-,0.0,-,69,0
Sub Total,,"4,285,723,684","156,750,053","431,159,629",-,10.1,0.0,69,0
Roads and Public Works,,,,,,,,69,0
"Programme 1:
General Administra-
tion, Planning, and
Support Services",,"129,135,678",-,"6,859,436",-,5.3,-,69,0
,"SP1.1: Human Resource
Management","88,265,741",-,"6,721,836",-,7.6,-,69,0
,"SP1.3: Administration
Services","29,107,726",-,"137,600",-,0.5,-,69,0
,"SP1.4: Financial Services,
Planning and Stewardship","11,762,211",-,-,-,0.0,,69,0
"Programme 2: Trans-
port Infrastructure
Development and
Management",,-,"1,226,748,613",-,-,,0.0,69,0
,"SP2.1: Construction of
Roads Bridges and Drainage
Works",-,"1,003,702,720",-,-,-,0.0,69,0
,"SP2.3: Rehabilitation of
Roads, Bridges and Drainage
Works RMLF",-,"184,554,999",-,-,-,0.0,69,0
,Pending Bill,-,"38,490,894",-,-,-,0.0,69,0
Sub Total,,"129,135,678","1,226,748,613","6,859,436",-,5.3,0.0,69,0
"Environment, Tourism and Climate Change",,,,,,,,69,0
"Programme 1: Gen-
eral Administration
Planning and Support
Services",,"45,166,837",-,"2,872,708",-,6.4,,69,0
,"SP. Human Resources Man-
agement","39,864,336",-,"2,872,708",-,7.2,-,69,0
,"Sp. Planning and Support
Services","5,302,501",-,-,-,0.0,-,69,0
