Programme,"Sub - Pro-
gramme",Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub Total,"663,900,000","923,603,602","73,305,225","298,934,116",11.0,32.4,247,0
"Public Finan-
cial Manage-
ment","Revenue Mobili-
sation","75,000,000",-,"23,241,249",-,31.0,-,247,0
,"Assets Manage-
ment","9,400,000",-,"651,100",-,6.9,-,247,0
,"Management of
public financial
Resources","16,000,000",-,"3,467,000",-,21.7,-,247,0
,"Budget For-
mulation and
Coordination","53,071,709",-,"8,089,328",-,15.2,-,247,0
,Sub Total,"153,471,709",0,"35,448,677",0,23.1,-,247,0
"County
Planning and
Development
Coordination
Services","Policy For-
mulation and
Planning","30,000,000",-,"5,849,061",-,19.5,-,247,0
,"Monitoring and
Evaluation","23,094,200",-,"3,466,374",-,15.0,-,247,0
,Statistics,"10,000,000",-,"1,806,693",-,18.1,-,247,0
,Sub Total,"63,094,200",0,"11,122,128",0,17.6,-,247,0
"County
Communica-
tion and ICT
Services","Management
of Information
Systems","4,625,000",-,-,-,-,-,247,0
,Sub Total,"4,625,000",0,0,0,-,-,247,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",248,0
"Representation
Services and
Public Partici-
pation","Public Participa-
tion Services","9,327,600",-,"1,465,490",-,15.7,-,248,0
,Sub Total,"9,327,600",0,"1,465,490",0,15.7,-,248,0
"County
Planning and
Development
Coordination
Services","County Planning
and Develop-
ment Coordina-
tion Services","31,830,000",-,"3,956,500",-,12.4,-,248,0
,Sub Total,"31,830,000",0,"3,956,500",0,12.4,-,248,0
ICT Services,ICT Services,"39,000,000",,"13,550,716",,34.7,-,248,0
,Sub Total,"39,000,000",0,"13,550,716",0,34.7,-,248,0
"Management
of County
Affairs and
Special Pro-
grammes","Emergency
Relief, Disaster
Management and
Control","22,160,000",-,"7,793,474",-,35.2,-,248,0
,"Inter-Govern-
ment Coordina-
tion and Protocol","9,827,600",-,"1,623,004",-,16.5,-,248,0
,Sub Total,"31,987,600",0,"9,416,478",0,29.4,-,248,0
,Total,"997,236,109","923,603,602","148,265,214","298,934,116",14.9,32.4,248,0
"Trade, Tourism, Industry and Marketing",,,,,,,,248,0
"General
Adminis-
tration and
Policy-Making
Services","Infrastructure
Development","1,964,071",-,"439,300",-,22.4,-,248,0
,"Trade Support
Services","1,740,000",0,"29,000",-,1.7,-,248,0
,"Entrepreneurial
Training and
Business","2,393,020","24,200,000",-,-,-,-,248,0
,Sub Total,"6,097,091","24,200,000","468,300",0,7.7,-,248,0
"Enterprise
Development","Business Devel-
opment Services","827,208","150,000,000",-,-,-,-,248,0
,Sub Total,"827,208","150,000,000",0,0,-,-,248,0
"Regula-
tion and
Verification of
Weights","Verification and
calibration of
Weighing Equip-
ment","2,625,000",-,"181,500",,6.9,-,248,0
,Sub Total,"2,625,000",0,"181,500",0,6.9,-,248,0
"Tourism De-
velopment and
Management","Tourism Devel-
opment","3,177,337",-,"18,900",-,0.6,-,248,0
,"Tourism Event
Management","5,588,589",-,"150,700",-,2.7,-,248,0
,Sub Total,"8,765,926",0,"169,600",0,1.9,-,248,0
"Administra-
tion, Planning
and Support","Administration
Planning","43,560,000",-,"2,997,970",-,6.9,-,248,0
,Sub Total,"43,560,000",0,"2,997,970",0,6.9,-,248,0
"Cooperative
Development
and Manage-
ment","Cooperative
Governance","1,925,000",-,"18,900",-,1.0,-,248,0
,"Policy Develop-
ment","11,613,000",-,"930,000",-,8.0,-,248,0
,,,,,,,224,248,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",249,0
,Sub Total,"13,538,000",0,"948,900",0,7.0,-,249,0
,Total,"75,413,225","174,200,000","4,766,270",0,6.3,-,249,0
"Medical Services, Public Health and Sanitation",,,,,,,,249,0
"Medical and
bio-medical
Services","County and
Sub-County Hos-
pital Services","110,321,698","123,650,000",-,-,-,-,249,0
,Sub Total,"110,321,698","123,650,000",0,0,-,-,249,0
"Preventive
and Promo-
tive Health
Services","Environmental
Health and Sani-
tation","31,375,000",-,"3,000,000",-,9.6,-,249,0
,"Disease Surveil-
lance","255,000",-,-,-,-,-,249,0
,"Health Promo-
tion Services","7,625,000",-,-,-,-,-,249,0
,Sub Total,"39,255,000",0,"3,000,000",0,7.6,-,249,0
"Health Cura-
tive Services","Reproductive
Health","450,000",-,-,-,-,-,249,0
,Sub Total,"450,000",0,0,0,-,-,249,0
"Health Sector
Support
Programme
(DANIDA)","Health Promo-
tion Services","32,578,766",-,"12,603,790",-,38.7,-,249,0
,Sub Total,"32,578,766",0,"12,603,790",0,38.7,-,249,0
"Jaramogi Og-
inga Odinga
Teaching
and Referral
Hospital","Jaramogi Oginga
Odinga Teaching
and Referral
Hospital","650,000,000",-,-,-,-,-,249,0
,Sub Total,"650,000,000",0,0,0,-,-,249,0
"Kisumu Coun-
ty Referral
Hospital","Kisumu County
Referral Hospital","59,870,067",-,-,-,-,-,249,0
,Sub Total,"59,870,067",0,0,0,-,-,249,0
"Routine Nutri-
tional Survey","Routine Nutri-
tional Survey","400,000",-,-,-,-,-,249,0
,Sub Total,"400,000",0,0,0,-,-,249,0
,Total,"892,875,531","123,650,000","15,603,790",0,1.7,-,249,0
"Sports, Culture, Gender and Youth Affairs",,,,,,,,249,0
"Gender and
Social Devel-
opment","Gender and
Disability main-
streaming","5,925,000",-,-,-,-,-,249,0
,"Social Develop-
ment Facilities","498,000",-,-,-,-,-,249,0
,Sub Total,"6,423,000",0,0,0,-,-,249,0
"Sports Man-
agement and
Development","Talent Develop-
ment","8,240,721",-,-,--,-,-,249,0
,Sub Total,"8,240,721",0,0,0,-,-,249,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expen-
diture",250,0
"Culture and
Heritage De-
velopment","Culture and
Heritage","3,400,000",-,"1,524,000",-,44.8,-,250,0
