Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Rec.
Expenditure","Dev
Expenditure","Rec.
Expenditure","Dev
Expenditure","Rec. Ex-
penditure","Dev Ex-
penditure",338,1
"Agriculture, Livestock and Fisheries",,,,,,,,338,1
"General Ad-
ministration
& Support
Services","General Ad-
ministration &
Support Services","183,998,598",,"- 30,344,465",-,16.5,-,338,1
"Livestock
Resources
Management
and Develop-
ment","Livestock-re-
sources Man-
agement and
Development","78,250,000","105,823,301","4,500,000",-,5.8,-,338,1
"Food Security
and Sustain-
able Agricul-
ture","Crop Manage-
ment and Devel-
opment","62,900,000","427,399,967","1,500,000","50,289,652",2.4,11.8,338,1
"Irrigation De-
velopment and
Management","Irrigation De-
velopment and
Management","24,200,000","111,325,484","1,000,000",-,4.1,-,338,1
,,"Rec.
Expenditure","Dev
Expenditure","Rec.
Expenditure","Dev
Expenditure","Rec. Ex-
penditure","Dev Ex-
penditure",339,0
,SubTotal,"349,348,598","644,548,752","37,344,465","50,289,652",10.7,7.8,339,0
Land and Urban Development,,,,,,,,339,0
"General Ad-
ministration
& Support
Services","General Ad-
ministration &
Support Services","69,153,340",-,"14,596,786",-,21.1,-,339,0
"Land Use
Planning and
Survey","Land Use Plan-
ning and Survey","41,550,000","48,926,640",-,-,0.0,-,339,0
"Physical Plan-
ning housing
and urban
development","Physical Planning
housing and ur-
ban development","4,200,000","528,208,000",-,"95,000,000",0.0,18.0,339,0
"Solid Waste
Management","Solid Waste Man-
agement","128,684,879",-,"16,740,000",-,13.0,-,339,0
,Sub-Total,"243,588,219","577,134,640","31,336,786","95,000,000",12.9,16.5,339,0
"Roads, Public Works and Transport",,,,,,,,339,0
"General Ad-
ministration
& Support
Services","General Ad-
ministration &
Support Services","156,225,616",-,"36,347,877",-,23.3,-,339,0
"Road And
Air Transport
Infrastructure
Development","Road And
Air Transport
Infrastructure
Development","127,491,417","876,327,815","2,231,411",-,1.8,-,339,0
"Public Works
Management","Public Works-
Management","10,900,000","39,000,000",-,-,0.0,-,339,0
,Sub-Total,"294,617,033","915,327,815","38,579,288",-,13,-,339,0
Trade and Cooperative Development,,,,,,,,339,0
"General Ad-
ministration
and Planning","General Admin-
istration and
Planning","42,749,748",-,"10,061,288",-,23.5,-,339,0
"Cooperative
Development
and Promotion","Cooperative
Development and
Promotion","7,400,000","15,449,789",-,-,0,-,339,0
"Trade Devel-
opment and
Promotion","Trade Devel-
opment and
Promotion","10,400,000","397,000,000",-,-,0,-,339,0
,Sub-Total,"60,549,748","412,449,789","10,061,288",-,16.6,-,339,0
Health Services,,,,,,,,339,0
"General Ad-
ministration
and Planning","General Admin-
istration and
Planning","1,525,499,284",-,"359,773,335",-,23.6,-,339,0
"Preventive,
Promotive and
Reproductive
Health Ser-
vices","Preventive,
Promotive and
Reproductive-
HealthServices","129,523,501","209,373,070",-,-,0.0,-,339,0
"Curative
Rehabilitative
and Referral
Services","Curative Reha-
bilitative and
ReferralServices","510,425,547","282,708,633","20,000,000",-,3.9,-,339,0
,Sub-Total,"2,165,448,332","492,081,703","379,773,335",-,17.5,-,339,0
Education and Human Capital Development,,,,,,,,339,0
,,"Rec.
Expenditure","Dev
Expenditure","Rec.
Expenditure","Dev
Expenditure","Rec. Ex-
penditure","Dev Ex-
penditure",340,0
"General Ad-
ministration
and Planning","General Admin-
istration and
Planning","1,009,626,588",-,"262,862,951",-,26.0,-,340,0
"Early Child-
hood Educa-
tion","Early Childhood
Education","102,650,000","248,285,210","1,000,000",-,1.0,-,340,0
"Vocational
and Techni-
cal Training
Services","Vocational and
Technical Train-
ing Services","15,500,000","23,049,894",-,-,0.0,-,340,0
"Education
Support Ser-
vices","Education Sup-
port Services","4,500,000",-,-,-,0.0,-,340,0
,Sub-Total,"1,132,276,588","271,335,104","263,862,951",-,23.3,-,340,0
County Executive Services,,,,,,,,340,0
"Management
of County
Affairs","General Admin-
istration and
Planning","501,872,333",-,"79,819,376",-,15.9,-,340,0
,Sub-Total,"501,872,333",-,"79,819,376",-,15.9,-,340,0
Office of the County Secretary,,,,,,,,340,0
"Policy,
Leadership
and Executive
Coordination","Leadership and
executive coordi-
nation","196,286,068","50,000,000","9,000,000",-,4.6,-,340,0
,Sub-Total,"196,286,068","50,000,000","9,000,000",-,4.6,-,340,0
Office of the County Attorney,,,,,,,,340,0
"Legal and
Public Sector
Advisory
Services","Legal and adviso-
ry services","84,957,458",-,"500,000",-,0.6,-,340,0
,Sub-Total,"84,957,458",-,"500,000",-,0.6,-,340,0
County Public Service Board,,,,,,,,340,0
"Ethics, Gov-
ernance and
Public Service
Values","Ethics, Gover-
nance and Public
Service Values","77,217,041","12,965,500","14,307,134",-,0.2,-,340,0
,Sub-Total,"77,217,041","12,965,500","14,307,134",-,0.2,-,340,0
County Assembly,,,,,,,,340,0
"Legislation
and Represen-
tation","Legislation and
Representation","883,911,204","102,421,313","31,398,476",-,3.6,-,340,0
,Sub-Total,"883,911,204","102,421,313","31,398,476",-,3.6,-,340,0
Finance and Economic Planning,,,,,,,,340,0
"General Ad-
ministration
and Planning","Administration
Planning","339,915,598",-,"74,410,007",-,21.9,-,340,0
"Public Finance
Management","Accounting
Services","4,300,000",-,-,-,-,-,340,0
,"Financial Ser-
vices and Report","6,000,000",-,-,-,-,-,340,0
,"Internal Au-
dit-services","2,800,000",-,-,-,-,-,340,0
,,"Rec.
Expenditure","Dev
Expenditure","Rec.
Expenditure","Dev
Expenditure","Rec. Ex-
penditure","Dev Ex-
penditure",341,0
,"Supply
Chain-manage-
ment Affairs","11,500,000",-,-,-,-,-,341,0
,"County As-
set-management
system","9,700,000",-,-,-,-,-,341,0
