Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of
30 September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,380,0
"Livestock
climate change
adaptation &
mitigation","Livestock-focused
climate risk
management",-,"1,600,000",-,-,-,-,380,0
"Livestock disease
& pest control
management",Disease & pest control,"1,300,000","4,000,000",-,-,-,-,380,0
,Disease surveillance,,"3,000,000",-,-,-,-,380,0
"Livestock
breeding & live-
stock products
improvement","Breeds selection &
artificial insemination","1,200,000",,-,-,-,-,380,0
"Veterinary pub-
lic health",Meat hygiene services,"375,000","1,000,000",-,-,-,-,380,0
"Veterinary
extension & clin-
ical services",Extension services,"600,000",,-,-,-,-,380,0
"Aquaculture
development","Aquaculture produc-
tion systems",-,"5,600,000",-,-,-,-,380,0
,"Fish breeding & stock-
ings services",-,"2,000,000",-,-,-,-,380,0
,"Fish feeds & feeding
services",-,"2,400,000",-,-,-,-,380,0
"Fish marketing
& value addition","Fish marketing ser-
vices",-,"4,300,000",-,-,-,-,380,0
,Licensing services,"300,000",-,-,-,-,-,380,0
"Lakefront (cap-
ture) fisheries
development &
management","Fisheries co-manage-
ment services.","2,234,695",-,-,-,-,-,380,0
"Extension sup-
ports services","Extension services &
support","1,635,000",-,-,-,-,-,380,0
"Fish safety &
quality assurance","Fish inspection ser-
vices","120,000",-,-,-,-,-,380,0
,"Residue monitoring &
control services","130,000",-,-,-,-,-,380,0
Blue Economy,"Sports fishing &
recreation services.",-,-,-,-,-,-,380,0
,Cage farming services,-,-,-,-,-,-,380,0
,"Fish Infrastructure
development",-,"4,000,000",-,-,-,-,380,0
,"Search & rescue centre
services.",-,"4,700,000",-,-,-,-,380,0
Sub-Total,,"244,694,846","532,309,271","26,303,743","22,346,410",10.7,4.2,380,0
"Department of Education, Gender inclusivity, Social Services, Youth and Sports",,,,,,,,380,0
"General Ad-
ministration &
Support Services","General
administration","278,082,195",,"56,103,118",,20.2,-,380,0
,"Quality assurance &
standard services","2,006,215",,,,-,-,380,0
"Early Childhood
Development
Education Ser-
vices","Quality assurance &
standard services","11,500,000","44,500,000",-,-,-,-,380,0
,"ECDE co-curriculum
development","4,000,000",-,-,-,-,-,380,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,381,0
,"School feeding pro-
gramme.","1,250,000",-,-,-,-,-,381,0
,"Community ECD
services",-,"44,500,000",-,-,,-,381,0
"Education sup-
port services",Bursary/scholarship,"146,000,000",-,-,-,-,-,381,0
"Child Care
Services","Child protection
responsive services
& caregiving support
services","1,000,000",-,-,-,-,-,381,0
"Youth develop-
ment & empow-
erment","Technical, vocational,
education & training","20,000,000","39,500,000",-,-,-,-,381,0
,"Youth empowerment
program","5,000,000",,-,-,-,-,381,0
,"Youth enterprise
development","1,000,000",,-,-,-,-,381,0
"Sports Develop-
ment","Sports Development
Services","36,000,000","16,000,000",-,-,-,-,381,0
,"Talent development
Services","3,000,000",,-,-,-,-,381,0
"Gender Develop-
ment & Equality
Services","Women Empower-
ment","1,500,000",-,-,-,-,-,381,0
,"Gender-responsive
education support","1,250,000",-,-,-,-,-,381,0
,"Adolescent Girls
& women water,
sanitation, & hygiene
support services","1,300,000",-,-,-,-,-,381,0
,"People with Disability
(PWDs) Empower-
ment","3,000,000",-,-,-,-,-,381,0
"Culture Devel-
opment Promo-
tion & Arts","Culture & heritage
conservation","2,950,000",-,-,-,-,-,381,0
Sub-Total,,"518,838,410","100,000,000","56,103,118",-,10.8,-,381,0
Medical Services Department,,,,,,,,381,0
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring
& evaluation, Re-
search, & learning.","6,300,000",-,-,-,-,-,381,0
,"Administration &
support services","37,300,000",-,"4,305,600",-,11.5,-,381,0
,"Human Resource
Management & Devel-
opment","1,300,413,949",-,"273,221,761",-,21.0,-,381,0
,"Infrastructure &
Health Facility Man-
agement",-,"212,000,000",,"52,755,978",-,24.9,381,0
,"Health Financing &
Universal Health Cov-
erage (UHC) co-ordi-
nation","2,460,000",-,-,-,-,-,381,0
,"Standards & Quality
Assurance","1,000,000",,"200,400",,20.0,-,381,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,382,0
"Preventive
& Promotive
Health Services","Environmental health
services","1,200,000",-,-,-,-,-,382,0
,"Human Nutrition &
Dietetics services","1,700,000",-,-,-,-,-,382,0
,"HIV/AIDS manage-
ment","2,000,000",-,-,-,-,-,382,0
,TB control,"1,200,000",-,-,-,-,-,382,0
,Malaria Control,"1,400,000",-,-,-,-,-,382,0
,"Non-Communicable
Diseases (NCDs","1,400,000","4,000,000",-,-,-,-,382,0
,"Disease surveillance/
Emergency prepared-
ness","950,000",-,-,-,-,-,382,0
,"Maternal & Reproduc-
tive Health services","3,160,000",-,-,-,-,-,382,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","1,800,000",-,-,-,-,-,382,0
,"Expanded Program for
Immunization (Immu-
nization","3,120,000",-,-,-,-,-,382,0
,"Gender-Based Vio-
lence health services","1,200,000",-,-,-,-,-,382,0
Donor Funds,Donor Funds,-,"124,723,404",-,-,-,-,382,0
"Curative,
Rehabilitative &
Referral Services","Hospital-Level Ser-
vices",-,"10,000,000",-,-,-,-,382,0
,"Ambulance & Referral
Services","3,200,000",-,-,-,-,-,382,0
,"Health Products &
Technologies","74,190,996",-,-,-,-,-,382,0
,"Diagnostic & Rehabili-
tation Services","12,580,000",-,-,-,-,-,382,0
,"Health Services Man-
agement Fund","136,000,000","4,000,000",-,-,-,-,382,0
Subtotal,,"1,592,574,945","354,723,404","277,727,761","52,755,978",17.4,14.9,382,0
Public Health & Sanitation Department,,,,,,,,382,0
