Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 30
September, 2024 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment
Expendi-
ture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",55,1
Administration and Public Service,,,,,,,,55,1
"Administra-
tion and Public
Service",County Executive,"173,180,072",-,"15,509,327",-,9,0,55,1
,County PSB,"23,798,200",-,"1,891,700",-,8,0,55,1
,Administration/Governance,"129,816,291","56,000,000","1,000,000",-,1,0,55,1
,Public Service,"2,213,752,795",-,"299,017,656",-,14,0,55,1
,Sub-Total,"2,540,547,358","56,000,000","317,418,683",-,12,0,55,1
"Finance, Economic Planning and ICT",,,,,,,,55,1
31,,,,,,,,55,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment
Expendi-
ture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",56,0
Finance,Financial Management Services,"134,885,173","59,000,000","14,293,419",-,11,0,56,0
,Sub-Total,"134,885,173","59,000,000","14,293,419",-,11,0,56,0
"Economic
Planning",Administration,"59,187,995","170,000,000","4,670,400",-,8,0,56,0
,"Budget Preparation & Man-
agement","7,200,000",-,-,-,0,0,56,0
,"Monitoring & Evaluation
Services","6,548,574",-,-,-,0,0,56,0
,Planning & Statistics,"22,800,000",-,-,-,0,0,56,0
,Sub-Total,"95,736,569","170,000,000","4,670,400",-,5,0,56,0
ICT,Administration,"29,670,000","11,000,000","49,700",-,0,0,56,0
,Sub-Total,"29,670,000","11,000,000","49,700",-,0,0,56,0
"Lands, Housing and Urban Planning",,,,,,,,56,0
"Lands, Housing
and Urban
Planning",Lands,"16,676,000","52,000,000",,-,0,0,56,0
,Urban Management,"78,460,000","44,620,000","10,500,000",-,13,0,56,0
,Housing Development,"3,466,000","7,000,000",-,-,0,0,56,0
,Municipality,"85,420,000","27,778,289",-,-,0,0,56,0
,Sub-Total,"184,022,000","131,398,289","10,500,000",-,6,0,56,0
"Gender, Culture and Social Services",,,,,,,,56,0
"Gender and
Culture","Policy Development and Ad-
ministrative Services","45,651,628","6,973,556","1,700,000",-,4,0,56,0
,Sub-Total,"45,651,628","6,973,556","1,700,000",-,4,0,56,0
Medical Services and Public Health,,,,,,,,56,0
"Medical Services
and Public
Health","Administration, Planning and
Support Services","1,463,397,433",-,"291,894,479",-,20,0,56,0
,Policy Development,-,-,-,-,0,0,56,0
,"Health Care Financing – Trans-
fers to Health Facilities","184,726,421",-,-,-,0,0,56,0
,Curative Services,"256,287,510",-,"4,967,953",-,2,0,56,0
,"Preventive and Promotive
Services","308,100,782",-,-,-,0,0,56,0
,Reproductive Health Services,"10,000,000",-,-,-,0,0,56,0
,"Health Infrastructure Devel-
opment",,"165,000,000",-,-,0,0,56,0
,Sub-Total,"2,222,512,146","165,000,000","296,862,432",-,13,0,56,0
"Agriculture, Livestock and Co-operatives",,,,,,,,56,0
Agriculture,Administration,"16,040,000",-,-,-,0,0,56,0
,Crop Management,-,"309,116,189",-,-,0,0,56,0
,Food & Nutrition Security,-,"46,600,000",-,-,0,0,56,0
,Sub-Total,"16,040,000","355,716,189",-,-,0,0,56,0
"Livestock,
Fisheries & Vet-
erinary Services",Livestock Development,-,"57,394,720",-,-,0,0,56,0
,Fisheries Development,-,"300,000",-,-,0,0,56,0
,Veterinary Services,-,"44,000,000",-,-,0,0,56,0
