Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 30
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",165,0
Office of the Governor and Deputy Governor,,,,,,,,165,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","127,027,549",-,"11,379,813",-,9,0,165,0
"Coordination
Devolution
Service","County Exec-
utive","39,810,000",-,-,-,0,0,165,0
,"Intergovern-
mental Relation","23,468,000",-,-,-,0,0,165,0
,"County Advi-
sory","19,465,828",-,-,-,0,0,165,0
,"Special Pro-
grams","20,720,000",-,-,-,0,0,165,0
,"Information,
Communication
and Technolo-
gies","20,711,000",-,"1,543,435",-,7.5,0,165,0
,Sub Total,"251,202,377",-,"12,923,248",-,5.1,0,165,0
County Public Service Board,,,,,,,,165,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","134,820,567",-,"16,343,577",-,12.1,0,165,0
,Sub-Total,"134,820,567",-,"16,343,577",-,12.1,0,165,0
Department of Medical Service and Public Health,,,,,,,,165,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","2,744,241,305",-,"392,432,220",-,14.3,0,165,0
"Curative and
Rehabilitative",Hospital Service,"16,460,500","98,100,000","4,224,780",-,25.7,0,165,0
,"Health Products
and Technolo-
gies","200,276,176",-,"48,851,953",-,24.4,0,165,0
,"Emergency
Responses","6,582,400",-,"1,825,786",-,27.7,0,165,0
"Public Health
and Sanitation","Reproductive
Maternal","56,769,977",-,"6,438,693",-,11.3,0,165,0
,"Communicable
and Non-Com-
municable
disease","4,609,000",-,"87,837",-,1.9,0,165,0
,"Primary Health
Care","97,823,500",-,"3,867,600",-,4,0,165,0
,"Disease Sur-
veillance and
Response","3,185,400",-,"470,140",-,14.8,0,165,0
,"Environmental
Health","34,066,962",-,"2,681,500",-,7.9,0,165,0
,Sub Total,"3,164,015,220","98,100,000","460,880,509",-,14.6,0,165,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",166,0
"Department of Water, Irrigation, Environment and Natural Resource",,,,,,,,166,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","126,821,397",-,"17,729,262",-,14,0,166,0
Water Service,Water Service,"26,300,000","302,011,456","3,651,500",-,13.9,0,166,0
,"Storm Water
Management","6,236,148",-,-,-,0,0,166,0
,"Sanitation
Service","3,400,000",-,-,-,0,0,166,0
"Environment
and Natural
Resources",Environmental,"9,280,000",-,"1,314,584",-,14.2,0,166,0
,"Natural Re-
sources","3,900,000",-,-,-,0,0,166,0
,Climate Change,"9,358,000",-,-,-,0,0,166,0
,Sub Total,"185,295,545","302,011,456","22,695,346",-,12.2,0,166,0
"Department of Roads, Transport, Public Works and Energy",,,,,,,,166,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","164,352,911",-,"21,733,947",-,13.2,0,166,0
"Public Works
and Infrastruc-
ture",Roads,"12,800,000","769,076,319","2,358,678",-,18.4,0,166,0
,Energy,"7,586,000","25,000,000","1,589,838",-,21,0,166,0
,Fire Fighter,"6,200,000",-,"1,283,800",,20.7,0,166,0
,Transport,"3,273,600",-,-,-,0,0,166,0
,Public Works,"4,400,000","150,000,000",-,-,0,0,166,0
,Sub Total,"198,612,511","944,076,319","26,966,263",-,13.6,0,166,0
"Department of Public Service, Administration and Citizen Participation",,,,,,,,166,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","967,005,839",-,"94,079,108",-,9.7,0,166,0
"Public Service
and Adminis-
tration","County Admin-
istration","7,952,545",-,"729,200",-,9.2,0,166,0
,"County Inspec-
torate","5,713,116",-,"904,000",-,15.8,0,166,0
"Human
Resource Man-
agement and
Development","Human Re-
source","191,688,202",-,"2,380,820",-,1.2,0,166,0
"Citizen Partici-
pation","Citizen Partici-
pation","13,831,255",-,"1,828,400",-,13.2,0,166,0
,Social Protection,"3,087,315",-,"385,000",-,12.5,0,166,0
,"Disability Main-
streaming","22,079,973",-,-,-,0,0,166,0
,"Control of
Alcohol and
Substance Abuse","12,049,804",-,-,-,0,0,166,0
,"County Organi-
zation","2,329,974",-,-,-,0,0,166,0
,Sub Total,"1,225,738,023",-,"100,306,528",-,8.2,0,166,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",167,0
Department of County Treasury,,,,,,,,167,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","834,834,184","857,982,317","134,590,569",-,16.1,0,167,0
"Public Finance
Management","Budget Coor-
dination and
Management","10,300,000",-,"1,947,280",-,18.9,0,167,0
,"Accounting
Service","8,710,000",-,"31,500",-,0.4,0,167,0
,"Supply Chain
Management","28,200,000",-,-,-,0,0,167,0
,Internal Audit,"7,750,002",-,-,-,0,0,167,0
,"Revenue Collec-
tion/ Resource
Mobilisation","14,533,094",-,"84,000",-,0.6,0,167,0
"Economy Policy
Coordination","Economic Plan-
ning","8,500,000",-,-,-,0,0,167,0
,"Monitoring and
Evaluation","10,225,000",-,-,-,0,0,167,0
,Sub Total,"923,052,280","857,982,317","136,653,349",-,14.8,0,167,0
"Department of Lands, Physical Planning and Urban Development",,,,,,,,167,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","90,385,971",-,"15,146,513",-,16.8,0,167,0
"Land Policy and
Planning","Physical Plan-
ning","5,810,000","408,427,873","770,000",-,13.3,0,167,0
,"Lands Survey
and Mapping","5,350,000",-,-,-,0,0,167,0
,"Lands Adminis-
tration","5,387,170",-,-,-,0,0,167,0
"Urban Devel-
opment and
Management","Urban Develop-
ment","46,182,438",-,"119,000",-,0.3,0,167,0
,Housing,"6,007,500",-,-,-,0,0,167,0
,Sub Total,"159,123,079","408,427,873","16,035,513",-,10.1,0,167,0
County Assembly,,,,,,,,167,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","632,537,070","205,000,000","97,629,571",-,15.4,0,167,0
"Legislation,
Representation
and Oversight","Legislation,
Representation
and Oversight","316,234,700",-,"22,927,590",-,7.3,0,167,0
,Sub Total,"948,771,770","205,000,000","120,557,161",-,12.7,0,167,0
"Department of Education, Youth and Sport",,,,,,,,167,0
