Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index,Approved Estimates,"Actual Expenditure as of 30th
September 2024",Absorption Rate (%)
"Early Childhood
Education Develop-
ment Services","Early Childhood Ed-
ucation Development
Services",,"140,404,229.00",,-,,-,622,0,"536,139,852.40","141,709,900.00",26
,,,Development,,Development,,Development,623,0,Recurrent,Recurrent,Recurrent
"Social Services,
Culture, Heritage
and Library Services","Promotion of Social
Service, Culture and
Heritage Services",,"4,000,000.00",,,,,623,0,"113,061,231.02","46,090,090.00",41
,"Child Protection
Services",,,,,,,623,0,"28,300,000.00",,0
"Gender and Woman
Empowerment","Gender and Woman
Empowerment",,"16,956,500.00",,,,-,623,0,"30,919,278.60","5,670,099.00",18
"Vocational Training
Services","Infrastructural devel-
opment",,"7,000,000.00",,,,-,623,0,"58,567,486.00","23,888,909.00",41
,Sub Total,,"253,860,729.00",,-,,-,623,0,"793,191,059.82","217,358,998.00",27
"ICT, Trade, Industrialization, Co-operative Development",,,,,,,,623,0,,,
Trade Services,"Business Support &
Investment Services",,"7,500,000.00",,,,-,623,0,"15,429,728.00",,-
"Co-operatives
Services","Capacity Building
Services",,"2,700,000.00",,,,-,623,0,"2,200,000.00",,-
"ICT Infrastructure
Services","ICT Infrastructure
Improvement & En-
hancement Services",,"13,500,000.00",,,,-,623,0,"88,171,463.20","1,097,128.00",1
"Industrialisation
and Investment
Services","Investment and Indus-
try Services",,"450,686,870.00",,,,,623,0,"2,400,000.00",,0
"General administra-
tion, Planning and
Support Services","General administra-
tion, Planning and
Support Services",,-,,,,,623,0,"79,852,490.43",,0
,Sub Total,,"474,386,870.00",,-,,-,623,0,"188,053,681.63","1,097,128.00",1
Lands and Spatial Planning,,,,,,,,623,0,,,
"Land Policy and
Physical Planning","Urban Physical Plan-
ning Services",,"590,477,229.30",,,,-,623,0,"69,700,258.40","2,008,996.00",3
,"Urban Development
Management",,-,,,,,623,0,"35,000,000.00",,0
Housing Services,Housing Services,,,,,,,623,0,"1,600,000.00",,0
"Public Works
Services",Public Works Services,,"111,681,680.80",,,,,623,0,"1,300,000.00",,0
,Sub-Total,,"702,158,910.10",,-,,-,623,0,"107,600,258.40","2,008,996.00",2
County Public Service Board,,,,,,,,623,0,,,
"County Public Ser-
vice Board Services","Coordination and
Supervisory",,-,,-,,,623,0,"72,264,999.90","989,098.00",1
,Sub-Total,,-,,-,,,623,0,"72,264,999.90","989,098.00",1
Municipality,,,,,,,,623,0,,,
"Urban Develop-
ment Services","Urban Development
Services",,"217,894,053.00",,,,-,623,0,"222,449,999.92","8,165,609.00",4
,Sub-Total,,"217,894,053.00",,-,,-,623,0,"222,449,999.92","8,165,609.00",4
County Assembly,,,,,,,,623,0,,,
"County Assembly
Services","County Assembly
services",,-,,,,,623,0,"992,609,870.00","59,770,290.48",6
,,,"5,286,029,752.00",,"209,041,623.00",,4,623,0,"8,473,388,095.08","1,316,563,814.18",16
