Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,363,1
COUNTY ASSEMBLY OF MERU,,,,,,,,363,1
"Legislation and
Representation","Legislation & Repre-
sentation","468,433,422",-,"35,046,363",-,7.5,-,363,1
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,364,0
"Legislative Over-
sight",Legislative Oversight,"218,716,758",-,"8,982,794",-,4.1,-,364,0
"General Admin,
Planning & Sup-
port","General Administra-
tion, Planning and
Support Services","326,183,116","132,017,326","12,510,675",-,3.8,0.0,364,0
Sub-Total,,"1,013,333,295","132,017,326","56,539,833",-,5.6,0.0,364,0
OFFICE OF THE GOVERNOR,,,,,,,,364,0
Headquarters,Headquarters,"27,150,000",-,-,-,0.0,-,364,0
Governors Press,Governors Press,"21,500,000",-,-,-,0.0,-,364,0
"Monitoring and
Evaluation","Monitoring and
Evaluation","14,450,000",-,-,-,0.0,-,364,0
"Research and Pub-
lic Participation","Research and Public
Participation","8,850,000",-,-,-,0.0,-,364,0
"Special pro-
grammes (Fire,
Rescue and Emer-
gency Services)","Special programmes
(Fire, Rescue and
Emergency Services)","34,200,000",-,-,-,0.0,-,364,0
"Partnership
Development and
External Linkages","Partnership Develop-
ment and External
Linkages","10,850,000",-,-,,0.0,-,364,0
Delivery Unit,Delivery Unit,"5,000,000",-,-,-,0.0,-,364,0
"Protocol & Event
Management","Protocol & Event
Management","8,300,000",-,-,-,0.0,-,364,0
"Office of the Depu-
ty Governor","Office of the Deputy
Governor","29,950,000",-,-,,0.0,-,364,0
Sub-Total,,"160,250,000",-,-,-,0.0,-,364,0
FINANCE ECONOMIC PLANNING & ICT,,,,,,,,364,0
Headquarters,Headquarters,"278,512,000","239,296,663",-,"48,848,824",0.0,20.4,364,0
"Meru Investment
Corporation","Meru Investment
Corporation","21,600,000",-,-,-,0.0,-,364,0
"Meru Microfinance
Corporation","Meru Microfinance
Corporation","78,758,591",-,-,-,0.0,-,364,0
"Meru County
Revenue Board","Meru County Reve-
nue Board","336,660,640",-,-,-,0.0,-,364,0
Procurement,Procurement,"9,000,000",-,-,-,0.0,-,364,0
Internal Audit,Internal Audit,"6,230,000",-,-,-,0.0,-,364,0
Budget and Policy,Budget and Policy,"20,300,000",-,-,-,0.0,-,364,0
Accounts,Accounts,"157,965,741",-,-,-,0.0,-,364,0
ICT Development,ICT Development,"8,050,000","1,000,000",-,-,0.0,0.0,364,0
"Economic Plan-
ning and Coordi-
nation Services","Economic Planning
and Coordination
Services","7,470,000",-,-,-,0.0,-,364,0
"Administration
Services","Administration
Services","4,447,752",-,-,-,0.0,-,364,0
Sub-Total,,"928,994,724","240,296,663",-,"48,848,824",0.0,20.3,364,0
"AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHERIES",,,,,,,,364,0
