Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 30
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Energy Infrastruc-
ture & development","SP4.1:Energy
Infrastructure &
development","18,701,000","94,615,000","5,396,000",-,29,0,328,0
,Sub Total,"138,742,279","841,264,094","5,587,160","530,000",4,0,328,0
"ICT, Education and Internship",,,,,,,,328,0
"General administra-
tion & planning","SP1. 1 General
administration &
planning","728,477,227",-,"2,552,683.80",-,0,,328,0
"Early childhood de-
velopment education","SP2.1: Early Child-
hood Development
Education","22,840,000","142,300,000","698,000","119,500",3,0,328,0
"Technical training
& non-formal edu-
cation","SP3.3: Technical
training & non-for-
mal education","1,840,000","36,000,000","100,000",-,5,0,328,0
"Support to Education
and Library Services","SP4.1:Support
to Education and
Library Services","34,540,000","115,000,000","1,436,000",-,4,0,328,0
"ICT Infrastructure
& Systems Develop-
ment","SP5.1:ICT Infra-
structure & Systems
Development","19,290,000","28,500,000",-,-,0,0,328,0
"Internship, Mentor-
ship and Volunteer-
ism","SP6.1: Internship,
Mentorship and
Volunteerism","19,140,000",-,-,-,0,,328,0
,Sub Total,"826,127,227","321,800,000","4,786,683.80","119,500",1,0,328,0
"Trade, Industry & Cooperatives",,,,,,,,328,0
"General administra-
tion & planning","SP1. 1 General
administration &
planning","119,070,000",-,"4,923,116.20",-,4,,328,0
"Trade development
& promotion","SP2.1; Trade
development &
promotion","6,900,000","34,250,000",,,0,0,328,0
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",329,0
"Industrial develop-
ment and promotion","SP3. 1 Industrial
development and
promotion","2,500,000",-,"478,400",-,19,,329,0
"Tourism develop-
ment & promotion","SP4. 1 Tourism
development &
promotion","6,500,000",,"68,951.60",,1,,329,0
"Culture, Art and the
Music promotion","SP5. 1 Culture,
Art and the Music
promotion","8,000,000",,"116,460",,1,,329,0
,Sub Total,"142,970,000","34,250,000","5,586,927.80",-,4,0,329,0
"Department of Gender, Children, Youth, Sports, and Social Services",,,,,,,,329,0
"General administra-
tion & planning","P1: General admin-
istration & planning","63,305,630.09",,"471,600",-,1,,329,0
"Gender and Social
Development","P2: Gender and
Social Development","6,200,000","58,000,000","168,000",-,3,0,329,0
Sports development,"P3; Sports develop-
ment","3,200,000","14,400,000",-,-,0,0,329,0
Youth empowerment,"P4; Youth empow-
erment","650,000","92,415,000","168,000",-,26,0,329,0
,Sub Total,"73,355,630.09","164,815,000","807,600",-,1,0,329,0
County Attorney,,,,,,,,329,0
"General Adminis-
tration & Support
Services","P1: General admin-
istration & planning","48,839,383","9,300,000","672,899",-,1,0,329,0
,Sub Total,"48,839,383","9,300,000","672,899",-,1,0,329,0
Governorship,,,,,,,,329,0
"General Adminis-
tration & Support
Services","P1: General admin-
istration & planning","538,726,380",-,"21,422,365",,4,,329,0
,Sub Total,"538,726,380",-,"21,422,365",,4,,329,0
County Secretary,,,,,,,,329,0
"Leadership & coordi-
nation of depart-
ments","SP1. 1 Leadership
& coordination of
departments","135,167,433",,"494,000",,0,,329,0
,Sub Total,"135,167,433",-,"494,000",,0,,329,0
CPSB,,,,,,,,329,0
"Public Service
Human Resource
Management and
Development.","SP2: Public Service
Human Resource
Management and
Development.","78,167,260",,"1,694,828",,2,,329,0
,Sub Total,"78,167,260",,"1,694,828",,2,,329,0
Finance & Socio-Economic Planning,,,,,,,,329,0
"General Adminis-
tration & Support
Services","SP1: General admin-
istration & planning","389,897,666","28,800,000","2,832,400",,1,0,329,0
"Public financial man-
agement","SP2: Public financial
management","152,988,022",,"8,833,440",,6,,329,0
,Sub Total,"542,885,688","28,800,000","11,665,840",-,2,0,329,0
"Devolution, Public participation, County Administration and Special Programmes",,,,,,,,329,0
"General Administra-
tion & Planning","SP1: General
Administration &
Planning","242,021,797","37,500,000","2,919,668",,1,0,329,0
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",330,0
Special Programs,"SP2: Special Pro-
grams","23,014,800",,"8,676,542",,38,,330,0
Public Participation,"SP3: Public Partici-
pation","58,818,360",,"973,470",,2,,330,0
,Sub Total,"323,854,957","37,500,000","12,569,680",-,4,0,330,0
Water and Sanitation,,,,,,,,330,0
"General administra-
tion & planning","SP1: General
Administration &
Planning","99,585,040.40","55,087,578","166,800",,0,0,330,0
