Programme,Sub-Pro gramme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",121,1
"Department of Agriculture, Livestock & pastoral",,,,,,,,121,1
"Programme 1: CP1:
Agriculture","CSP 1.1 Agriculture Admin-
istration & Support Services","91,576,039","233,076,923","5,000,000","13,351,028",6,6,121,1
,"CSP 1.2 Crop production
and value chains","1,200,000",,,,-,,121,1
,"CSP 1.3 Agricultural Mecha-
nization Services",,"37,200,000",,,,-,121,1
"CP2: Livestock Pasto-
ral Economy","Sub- CSP 2.1 Livestock
Administration and Support
Service","47,180,760","177,500,000","13,500,000",,29,-,121,1
,"CSP 2.2 Livestock Produc-
tion","2,550,000",,,,-,,121,1
,"CSP 2.3 Livestock Value
Chains Development","500,000",,,,,,121,1
,CSP 2.4 Veterinary Service,"3,350,000","30,000,000",,,-,-,121,1
CP3: Fish Production,CSP 3.1 Fisheries services,"200,000",,,,-,,121,1
CP 4: Cooperatives,"CSP 4.1 Cooperatives Devel-
opment","600,000",,,,-,,121,1
,Sub Total,"147,156,798","477,776,923","18,500,000","13,351,028",13,3,121,1
"Department Culture, Gender, Youth & Sports",,,,,,,,121,1
"CP1. Administration
and support services","CSP 1.1 Administration and
Support Services","65,937,181",,"12,000,000",,18,,121,1
"CP2. Gender and
social services","CSP 2.1 Social Protection,","1,025,000","76,000,000",,"4,475,000",-,6,121,1
,"CSP 2.2 Gender and Women
Empowerment",,,,,,,121,1
"CP3. Cultural Pro-
motion","CSP 3.1 Promotion and
preservation of culture and
Heritage",,,,,,,121,1
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",122,0
"CP4. Youth and Sport
Development",CSP4.1 Youth development,"500,000",,,,-,,122,0
,"CSP4.2 Sports & talent
development","3,263,600","107,000,000",,,-,-,122,0
,Sub-Total,"70,725,781","183,000,000","12,000,000","4,475,000",17,2,122,0
"Department Roads, Transport and Public Works",,,,,,,,122,0
"CP1: Administration
and support services","CSP 1.1 Administration and
Services","75,653,420","65,000,000","11,000,000","31,836,358",15,49,122,0
"CP2.0 Road and
transport",CSP2.1 Roads,"1,667,200","341,510,083",,,-,-,122,0
,CSP 2.2 Transport,"1,500,000",,,,-,,122,0
"CP3 Public works
&housing",CSP3.1 PUBLIC WORKS,"6,000,000","44,000,000",,,-,-,122,0
,Sub-Total,"84,820,620","450,510,083","11,000,000","31,836,358",13,7,122,0
"Department of Education, Information and ICT",,,,,,,,122,0
"CP1: General Admin-
istration and support
services","CSP1.1 Administration and
Support Services","348,193,769",,"156,500,000",,45,,122,0
"CP2. Education
Development",CSP 2.1 E.C.D,"24,234,909","157,100,000",,,-,-,122,0
,CSP 2.2 Vocational Training,"3,001,200",,,,-,,122,0
"CP3. ICT, Informa-
tion and Libraries","CSP3.1 ICT, Information
and Libraries","10,082,733",,,,-,,122,0
,Sub-programme,,,,,,,122,0
,Sub-Total,"385,512,611","157,100,000","156,500,000",,41,-,122,0
"Department Lands, Physical Planning and Urban Development",,,,,,,,122,0
CP 1: Administration,"CSP 1.1 Urban Administra-
tion & Support Services","345,967,569",,"67,009,850",,19,,122,0
"CP 2: Lands & physi-
cal planning",CSP 2.1 Lands Services,"7,000,000",,,,-,,122,0
,CSP 2.2 Physical Planning,"7,450,000","50,000,000",,,-,-,122,0
"CP 3: Urban Devel-
opment","CSP 3.1 Urban Develop-
ment and Infrastructure","1,500,000",,,,-,,122,0
,"CSP 3.2 Urban Disaster and
Risk Management","6,114,626","60,000,000",,,-,-,122,0
,"CSP 3.3 Urban Sanitation
Services","900,000",,,,-,,122,0
,Sub-Total,"368,932,195","110,000,000","67,009,850",,18,-,122,0
Department Finance & Economic Planning,,,,,,,,122,0
"P1: Administration
and Support Services","CSP1.1 Administration and
Support Services","902,682,278","150,000,000","326,840,021","12,574,749",36,8,122,0
,CSP 1.2 Special Programmes,"304,910,000",,,,-,,122,0
"P2: Public Finance
Management",CSP 2.1 Accounting Services,"3,713,739",,,,-,,122,0
,CSP 2.2 Budget Formulation,"8,890,719",,,,-,,122,0
,CSP 2.3 Audit Services,"5,362,600",,,,-,,122,0
,"CSP 2.4 Revenue Manage-
ment","9,305,000",,,,-,,122,0
,CSP 2.5 Supply Chain Mgt,"7,630,000",,,,-,,122,0
"P3: Economic
planning",CSP 3.1 Planning and M&E,"11,730,000",,,,-,,122,0
,"CSP3.2 Statistics and
Research","4,500,000",,,,-,,122,0
,Sub-Total,"1,258,724,336","150,000,000","326,840,021","12,574,749",26,8,122,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",123,0
Department of Health & Sanitation,,,,,,,,123,0
"P1: Governance,
quality assurance and
support services","CSP 1.1 Administration
And Support Services","2,628,768,727","420,500,000","341,873,453","60,000,000",13,14,123,0
,"CSP 1.2 Health Information
Systems","5,000,000",,,,-,,123,0
,"CSPS 1.3 policy Research
and planning","5,000,000",,,,-,,123,0
"P2: Curative Services,
Rehabilitative and
Referal services","CSP 2.1 Health products
and technologies","208,500,000",,,,-,,123,0
,"CSP 2.2 Rehabilitative
services","11,500,000",,,,-,,123,0
,"CSP 2.3 Referal and Emer-
gency Services","54,258,025",,,,-,,123,0
