Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,611,1
"Administration,
Planning and Sup-
port Service",,"945,872,006","528,942,946","80,996,206","8,415,486",23,7,611,1
,Administrative Service,"936,258,606","528,942,946","80,641,476","8,415,486",24,7,611,1
,Research and Development,"9,613,400",,"354,730",-,4,!,611,1
"Livestock Develop-
ment and Manage-
ment",,"5,041,000","29,820,002",-,,-,-,611,1
,"Veterinary Services and
Extension","4,541,000","3,500,000",-,,-,-,611,1
,Livestock Extension,"500,000","8,000,000",-,,-,-,611,1
,Value Chain Development,,"18,320,002",-,,!,-,611,1
"Fisheries Develop-
ment and Manage-
ment",,"3,541,000","14,000,000",-,,-,-,611,1
,Promotion of Fish Farming,"3,541,000","14,000,000",-,,-,-,611,1
,,Recurrent,Development,Recurrent,Development,Rec,Dev,612,0
"Crop Development
and Management",,"7,950,000","4,500,000",-,,-,-,612,0
,Crop Extension,"1,824,000",,-,,-,!,612,0
,Food Security Initiatives,"6,126,000","4,500,000",,,-,-,612,0
"Co-operatives
Development",,"26,037,300",,"917,130",,4,!,612,0
,"Co-operative Development
Services","26,037,300",,"917,130",,4,!,612,0
"Land Survey and
Mapping Services",,"4,482,600","20,000,000","957,600",,21,-,612,0
,Land Survey and Mapping,"4,482,600","20,000,000","957,600",,21,-,612,0
"1 Urban and Phys-
ical Planning and
Housing Services",,"34,343,111","16,549,346","2,053,300",,6,-,612,0
,Urban and Physical Planning,"719,000","9,549,346",-,,-,-,612,0
,Housing Development,"5,162,400","7,000,000",-,,-,-,612,0
,Vihiga Municipality {KUSP},"28,461,711",,"2,053,300",,7,!,612,0
"Administration,
Planning and Sup-
port Service",,"86,518,384","56,517,579","7,593,420",,9,-,612,0
,Administrative Service,"86,518,384","56,517,579","7,593,420",,9,-,612,0
"Transport Manage-
ment",,"9,823,443","147,879,239",-,"59,829,751",-,40,612,0
,"Transport System Manage-
ment","812,600",-,-,"59,829,751",-,!,612,0
,Mechanical Services,"9,010,843",-,-,,-,!,612,0
,Roads Maintenance,-,"147,879,239",-,,!,-,612,0
"Administration,
Planning and Sup-
port Service",,"43,178,814","154,391,780","1,169,448","5,531,395",3,4,612,0
,Administrative Service,"43,178,814","154,391,780","1,169,448","5,531,395",3,4,612,0
"Public Finance
Management",,"7,471,012",-,-,-,-,!,612,0
,ICT Printing press,"7,471,012",-,-,,-,,612,0
"Trade Development
and Investment",,"32,138,440","44,000,000","1,807,432",,6,-,612,0
,"Market Development and
Management","32,138,440","44,000,000","1,807,432",,6,-,612,0
"Tourism Develop-
ment",,"6,146,880","4,000,000","1,014,200",,16,-,612,0
,"Tourism Promotion and
Branding","6,146,880","4,000,000","1,014,200",,16,-,612,0
"Administration,
Planning and Sup-
port Service",,"1,148,674,761","186,961,483","252,801,941","6,582,189",22,4,612,0
,Administrative Service,"33,275,141","186,961,483","10,670,908","6,582,189",32,4,612,0
,"Human Resource Manage-
ment and Development","1,115,399,620",-,"242,131,033",,22,,612,0
"Promotive and Pre-
ventive Healthcare
Services",,"59,710,000",-,"1,002,280",,2,,612,0
,Public Health Services,"550,000",-,-,,-,,612,0
,Community Health Strategy,"53,594,000",-,-,,-,,612,0
,Reproductive Healthcare,"5,050,000",-,"1,002,280",,20,,612,0
,"Disease Surveillance and
Emergency","516,000",-,-,,-,,612,0
"Curative And Re-
habilitative Health
Services",,"121,584,000","83,886,040","19,243,936",,16,-,612,0
,Medical services,"14,780,000",-,-,,-,,612,0
,"Drugs and Other Medical
Supplies","106,804,000",-,"19,243,936",,18,,612,0
,County referral services,-,"83,886,040",-,,,-,612,0
"Child and Maternal
Health Care",,"5,038,060",,-,,-,,612,0
,Nutrition Services,"5,038,060",,,,-,,612,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,613,0
"Administration,
Planning and Sup-
port Service",,"75,864,028","53,661,504","6,631,570",,9,-,613,0
,Administrative Service,"75,864,028","53,661,504","6,631,570",,9,-,613,0
"Vocational Educa-
tion and Training",,"218,838,400","30,000,000","6,139,994",,3,-,613,0
,"Youth Polytechnic Develop-
ment","218,838,400","30,000,000","6,139,994",,3,-,613,0
"Early Childhood
Development",,"188,094,500","34,000,000","64,871,260",,34,-,613,0
,ECD Development,"188,094,500","34,000,000","64,871,260",,34,-,613,0
"Administration,
Planning and Sup-
port Service",,"1,067,725,464","526,854,813","165,988,242",,22,-,613,0
,Administrative Service,"1,045,659,764","513,854,813","164,816,102",,23,-,613,0
,County Administration,"22,065,700","13,000,000","677,940",,3,-,613,0
,"County Radio Information
Services","17,529,200",,"494,200",,3,,613,0
"Public Finance
Management",,"30,112,000",,"10,000,000",,33,,613,0
,Public Finance Management,"1,000,000",,-,,-,,613,0
,Accounting Services,"1,000,000",,-,,-,,613,0
,"Budget Formulation Co-or-
dination","1,143,000",,-,,-,,613,0
,Resource Mobilisation,"24,362,000",,"10,000,000",,41,,613,0
,"Budget Expenditure Man-
agement","2,607,000",,-,,-,,613,0
Audit Services,,"4,336,600",,"614,170",,,,613,0
,Audit Services,"4,336,600",,"614,170",,14,,613,0
"County Planning
Services",,"600,000",,-,,-,,613,0
,"Co-ordination of Policy
Formulation and Plans","600,000",,-,,-,,613,0
"Management and
Administration of
County Services",,"15,566,400","1,500,000","1,143,800",,7,-,613,0
,County Executive,"7,437,100",-,"494,800",,7,,613,0
,County Secretary,"8,129,300","1,500,000","649,000",,8,-,613,0
"Administration,
Planning and Sup-
port Service",,"45,982,520","29,737,034","1,973,785",,4,-,613,0
,Administrative Service,"45,982,520","29,737,034","1,973,785",,4,-,613,0
903004860,,"36,604,000","51,400,000","772,400",,2,-,613,0
,Promotion of Sports,"18,739,000","35,400,000",-,,-,-,613,0
,"Promotion of Culture and
Heritage","12,865,000","12,000,000","772,400",,6,-,613,0
,Recreation and Arts,"5,000,000","4,000,000",-,,-,-,613,0
904004860,,"13,403,945","5,000,000",-,,-,-,613,0
,Social Protection,"2,612,945","5,000,000",-,,-,-,613,0
,"Gender, Children, Youth and
People with Disability","10,791,000",-,-,,-,,613,0
"Administration,
Planning and Sup-
port Service",,"100,977,562",-,-,,-,,613,0
,Administrative Service,"100,977,562",-,-,,-,,613,0
1003004860,,"13,665,000","51,500,000","842,800","13,319,019",6,26,613,0
,Water Supply Management,"9,830,000","50,500,000","842,800","13,319,019",9,26,613,0
,Waste Water Management,"3,835,000","1,000,000",-,,-,-,613,0
