Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent E,"Develop-
ment",Rec,Dev,469,0
Nyamira County Assembly,,,,,,,,469,0
"Policy planning,
general adminis-
tration and support
services","General administration and
support services","294,308,536",0,"33,141,038",0,11,0,469,0
,"Policy planning and Support
services","89,065,500",0,0,0,0,0,469,0
,Infrastructure Development,,"186,000,000",0,"28,000,000",0,15,469,0
Oversight,Oversight,"43,506,030",0,0,0,0,0,469,0
"Legislation and
Representation",Legislation and Representation,"282,882,597",0,0,0,0,0,469,0
,Sub-Total,"709,762,663","186,000,000","33,141,038","28,000,000",5,15,469,0
County Executive,,,,,,,,469,0
"General
administration
support services","General administration support
services","292,621,030",0,"18,062,458",0,6,0,469,0
,"Policy development and support
services","105,534,627",0,,0,0,0,469,0
"Governance &
Coordination
services","County results coordination and
liaison services","33,721,880",0,0,0,0,0,469,0
,"Intergovernmental & Public
Relations","24,640,000",0,0,0,0,0,469,0
,"Executive management and
liaison services","41,316,354",0,0,0,0,0,469,0
,Sub Total,"497,833,891",0,"18,062,458",0,4,0,469,0
Department of Finance and Economic Planning,,,,,,,,469,0
"Policy and plan-
ning",,"6,098,000",0,0,0,0,0,469,0
,Policy and planning,"16,098,000",0,0,0,0,0,469,0
"General admin-
istration support
services",,"76,544,265",0,,0,0,0,469,0
,Supply chain management,"8,600,000",0,0,0,0,0,469,0
,"General administration support
services","67,944,265",0,"18,877,270",0,28,0,469,0
"Financial Manage-
ment & Control",,0,"135,853,006",0,0,0,0,469,0
,Accounting and financial services,0,"135,853,006",0,0,0,0,469,0
"Accounting and
financial services",,"34,150,000",0,0,0,0,0,469,0
,Audit services,"7,000,000",0,0,0,0,0,469,0
,Accounting and financial services,"27,150,000",0,0,0,0,0,469,0
,Sub Total,"116,792,265","135,853,006","18,877,270",0,16,0,469,0
"Department of Agriculture, Livestock and Fisheries",,,,,,,,469,0
"General
administration and
support services","General administration and
support services","64,088,643",0,"13,179,619",0,21,0,469,0
,Policy and planning,"517,690",0,0,0,0,0,469,0
"Crop, Agribusiness",,"2,000,000",,0,,0,0,469,0
,Crop Development Services,"2,000,000","170,434,071",0,"5,000,000",0,3,469,0
,Sub Total,"66,606,333","170,434,071","13,179,619","5,000,000",20,3,469,0
"Department of Environment, Energy, Natural Resources and Mining",,,,,,,,469,0
,,Recurrent,Development,Recurrent E,"Develop-
ment",Rec,Dev,470,0
"General
administration and
support services","General administration and
support services","39,779,448",0,"10,716,806",0,27,0,470,0
,"Mineral exploration and mining
promotion",0,0,0,0,0,0,470,0
,Other energy sources promotion,"6,500,000","11,750,000",0,0,0,0,470,0
"Environmental
Protection",Pollution and waste management,"3,500,000","1,000,000",0,0,0,0,470,0
,Agroforestry promotion,"11,000,000","202,210,133","11,000,000",0,100,0,470,0
,Sub Total,"60,779,448","214,960,133","21,716,806",0,36,0,470,0
Department of Education and ICT,,,,,,,,470,0
"General
Administration &
Support Services",General Administration,"475,447,178",0,"55,482,641",0,12,0,470,0
,"ECDE and CCC management
services","4,500,000","39,400,000",0,0,0,0,470,0
,Vocational management services,"13,000,000","10,000,000",0,0,0,0,470,0
,Sub Total,"492,947,178","49,400,000","55,482,641",0,11,0,470,0
Department of Health,,,,,,,,470,0
"Policy Planning
and support
services",Administration support services,"522,776,355",0,"156,606,291",0,30,0,470,0
,Medical services,"168,650,000","450,500,000",0,0,0,0,470,0
,Facility infrastructural services,"6,000,000",0,0,0,0,0,470,0
,Sub Total,"697,426,355","450,500,000","156,606,291",0,22,0,470,0
