Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,520,1
Department County Assembly,,,,,,,,520,1
Programme 1.,,"801, 348, 339","544, 762, 151","122, 733, 559","2, 046, 158",,,520,1
,SP 2. Legislation,"324, 904, 421",0,"48, 874, 892",0,15.1,0.0,520,1
,SP 3. Oversight,"43, 100, 000",0,"4, 675, 456",0,10.8,0.0,520,1
,"SP 4. Staff management
and development","444, 412, 838","544, 762, 151","69, 183, 211","2, 046, 158",15.6,0.4,520,1
,,Recurrent,Development,Recurrent,Development,Rec,Dev,521,0
,Sub Total,"801, 348, 339","544, 762, 151","122, 733, 559","2, 046, 158",15.3,0.4,521,0
Department of Finance and Economic Planning,,,,,,,,521,0
Programme 3.,,"864, 756, 557","58, 973, 185","293, 277, 865",0,,,521,0
,SP 1. Financial services,"16, 327, 000",0,"1, 838, 585",0,11.3,0.0,521,0
,"SP 2. Administration
planning, revenue &
account","659, 918, 159","58, 973, 185","283, 422, 342",0,42.9,0.0,521,0
,SP 3. Procurement,"10, 754, 630",0,"680, 400",0,6.3,0.0,521,0
,SP 4. Budget services,"102, 239, 223",0,"3, 135, 118",0,3.1,0.0,521,0
,"SP 5. Internal Audit
services","8, 139, 329",0,"135, 800",0,1.6,0.0,521,0
,"SP 6. Economic planning
services","28, 772, 329",0,"2, 360, 720",0,8.2,0.0,521,0
,"SP 7. Economic Planning
services","27, 881, 426",0,"1, 654, 900",0,5.9,0.0,521,0
,S.P. 9. Public participation,"8, 324, 461",0,0,0,13.8,0.0,521,0
,Sub-Total,"864, 756, 557","58, 973, 185","293, 277, 865",0,33.9,0.0,521,0
Department of Health Services.,,,,,,,,521,0
Programme 1.,,"2,253,339,757",0,"245, 331, 825",0,,,521,0
,"SP 1. General administra-
tion & planning","1,725,523,280",0,"210, 073, 940",0,12.3,0.0,521,0
,"SP 2. Curative healthcare
services","191, 190, 963",0,"25, 276, 709",0,13.2,0.0,521,0
,"SP 3. Preventive, promo-
tive & rehabilitative","114, 889, 848",0,"8, 912, 500",0,7.1,0.0,521,0
,"SP 5. Facility improve-
ment fund","98, 360, 771",0,"933, 447",0,9.5,0.0,521,0
,SP 6. HIV services,"27, 038, 243",0,0,0,0.0,0.0,521,0
,SP 9. Nutrition services,"50, 928, 536",0,"135, 229",0,0.3,0.0,521,0
,"SP 10. Environmental
health services","45, 408, 116",0,0,0,0.0,0.0,521,0
Programme 3.,,0,"499, 212, 470",0,"34, 974, 767",,,521,0
,"SP 2. Administration,
planning, revenue &
accounts",0,"499, 212, 470",0,"34, 974, 767",0,6.1,521,0
,Sub-Total,"2,253,339,757","499, 212, 470","245, 331, 825","34, 974, 767",10.9,6.1,521,0
"Governorship, administration and ICT",,,,,,,,521,0
Programme 2.,,"739, 424, 604",0,"223, 971, 747",0,,,521,0
,"S.P. 1. General admin,
planning & support
services","286, 178, 811",0,"105, 604, 850",0,36.9,0.0,521,0
,"SP 2. Office of the Gov-
ernor","155, 613, 129",0,"48, 373, 341",0,31.1,0.0,521,0
,"SP 4. County Public Ser-
vice Board","61, 651, 031",0,"1, 585, 750",0,2.6,0.0,521,0
,"SP 5. Firefighting & disas-
ter management","25, 825, 200",0,"6, 592, 970",0,25.5,0.0,521,0
