Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,"Recur-
rent","Develop-
ment",549,0
Office of the Governor,,,,,,,,549,0
"Executive
Services","County leadership &
coordination of CDAs","49,000,000",-,-,-,-,-,549,0
,"County Government
Advisory Service","49,500,000",-,-,-,-,-,549,0
,"Coordination of peace
and cohesion","31,758,138",-,-,-,-,-,549,0
,Sub Total,"130,258,138",-,-,-,,-,549,0
"General Ad-
ministration,
Planning
and support
services","General Administra-
tion, Planning and
support services","428,709,250",-,"19,497,609",-,5,-,549,0
,Sub Total,"428,709,250",-,"19,497,609",-,-,-,549,0
,Grand Total,"558,967,388",-,"19,497,609",-,3,-,549,0
Finance and Economic planning,,,,,,,,549,0
"Public
Finance
Management",PFM Enhancement,"5,789,349",-,-,-,-,,549,0
,"Economic planning and
Budgeting","33,625,694",-,-,-,-,-,549,0
,"Monitoring and Eval-
uation","17,980,523",-,-,-,-,-,549,0
,"Supply chain manage-
ment services","20,700,000",-,"208,000",-,1,-,549,0
,"Own Source revenue
collection","21,620,000",-,-,-,-,-,549,0
"Accounting
& Finance",,"43,786,289",-,"1,215,281",-,3,-,549,0
,,"12,782,110",-,-,-,-,-,549,0
,General Administration,"289,627,265",-,"159,072,685",-,55,-,549,0
,Development,-,"673,476,870",-,-,-,-,549,0
,Sub Total,"445,911,230","673,476,870","160,495,967",-,36,-,549,0
,Grand Total,"445,911,230","673,476,870","160,495,967",-,36,-,549,0
County Public Service Board,,,,,,,,549,0
,"General Administra-
tion, Planning and
Support Services","68,378,300",-,"5,943,264",-,9,-,549,0
,,"2,506,960",-,-,-,-,-,549,0
"Skills and
competency
development","Skills and competency
development","2,253,824",-,-,-,-,-,549,0
"Human
Resource
management
and develop-
ment","Human Resource man-
agement and develop-
ment","4,162,316",-,"33,000",-,1,-,549,0
,Grand Total,"77,301,400",-,"5,976,264",-,8,-,549,0
"Trade, Tourism and Co-operative Development",,,,,,,,549,0
525,,,,,,,,549,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent","Develop-
ment",550,0
"Trade,
weights and
measures","Trade, weights and
measures","24,699,849","130,000,000",-,-,-,-,550,0
"Tourism
promotion",Tourism promotion,"10,899,849",-,-,-,-,-,550,0
Cooperative Development,,"15,000,000",-,-,-,-,-,550,0
,Grand Total,"50,599,698","130,000,000",-,-,-,-,550,0
Agriculture and Rural Development,,,,,,,,550,0
,Development,-,"227,402,521",-,-,-,-,550,0
,"General Administra-
tion, Planning and
Support Services","94,071,830",-,-,-,-,-,550,0
,Sub Total,"94,071,830","227,402,521",-,-,-,-,550,0
"Fisheries
Develop-
ment","Empowerment of
women and youth on
fish safety and quality
assurance","1,420,000",-,-,-,-,-,550,0
,"Construction of ice
plant and cold storage","1,475,000",-,-,-,77,-,550,0
,Development,-,"26,000,000",-,-,-,-,550,0
,"General Administra-
tion, Planning and
Support Services","1,687,000",-,-,-,8,-,550,0
,Sub-total,"4,582,000",-,-,-,-,-,550,0
"Veterinary
services",Extension services,"1,118,500",-,-,-,93,-,550,0
,"Breed improvement
and artificial insemi-
nation","685,000",-,-,-,58,-,550,0
,"Veterinary Public
Health/Abattoirs","8,182,846",-,-,-,35,-,550,0
,"Leather Development
Services","382,000",-,-,-,96,-,550,0
,"Control Tsetse fly and
Laboratory Services","2,468,872",-,-,-,-,-,550,0
,"Conduct disease sur-
veillance and carry out
timely vaccination","6,404,100","36,164,181",-,-,65,-,550,0
,Sub-Total,"19,241,318","36,164,181",-,-,82,-,550,0
,"General Administra-
tion, Planning and
Support Services","2,407,500",-,-,-,-,-,550,0
,Sub-total,"21,648,818","36,164,181",-,-,-,-,550,0
,"Livestock Extension
Services","1,805,000","42,100,000",-,-,21,-,550,0
,Animal Husbandry,"1,292,500","3,915,920",-,-,43,-,550,0
,Sub-Total,"27,153,818","82,180,101",-,-,9,-,550,0
,Grand Total,"166,697,784","381,910,984",-,-,91,-,550,0
"Gender, Social Service and Youth Development",,,,,,,,550,0
,"Baseline Survey for
OVC","9,876,000",-,-,-,-,-,550,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent","Develop-
ment",551,0
,"Community Aware-
ness creation on Child
Rights and Child
Protection","2,250,000",-,-,-,-,-,551,0
,"Enhanced Child Partic-
ipation","1,430,000",-,-,-,-,-,551,0
,Women empowerment,"1,461,800",-,-,-,-,-,551,0
,Gender and Leadership,"15,853,200",-,-,-,-,-,551,0
,Youth Empowerment,-,-,-,-,-,-,551,0
,county Sports leagues,"7,763,447",-,-,-,-,-,551,0
,"Sports equipment and
support","3,759,000",-,-,-,-,-,551,0
,Sub-Total,"42,393,447",-,-,-,-,-,551,0
,"Culture Promotion and
Development","18,350,000","3,500,000",-,-,-,-,551,0
,"Empowerment/Capac-
ity building of cultural
practitioners","8,940,000",-,-,-,-,-,551,0
,Sub-Total,"27,290,000","3,500,000",-,-,-,-,551,0
,"General administration,
support and planning","37,331,983",-,-,-,-,-,551,0
,Sub-Total,"37,331,983",-,-,-,-,-,551,0
,Grand Total,"107,015,430","3,500,000",-,-,-,-,551,0
"Education, Vocational training and ECDE",,,,,,,,551,0
,"ECDE quality educa-
tion standards service","1,000,000",-,-,-,-,-,551,0
,"ECDE Access and
Retention Services","6,800,000","30,000,000",-,-,-,-,551,0
,Sub Total,"7,800,000","30,000,000",-,-,-,-,551,0
,"VTC quality standards
training services","9,510,342",-,-,-,-,-,551,0
,"Free VTC education
and training","15,156,327",-,-,-,-,-,551,0
,Sub Total,"24,666,669",-,-,-,-,-,551,0
,"General Administra-
tion, Planning and
support services","24,800,000","22,535,447",-,-,-,-,551,0
,Sub-Total,"24,800,000","22,535,447",-,-,-,-,551,0
,Development,-,"215,264,553",-,-,-,-,551,0
,Sub Total,-,"215,264,553",-,-,-,-,551,0
,Grand Total,"57,266,669","267,800,000",-,-,-,-,551,0
Health and Sanitation,,,,,,,,551,0
,Medical Supplies,"190,650,000","88,000,000",-,-,-,-,551,0
,Medical Services,"52,200,000","108,700,000",-,-,-,-,551,0
,Ambulance services,"11,700,000",-,-,-,-,-,551,0
,"Preventive and Pro-
motive","27,050,041",-,-,-,-,-,551,0
,Mobile clinics,"8,800,000",-,-,-,-,-,551,0
,"Licensing and control
of undertaking","13,045,859",-,-,-,-,-,551,0
,Sub Total,"303,445,900","196,700,000",-,-,-,-,551,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent","Develop-
ment",552,0
,"General Administra-
tion, Planning and
support services","1,232,553,936",-,-,-,-,-,552,0
,Development,-,-,-,-,-,-,552,0
,Sub Total,"1,232,553,936",-,-,-,-,-,552,0
,Grand Total,"1,535,999,836","196,700,000",-,-,-,-,552,0
Special Programme,,,,,,,,552,0
"Drought
management
(Pre-
paredness,
Response,
Mitigation
and Recov-
ery",Drought contingency,"3,000,000",-,-,-,-,-,552,0
,"Disaster Risk
Management Fund","124,702,243",-,-,-,-,-,552,0
"Social
protection
and response
to other
disasters","Food distribution and
rations","3,032,392",-,-,-,-,-,552,0
,Sub-Total,"130,734,635",-,-,-,-,-,552,0
"General Ad-
ministration,
Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","23,660,608","14,257,827",-,-,-,-,552,0
,Sub-Total,"23,660,608","14,257,827",-,-,-,-,552,0
,Grand Total,"154,395,243","14,257,827",-,-,-,-,552,0
Roads and public works,,,,,,,,552,0
,Routine maintenance,"3,968,466","550,000,000",-,-,-,-,552,0
,Opening of new roads,"1,688,220","82,200,000",-,-,-,-,552,0
,"Grading, gravelling and
tarmacking","1,334,710","60,000,000",-,-,-,-,552,0
,"Monitoring and Eval-
uation","1,843,800",,-,-,-,-,552,0
,Sub-Total,"8,835,196","692,200,000",-,-,-,-,552,0
,"Public works and
services","17,978,505","192,908,627",-,,-,-,552,0
,Sub Total,"17,978,505","192,908,627",-,-,-,-,552,0
,"General Administration
and Support Services","43,334,276",-,-,-,-,-,552,0
,Sub-Total,"43,334,276",-,-,-,-,-,552,0
,Grand Total,"70,147,977","885,108,627",-,-,-,-,552,0
"Water, Environment and Natural Resources",,,,,,,,552,0
,"Environmental Pro-
tection","7,428,041","199,909,158",-,-,-,-,552,0
,Control of Air Pollution,"727,520",,-,-,-,-,552,0
,"Solid Waste Manage-
ment",-,"12,500,000",-,-,-,-,552,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent","Develop-
ment",553,0
,Sub-Total,"8,155,561","212,409,158",-,-,-,-,553,0
"General ad-
ministration,
planning
support","General administration,
planning support","17,635,380",-,-,-,-,-,553,0
,Sub-Total,"17,635,380",-,-,-,-,,553,0
"Water Ser-
vices","Water Management
services","7,564,039","122,050,044",-,-,-,-,553,0
,"Water Sanitation &
Hygiene","8,965,375","2,549,956",-,-,-,-,553,0
,"Storm Water Manage-
ment","2,173,256",-,-,-,-,-,553,0
"Energy De-
velopment",Energy,-,"16,000,000",-,-,-,-,553,0
,Sub-Total,"18,702,670","140,600,000",-,-,-,-,553,0
,Grand Total,"44,493,611","353,009,158",-,-,-,-,553,0
Public service and administration,,,,,,,,553,0
,"General Adminis-
tration, support and
planning","1,187,200,960",-,"118,334,971",-,10,-,553,0
,"Performance manage-
ment system","10,200,000",-,-,-,-,-,553,0
,"Human resource devel-
opment","201,629,351",-,-,-,-,-,553,0
,Administration,"44,700,000","15,000,000",-,-,-,-,553,0
,Enforcement,"32,500,000","5,000,000",-,-,-,-,553,0
,Citizen Participation,"6,100,000",-,-,-,-,-,553,0
,Sub Total,"1,482,330,311","20,000,000","118,334,971",-,8,-,553,0
Grand Total,,"1,482,330,311","20,000,000","118,334,971",-,8,-,553,0
Lands and physical planning,,,,,,,,553,0
,"General Administra-
tion, Planning and
support services","1,044,626",-,-,-,-,-,553,0
,Physical Planning,"26,064,624","57,000,000",-,-,-,-,553,0
,"Survey, Mapping and
GIS","6,205,000","43,000,000",-,-,-,-,553,0
,Land Administration,"6,279,500",-,-,-,-,-,553,0
,Grand Total,"39,593,750","100,000,000",-,-,-,-,553,0
County Assembly,,,,,,,,553,0
,"General Administration
and Support Services","733,643,957","273,754,712",-,-,-,-,553,0
,Sub-Total,"733,643,957","273,754,712",-,-,-,-,553,0
,"General Administration
and Support Services","79,854,266",-,"466,723",-,1,-,553,0
,Sub-Total,"79,854,266",-,"466,723",-,1,-,553,0
,"General Administration
and Support Services","64,945,550","340,823,766","466,723",-,1,-,553,0
,Sub-Total,"64,945,550","340,823,766","466,723",-,1,-,553,0
Grand Total,,"5,669,164,100","3,640,341,944","304,771,533",-,5,-,553,0
