Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expenditure as
of 31st December 2022
(Kshs.)","Absorption
(%)",page_number,table_index
704003260,"General Administration and Management of
County Affairs","1,859,001.00",-,-,487,0
,,"1,360,000.00",-,-,487,0
704003260,"General Administration and Management of
County Affairs","1,360,000.00",-,-,487,0
,,"13,620,000.00",-,-,488,0
704003260,"General Administration and Management of
County Affairs","13,620,000.00",-,-,488,0
,Headquarters,"24,101,855.00","5,400,000.00",22,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","24,101,855.00","5,400,000.00",22,488,0
701003260,General Administration support services,-,-,-,488,0
707003260,Treasury Development Programme,-,-,-,488,0
,County Emergency Fund,"30,000,000.00",-,-,488,0
701003260,General Administration support services,-,-,-,488,0
707003260,Treasury Development Programme,-,-,-,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","30,000,000.00",-,-,488,0
,Equalisation of Wards Infrastructure,-,-,-,488,0
707003260,Treasury Development Programme,-,-,-,488,0
,Planning,"20,305,000.00",-,-,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","20,305,000.00",-,-,488,0
707003260,Treasury Development Programme,-,-,-,488,0
,Gratuity Fund,-,-,-,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services",-,-,-,488,0
,County Executive Administration,"50,000,000.00","29,000,000.00",58,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","50,000,000.00","29,000,000.00",58,488,0
701003260,General Administration support services,-,-,-,488,0
,Internal Audit Services,"6,180,000.00",-,-,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","6,180,000.00",-,-,488,0
,Revenue Management,"25,046,250.00",-,-,488,0
706003260,"General Administration,Planning,Internal Audit
& Support Services","25,046,250.00",-,-,488,0
701003260,General Administration support services,-,-,-,488,0
,Procurement,"3,844,462.00",-,-,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","3,844,462.00",-,-,488,0
,Accounting Services,"9,825,320.00",-,-,488,0
701003260,General Administration support services,-,-,-,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","9,825,320.00",-,-,488,0
,Kenya Devolution Support Programme,-,-,-,488,0
701003260,General Administration support services,-,-,-,488,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services",-,-,-,489,0
,,"361,014,458.00",-,-,489,0
707003260,Treasury Development Programme,"262,388,851.00",-,-,489,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services","98,625,607.00",-,-,489,0
,Headquarters,"26,845,000.00","3,000,000.00",11,489,0
104003260,Agricultural Development Programme,"20,500,000.00","3,000,000.00",15,489,0
102003260,Development programme,-,-,-,489,0
101003260,Administration Planning and Support Services,"6,345,000.00",-,-,489,0
,Livestock,"10,910,000.00",-,-,489,0
101003260,Administration Planning and Support Services,"9,210,000.00",-,-,489,0
102003260,Development programme,-,-,-,489,0
105003260,Livestock and Fisheries Development,"1,700,000.00",-,-,489,0
104003260,Agricultural Development Programme,0.00,-,-,489,0
,Fisheries,"545,000.00",-,-,489,0
105003260,Livestock and Fisheries Development,0.00,-,-,489,0
101003260,Administration Planning and Support Services,"545,000.00",-,-,489,0
102003260,Development programme,-,-,-,489,0
,Veterinary,"12,712,250.00",-,-,489,0
105003260,Livestock and Fisheries Development,"5,600,000.00",-,-,489,0
104003260,Agricultural Development Programme,-,-,-,489,0
102003260,Development programme,-,-,-,489,0
101003260,Administration Planning and Support Services,"7,112,250.00",-,-,489,0
,Agribusiness Project (EU Grant),"15,624,929.00",-,-,489,0
105003260,Livestock and Fisheries Development,"15,624,929.00",-,-,489,0
101003260,Administration Planning and Support Services,-,-,-,489,0
104003260,Agricultural Development Programme,-,-,-,489,0
102003260,Development programme,-,-,-,489,0
,Kenya Climate Smart Agric Program,"313,757,537.00",-,-,489,0
104003260,Agricultural Development Programme,-,-,,489,0
105003260,Livestock and Fisheries Development,"313,757,537.00",-,-,489,0
1001003260,Water and irrigation Development Programme,-,-,-,489,0
,Water,"25,563,197.00",-,-,489,0
105003260,Livestock and Fisheries Development,"25,563,197.00",-,-,489,0
104003260,Agricultural Development Programme,-,-,-,489,0
,Headquarters,-,-,-,489,0
101003260,Administration Planning and Support Services,-,-,-,489,0
105003260,Livestock and Fisheries Development,-,-,-,489,0
,Veterinary,-,-,-,489,0
101003260,Administration Planning and Support Services,-,-,-,489,0
105003260,Livestock and Fisheries Development,-,-,-,489,0
,Fisheries,-,-,-,489,0
101003260,Administration Planning and Support Services,-,-,-,490,0
105003260,Livestock and Fisheries Development,,,,490,0
,Headquarters,"80,871,250.00",-,-,490,0
1002003260,"General Administration, Support and Support
Services","11,871,250.00",-,-,490,0
1001003260,Water and irrigation Development Programme,"69,000,000.00",-,-,490,0
,Water Services,-,-,-,490,0
1002003260,"General Administration, Support and Support
Services",-,-,-,490,0
1001003260,Water and irrigation Development Programme,-,-,-,490,0
,Bulk Water Project,"15,000,000.00",-,-,490,0
1001003260,Water and irrigation Development Programme,"15,000,000.00",-,-,490,0
,Ambulance services,"971,396,430.00",-,-,490,0
1001003260,Water and irrigation Development Programme,"971,396,430.00",-,-,490,0
,Public Health and Sanitation,"25,000,000.00",-,-,490,0
1001003260,Water and irrigation Development Programme,"25,000,000.00",-,-,490,0
,Promotion of primary healthcare,"500,000.00",-,-,490,0
1001003260,Water and irrigation Development Programme,"500,000.00",-,-,490,0
1002003260,"General Administration, Support and Support
Services",-,-,-,490,0
,Headquarters,"59,555,018.00",-,-,490,0
501003260,"General Administration, Planning and Support
services","16,055,018.00",-,-,490,0
1001003260,Water and irrigation Development Programme,-,-,-,490,0
502003260,"Early childhood Education and Youth Training
Development Programme","43,500,000.00",-,-,490,0
,Polytechnics,"22,420,000.00",-,-,490,0
502003260,"Early childhood Education and Youth Training
Development Programme","20,000,000.00",-,-,490,0
501003260,"General Administration, Planning and Support
services","2,420,000.00",-,-,490,0
,Early Childhood Development,"1,225,000.00",-,-,490,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,490,0
301003260,"General Administration and support services
programme",-,-,-,490,0
501003260,"General Administration, Planning and Support
services","1,225,000.00",-,-,490,0
,Library services,"520,000.00",-,-,490,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,490,0
501003260,"General Administration, Planning and Support
services","520,000.00",-,-,490,0
,Education Fund,"130,000,000.00","27,000,000.00",21,490,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,491,0
501003260,"General Administration, Planning and Support
services","130,000,000.00","27,000,000.00",21,491,0
,Energy,-,-,-,491,0
501003260,"General Administration, Planning and Support
services",-,-,-,491,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,491,0
,Headquarters,"158,654,486.00","58,602,548.00",37,491,0
402003260,Health Development Programme,"69,732,800.00","54,000,000.00",77,491,0
706003260,"General Administration, Planning, Internal Au-
dit & Support Services",-,-,-,491,0
401003260,Administration and Support Services,"88,921,686.00","4,602,548.00",5,491,0
704003260,"General Administration and Management of
County Affairs",-,-,-,491,0
,Wesu Hospital,"462,500.00",-,-,491,0
401003260,Administration and Support Services,"462,500.00",-,-,491,0
,Moi Referral Hospital,"1,830,600.00",-,-,491,0
401003260,Administration and Support Services,"1,830,600.00",-,-,491,0
,Mwatate Hospital,-,-,-,491,0
401003260,Administration and Support Services,-,-,-,491,0
,,-,-,-,491,0
401003260,Administration and Support Services,-,-,-,491,0
,,"37,500.00",-,-,491,0
401003260,Administration and Support Services,"37,500.00",-,-,491,0
,,-,-,-,491,0
401003260,Administration and Support Services,-,-,-,491,0
,,-,-,-,491,0
401003260,Administration and Support Services,-,-,-,491,0
,,"566,000.00",-,-,491,0
401003260,Administration and Support Services,"566,000.00",-,-,491,0
,,"750,000.00",-,-,491,0
401003260,Administration and Support Services,"750,000.00",-,-,491,0
,,"80,175,000.00",-,-,491,0
401003260,Administration and Support Services,"80,175,000.00",-,-,491,0
402003260,Health Development Programme,-,-,-,491,0
,Headquarters,"13,277,722.00","1,000,000.00",8,491,0
302003260,Trade Development programme.,"5,000,000.00","1,000,000.00",20,491,0
301003260,"General Administration and support services
programme","8,277,722.00",-,-,491,0
,Trade,"700,000.00",-,-,491,0
301003260,"General Administration and support services
programme","700,000.00",-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
,Sports,-,-,-,492,0
301003260,"General Administration and support services
programme",-,-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
,Gender,-,-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
301003260,"General Administration and support services
programme",-,-,-,492,0
,Cooperative,"2,061,335.00",-,-,492,0
301003260,"General Administration and support services
programme","2,061,335.00",-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
,Youth Development,-,-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
301003260,"General Administration and support services
programme",-,-,-,492,0
,Culture,-,-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
301003260,"General Administration and support services
programme",-,-,-,492,0
,Markets,"1,630,879.00",-,-,492,0
301003260,"General Administration and support services
programme","1,630,879.00",-,-,492,0
,,"800,000.00",-,-,492,0
301003260,"General Administration and support services
programme","800,000.00",-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
,Weights and Measures,"625,452.00",-,-,492,0
301003260,"General Administration and support services
programme","625,452.00",-,-,492,0
,,-,-,-,492,0
302003260,Trade Development programme.,-,-,-,492,0
301003260,"General Administration and support services
programme",-,-,-,492,0
,Liquor Control and Licensing Fund,"3,350,000.00",-,-,492,0
301003260,"General Administration and support services
programme","3,350,000.00",-,-,492,0
,,"3,484,630.00",-,-,492,0
302003260,Trade Development programme.,"2,000,000.00",-,-,492,0
301003260,"General Administration and support services
programme","1,484,630.00",-,-,492,0
,Headquarters,"26,176,831.00","3,420,825.00",13,492,0
703003260,"Decentralised Infrastructure development pro-
gramme","2,500,000.00",-,-,493,0
701003260,General Administration support services,"23,676,831.00","3,420,825.00",14,493,0
,Headquarters,"35,545,000.00",-,-,493,0
101003260,Administration Planning and Support Services,"35,545,000.00",-,-,493,0
,ICT,-,-,-,493,0
101003260,Administration Planning and Support Services,-,-,-,493,0
103003260,Infrastructure Development programme,-,-,-,493,0
,Roads,"131,999,503.00",-,-,493,0
102003260,Development programme,"83,400,000.00",-,-,493,0
103003260,Infrastructure Development programme,-,-,-,493,0
101003260,Administration Planning and Support Services,"48,599,503.00",-,-,493,0
,Housing,-,-,-,493,0
101003260,Administration Planning and Support Services,-,-,-,493,0
102003260,Development programme,-,-,-,493,0
103003260,Infrastructure Development programme,-,-,-,493,0
,Public Works,"6,636,000.00",-,-,493,0
101003260,Administration Planning and Support Services,"4,836,000.00",-,-,493,0
103003260,Infrastructure Development programme,-,-,-,493,0
102003260,Development programme,"1,800,000.00",-,-,493,0
,Defunct Local Authorities,-,-,-,493,0
302003260,Trade Development programme.,-,-,-,493,0
103003260,Infrastructure Development programme,-,-,-,493,0
,Headquarters,"22,763,000.00",-,-,493,0
1003003260,Natural Resources Support Programme,-,-,-,493,0
301003260,"General Administration and support services
programme",-,-,-,493,0
102003260,Development programme,"6,000,000.00",-,-,493,0
101003260,Administration Planning and Support Services,"16,763,000.00",-,-,493,0
,Mwatate Municipal Administration,"32,785,880.00","10,571,575.95",32,493,0
101003260,Administration Planning and Support Services,-,-,-,493,0
102003260,Development programme,"32,785,880.00","10,571,575.95",32,493,0
1003003260,Natural Resources Support Programme,-,-,-,493,0
,,"23,770,000.00",-,-,493,0
101003260,Administration Planning and Support Services,"2,770,000.00",-,-,493,0
1003003260,Natural Resources Support Programme,-,-,-,493,0
102003260,Development programme,"21,000,000.00",-,-,493,0
,,"32,485,000.00",-,-,493,0
101003260,Administration Planning and Support Services,"32,485,000.00",-,-,493,0
102003260,Development programme,-,-,-,493,0
,Environment and Natural Resources,-,-,-,493,0
