Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q2 FY
2022/23 (Kshs.)",Variance (Kshs.),Absortion Rate (%),page_number,table_index
,,A,B,C=A-B,D=B/A*100,294,1
OFFICE OF THE GOVERNOR,,,,,,294,1
Sub-programme 1,"Co-ordination and Super-
visory Services","302,627,946","78,396,331","224,231,615",25.91,294,1
Sub-programme 2,Transport Services,"22,651,209","12,331,938","10,319,271",54.44,294,1
Sub-programme 3,"Human Resource and
Administration Section","67,903,820","2,846,104","65,057,716",4.19,294,1
Sub-programme 4,ICT Section,"16,995,994","3,677,125","13,318,869",21.64,294,1
Sub-programme 5,"Hospitality Services
Section","15,973,355","6,546,400","9,426,955",40.98,294,1
Sub-programme 6,Cabinet Office,"6,493,175","644,000","5,849,175",9.92,294,1
Sub-programme 7,"Office of the Deputy
Governor","68,988,765","3,919,975","65,068,790",5.68,294,1
Sub-programme 8,"Directorate of Projects
Delivery, Monitoring and
Evaluation","21,078,510","14,500","21,064,010",0.07,294,1
,,A,B,C=A-B,D=B/A*100,295,0
Sub-programme 9,"Office of the County
Secretary","31,786,195","150,000","31,636,195",0.47,295,0
Sub-programme 10,"Office of the County
Advisors","11,980,064","150,000","11,830,064",1.25,295,0
,,-,-,-,0.00,295,0
TOTAL,,"566,479,033","108,676,373","457,802,660",19.18,295,0
COUNTY PUBLIC SERVICE BOARD,,,,,,295,0
Sub-programme 1,"Human Resource and
Administration","91,849,457","9,463,898","82,385,559",10.30,295,0
TOTAL,,"91,849,457","9,463,898","82,385,559",10.30,295,0
"ROADS, TRANSPORT AND PUBLIC WORKS",,,,,,295,0
Sub-programme 1,"General Administration
and support services","300,236,126","49,965,134","250,270,992",16.64,295,0
Sub-programme 2,"Road Development and
Management","613,044,949","9,585,344","603,459,605",1.56,295,0
Sub-programme 3,"County Government
Buildings","155,213,399","99,850","155,113,549",0.06,295,0
Sub-programme 4,"County Fleet Manage-
ment","71,761,766","40,011,765","31,750,001",55.76,295,0
TOTAL,,"1,140,256,240","99,662,093","1,040,594,147",8.74,295,0
HEALTH AND EMERGENCY SERVICES,,,,,,295,0
Sub-programme 1,"General Administration
and support services","3,505,408,777","1,774,298,600","1,731,110,177",50.62,295,0
Sub-programme 2,Machakos Level 5,"265,334,368","151,144,414","114,189,954",56.96,295,0
Sub-programme 3,Kangundo Level 4,"68,912,125","31,129,484","37,782,641",45.17,295,0
Sub-programme 4,Matuu Level 4,"62,923,785","10,040,145","52,883,640",15.96,295,0
Sub-programme 5,Kathiani Level 4,"48,002,893","4,933,800","43,069,093",10.28,295,0
Sub-programme 6,Mwala Level 4,"38,254,971","2,800,000","35,454,971",7.32,295,0
Sub-programme 7,Kimiti Level 4,"9,744,277","400,000","9,344,277",4.10,295,0
Sub-programme 8,Masinga Level 4,"5,404,106","437,000","4,967,106",8.09,295,0
Sub-programme 9,Athi River Level 4,"9,867,355","500,000","9,367,355",5.07,295,0
Sub-programme 10,Mutituni Level 4,"11,867,355","500,000","11,367,355",4.21,295,0
Sub-programme 11,Ndithini Level 4,"11,805,777","711,220","11,094,557",6.02,295,0
Sub-programme 12,Kalama Level 4,"11,160,700","1,164,300","9,996,400",10.43,295,0
Sub-programme 13,"Public Health and Com-
munity Outreach","109,487,640","19,522,780","89,964,860",17.83,295,0
Sub-programme 14,Emergency Services,"10,145,000","5,000,000","5,145,000",49.29,295,0
TOTAL,,"4,168,319,129","2,002,581,743","2,165,737,386",48.04,295,0
"WATER, IRRIGATION,ENVIRONMENT AND NATURAL RESOURCES",,,,,,295,0
Sub-programme 1,"Water Supply and Sew-
erage","56,675,385","8,815,000","47,860,385",15.55,295,0
Sub-programme 2,"Irrigation Schemes, De-
velopment and Promotion","5,223,092",-,"5,223,092",0.00,295,0
Sub-programme 3,"Development and Promo-
tion of Irrigation Schemes","294,613,522","30,829,650","263,783,872",10.46,295,0
Sub-programme 4,"Environment and Natural
Resources","198,489,082","500,000","197,989,082",0.25,295,0
,,A,B,C=A-B,D=B/A*100,296,0
TOTAL,,"555,001,081","40,144,650","514,856,431",7.23,296,0
"AGRICULTURE, FOOD SECURITY AND CO-OPERATIVE DEVELOPMENT",,,,,,296,0
Sub-programme 1,"General Administration
and support services","674,294,000","117,761,084","556,532,916",17.46,296,0
Sub-programme 2,"Crop Development and
Management","35,970,000","10,249,574","25,720,425",28.49,296,0
Sub-programme 3,"Livestock Resources
Management and Devel-
opment","14,639,000","4,091,379","10,547,621",27.95,296,0
Sub-programme 4,Fisheries Development,"5,600,000","1,799,940","3,800,060",32.14,296,0
Sub-programme 5,Veterinary Services,"15,197,807","579,145","14,618,662",3.81,296,0
Sub-programme 6,"Agriculture Training
Centre","5,650,000",-,"5,650,000",0.00,296,0
Sub-programme 7,"Co-operative Develop-
ment and Marketing","27,521,846","50,000","27,471,846",0.18,296,0
Sub-programme 8,"Capacity Building to
Co-operative Societies",-,-,-,0.00,296,0
Sub-programme 7,"Promotion of Co-opera-
tive Marketing and Value
Chain","45,063,851","14,041,918","31,021,933",31.16,296,0
Sub-programme 8,"Co-operative Financial
Services","1,100,000",-,"1,100,000",0.00,296,0
Sub-programme 9,"Promotion and growth of
Co-operative Societies","3,216,276","50,000","3,166,276",1.55,296,0
Sub-programme 10,"Co-operative Audit Sup-
port Services","2,416,000",-,"2,416,000",0.00,296,0
TOTAL,,"830,668,780","148,623,041","682,045,739",17.89,296,0
FINANCE AND ECONOMIC PLANNING,,,,,,296,0
Sub-programme 1,Revenue Management,"267,533,317","151,304,893","116,228,424",56.56,296,0
Sub-programme 2,"Budget formulation,
Coordination and Imple-
mentation Section","34,780,581","6,953,700","27,826,881",19.99,296,0
Sub-programme 3,"Supply Chain Manage-
ment Section","7,826,490","132,000","7,694,490",1.69,296,0
Sub-programme 4,Accounts Services,"28,710,407","1,000,000","27,710,407",3.48,296,0
Sub-programme 5,Audit Section,"12,700,000","300,000","12,400,000",2.36,296,0
Sub-programme 6,"Human Resource Man-
agement and Support
Services","149,220,820","2,787,374","146,433,446",1.87,296,0
Sub-programme 7,"Economic Planning and
Statistical Services","38,767,268","1,250,000","37,517,268",3.22,296,0
Sub-programme 8,"External Resource Mobi-
lization","800,000","186,800","613,200",23.35,296,0
TOTAL,,"540,338,883","163,914,767","376,424,116",30.34,296,0
"PUBLIC SERVICE, QUALITY MANAGEMENT AND ICT",,,,,,296,0
Sub-programme 1,"General Administration
and support services","293,389,024","103,147,483","190,241,541",35.16,296,0
Sub-programme 2,Quality Management,"525,000",-,"525,000",0.00,296,0
,,A,B,C=A-B,D=B/A*100,297,0
Sub-programme 3,"Training, Research and
Development","6,089,500",-,"6,089,500",0.00,297,0
Sub-programme 4,"ICT General Administra-
tion and support services","47,032,969","11,516,965","35,516,004",24.49,297,0
Sub-programme 5,ICT Infrastructure,"11,105,831",-,"11,105,831",0.00,297,0
Sub-programme 6,Closed Circuit Television,"2,325,000",-,"2,325,000",0.00,297,0
TOTAL,,"360,467,324","114,664,448","245,802,876",31.81,297,0
"TOURISM,CULTURE,YOUTH AND SPORTS",,,,,,297,0
Sub-programme 1,"General administrative
and Support Services","102,131,897","31,456,541","70,675,356",30.80,297,0
Sub-programme 2,Heritage & Culture,"1,082,320","200,000","882,320",18.48,297,0
Sub-programme 3,Liquor Management,"775,970",-,"775,970",0.00,297,0
Sub-programme 4,"Tourism Development
and Marketing","4,384,638",-,"4,384,638",0.00,297,0
