Program,Sub Program,Description,"Approved Estimates
(Kshs)",Expenditure (Kshs),"Absorption
Rate (%)",page_number,table_index
101004410,,"Administration and general
support services","279,877,543","158,103,256",56.5,408,1
,101014410,"Administration and support
services","279,877,543","158,103,256",56.5,408,1
103004410,,"Livestock Resources Manage-
ment and Development","521,573,337","131,724,942",25.3,408,1
,103024410,"Livestock Production and
Management","521,573,337","131,724,942",25.3,408,1
107004410,,Physical Planning,"434,204,501","78,774,815",18.1,408,1
,107014410,"Preparation of Regional &
Local Physical Development","434,204,501","78,774,815",18.1,408,1
110004410,,Water Supply,"435,454,526","70,321,334",16.1,408,1
,110014410,"Development of water catch-
ment areas & distribution of
water","435,454,526","70,321,334",16.1,408,1
201004410,,"General Administration and
Support Services","251,324,518","43,207,971",17.2,408,1
,201014410,"General Administration and
support services","251,324,518","43,207,971",17.2,408,1
202004410,,Road Transport,"362,033,464","90,998,789",25.1,408,1
,202024410,Road-works,"362,033,464","90,998,789",25.1,408,1
