Name of the Programme,Approved Estimates,col_2,"Actual Expenditure as of 31st
December, 2022",col_4,Absorption Rate %,col_6,page_number,table_index
"0106023060 (County
Environmental
Awareness Initiative)","3,100,000",-,-,-,-,-,262,0
0901023060 (),"100,000",-,-,-,-,-,262,0
TOTAL,"81,972,326","162,138,944","31,991,498",-,39.0,-,262,0
"Medical and Public Health
Services",,,,,,,262,0
"General Administration
(0403013060)","99,189,205","375,604,430","43,213,850",-,43.6,-,262,0
Medical Drugs (0402043060)),"520,765,641",-,"328,991,148",-,63.2,-,262,0
"Personnel Services
(0403053060)","1,852,248,939",-,"892,063,649",-,48.2,-,262,0
"Msambweni Hospital
(0405013060)","74,590,883","48,685,104","31,001,084",-,41.6,-,262,0
"Kinango Hospital
(0406013060)","28,927,000","35,120,000","13,377,706",-,46.2,-,262,0
Kwale Hospital (0407013060),"24,650,000","22,699,406","14,581,170",-,59.2,-,262,0
"Tiwi Rural Health
Facility (0408013060)","7,340,000",-,"3,365,309",-,45.8,-,262,0
"Samburu Hospital
(0409013060)","30,565,000",-,"6,791,677",-,22.2,-,262,0
"Lungalunga Hospital
(0410013060)","18,820,000","6,629,510","9,366,949",-,49.8,-,262,0
Public Health (0401053060),"5,839,657",-,"1,138,892",-,19.5,-,262,0
"Rural Health Facilities
(0412013060)","55,478,597","158,714,452","11,542,419",-,20.8,-,262,0
"Diani Health Centre
(0413013060)","2,615,000",-,"620,400",-,23.7,-,262,0
"Maternal New Born and
Child Health (0401023060)","22,171,888",-,-,-,-,-,262,0
"operational Rural Health
Facilities (0402023060)","14,805,000",-,-,,-,-,262,0
Total,"2,758,006,810","647,452,902","1,356,054,253",-,49.2,-,262,0
County Assembly,,,,,,,262,0
Audit Services (0704013060),"301,291,321",-,"47,957,579",,15.9,-,262,0
"General Administration
and Support Services
(0704043060)","180,187,049","263,280,662","17,765,591",,9.9,-,262,0
,"Recurrent
(Kshs.)","Development
(Kshs.)","Recurrent
(Kshs.)","Development
(Kshs.)","Recurrent
(Kshs.)","Development
(Kshs.)",263,0
"Oversight and legislation
of county affairs","394,382,040","30,000,000","7,302,687",,1.9,-,263,0
