Program,Description,"Approved Esti-
mate FY 2022/23
(Kshs)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Sports Development,"Sports Develop-
ment","30,915,000",-,"30,915,000",-,91,0
,"Sports Infrastructure
Development","20,365,000",-,"20,365,000",-,91,0
,"Sports Talent Devel-
opment","10,550,000",-,"10,550,000",-,91,0
Social Empowerment,"Social Empower-
ment","34,500,000",-,"34,500,000",-,91,0
,,A,B,C=A-B,D=B/A*100,92,0
,"Social Empower-
ment","34,500,000",-,"34,500,000",-,92,0
Social Protection.,Social Protection.,"4,620,000",-,"4,620,000",-,92,0
,Social Protection,"4,620,000",-,"4,620,000",-,92,0
ICT Services,ICT Services,"465,000",-,"465,000",-,92,0
,ICT Services,"465,000",-,"465,000",-,92,0
"Education and Technical
Training",,,,,,92,0
"General administration
and support services","General adminis-
tration and support
services","225,275,804","92,640,904","132,634,900",41.1,92,0
,"General adminis-
tration and support
services","225,275,804","92,640,904","132,634,900",41.1,92,0
"Technical and Vocational
Education and Training
(TVET)","Technical and
Vocational Educa-
tion and Training
(TVET)","54,994,455",-,"54,994,455",-,92,0
,"Technical Voca-
tional Education &
Training","54,994,455",-,"54,994,455",-,92,0
Pre-Primary Education,"Pre-Primary Edu-
cation","108,945,155",-,"108,945,155",-,92,0
,"Pre-Primary Edu-
cation","108,945,155",-,"108,945,155",-,92,0
"County Public Service
Board",,,,,,92,0
"General administration
and support services","General adminis-
tration and support
services","44,534,538","19,859,199","24,675,339",44.6,92,0
,"General adminis-
tration and support
services","44,534,538","19,859,199","24,675,339",44.6,92,0
"Water, Lands and Physical
Planning",,,,,,92,0
"General administration
and support services","General adminis-
tration and support
services","77,059,204","14,427,169","62,632,035",18.7,92,0
,"General adminis-
tration and support
services","77,059,204","14,427,169","62,632,035",18.7,92,0
"Water and Sanitation
Management","Water and Sanita-
tion Management","191,804,772","17,347,108","174,457,664",9.0,92,0
,Water Services,"191,804,772","17,347,108","174,457,664",9.0,92,0
"Environmental Manage-
ment and Protection","Environmental
Management and
Protection","2,600,000",-,"2,600,000",-,92,0
,,A,B,C=A-B,D=B/A*100,93,0
Solid Waste Management,"Solid Waste Man-
agement","1,000,000",-,"1,000,000",-,93,0
,"Solid waste manage-
ment","1,000,000",-,"1,000,000",-,93,0
"Lands, Physical Planning
and Urban Development","Lands, Physical
Planning and Urban
Development","5,850,000",-,"5,850,000",-,93,0
,"Lands, Physical
Planning and Urban
Development","5,850,000",-,"5,850,000",-,93,0
Health and Sanitation,,,,,,93,0
"General administration
and support services","General adminis-
tration and support
services","1,661,827,955","757,296,656","904,531,299",45.6,93,0
,"Default - Non-Pro-
grammatic","1,661,827,955","757,296,656","904,531,299",45.6,93,0
"Preventive and Promotive
health","Preventive and
Promotive health","14,229,042",-,"14,229,042",-,93,0
,"Community and En-
vironmental Health","14,229,042",-,"14,229,042",-,93,0
"Curative and Rehabilita-
tive Health","Curative and Reha-
bilitative Health","150,369,759",-,"150,369,759",-,93,0
,County Hospitals,"54,524,473",-,"54,524,473",-,93,0
,Primary Care Units,"89,845,286",-,"89,845,286",-,93,0
,"Emergency Medical
Services","6,000,000",-,"6,000,000",-,93,0
Office of the Governor,,,,,,93,0
"General administration
and support services","General adminis-
tration and support
services","119,625,732","71,756,485","47,869,247",60.0,93,0
,"General adminis-
tration and support
services","119,625,732","71,756,485","47,869,247",60.0,93,0
"Open Governance, Trans-
parency and Account-
ability","Open Governance,
Transparency and
Accountability","68,608,752","8,052,567","60,556,185",-,93,0
,Governance,"68,608,752","8,052,567","60,556,185",11.7,93,0
"Public Service Manage-
ment",,,,,,93,0
"General administration
and support services","General
administration and
support services","234,635,000","167,467,302","67,167,698",71.4,93,0
,"General adminis-
tration and support
services","234,635,000","167,467,302","67,167,698",71.4,93,0
"Public Service Manage-
ment","Public Service Man-
agement","30,650,325",-,"30,650,325",-,93,0
,,A,B,C=A-B,D=B/A*100,94,0
,"Human Resource
Management","1,075,000",-,"1,075,000",-,94,0
,"Coordination of gov-
ernment functions","29,075,325",-,"29,075,325",-,94,0
,"Citizen participation
and Civic Education","500,000",-,"500,000",-,94,0
"Finance & Economic
Planning",,,,,,94,0
"General administration
and support services","General adminis-
tration and support
services","186,810,456","77,756,919","109,053,537",41.6,94,0
,"General adminis-
tration and support
services","186,810,456","77,756,919","109,053,537",41.6,94,0
Financial Management,"Financial Manage-
ment","39,700,000","6,215,899","33,484,101",15.7,94,0
,"Monitoring, Evalua-
tion and reporting","6,000,000","56,950","5,943,050",0.9,94,0
,"Economic Planning
& Budgeting","17,000,000","2,553,240","14,446,760",15.0,94,0
,Accounting services,"7,000,000","2,805,809","4,194,191",40.1,94,0
,"Supply Chain Man-
agement","2,800,000","178,800","2,621,200",6.4,94,0
,"Revenue Manage-
ment Services","6,900,000","621,100","6,278,900",9.0,94,0
County Assembly,,,,,,94,0
"General administration,
planning and support
services","General administra-
tion, planning and
support services","256,120,090","104,433,023","151,687,067",40.8,94,0
,"General administra-
tion, planning and
support services","256,120,090","104,433,023","151,687,067",40.8,94,0
"Legislation and represen-
tation","Legislation and
representation","366,108,797","137,433,310","228,675,487",37.5,94,0
,"Legislation and
representation","366,108,797","137,433,310","228,675,487",37.5,94,0
Legislative oversight,"Legislative over-
sight","40,179,450",-,"40,179,450",-,94,0
,Legislative oversight,"40,179,450",-,"40,179,450",-,94,0
Grand Total,Grand Total,"4,852,771,692","1,629,513,492","3,223,258,200",33.6,94,0
