Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Department of Finance and Economic Planning,,,,,,393,0
"Programme 1:
Administration,
Planning and Sup-
port Services",SP 1.1: Administration Services,"711,503,905","26,054,104","685,449,801",3.7,393,0
,Sp 1.2: Personnel Services,"539,673,258","264,570,442","275,102,816",49.0,393,0
Sub Total,,"1,251,177,163","290,624,546","960,552,617",23.2,393,0
"Programme 2:
Public Finance
Management","SP 2.1: Budget Formulation
Coordination and Management","108,424,726","14,242,000","94,182,726",13.1,393,0
,SP 2.2: Resource Mobilisation,"78,305,320","11,107,488","67,197,832",14.2,393,0
,SP 2.3: Internal Audit,"45,170,674","6,194,540","38,976,134",13.7,393,0
,SP 2.4: Procurement,"17,911,603","1,219,220","16,692,383",6.8,393,0
,"SP 2.5: Public Finance
and Accounting","28,639,827","3,360,125","25,279,702",11.7,393,0
,SP 2.6: Debt Management,"438,081,958","37,333,286","400,748,672",8.5,393,0
,"SP 2.7: External Resource
Mobilisation","11,823,988","798,497","11,025,491",6.8,393,0
Sub Total,,"728,358,097","74,255,156","654,102,940",10.2,393,0
"Programme 3:
Economic and
Financial Policy
Formulation and
Management",SP 3.1: Fiscal Planning,"48,332,172","9,598,100","38,734,072",19.9,393,0
,"SP 3.2: Monitoring & Evaluation
/ Statistical Data Management","9,566,747","1,960,700","7,606,047",20.5,393,0
,SP 3.3: KDSP Programme,"138,674,737",-,"138,674,737",-,393,0
Sub Total,,"196,573,657","11,558,800","185,014,856",5.9,393,0
Department of Public Service Training and Devolution,,,,,,393,0
"Programme 1
Administration,
Planning and Sup-
port service","Sub-programme
1.1(Administration service)","150,080,964","75,600,000","74,480,964",50.4,393,0
,"Sub-programme
1.2(Personal Service)","654,880,126","163,594,438","491,285,688",25.0,393,0
,"Sub-programme
1.3(Financial Service)","50,000",-,"50,000",-,393,0
,"Sub-programme 1.4(Coordination
of Public and Special
Community Programme)","3,500,000","1,250,000","2,250,000",35.7,393,0
,"Sub-programme 1.5(Mainstream
Workplace HIV/AIDS, Alcohol
& Drug Abuse Control)","2,000,000",-,"2,000,000",-,393,0
,"Sub-programme 1.6(Rehabilitation/
Construction of Sub County Offices)","49,880,408",-,"49,880,408",-,393,0
Sub Total,,"860,391,498","240,444,438","619,947,060",27.9,393,0
"Programme 3:
Human Resource
Management and
Development","Sub-programme 3.1 Performance
Contracting","4,000,000","1,500,000","2,500,000",37.5,393,0
,"Sub-programme 3.2 Performance
Appraisal System","4,500,000","2,800,000","1,700,000",62.2,394,0
,"Sub-programme 3.3 Staff develop-
ment Through Capacity Building and
Training","30,399,580","5,000,000","25,399,580",16.4,394,0
Sub Total,,"38,899,580","9,300,000","29,599,580",23.9,394,0
"Programme 4: Di-
saster Management
and Humanitarian
Assistance","Sub-programme 4.1
Disaster Management and
Humanitarian Assistance","5,000,000",-,"5,000,000",-,394,0
Sub Total,,"5,000,000",-,"5,000,000",-,394,0
"Department of Agriculture, Livestock and Fisheries",,,,,,394,0
"Programme 1:
Administration,
Planning and Sup-
port Services",SP 1.1: Human Resources Services,"232,487,980","12,961,147","219,526,833",5.6,394,0
,"SP 1.2: Administration, Planning
and Support Services","393,080,034","111,562,592","281,517,442",28.4,394,0
Sub Total,,"625,568,014","124,523,739","501,044,275",19.9,394,0
"Programme 2:
Livestock Resource
Management and
Development","SP 2.1: Livestock Production
and Management","9,717,879",-,"9,717,879",-,394,0
,"SP 2.2: Promotion of Value Addition
of Livestock and Livestock Products","9,000,000",-,"9,000,000",-,394,0
,"SP 2.3: Livestock Extension
Service Delivery","3,121,854",-,"3,121,854",-,394,0
,"SP 2.4: Food Safety and Livestock
Products Development","13,902,317","2,427,930","11,474,387",17.5,394,0
,"SP 2.5: Livestock Disease
Management and Control","16,084,029","7,716,000","8,368,029",48.0,394,0
Sub Total,,"51,826,079","10,143,930","41,682,149",19.6,394,0
"Programme 3:
Fisheries Develop-
ment",SP 3.1: Aquaculture development,"2,115,282","702,180","1,413,102",33.2,394,0
,"SP 3.2: Development of
capture fisheries resources","3,829,790",-,"3,829,790",-,394,0
,"SP 3.3: Fish quality assurance,
value addition and marketing","1,286,269",-,"1,286,269",-,394,0
Sub Total,,"7,231,341","702,180","6,529,161",9.7,394,0
"Programme 4:
Crop Development
and Management","SP 4.1: Extension, Research
and Training","15,453,147","4,170,983","11,282,164",27.0,394,0
,"SP 4.2: Crop Production
and Food Security","241,439,000","1,067,171","240,371,829",0.4,394,0
,"SP 4.3: Farmland utilisation,
Conservation and Mechanization","3,257,429",-,"3,257,429",-,394,0
,"SP 4.4: Agribusiness
Development and Marketing","2,196,040",-,"2,196,040",-,394,0
,SP 4.5: Agri-nutrition,"611,345",-,"611,345",-,394,0
Sub Total,,"262,956,961","5,238,154","257,718,807",2.0,394,0
"Department of Lands, Physical Planning and Housing",,,,,,394,0
"Programme 1:
Administration,
Planning, Manage-
ment and Support
Services","SP 1.1 Administration
and financial service","120,105,083","4,109,907","115,995,176",3.4,395,0
Sub Total,,"120,105,083","4,109,907","115,995,176",3.4,395,0
"Programme 2:
Land Use Planning
and Survey","SP 2.1 Nakuru County
Land use plan","761,457,407",-,"761,457,407",-,395,0
,"SP 2.2 Land Information
Management System (LIM)","3,400,000","1,285,944","2,114,056",37.8,395,0
,"SP 2.3 Surveying and
Mapping of County","1,925,000","550,000","1,375,000",28.6,395,0
,SP 2.4 Urban Plan and Development,"3,170,000",-,"3,170,000",-,395,0
,SP 2.5 Surveying of Urban Centres,"1,348,045","245,000","1,103,045",18.2,395,0
