Programme,Sub- Programmes,"Approved Estimates
(Ksh)","Actual Expenditure
as of 31st December,
2022 (Ksh)",Variance (Kshs),"Absorption
(%)",page_number,table_index
"Default Value
(Non- Departmental)","Default Value (Non- Depart-
mental)",-,"(19,143,301)","19,143,301",-,43,0
,,-,"(19,143,301)","19,143,301",-,43,0
County Assembly,,"690,274,248","65,984,472","624,289,776",9.6,43,0
,P1 OFFICE OF THE CLERK,-,-,-,-,43,0
,General administration,-,-,-,-,43,0
,"General Administration, Plan-
ning and Support Services","678,074,248","65,984,472","612,089,776",9.7,43,0
,,"12,200,000",-,"12,200,000",-,43,0
Office of the Speaker,,"9,004,000",-,"9,004,000",-,43,0
,"General Administration, Plan-
ning and Support Services",-,-,-,-,43,0
,,"9,004,000",-,"9,004,000",-,43,0
"County Assembly
Administration",,"344,119,761","98,096,762","246,023,000",28.5,43,0
,,"344,119,761","98,096,762","246,023,000",28.5,43,0
"Office of the Governor
and Deputy Governor",,"124,761,380","25,023,062","99,738,318",20.1,43,0
,,"69,823,892","25,023,062","44,800,830",35.8,43,0
,"Tiaty Sub-county (Adminis-
tration)","2,405,672",-,"2,405,672",-,43,0
,P3 GOVERNORS OFFICE,-,-,-,-,43,0
,,"43,501,073",-,"43,501,073",-,43,0
,P4 DEPUTY GOVERNOR,-,-,-,-,43,0
,Baringo North sub-county,"9,030,743",-,"9,030,743",-,43,0
"County Executive
Administration",,"3,135,204,497","1,588,305,062","1,546,899,435",50.7,43,0
,"Inter and Intra-governmental
Relations services","4,200,000","3,309,200","890,800",78.8,43,0
,"Civic Education Development
Services","100,000","93,600","6,400",93.6,43,0
,,"3,130,904,497","1,584,902,262","1,546,002,235",50.6,43,0
,General administration,-,-,-,-,43,0
County Secretary,,"192,248,000","147,050,264","45,197,736",76.5,43,0
,,"192,248,000","147,050,264","45,197,736",76.5,43,0
,County Secretary,-,-,-,-,43,0
"County Public Service
Board",,-,-,-,-,43,0
,County Public service Board,-,-,-,-,43,0
,,"4,637,408","1,800,000","2,837,408",38.8,43,0
,,"4,637,408","1,800,000","2,837,408",38.8,43,0
,"Tiaty sub-county (Adminis-
tration)",-,-,-,-,43,0
,,"4,886,222","2,895,686","1,990,536",59.3,43,0
,Baringo North sub-county,-,-,-,-,43,0
,,"4,886,222","2,895,686","1,990,536",59.3,43,0
,,"4,258,027","1,527,585","2,730,442",35.9,43,0
,,"4,258,027","1,527,585","2,730,442",35.9,43,0
,Baringo central sub-county,-,-,-,-,43,0
,,"4,644,000","1,922,076","2,721,924",41.4,43,0
,,"4,644,000","1,922,076","2,721,924",41.4,43,0
,Baringo South sub-county,-,-,-,-,43,0
,,"4,462,377","1,908,350","2,554,027",42.8,43,0
