Program,Sub-program,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
County Executive,County Executive,"417,473,336","309,966,017","107,507,31",9 74.2,579,1
,"General Administration and
Support Services",-,-,-,,579,1
,County Executive Services,"417,473,336","309,966,017","107,507,31",9 74.2,579,1
"County Public Service
Board",County Public Service Board,-,-,-,,579,1
,,-,-,-,,579,1
"County Assembly Ad-
ministration","County Assembly Administra-
tion","853,341,593","304,060,643","549,280,950",35.6,580,0
,County Executive Services,,,,,580,0
,,"21,600,000","10,265,460","11,334,540",47.5,580,0
,County Executive Services,"21,600,000","10,265,460","11,334,540",47.5,580,0
Headquarters,Headquarters,"30,000,000","17,817,360","12,182,640",59.4,580,0
,County Executive Services,"30,000,000","17,817,360","12,182,640",59.4,580,0
Headquarters,Headquarters,"96,760,000","32,570,000","64,190,000",33.7,580,0
,County Executive Services,"96,760,000","32,570,000","64,190,000",33.7,580,0
Treasury,Treasury,"538,455,701","493,074,657","45,381,044",91.6,580,0
,,"308,883,701","302,489,122","6,394,580",97.9,580,0
,Finance Services,"229,572,000","190,585,536","38,986,464",83.0,580,0
,"County Economic Planning Ser-
vices",-,-,-,,580,0
Economic Planning,Economic Planning,"30,892,000","5,334,100","25,557,900",17.3,580,0
,County Executive Services,-,-,-,,580,0
,"County Economic Planning Ser-
vices","30,892,000","5,334,100","25,557,900",17.3,580,0
Revenue,Revenue,"21,724,600","3,097,320","18,627,280",14.3,580,0
,Finance Services,"21,724,600","3,097,320","18,627,280",14.3,580,0
Budget,Budget,"15,269,524","2,114,800","13,154,724",13.8,580,0
,Finance Services,"15,269,524","2,114,800","13,154,724",13.8,580,0
Internal Audit,Internal Audit,"15,419,900","562,800","14,857,100",3.6,580,0
,Finance Services,"15,419,900","562,800","14,857,100",3.6,580,0
Procurement,Procurement,"61,538,600","52,511,060","9,027,540",85.3,580,0
,,"3,186,000",-,"3,186,000",0.0,580,0
,Finance Services,"58,352,600","52,511,060","5,841,540",90.0,580,0
,,-,-,-,,580,0
,County Executive Services,-,-,-,,580,0
Headquarters,Headquarters,"6,750,000","1,571,000","5,179,000",23.3,580,0
,Finance Services,"6,750,000","1,571,000","5,179,000",23.3,580,0
Roads,Roads,"385,694,936","38,565,978","347,128,958",10.0,580,0
,"General Administration and
Support Services","121,242,936","35,420,038","85,822,898",29.2,580,0
,Improvement of roads network,"264,452,000","3,145,940","261,306,060",1.2,580,0
,"General Administration and
Support Services",-,-,-,,580,0
Transport,Transport,"32,650,000",-,"32,650,000",-,580,0
,"Enhancement of public roads
transport system","28,650,000",-,"28,650,000",-,580,0
,Improvement of roads network,-,-,-,,581,0
,"General Administration and
Support Services","4,000,000",-,"4,000,000",-,581,0
Public Works,Public Works,"205,155,900","908,600","204,247,300",0.4,581,0
,Construction of Offices,-,-,-,,581,0
,"Enhancement of public roads
transport system","202,707,000","519,200","202,187,800",0.3,581,0
,Monitoring and evaluation,-,-,-,,581,0
,Improvement of roads network,-,-,-,,581,0
,"Housing development and Hu-
man Settlement","2,448,900","389,400","2,059,500",15.9,581,0
Water,Water,"776,425,919","50,328,111","726,097,808",6.5,581,0
,"General Administration and
Support Services",-,-,-,,581,0
,Water Services,"776,425,919","50,328,111","726,097,808",6.5,581,0
Energy,Energy,"173,824,800",-,"173,824,800",-,581,0
,Energy Services,"173,824,800",-,"173,824,800",-,581,0
,"General Administration and
Support Services",-,-,-,-,581,0
,"Environment & Natural Re-
source Services",-,-,-,-,581,0
"Environment & Natural
Resources","Environment & Natural Re-
sources","196,375,888","19,367,846","177,008,042",9.9,581,0
,"General Administration and
Support Services","73,018,288","18,707,846","54,310,442",25.6,581,0
,"Environment & Natural Re-
source Services","123,357,600","660,000","122,697,600",0.5,581,0
Natural Resources,Natural Resources,"11,275,800","378,000","10,897,800",3.4,581,0
,,-,-,-,,581,0
,"Environment & Natural Re-
source Services","11,275,800","378,000","10,897,800",3.4,581,0
Public Health,Public Health,"42,172,950","3,816,700","38,356,250",9.1,581,0
,"Preventive and promotive ser-
vices","42,172,950","3,816,700","38,356,250",9.1,581,0
,"General Administration and
Support Services",-,-,-,,581,0
,Reproductive Health Services,-,-,-,,581,0
,Curative Services,-,-,-,,581,0
,RMNCH,-,-,-,,581,0
Medical Services,Medical Services,"584,460,153","208,187,344","376,272,809",35.6,581,0
,Curative Services,"584,460,153","208,187,344","376,272,809",35.6,581,0
,"General Administration and
Support Services",-,-,-,,581,0
RMNCH,RMNCH,"161,202,292","37,656,912","123,545,380",23.4,581,0
,RMNCH,"161,202,292","37,656,912","123,545,380",23.4,581,0
TB & HIV – AIDS,TB & HIV – AIDS,"20,600,000","4,380,200","16,219,800",21.3,581,0
,TB & HIV-AIDS,"20,600,000","4,380,200","16,219,800",21.3,581,0
Health Research,Health Research,"14,686,000","221,600","14,464,400",1.5,582,0
,Health Research Services,"14,686,000","221,600","14,464,400",1.5,582,0
"Emergency Referral
Services",Emergency Referral Services,"30,252,000","5,536,660","24,715,340",18.3,582,0
,Curative Services,"30,252,000","5,536,660","24,715,340",18.3,582,0
Health Shared Services,Health Shared Services,"1,853,899,444","845,703,014","1,008,196,430",45.6,582,0
,Curative Services,"110,000,000",-,"110,000,000",-,582,0
,"General Administration and
Support Services","1,743,899,444","845,703,014","898,196,430",48.5,582,0
Headquarters,Headquarters,"331,930,000","2,984,000","328,946,000",0.9,582,0
,Curative Services,"331,930,000","2,984,000","328,946,000",0.9,582,0
Education,Education,"737,544,195","315,262,065","422,282,130",42.7,582,0
,"Sports promotion and develop-
ment",-,-,-,,582,0
,Youth polytechnics,"33,395,000","108,000","33,287,000",0.3,582,0
,Vocational Training Services,-,-,-,,582,0
,"School Support and Develop-
ment Services",-,-,-,,582,0
,ECD,"287,033,950","121,891,028","165,142,922",42.5,582,0
,"General Administration and
Support Services","417,115,245","193,263,037","223,852,208",46.3,582,0
,"Gender, Culture and Social Ser-
vices",-,-,-,,582,0
Social Services,Social Services,"44,184,400","1,136,000","43,048,400",2.6,582,0
,"Sports promotion and develop-
ment","44,184,400","1,136,000","43,048,400",2.6,582,0
,"Gender, Culture and Social Ser-
vices",-,-,-,,582,0
Gender,Gender,"167,617,700","40,964,000","126,653,700",24.4,582,0
,"Gender, Culture and Social Ser-
vices","167,617,700","40,964,000","126,653,700",24.4,582,0
"Heritage and Library
Services",Heritage and Library Services,"16,516,600","899,500","15,617,100",5.4,582,0
,"County Economic Planning Ser-
vices",-,-,-,,582,0
,"Gender, Culture and Social Ser-
vices","16,516,600","899,500","15,617,100",5.4,582,0
Agriculture,Agriculture,"785,880,131","179,064,136","606,815,995",22.8,582,0
,"Aquaculture, Inland fisheries
production and Extension ser-
vices",-,-,-,,582,0
,"Agricultural infrastructure de-
velopment program","588,926,436","96,686,104","492,240,332",16.4,582,0
,"Administrative and support ser-
vices","196,953,695","82,378,032","114,575,663",41.8,582,0
Livestock & Veterinary,Livestock & Veterinary,"311,758,796","1,591,700","310,167,096",0.5,583,0
,"Livestock Infrastructure im-
provement program","240,485,196","859,100","239,626,096",0.4,583,0
,Veterinary Support Services,"71,273,600","732,600","70,541,000",1.0,583,0
Fisheries,Fisheries,"15,402,800",-,"15,402,800",-,583,0
,"Aquaculture, Inland fisheries
production and Extension ser-
vices","15,402,800",-,"15,402,800",-,583,0
Irrigation,Irrigation,"25,233,200","162,800","25,070,400",0.6,583,0
,Irrigation management services,"25,233,200","162,800","25,070,400",0.6,583,0
,,-,-,-,,583,0
Trade,Trade,"389,940,720","63,991,044","325,949,676",16.4,583,0
,Co-operative Development,-,-,-,-,583,0
,Industrial Development,-,-,-,-,583,0
,Tourism & Wildlife,-,-,-,-,583,0
,"Administrative and Support Ser-
vices","153,733,720","63,366,544","90,367,176",41.2,583,0
,Trade Services,"236,207,000","624,500","235,582,500",0.3,583,0
Industrialisation,Industrialisation,"38,924,320","182,000","38,742,320",0.5,583,0
,Co-operative Development,-,-,-,-,583,0
,Industrial Development,"38,924,320","182,000","38,742,320",0.5,583,0
"C o - o p e r a t i v e
Development",Co-operative Development,"13,583,120","72,600","13,510,520",0.5,583,0
,Trade Services,-,-,-,-,583,0
,Co-operative Development,"13,583,120","72,600","13,510,520",0.5,583,0
ICT Services,ICT Services,"20,558,400","1,009,090","19,549,310",4.9,583,0
,ICT Infrastructure Services,"20,558,400","1,009,090","19,549,310",4.9,583,0
Lands,Lands,"321,809,727","3,223,168","318,586,559",1.0,583,0
,"Administrative and support ser-
vices","40,392,139","3,223,168","37,168,971",8.0,583,0
,"Housing development and Hu-
man Settlement",-,-,-,-,583,0
,Government Building Services,-,-,-,-,583,0
,"Enhancement of public roads
transport system",-,-,-,-,583,0
,"Land Policy and Physical Plan-
ning","281,417,588",-,"281,417,588",-,583,0
Physical Planning,Physical Planning,"5,248,600","707,400","4,541,200",13.5,583,0
,"Land Policy and Physical Plan-
ning","5,248,600","707,400","4,541,200",13.5,583,0
Public Service,Public Service,"361,074,480","165,117,804","195,956,676",45.7,583,0
,Public Participation,-,-,-,-,583,0
,"Administration of Human Re-
sources","361,074,480","165,117,804","195,956,676",45.7,583,0
