Program,Sub Program,Description,Final Budget,"Actual Expen-
diture","Variance/Balance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,,(Kshs.),(Kshs.),,,233,0
101005060,,"General Administration
and Planning Services","1,231,881,669","474,067,876","757,813,793",38.5,233,0
,101015060,"Planning and Coordina-
tion Services","518,077,505","105,885,805","412,191,700",20.4,233,0
,101045060,"Planning and Adminis-
tration","713,804,164","368,182,072","345,622,092",51.6,233,0
102005060,,County Survey Services,"805,000","530,000","275,000",65.8,233,0
,102015060,County Survey,"805,000","530,000","275,000",65.8,233,0
103005060,,"Physical Planning &
Housing","2,819,050","1,064,000","1,755,050",37.7,233,0
,103015060,"Physical planning ser-
vices","2,066,050","506,000","1,560,050",24.5,233,0
,103025060,"county housing manage-
ment","753,000","558,000","195,000",74.1,233,0
104005060,,"Promotion of sustain-
able land use","432,555","341,355","91,200",78.9,233,0
,104015060,"Promotion of Soil and
Water Management","432,555","341,355","91,200",78.9,233,0
105005060,,"Agriculture Productivity
Improvement","94,960,771","38,129,369","56,831,402",40.2,233,0
,105015060,"Management of Agricul-
ture Advisory services","474,750","333,250","141,500",70.2,233,0
,105025060,"Promotion of Crop pro-
duction Value Chains","82,322,939","32,236,409","50,086,530",39.2,233,0
,105035060,"Promotion of Livestock
Production Value Chains","2,900,000","200,000","2,700,000",6.9,233,0
,105055060,Management of Stations,"8,895,082","5,101,710","3,793,372",57.4,233,0
,105075060,"Development of Product
Quality Assurance","368,000","258,000","110,000",70.1,233,0
106005060,,"Agricultural Productivi-
ty Improvement","210,000","65,000","145,000",31.0,233,0
,106015060,Agriculture Credit Access,"210,000","65,000","145,000",31.0,233,0
,106025060,Agriculture input Access,-,-,-,-,233,0
,,,(Kshs.),(Kshs.),,,234,0
107005060,,"Promotion of market
access and products
development","12,422,500","10,302,692","2,119,808",82.9,234,0
,107015060,"Promotion of Agribusi-
ness","150,000","50,000","100,000",33.3,234,0
,107025060,Promotion value addition,"12,272,500","10,252,692","2,019,808",83.5,234,0
108005060,,"Revenue Generation
and Management","25,649,231","25,649,230",1,100.0,234,0
,108015060,"Local Revenue Mobili-
sation","25,649,231","25,649,230",1,100.0,234,0
109005060,,"Urban Planning $
Development Control","54,964,179","45,279,900","9,684,279",82.4,234,0
,109015060,"Urban planning and
development","54,964,179","45,279,900","9,684,279",82.4,234,0
201005060,,"County Roads and Pub-
lic Works Management","1,037,084,922","301,816,059","735,268,863",29.1,234,0
,201015060,"General Administration
& planning","533,160,260","186,431,516","346,728,744",35.0,234,0
